"","Species","Stream","Group","Mesohabitat","Observed","Unique","Available","Ratio_Pool","RPool_95L","RPool_95H","RPool_80L","RPool_80H","RPool_Percent_Support","Ratio_Riffle","RRiffle_95L","RRiffle_95H","RRiffle_80L","RRiffle_80H","RRiffle_Percent_Support","Ratio_Run","RRun_95L","RRun_95H","RRun_80L","RRun_80H","RRun_Percent_Support","Mesohabitat_Riffle","MesoRiffle_95L","MesoRiffle_95H","MesoRiffle_80L","MesoRiffle_80H","MesoRiffle_Percent_Support","Mesohabitat_Run","MesoRun_95L","MesoRun_95H","MesoRun_80L","MesoRun_80H","MesoRun_Percent_Support","Velocity Coef","Velocity_95L","Velocity_95H","Velocity_80L","Velocity_80H","V_Percent_Support","Depth Coef","Depth_95L","Depth_95H","Depth_80L","Depth_80H","D_Percent_Support","Sub Coef","Sub_95L","Sub_95H","Sub_80L","Sub_80H","S_Percent_Support","VelFull Coef","VelFull_95L","VelFull_95H","VelFull_80L","VelFull_80H","VF_Percent_Support","DepthFull Coef","DepthFull_95L","DepthFull_95H","DepthFull_80L","DepthFull_80H","DF_Percent_Support","Instream Coef","Instream_95L","Instream_95H","Instream_80L","Instream_80H","I_Percent_Support","Canopy Coef","Canopy_95L","Canopy_95H","Canopy_80L","Canopy_80H","C_Percent_Support","Velocity_25","Velocity_75","Velocity_t_stat_50","Velocity_p_50","Velocity_5","Velocity_95","Velocity_t_stat_90","Velocity_p_90","Velocity_Min","Velocity_Max","Depth_25","Depth_75","Depth_t_stat_50","Depth_p_50","Depth_5","Depth_95","Depth_t_stat_90","Depth_p_90","Depth_Min","Depth_Max","Substrate_25","Substrate_75","Substrate_t_stat_50","Substrate_p_50","Substrate_5","Substrate_95","Substrate_t_stat_90","Substrate_p_90","Substrate_Min","Substrate_Max","Instream_25","Instream_75","Instream_t_stat_50","Instream_p_50","Instream_5","Instream_95","Instream_t_stat_90","Instream_p_90","Instream_Min","Instream_Max","Canopy_Chi","Canopy_P","C_Prob_Support0.05","Canopy_Min","Canopy_Max"
"1","BB","WB","All","Meso",109,30,1045,1.261,0.932,1.588,1.04,1.471,0.941,0.31,0,0.609,0.102,0.504,1,1.461,0.727,2.293,0.973,1.992,0.88,-1.861,-16.336,-0.533,-2.571,-0.808,0.999,0.107,-0.742,0.811,-0.4,0.584,0.637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","BB","WC","All","Meso",109,19,1421,0.969,0.498,1.478,0.648,1.299,0.559,0.803,0.425,1.17,0.553,1.042,0.841,2.401,0.74,4.723,0.902,3.832,0.846,-0.232,-1.115,0.69,-0.796,0.328,0.708,0.537,-0.609,1.934,-0.218,1.512,0.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","DS","WB","All","Meso",86,27,1022,0.793,0.436,1.139,0.593,1.024,0.882,0.922,0.552,1.304,0.67,1.169,0.668,1.158,0.298,2.051,0.576,1.729,0.633,0.151,-0.606,0.944,-0.341,0.653,0.651,0.282,-1.075,1.284,-0.401,0.973,0.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","DS","WC","All","Meso",72,16,1384,1.121,0.478,1.811,0.705,1.563,0.595,0.831,0.428,1.315,0.566,1.147,0.758,1.519,0,4.036,0,3.071,0.687,-0.343,-1.426,0.747,-1.037,0.331,0.736,-2.172,-14.784,1.682,-14.564,1.165,0.441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","BB","WB","All","RI",17,13,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.758,-1.835,0.005,-1.467,-0.174,0.9728,0.387,0.129,0.634,0.218,0.551,0.9989,-0.333,-0.613,-0.004,-0.534,-0.119,0.9756,-0.796,-1.923,-0.012,-1.536,-0.191,0.9789,0.404,0.149,0.655,0.237,0.571,0.9995,-0.742,-1.825,-0.06,-1.329,-0.201,0.992,-0.408,-0.89,0.038,-0.662,-0.153,0.9503,0.033,0.186,1.7941,0.5558,0.005,0.401,0.8505,0.1439,0,0.81,23.952,39.597,1.0395,0.1891,19.355,43.276,1.5774,0.3657,18,44,4.587,5,1.3801,0.3211,3.653,5.394,1.185,0.172,3,6,0.001,0.18,1.5857,0.3449,0,0.394,0.8922,0.1192,0,0.7,2.0008,0.294,0,0,1
"6","BB","WB","All","PO",70,23,474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.096,-0.808,0.301,-0.47,0.203,0.5656,0.222,-0.071,0.504,0.034,0.407,0.9304,0.107,-0.234,0.509,-0.127,0.353,0.7041,0.017,-0.684,0.433,-0.363,0.321,0.6082,0.24,-0.101,0.599,0.015,0.473,0.9133,0.395,0.073,0.644,0.212,0.567,0.9883,0.094,-0.261,0.493,-0.142,0.319,0.6843,0,0.04,0.283,0.0498,0,0.106,NA,NA,0,0.22,56.147,118.931,2.0755,0.7003,36.577,150.597,1.7473,0.434,26,151,3.575,5.569,0.8099,0.172,1.34,6.383,NA,NA,1,7,0,0.249,-1.7986,9e-04,0,0.537,NA,NA,0,0.6,0.618,0.574,0,0,1
"7","BB","WB","All","RU",22,16,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.232,-0.836,0.061,-0.521,-0.006,0.9089,0.292,0.137,0.537,0.184,0.425,1,0.089,-0.178,0.366,-0.088,0.273,0.7369,-0.19,-0.728,0.092,-0.443,0.011,0.8815,0.285,0.12,0.549,0.168,0.435,1,0.111,-0.234,0.353,-0.077,0.265,0.8136,0.719,0.233,1.285,0.375,0.946,1,0.022,0.183,0.1783,0.0271,0.005,0.382,0.5984,0.01,0,0.5,42.999,59.946,2.0043,0.5616,32.315,68.364,1.8818,0.6707,30,79,4.792,5.711,0.8857,0.103,3.657,6.534,1.0502,0.1272,3,7,0.005,0.2,0.0347,0.0619,0,0.396,-0.0617,8e-04,0,0.6,3.9731,0.095,0,0,1
"8","BB","WC","All","RI",51,13,763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.332,-1.308,0.313,-0.851,0.144,0.7875,0.772,0.275,1.248,0.452,1.087,0.9982,0.07,-0.367,0.624,-0.236,0.411,0.5899,-0.481,-1.53,0.26,-1.059,0.069,0.8621,0.818,0.298,1.297,0.485,1.136,0.9981,-0.163,-0.993,0.38,-0.597,0.226,0.6601,-0.08,-0.645,0.498,-0.458,0.158,0.6777,0.06,0.289,0.8598,0.1506,0.012,0.478,0.5095,0.032,0,1.2,35.601,54.703,1.2182,0.289,27.791,62.702,0.8935,0.2361,4,70,4.343,5.507,0.8101,0.0912,3.294,5.932,0.7511,0.0421,2,6,0.074,0.352,0.6333,0.117,0.016,0.601,0.1571,0.04,0,1,0.9,0.511,0,0,1
"9","BB","WC","All","PO",40,11,527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155,-0.135,0.375,-0.009,0.31,0.8878,0.071,-0.438,0.514,-0.244,0.375,0.6276,-0.54,-1.211,0.031,-0.946,-0.154,0.9674,0.19,-0.073,0.401,0.035,0.335,0.9353,0.099,-0.433,0.606,-0.236,0.435,0.6542,-0.257,-1.088,0.466,-0.474,0.32,0.5308,0.053,-0.508,0.631,-0.36,0.361,0.6413,0.016,0.073,0.9513,0.3255,0.002,0.113,0.2298,0.1924,0,0.21,64.801,119.002,1.2295,0.234,52.761,144.793,1.0825,0.1429,10,151,1.56,4.29,1.512,0.4509,1.065,5.743,NA,NA,1,7,0.002,0.208,0.2529,0.0328,0,0.478,-0.3695,0.0123,0,0.9,0.6395,0.565,0,0,1
"10","BB","WC","All","RU",18,10,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.444,-1.359,0.087,-0.942,-0.036,0.9299,1.044,0.403,2.868,0.595,1.931,1,0.14,-0.471,0.881,-0.264,0.56,0.6501,-0.361,-1.17,0.093,-0.821,-0.017,0.9171,1.102,0.383,3.128,0.559,2.527,1,-0.509,-1.446,0.014,-0.975,-0.105,0.9693,1.602,-0.544,6.95,-0.345,6.923,0.625,0.042,0.165,0.4714,0.0802,0.007,0.221,0.6195,0.0327,0,0.3,55.009,90.952,1.044,0.1826,46.986,133.272,1.4419,0.3646,36,151,3.797,5.469,0.3909,0.0551,2.905,5.865,0.4635,0.0487,2,6,0.008,0.228,0.8214,0.0768,0,0.315,1.0552,0.0227,0,0.45,0.6708,0.549,0,0,1
