"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.246666666666667,0.215,0.305,0.147,0.309,0.214829931972789,0.045,0.32,0,0.627,24.6666666666667,19,28,18.2,34.4,22.1292517006803,15,27.5,6.6,46.8,5.33333333333333,5,5.5,5,5.9,5.02040816326531,4,6,4,6,0.383333333333333,0.225,0.575,0.045,0.675,0.218367346938776,0,0.4,0,0.6,0.333333333333333,0,0.5,0,0.9,0.605442176870748,0,1,0,1
"2",0.143333333333333,0.065,0.215,0.013,0.283,0.199659863945578,0.045,0.31,0,0.607,32.6666666666667,27,40,19.8,43.2,23.2040816326531,15,29,6.6,48.7,5.33333333333333,5,5.5,5,5.9,5.1156462585034,4,6,4,7,0.383333333333333,0.225,0.575,0.045,0.675,0.210884353741497,0,0.3,0,0.6,0.666666666666667,0.5,1,0.1,1,0.650684931506849,0,1,0,1
"3",0.143333333333333,0.065,0.215,0.013,0.283,0.201292517006803,0.04,0.315,0,0.547,32.6666666666667,27,40,19.8,43.2,22.4897959183673,15,29,5.3,45.7,5.33333333333333,5,5.5,5,5.9,4.99319727891156,4,6,4,6.69999999999999,0.383333333333333,0.225,0.575,0.045,0.675,0.20578231292517,0,0.3,0,0.6,0.666666666666667,0.5,1,0.1,1,0.63265306122449,0,1,0,1
"4",0.223333333333333,0.18,0.305,0.084,0.309,0.198163265306122,0.03,0.3,0,0.617,21.3333333333333,19,23,18.2,25.4,21.5578231292517,15,28,4,41.4,5.66666666666667,5.5,6,5.1,6,5.00680272108844,4,6,4,6,0.25,0.15,0.375,0.03,0.435,0.217687074829932,0.05,0.3,0,0.634999999999999,0,0,0,0,0,0.666666666666667,0,1,0,1
"5",0.39,0.18,0.555,0.084,0.759,0.206054421768707,0.055,0.305,0,0.584999999999999,23.6666666666667,22,26.5,18.8,26.9,23.1360544217687,16,28,6.6,48.1,5.66666666666667,5.5,6,5.1,6,5.02721088435374,4,6,4,6,0.266666666666667,0.175,0.375,0.075,0.435,0.218027210884354,0,0.375,0,0.6,0.333333333333333,0,0.5,0,0.9,0.63013698630137,0,1,0,1
"6",0.373333333333333,0.155,0.56,0.031,0.76,0.19530612244898,0.04,0.3,0,0.581999999999999,30.3333333333333,23.5,35.5,20.7,42.3,21.891156462585,14,28,4.3,42.8,5,5,5,5,5,5.02721088435374,4,6,4,7,0.0166666666666667,0,0.025,0,0.045,0.204081632653061,0,0.3,0,0.6,0.666666666666667,0.5,1,0.1,1,0.63013698630137,0,1,0,1
"7",0.143333333333333,0.065,0.215,0.013,0.283,0.219727891156463,0.05,0.32,0,0.63,32.6666666666667,27,40,19.8,43.2,22.7959183673469,15,28.5,8,46.8,5.33333333333333,5,5.5,5,5.9,5.01360544217687,4,6,4,6.69999999999999,0.383333333333333,0.225,0.575,0.045,0.675,0.224149659863946,0,0.4,0,0.6,0.666666666666667,0.5,1,0.1,1,0.60958904109589,0,1,0,1
"8",0.166666666666667,0.095,0.22,0.067,0.292,0.201904761904762,0.045,0.305,0,0.614,27.3333333333333,23,31,20.6,35,23.6938775510204,16,30,5.3,45.4,5.33333333333333,5,5.5,5,5.9,5.02040816326531,4,6,4,6,0.333333333333333,0.15,0.5,0.03,0.66,0.220408163265306,0,0.4,0,0.634999999999999,0.333333333333333,0,0.5,0,0.9,0.623287671232877,0,1,0,1
"9",0.29,0.03,0.435,0.00600000000000001,0.735,0.218231292517007,0.05,0.325,0,0.627,32.3333333333333,26.5,35.5,26.1,42.3,22.7006802721088,15,28.5,8,47.1,5.33333333333333,5,5.5,5,5.9,5,4,6,4,6,0.116666666666667,0.025,0.175,0.005,0.275,0.226190476190476,0.025,0.4,0,0.65,0.666666666666667,0.5,1,0.1,1,0.623287671232877,0,1,0,1
"10",0.29,0.03,0.435,0.00600000000000001,0.735,0.207755102040816,0.045,0.32,0,0.617,32.3333333333333,26.5,35.5,26.1,42.3,22.2380952380952,15,29,5.9,43.4,5.33333333333333,5,5.5,5,5.9,5.08163265306122,4,6,4,7,0.116666666666667,0.025,0.175,0.005,0.275,0.217687074829932,0,0.325,0,0.634999999999999,0.666666666666667,0.5,1,0.1,1,0.602739726027397,0,1,0,1
