"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.085,0.0325,0.1025,0.0035,0.2465,0.272919117647059,0.04,0.36,0,0.825,30.75,22.75,37.5,19.4,43.3,30.0073529411765,21,36.5,12.75,49,4.625,4.75,5,3.35,5,5.16666666666667,5,6,4,7,0.1375,0,0.1875,0,0.3975,0.229280575539568,0.05,0.35,0,0.7,0.5,0,1,0,1,0.696296296296296,0,1,0,1
"2",0.055,0.0325,0.0775,0.0035,0.1065,0.279759124087591,0.04,0.41,0,0.904,29.625,22.75,37,19.4,41.3,29.4890510948905,21,36,13,49.2,4.375,4,5,3.35,5,5.11594202898551,5,6,4,7,0.1375,0,0.1875,0,0.3975,0.232877697841727,0.05,0.35,0,0.7,0.428571428571429,0,1,0,1,0.683823529411765,0,1,0,1
"3",0.145,0.0475,0.1625,0.0205,0.437,0.281227941176471,0.04,0.395,0,0.925,30.875,22.75,40.25,19.4,42.95,30.4558823529412,21.75,38,13,51.25,4.375,4,5,3.35,5,5.1231884057971,5,6,4,7,0.13125,0,0.1875,0,0.3975,0.244748201438849,0.05,0.35,0,0.709999999999999,0.428571428571429,0,1,0,1,0.656934306569343,0,1,0,1
"4",0.14125,0.0325,0.1625,0.0035,0.437,0.273286764705882,0.04,0.3825,0,0.83,32,26,41.25,19.75,43.3,29.3970588235294,21.75,36,13,48,4.625,4.75,5,3.35,5,5.07971014492754,5,6,4,7,0.11875,0,0.15,0,0.345,0.229280575539568,0.05,0.35,0,0.7,0.714285714285714,0.5,1,0,1,0.708029197080292,0,1,0,1
"5",0.105,0.0325,0.08,0.0035,0.3635,0.273700729927007,0.04,0.4,0,0.904,29.5,22.75,37,19.4,40.65,28.956204379562,20,36,13,48,4.375,4,5,3.35,5,5.09420289855072,5,6,4,6.15000000000001,0.15,0,0.1875,0,0.3975,0.221726618705036,0.05,0.35,0,0.7,0.428571428571429,0,1,0,1,0.691176470588235,0,1,0,1
"6",0.055,0.0325,0.0775,0.0035,0.1065,0.256401459854015,0.03,0.36,0,0.904,29.625,22.75,37,19.4,41.3,29.3284671532847,21,36,12.8,49.2,4.375,4,5,3.35,5,5.13669064748201,5,6,4,7,0.1375,0,0.1875,0,0.3975,0.224964028776978,0.05,0.35,0,0.7,0.428571428571429,0,1,0,1,0.705882352941177,0,1,0,1
"7",0.0925,0.04,0.1025,0.014,0.2465,0.29294964028777,0.045,0.415,0,0.954,33.5,27.5,40.5,22.35,43.3,29.7553956834532,21,37.5,12.9,46.2,4.75,4.75,5,4,5,5.1294964028777,5,6,4,7,0.11875,0,0.1875,0,0.3975,0.202877697841727,0.05,0.3,0,0.609999999999999,0.5,0,1,0,1,0.669117647058823,0,1,0,1
"8",0.085,0.0325,0.1025,0.0035,0.2465,0.268007299270073,0.05,0.35,0,0.823999999999999,30.75,22.75,37.5,19.4,43.3,30.1386861313869,21,38,13,50.4,4.625,4.75,5,3.35,5,5.15942028985507,5,6,4,7,0.1375,0,0.1875,0,0.3975,0.206834532374101,0.05,0.3,0,0.7,0.5,0,1,0,1,0.656934306569343,0,1,0,1
"9",0.0925,0.04,0.1025,0.0205,0.2465,0.271742647058824,0.04,0.3825,0,0.7925,32.75,26,40.5,19.75,43.3,29.8970588235294,22,36,13,50.25,4.5,4,5,3.35,5,5.1304347826087,5,6,4,7,0.08125,0,0.075,0,0.345,0.232517985611511,0.05,0.35,0,0.705,0.428571428571429,0,1,0,1,0.64963503649635,0,1,0,1
"10",0.145,0.0475,0.1625,0.0205,0.437,0.276176470588235,0.04,0.3925,0,0.925,29.875,22.75,37,19.4,40.65,29.2058823529412,21,36,13,48.5,4.375,4,5,3.35,5,5.06521739130435,5,6,4,6,0.13125,0,0.1875,0,0.3975,0.235395683453237,0.05,0.35,0,0.709999999999999,0.428571428571429,0,1,0,1,0.669117647058823,0,1,0,1
