"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.119,0.03,0.165,0.0145,0.3205,0.154878048780488,0.02,0.215,0,0.539,53.9,42.25,60,33.25,73.15,47.2317073170732,32.25,56,18,84,5.1,5,5,4,6.55,4.89024390243902,4,6,3,7,0.11,0,0.1,0,0.42,0.0908536585365854,0,0.15,0,0.3975,0.7,0.25,1,0,1,0.45,0,1,0,1
"2",0.167,0.0525,0.2525,0.0245,0.4415,0.170121951219512,0.03,0.1975,0,0.5685,53.9,52.25,59.5,36.75,63.3,42.8658536585366,28.5,51.75,14,76.95,5.4,5,6,3.9,7,4.90243902439024,4,5.75,3,7,0.12,0,0.175,0,0.465,0.11280487804878,0,0.15,0,0.4,0.7,0.25,1,0,1,0.475,0,1,0,1
"3",0.062,0.0225,0.09,0.0045,0.161,0.152317073170732,0.03,0.195,0,0.489,50.6,39.25,59.5,30.45,69.3,45.5609756097561,30,55.75,14.1,77.95,5,5,5,4,6,4.84146341463415,4,5,3,7,0.115,0,0.1,0,0.465,0.0975609756097561,0,0.15,0,0.395,0.8,1,1,0,1,0.475,0,1,0,1
"4",0.104,0.0225,0.1425,0.0045,0.3515,0.141585365853659,0.03,0.1975,0,0.5195,51.5,41.5,59.5,30.45,73.15,45.3170731707317,30,56,14.2,81.8,4.9,4.25,5.75,3.45,6,4.71951219512195,4,5,3,7,0.14,0,0.1875,0,0.465,0.104878048780488,0,0.15,0,0.495,0.8,1,1,0,1,0.475,0,1,0,1
"5",0.141,0.035,0.1525,0.019,0.4415,0.136829268292683,0.03,0.1775,0,0.4085,52.1,45.25,60,30.45,69.3,45.6951219512195,30.5,54.75,16.1,84,5.3,5,6,3.9,6.55,4.73170731707317,4,5,3,7,0.105,0,0.1125,0,0.465,0.074390243902439,0,0.1375,0,0.3,0.8,1,1,0,1,0.4625,0,1,0,1
"6",0.105,0.0225,0.165,0.0045,0.271,0.163658536585366,0.03,0.215,0,0.539,50.9,39.25,58,33.25,69.3,42.7926829268293,32,50,18.1,73.9,5,5,5,4,6.1,5.01219512195122,4.25,6,3,7,0.055,0,0.1,0,0.155,0.111585365853659,0,0.15,0,0.495,0.7,0.25,1,0,1,0.5125,0,1,0,1
"7",0.153,0.035,0.17,0.0145,0.4415,0.158414634146341,0.02,0.2275,0,0.509,50.8,40.75,59.5,30.45,70.45,47.0243902439024,32,56,18.1,84,5.1,4.25,6,3.45,6.55,4.92682926829268,4,6,3,7,0.145,0,0.1875,0,0.465,0.113414634146341,0,0.15,0,0.5,0.8,1,1,0,1,0.493827160493827,0,1,0,1
"8",0.177,0.035,0.275,0.0145,0.4415,0.151585365853659,0.0225,0.2475,0,0.509,52.5,42.25,59.5,33.25,70.45,45.2073170731707,30,55.75,16.1,81.75,5.1,4.25,5.75,3.45,7,4.91463414634146,4,5.75,3,7,0.12,0,0.175,0,0.42,0.0902439024390244,0,0.1375,0,0.3975,0.6,0,1,0,1,0.4875,0,1,0,1
"9",0.165,0.035,0.2375,0.0145,0.4415,0.162439024390244,0.03,0.22,0,0.5195,54.8,46.75,60,37.35,73.15,43.2439024390244,30,50,14.2,76.95,4.9,4.25,5,3.45,6.55,4.8780487804878,4,6,3,7,0.11,0,0.1,0,0.42,0.0957317073170732,0,0.15,0,0.3475,0.8,1,1,0,1,0.4625,0,1,0,1
"10",0.182,0.035,0.275,0.0045,0.4415,0.141585365853659,0.0225,0.1875,0,0.467,50.6,39.25,59.5,33.25,66.6,43.6219512195122,30,54.75,16.1,76.95,5.1,4.25,5.75,3.45,7,4.85365853658537,4,5.75,3,7,0.115,0,0.1,0,0.42,0.104878048780488,0,0.15,0,0.3975,0.8,1,1,0,1,0.525,0,1,0,1
"11",0.145,0.0375,0.2375,0.0145,0.3295,0.163048780487805,0.02,0.235,0,0.5385,53.5,42.25,59.5,32.7,73.15,47.6829268292683,32,56,18.1,84,5.3,5,5.75,4,7,4.79268292682927,4,5,3,7,0.1,0,0.175,0,0.255,0.10609756097561,0,0.15,0,0.4,0.5,0,1,0,1,0.493827160493827,0,1,0,1
"12",0.139,0.0225,0.2375,0.0045,0.3295,0.174512195121951,0.04,0.2775,0,0.539,51,39.25,58,33.25,70.45,44.6585365853659,30,53.5,18,75.8,5.1,4.25,5,4,7,4.9390243902439,4,5.75,3,7,0.075,0,0.1,0,0.2,0.0847560975609756,0,0.15,0,0.3475,0.6,0,1,0,1,0.4875,0,1,0,1
"13",0.153,0.035,0.2325,0.0045,0.4415,0.16219512195122,0.02,0.22,0,0.5675,51.4,39.25,60,32.7,69.3,45.3292682926829,30,55.75,14,84,5,4.25,5.75,3.45,6.55,4.97560975609756,4,6,3,7,0.115,0,0.1,0,0.465,0.109146341463415,0,0.15,0,0.495,0.7,0.25,1,0,1,0.506172839506173,0,1,0,1
"14",0.113,0.03,0.1525,0.0145,0.3205,0.174756097560976,0.04,0.22,0,0.5685,52.6,45.25,60,33.25,69.3,45.0121951219512,30,55,14.2,81.75,5.4,5,5.75,5,6.55,4.78048780487805,4,5,3,7,0.085,0,0.075,0,0.3975,0.105487804878049,0,0.15,0,0.495,0.8,1,1,0,1,0.518518518518518,0,1,0,1
"15",0.174,0.06,0.2375,0.0245,0.4415,0.139146341463415,0.02,0.1875,0,0.505,49.2,40.5,58,33.25,60,46.1829268292683,30.5,56,18,83.9,5,5,5,3.45,6.55,4.78048780487805,4,5,2.05,7,0.09,0,0.1,0,0.374999999999999,0.0871951219512195,0,0.15,0,0.395,0.8,1,1,0,1,0.506172839506173,0,1,0,1
"16",0.145,0.03,0.2375,0.0145,0.401,0.160487804878049,0.03,0.215,0,0.539,55,52.25,59.5,33.25,73.15,44.280487804878,30,54.75,18,76.95,5,5,5,3.45,6.55,4.76829268292683,4,5,3,7,0.12,0,0.175,0,0.42,0.114024390243902,0,0.15,0,0.5,0.6,0,1,0,1,0.45679012345679,0,1,0,1
"17",0.156,0.035,0.2325,0.019,0.4415,0.148414634146341,0.0225,0.1975,0,0.509,50.5,36.75,60,30.45,69.3,43.280487804878,28,55,14,77.9,5.1,5,5.75,3.45,6.55,4.85365853658537,4,5.75,2.05,7,0.11,0,0.1,0,0.465,0.099390243902439,0,0.1375,0,0.4,0.7,0.25,1,0,1,0.5125,0,1,0,1
"18",0.112,0.0225,0.165,0.0045,0.3205,0.150975609756098,0.04,0.22,0,0.489,48.5,36.75,59.5,30.45,70.45,42.5121951219512,30,53.5,14.1,75.75,5.1,4.25,5.75,4,6.55,4.89024390243902,4,5.75,3,7,0.145,0.0125,0.175,0,0.465,0.0969512195121951,0,0.15,0,0.495,0.7,0.25,1,0,1,0.4875,0,1,0,1
"19",0.177,0.0525,0.2375,0.019,0.4415,0.167682926829268,0.0225,0.2275,0,0.539,52,40.75,60,32.7,69.3,45.5853658536585,30,56,14.1,83.9,5.2,5,6,3.45,6.55,4.8780487804878,4,6,3,7,0.135,0,0.1375,0,0.465,0.0987804878048781,0,0.15,0,0.3975,0.8,1,1,0,1,0.5375,0,1,0,1
"20",0.09,0.03,0.1525,0.0145,0.2195,0.179146341463415,0.04,0.255,0,0.539,51.6,38.5,59.5,30.45,73.15,47.4146341463415,30.5,59.75,16.1,83.9,5.2,5,5.75,4.45,6,5,4,6,3,7,0.145,0,0.1875,0,0.465,0.0963414634146341,0,0.15,0,0.4,0.6,0,1,0,1,0.518518518518518,0,1,0,1
"21",0.163,0.0525,0.2375,0.03,0.401,0.139512195121951,0.0225,0.215,0,0.4085,48.8,36.75,58,30.45,63.3,43.6585365853659,30,54,18.1,81.8,5.1,5,5.75,3.45,6.55,4.91463414634146,4.25,5.75,2.05,7,0.14,0,0.175,0,0.465,0.099390243902439,0,0.15,0,0.4,0.6,0,1,0,1,0.5,0,1,0,1
"22",0.099,0.03,0.1375,0.0145,0.28,0.162682926829268,0.03,0.2275,0,0.5195,53.3,42.25,60,30.45,73.15,44.5,28.5,55,14.1,81.8,5.2,5,5.75,4,6.55,5.01219512195122,4,6,3,7,0.13,0,0.175,0,0.465,0.106707317073171,0,0.15,0,0.495,0.7,0.25,1,0,1,0.5375,0,1,0,1
