"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.0416666666666667,0.0325,0.0575,0.0075,0.0675,0.0301473684210526,0,0.03,0,0.17,84.1428571428571,63,95.5,55.5,140.2,89.2847682119205,52,138.75,28.05,151,3.85714285714286,1.5,6,1,6.7,4.31294964028777,3,6,1,7,0.257142857142857,0,0.4,0,0.78,0.152164473684211,0,0.22,0,0.65,0.428571428571429,0,1,0,1,0.473867595818815,0,1,0,1
"2",0.0466666666666667,0.0425,0.06,0.01,0.0675,0.0294181818181818,0,0.03,0,0.14,94.2857142857143,76,104.5,60.7,140.2,88.0666666666667,52,134.5,23,151,2,1,2.5,1,3.7,4.40425531914894,2.25,7,1,7,0.264285714285714,0.025,0.4,0,0.71,0.152,0,0.22,0,0.65,0.666666666666667,0.25,1,0,1,0.462068965517241,0,1,0,1
"3",0.05,0.02,0.07,0.003,0.115,0.028932384341637,0,0.03,0,0.14,86.8571428571429,68,92,62.8,133.9,87.2225913621263,52,130,24,151,3.85714285714286,1.5,5.5,1,6.7,4.375,3,6,1,7,0.171428571428571,0,0.2,0,0.62,0.145585526315789,0,0.2,0,0.6,0.857142857142857,1,1,0.3,1,0.472413793103448,0,1,0,1
"4",0.0866666666666667,0.0625,0.0775,0.0375,0.1775,0.0298279569892473,0,0.03,0,0.151,77.8571428571429,64,88,53.3,108.7,89.2857142857143,54,139,26,151,3.14285714285714,1,5,1,5.7,4.42142857142857,3,6.25,1,7,0.171428571428571,0,0.3,0,0.47,0.143940789473684,0,0.2,0,0.6,0.285714285714286,0,0.5,0,1,0.472413793103448,0,1,0,1
"5",0.05,0.0525,0.06,0.0125,0.0675,0.0262765957446809,0,0.03,0,0.1195,85.4285714285714,60.5,104.5,51.2,140.2,89.1986754966887,52.25,140,24.1,151,3.5,1.25,5.75,1,6,4.3731884057971,3,6,1,7,0.257142857142857,0,0.4,0,0.78,0.144763157894737,0,0.2,0,0.65,0.571428571428571,0,1,0,1,0.479310344827586,0,1,0,1
"6",0.076,0.06,0.08,0.052,0.12,0.0281824561403509,0,0.03,0,0.138,62.4285714285714,55.5,67,22,100.6,89.3741721854305,53.25,137.75,28.05,151,4.57142857142857,3.5,6,1.3,6.7,4.23655913978495,2,6,1,7,0.185714285714286,0.05,0.25,0,0.44,0.146355263157895,0,0.2,0,0.642499999999998,0.428571428571429,0,1,0,1,0.482758620689655,0,1,0,1
"7",0.0433333333333333,0.0325,0.06,0.0075,0.0675,0.0292553191489362,0,0.03,0,0.1395,88.5714285714286,63,104.5,58.3,140.2,88.4370860927152,52,138,26,151,2.85714285714286,1,4,1,6.1,4.32258064516129,3,6,1,7,0.121428571428571,0,0.175,0,0.44,0.149697368421053,0,0.25,0,0.6,0.285714285714286,0,0.5,0,1,0.473867595818815,0,1,0,1
"8",0.03,0.005,0.05,0,0.075,0.0298661971830986,0,0.03,0,0.1485,107.428571428571,88,133,67.3,151,88.0331125827815,50.5,136.75,24.05,151,3,1,4,1,6.4,4.34420289855072,3,6,1,7,0.114285714285714,0,0.15,0,0.41,0.149013157894737,0,0.2,0,0.692499999999998,0.714285714285714,0.5,1,0,1,0.489655172413793,0,1,0,1
"9",0.035,0.015,0.055,0.0025,0.0675,0.0295830388692579,0,0.03,0,0.149,88.4285714285714,68,98.5,61.4,140.2,88.8504983388704,52,138,24,151,3.28571428571429,1.5,4.5,1,6.4,4.2831541218638,2,6,1,7,0.114285714285714,0,0.15,0,0.44,0.142763157894737,0,0.2,0,0.6,0.428571428571429,0,1,0,1,0.475862068965517,0,1,0,1
"10",0.045,0.015,0.0675,0,0.0775,0.0288530465949821,0,0.03,0,0.151999999999999,103,74.5,133,62.8,151,88.05,52,136.25,25.95,151,2.28571428571429,1,3,1,4.4,4.19424460431655,2,6,1,7,0.142857142857143,0,0.25,0,0.44,0.148269736842105,0,0.2,0,0.642499999999998,0.571428571428571,0,1,0,1,0.477351916376307,0,1,0,1
"11",0.08,0.06,0.0775,0.015,0.1775,0.03215770609319,0,0.03,0,0.171,86.4285714285714,64,104.5,53.3,140.2,86.5049833887043,52,130,26,151,3,1,5,1,5.7,4.4645390070922,3,7,1,7,0.214285714285714,0.05,0.35,0,0.47,0.148243421052632,0,0.2,0,0.684999999999997,0.428571428571429,0,1,0,1,0.449826989619377,0,1,0,1
"12",0.05,0.04,0.06,0.016,0.076,0.0300358422939068,0,0.03,0,0.171,82.6666666666667,67.5,93,62.5,109.75,88.9269102990033,52,138,25,151,2.42857142857143,1,3.5,1,5,4.38768115942029,3,6,1,7,0.314285714285714,0.1,0.45,0,0.71,0.139664473684211,0,0.2,0,0.642499999999998,0.857142857142857,1,1,0.3,1,0.470383275261324,0,1,0,1
"13",0.0516666666666667,0.015,0.0775,0,0.095,0.0272043010752688,0,0.03,0,0.151,98.7142857142857,64,133,56.1,151,89.4651162790698,53,140,24,151,3.57142857142857,1.5,5.5,1,6.7,4.31407942238267,2,6,1,7,0.271428571428571,0,0.4,0,0.78,0.148875,0,0.2,0,0.692499999999998,0.714285714285714,0.5,1,0,1,0.430555555555556,0,1,0,1
"14",0.055,0,0.06,0,0.1725,0.0301142857142857,0,0.03,0,0.151,111.285714285714,80.5,151,55.1,151,89.0666666666667,52,146,27.9,151,3,1,4.5,1,6.7,4.30685920577617,3,6,1,7,0.171428571428571,0,0.35,0,0.47,0.153644736842105,0,0.25,0,0.642499999999998,0.428571428571429,0,1,0,1,0.484429065743945,0,1,0,1
"15",0.0366666666666667,0.005,0.06,0,0.075,0.02915,0,0.03,0,0.1505,102.857142857143,77.5,133,53.3,151,86.79,50,128.5,24,151,3.66666666666667,1.5,5,1,6.5,4.43109540636042,3,7,1,7,0.114285714285714,0,0.15,0,0.41,0.142953947368421,0,0.2,0,0.6,0.571428571428571,0,1,0,1,0.458904109589041,0,1,0,1
"16",0.0333333333333333,0,0.065,0,0.0775,0.0284685314685315,0,0.03,0,0.14,91.8571428571429,56.5,133,47.8,151,90.135761589404,52,146,24.1,151,4.16666666666667,3.25,5,1.5,6.5,4.36363636363636,3,6,1,7,0.128571428571429,0,0.15,0,0.41,0.149861842105263,0,0.22,0,0.642499999999998,0.428571428571429,0,1,0,1,0.450511945392491,0,1,0,1
