"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.137142857142857,0.035,0.195,0,0.361,0.239230769230769,0.05,0.32,0,0.801999999999999,39.1428571428571,30,46,25.2,55.6,32.6403712296984,24,42,12,52,4.14285714285714,3.5,5,3,5,4.77931034482759,4,6,3,6,0.121428571428571,0.05,0.2,0,0.235,0.277195402298851,0.1,0.4,0,0.7,0.428571428571429,0,1,0,1,0.722222222222222,0,1,0,1
"2",0.0716666666666667,0.0625,0.0975,0.015,0.1075,0.229116279069767,0.05,0.3,0,0.780999999999999,36.8333333333333,29.5,46.75,22,49.75,32.8607888631091,24,42,12,52.5,5.16666666666667,5,5.75,4.25,6,4.77011494252874,4,6,3,6,0.142857142857143,0,0.15,0,0.48,0.271080459770115,0.1,0.4,0,0.7,0.666666666666667,0.25,1,0,1,0.732101616628176,0,1,0,1
"3",0.112857142857143,0.06,0.12,0.015,0.274,0.211655011655012,0.05,0.3,0,0.703999999999999,36.1428571428571,27,45,21.2,55.6,32.4444444444444,24,42,12,52,4.57142857142857,4.5,5,3.3,5,4.72413793103448,4,6,3,6,0.0857142857142857,0,0.15,0,0.2,0.262781609195402,0.1,0.4,0,0.7,0.571428571428571,0,1,0,1,0.723502304147465,0,1,0,1
"4",0.35,0.11,0.38,0.079,0.965999999999999,0.22535046728972,0.05,0.3,0,0.749499999999999,45.2857142857143,40,60.5,14.8,63,32.3232558139535,24,42,12,52,5,5,5,5,5,4.7448275862069,4,6,3,6,0.114285714285714,0.05,0.15,0,0.27,0.262091954022989,0.1,0.4,0,0.7,0.571428571428571,0,1,0,1,0.736720554272517,0,1,0,1
"5",0.252857142857143,0.06,0.17,0.022,0.905999999999999,0.223216783216783,0.05,0.31,0,0.741999999999999,32.2857142857143,30,41,11.8,46.9,31.8912037037037,24,41,11.55,52,4.42857142857143,4,5,3,5,4.73103448275862,4,6,3,6,0.0571428571428571,0,0.1,0,0.17,0.264252873563218,0.1,0.4,0,0.7,0.833333333333333,1,1,0.25,1,0.74364896073903,0,1,0,1
"6",0.138571428571429,0.005,0.245,0,0.37,0.223726851851852,0.05,0.3,0,0.739,38.4285714285714,29,50.5,21,57.6,32.3394919168591,24,42,12,52,4.42857142857143,4,5,3.3,5,4.73793103448276,4,6,3,6,0.25,0.1,0.225,0.03,0.774999999999999,0.264873563218391,0.1,0.4,0,0.7,0.666666666666667,0.25,1,0,1,0.752886836027714,1,1,0,1
"7",0.13,0.075,0.16,0.021,0.298,0.208488372093023,0.05,0.28,0,0.6455,41.2857142857143,32,49,25.2,61.5,32.2655889145497,24,42,12,52,4.57142857142857,4.5,5,3.3,5,4.71034482758621,4,6,3,6,0.0928571428571429,0,0.15,0,0.235,0.272367816091954,0.1,0.4,0,0.7,0.285714285714286,0,0.5,0,1,0.75462962962963,1,1,0,1
"8",0.133333333333333,0.0225,0.2475,0.0025,0.33,0.218107476635514,0.05,0.3,0,0.705999999999999,33,28,37.5,22,49,31.9953596287703,24,40,12,52,4.66666666666667,4.25,5,3.25,5.75,4.78620689655172,4,6,3,6,0.192857142857143,0.1,0.225,0.03,0.495,0.271908045977012,0.1,0.4,0,0.7,0.6,0,1,0,1,0.733796296296296,0,1,0,1
"9",0.148571428571429,0.11,0.2,0.03,0.276,0.215906976744186,0.05,0.29,0,0.740999999999999,48.2857142857143,41,55,33,63.6,32.7563805104408,24,42,12,52.5,4.57142857142857,4.5,5,3.3,5,4.70804597701149,4,6,3,6,0.142857142857143,0.05,0.2,0,0.34,0.267885057471264,0.1,0.4,0,0.7,0.714285714285714,0.5,1,0,1,0.729166666666667,0,1,0,1
"10",0.215714285714286,0.125,0.31,0.058,0.414,0.214139534883721,0.05,0.28,0,0.725499999999999,45.2857142857143,37,52.5,32.6,65.1,32.508120649652,24,42,12,52,4.57142857142857,4.5,5,3.3,5,4.73103448275862,4,6,3,6,0.128571428571429,0,0.2,0,0.37,0.267287356321839,0.1,0.4,0,0.7,0.571428571428571,0,1,0,1,0.739030023094688,0,1,0,1
"11",0.365714285714286,0.07,0.55,0.012,1.092,0.220210280373832,0.05,0.3,0,0.743,37.5714285714286,31,49,11.2,58.7,32.631090487239,24,42,12,53,4.57142857142857,4.5,5,3.3,5,4.76091954022989,4,6,3,6,0.15,0.05,0.225,0,0.355,0.267471264367816,0.1,0.4,0,0.7,0.428571428571429,0,1,0,1,0.751740139211137,1,1,0,1
