"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.128333333333333,0.105,0.1575,0.025,0.22,0.114,0.02,0.165,0,0.293,66.6666666666667,57,66,47,99.25,44.4210526315789,30,56,16.4,69.2,4.66666666666667,3.5,5.75,3,6,4.66666666666667,3.75,6,2.95,6,0.225,0.125,0.3,0.025,0.4125,0.230833333333333,0,0.4,0,0.709999999999999,0.833333333333333,1,1,0.25,1,0.75,0.75,1,0,1
"2",0.185,0.1525,0.2125,0.1275,0.2575,0.146363636363636,0.035,0.205,0,0.382,58.6666666666667,50.5,64.5,47.75,72.5,44.9473684210526,34,56,9.2,74.8,4,2.25,5.75,2,6,4.81666666666667,4,6,2.95,6,0.133333333333333,0.0125,0.2625,0,0.3,0.235833333333333,0.05,0.4,0,0.7,0.6,0,1,0,1,0.783333333333333,1,1,0,1
"3",0.133333333333333,0.105,0.1575,0.025,0.2425,0.132727272727273,0.04,0.175,0,0.319,70.1666666666667,57.75,72.5,53,101.25,45.5964912280702,34,57,9.2,75.2,4.33333333333333,3,6,2.25,6,4.7,3.75,6,3,6,0.183333333333333,0.05,0.3,0,0.3,0.22,0.0375,0.3625,0,0.605,0.6,0,1,0,1,0.75,0.75,1,0,1
"4",0.14,0.1125,0.1825,0.025,0.2275,0.124,0.04,0.16,0,0.306,67.6666666666667,57,66,51.5,99.25,43.9824561403509,32,56,12.4,78.4,5,5,5.75,3.5,6,4.65,3,6,2,6,0.233333333333333,0.1625,0.3,0.0375,0.4125,0.245,0.05,0.4125,0,0.709999999999999,0.666666666666667,0.25,1,0,1,0.733333333333333,0,1,0,1
"5",0.103333333333333,0.045,0.1575,0.005,0.1675,0.159454545454545,0.07,0.205,0.014,0.424,60.1666666666667,57,64.5,48.5,69.5,46.2280701754386,35,57,16.4,75.2,4.83333333333333,4.25,5.75,3.25,6,4.65,3,6,3,6,0.15,0,0.3,0,0.3,0.208333333333333,0.05,0.3,0,0.709999999999999,1,1,1,1,1,0.75,0.75,1,0,1
"6",0.165,0.1275,0.1825,0.105,0.25,0.142631578947368,0.04,0.2,0,0.352,65.6666666666667,50.5,72,45.5,101.25,44.9152542372881,31,56.5,9.6,80,4.16666666666667,3,5.75,2.25,6,4.66666666666667,3,6,2.95,6,0.175,0.1125,0.275,0.025,0.3,0.220833333333333,0,0.3625,0,0.709999999999999,0.4,0,1,0,1,0.766666666666667,1,1,0,1
"7",0.143333333333333,0.1275,0.16,0.03,0.2425,0.144642857142857,0.0375,0.2,0,0.42,61.8333333333333,57,64.5,53,72.5,44.4655172413793,30,60,13.4,78.3,4.66666666666667,3.5,6,2.25,6,4.63333333333333,3.75,6,2,6,0.15,0,0.3,0,0.3,0.2225,0.05,0.3125,0,0.7,0.8,1,1,0.2,1,0.783333333333333,1,1,0,1
"8",0.113333333333333,0.105,0.1425,0.04,0.165,0.141964285714286,0.0475,0.1925,0,0.34,66.5,50.25,69.5,44.5,100.25,43.7241379310345,30,56,12.8,80,4,3,4.75,3,5.75,4.68333333333333,3.75,6,2.95,6,0.15,0.025,0.275,0,0.3,0.23,0,0.4,0,0.709999999999999,0.833333333333333,1,1,0.25,1,0.733333333333333,0,1,0,1
"9",0.125,0.105,0.16,0.04,0.1825,0.130892857142857,0.04,0.17,0,0.34,67.6666666666667,52.5,72.5,47,101.25,45.3275862068966,30.5,56.75,12.8,80.45,4.33333333333333,3.25,5,3,5.75,4.68333333333333,3.75,6,2,6,0.108333333333333,0,0.1875,0,0.275,0.218333333333333,0,0.325,0,0.709999999999999,0.5,0,1,0,1,0.75,0.75,1,0,1
"10",0.156666666666667,0.1275,0.2125,0.045,0.235,0.126607142857143,0.02,0.1725,0,0.3175,56.3333333333333,47.75,64.5,46.25,66.5,43.3965517241379,30,56.75,9.4,80,4.16666666666667,3.25,5,2.25,5.75,4.63333333333333,3,6,2.95,6,0.158333333333333,0.0125,0.2625,0,0.4125,0.214166666666667,0,0.3125,0,0.709999999999999,0.833333333333333,1,1,0.25,1,0.75,0.75,1,0,1
"11",0.155,0.12,0.165,0.105,0.245,0.147321428571429,0.0575,0.2,0.0075,0.355,67.5,54.75,69.5,46,100.25,44.9655172413793,30,59,9.4,80,3.66666666666667,3,4.5,2.25,5.75,4.85,4,6,3,6,0.15,0.025,0.275,0,0.3,0.215,0,0.4,0,0.709999999999999,0.8,1,1,0.2,1,0.733333333333333,0,1,0,1
"12",0.148333333333333,0.105,0.2175,0.0325,0.2625,0.137894736842105,0.04,0.17,0,0.416,67.8333333333333,54.75,66.5,50.5,99.25,45.2931034482759,32.5,56,16.55,78.75,4,3,5,2.25,5.75,4.75,4,6,2.95,6,0.175,0.025,0.275,0,0.4125,0.225,0,0.3625,0,0.7,0.8,1,1,0.2,1,0.766666666666667,1,1,0,1
"13",0.153333333333333,0.1275,0.2075,0.045,0.235,0.144181818181818,0.055,0.18,0,0.368,59.8333333333333,51,66.5,46.25,70,44.4561403508772,32,57,12.4,78.4,4.16666666666667,3.25,5,2.25,5.75,4.8,4,6,3,6,0.183333333333333,0.0125,0.3,0,0.4125,0.231666666666667,0,0.3625,0,0.709999999999999,1,1,1,1,1,0.783333333333333,1,1,0,1
"14",0.12,0.105,0.1575,0.025,0.1825,0.138,0.05,0.17,0,0.382,63.8333333333333,51.5,62.25,45.5,98.25,45.3333333333333,33,57,15.6,80,4.66666666666667,3.5,5.75,3,6,4.58333333333333,3,6,2,6,0.175,0.1125,0.275,0.025,0.3,0.236666666666667,0.05,0.4,0,0.7,0.666666666666667,0.25,1,0,1,0.783333333333333,1,1,0,1
