"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.046,0,0.08,0,0.088,0.0526666666666667,0,0.0525,0,0.2085,104.8,62,151,57.2,151,98.2166666666667,63.75,151,35.7,151,2.6,1,3,1,4.6,3.56862745098039,1,5,1,7,0.02,0,0,0,0.08,0.113333333333333,0,0.2,0,0.5,0.6,0,1,0,1,0.444444444444444,0,1,0,1
"2",0.044,0,0.08,0,0.128,0.058,0,0.0625,0,0.227,76,56,63,51.2,133.4,96.15,56.5,151,36.95,151,3.8,3,5,1.4,6.6,3.36734693877551,1,5,1,6.59999999999999,0.04,0,0,0,0.16,0.1025,0,0.2,0,0.405,0.6,0,1,0,1,0.5,0,1,0,1
"3",0.034,0,0.08,0,0.088,0.0498333333333333,0,0.06,0,0.201,96.6,62,151,57.2,151,99.7166666666667,64,151,36.65,151,3.4,1,5,1,6.6,3.35294117647059,1,5,1,7,0,0,0,0,0,0.1025,0,0.2,0,0.5,0.8,1,1,0.2,1,0.472727272727273,0,1,0,1
"4",0.012,0,0,0,0.048,0.0461666666666667,0,0.06,0,0.201,103.8,63,151,52.6,151,105.183333333333,64.75,151,36.65,151,3,1,3,1,6.2,3.45652173913043,1,5,1,6,0.06,0,0.1,0,0.18,0.0958333333333333,0,0.2,0,0.405,0.6,0,1,0,1,0.472727272727273,0,1,0,1
"5",0.034,0,0.08,0,0.088,0.0528333333333333,0,0.06,0,0.227,96.6,62,151,57.2,151,100.933333333333,62,151,42.65,151,3.4,1,5,1,6.6,3.3265306122449,1,5,1,7,0,0,0,0,0,0.1,0,0.2,0,0.4,0.8,1,1,0.2,1,0.436363636363636,0,1,0,1
"6",0.034,0,0.08,0,0.088,0.0551666666666667,0,0.0625,0,0.227,96.6,62,151,57.2,151,93.75,62.75,151,29.95,151,3.8,3,5,1.4,6.6,3.50980392156863,1,5,1,7,0,0,0,0,0,0.105833333333333,0,0.2,0,0.405,0.6,0,1,0,1,0.482142857142857,0,1,0,1
"7",0.074,0.06,0.09,0.012,0.13,0.0535,0,0.0625,0,0.227,86.6,60,104,56.8,141.6,95.3,57.75,151,35.7,151,2.6,1,3,1,4.6,3.38461538461538,1,5,1,6.45,0.02,0,0,0,0.08,0.111666666666667,0,0.2,0,0.405,0.6,0,1,0,1,0.535714285714286,0,1,0,1
"8",0.044,0,0.08,0,0.128,0.0616666666666667,0,0.065,0,0.3605,93.6,56,151,51.2,151,97.7,63.75,151,42.7,151,3,3,3,1.4,4.6,3.63265306122449,1,5,1,7,0.04,0,0,0,0.16,0.113333333333333,0,0.2125,0,0.405,0.4,0,1,0,1,0.4,0,1,0,1
"9",0.044,0,0.08,0,0.128,0.05,0,0.06,0,0.2085,76,56,63,51.2,133.4,96.7,60.75,151,29.95,151,4.2,3,5,3,6.6,3.64583333333333,1,5,1,7,0.04,0,0,0,0.16,0.110833333333333,0,0.2,0,0.5,0.4,0,1,0,1,0.509090909090909,0,1,0,1
"10",0.062,0,0.09,0,0.13,0.0608333333333333,0,0.0725,0,0.3605,96,60,151,56.8,151,96.3833333333333,62,151,36.6,151,2.6,1,3,1,4.6,3.44230769230769,1,5,1,7,0,0,0,0,0,0.075,0,0.125,0,0.3525,0.6,0,1,0,1,0.490909090909091,0,1,0,1
"11",0.056,0,0.08,0,0.128,0.054,0,0.0625,0,0.227,104.4,60,151,56.8,151,101.15,64.75,151,29.95,151,2.6,1,3,1,4.6,3.29166666666667,1,5,1,6.65,0.02,0,0,0,0.08,0.118333333333333,0,0.2125,0,0.5,0.6,0,1,0,1,0.5,0,1,0,1
"12",0.028,0,0,0,0.112,0.0546666666666667,0,0.065,0,0.2275,112.6,60,151,52,151,100.316666666667,64,151,35.7,151,2.2,1,3,1,3,3.59183673469388,1,5,1,7,0.04,0,0,0,0.16,0.0991666666666667,0,0.2,0,0.405,0.4,0,1,0,1,0.425925925925926,0,1,0,1
"13",0.044,0,0.08,0,0.128,0.0503333333333333,0,0.06,0,0.2275,93.6,56,151,51.2,151,103.633333333333,65.75,151,42.65,151,3,3,3,1.4,4.6,3.4468085106383,1,5,1,7,0.04,0,0,0,0.16,0.0858333333333333,0,0.1625,0,0.4,0.4,0,1,0,1,0.388888888888889,0,1,0,1
"14",0.04,0,0.06,0,0.124,0.0573333333333333,0,0.065,0,0.227,105.8,63,151,60.6,151,96.6666666666667,64,151,29.95,151,3,1,3,1,6.2,3.64,1,5,1,7,0.02,0,0,0,0.08,0.110833333333333,0,0.2125,0,0.5,0.6,0,1,0,1,0.454545454545455,0,1,0,1
"15",0.044,0,0.08,0,0.128,0.0565,0,0.06,0,0.3605,93.6,56,151,51.2,151,102.583333333333,66.75,151,44.6,151,3,3,3,1.4,4.6,3.74468085106383,1,5,1,7,0.04,0,0,0,0.16,0.1025,0,0.2,0,0.405,0.4,0,1,0,1,0.425925925925926,0,1,0,1
