"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0,0,0,0,0,0.204782608695652,0.055,0.28,0,0.569,151,151,151,151,151,64.3478260869565,43,80,35,106.9,NA,NA,NA,NA,NA,3.57142857142857,3,5,1,6,0,0,0,0,0,0.13125,0,0.2,0,0.485,NA,NA,NA,NA,NA,0.818181818181818,1,1,0,1
"2",0.1,0,0.15,0,0.27,0.173478260869565,0.06,0.255,0.001,0.462,112.666666666667,93.5,151,47.5,151,55.8260869565217,40,72.5,33.2,84.9,5,5,5,5,5,3.63636363636364,3,5,1.05,6,0,0,0,0,0,0.15625,0,0.3,0,0.485,0,0,0,0,0,0.869565217391304,1,1,0,1
"3",0.1,0,0.15,0,0.27,0.195652173913043,0.085,0.26,0.002,0.569,112.666666666667,93.5,151,47.5,151,59.2173913043478,44,74,33.4,95.7,5,5,5,5,5,3.54545454545455,3,5,1,6,0,0,0,0,0,0.147916666666667,0,0.3,0,0.4,0,0,0,0,0,0.91304347826087,1,1,0.1,1
"4",0.1,0,0.15,0,0.27,0.203913043478261,0.055,0.265,0,0.569,112.666666666667,93.5,151,47.5,151,60.9130434782609,38,76.5,33.2,106.9,5,5,5,5,5,3.59090909090909,3,5,1,6,0,0,0,0,0,0.1625,0,0.3,0,0.485,0,0,0,0,0,0.772727272727273,1,1,0,1
"5",0.1,0,0.15,0,0.27,0.202608695652174,0.055,0.28,0,0.569,112.666666666667,93.5,151,47.5,151,61.695652173913,39.5,76.5,33.2,106.9,5,5,5,5,5,3.80952380952381,3,5,1,6,0,0,0,0,0,0.15625,0,0.3,0,0.4,0,0,0,0,0,0.727272727272727,0.25,1,0,1
"6",0.1,0,0.15,0,0.27,0.226666666666667,0.095,0.28,0.00600000000000001,0.5635,112.666666666667,93.5,151,47.5,151,58.375,39.75,73.5,35,95.2,5,5,5,5,5,3.79166666666667,3,5,1,6,0,0,0,0,0,0.154166666666667,0,0.3,0,0.485,0,0,0,0,0,0.791666666666667,1,1,0,1
"7",0.1,0,0.15,0,0.27,0.188695652173913,0.055,0.245,0,0.568,112.666666666667,93.5,151,47.5,151,59.1739130434783,40.5,68,35,105.6,5,5,5,5,5,3.63636363636364,3,5,1,6,0,0,0,0,0,0.108333333333333,0,0.2,0,0.3,0,0,0,0,0,0.727272727272727,0.25,1,0,1
"8",0,0,0,0,0,0.191304347826087,0.06,0.28,0,0.469,151,151,151,151,151,59.6521739130435,41,74,33.2,105.7,NA,NA,NA,NA,NA,3.33333333333333,3,5,1,5,0,0,0,0,0,0.13125,0,0.2,0,0.485,NA,NA,NA,NA,NA,0.863636363636364,1,1,0,1
"9",0.1,0,0.15,0,0.27,0.176086956521739,0.055,0.26,0,0.462,112.666666666667,93.5,151,47.5,151,63.3478260869565,42,77.5,33.2,106.9,5,5,5,5,5,3.76190476190476,3,5,1,6,0,0,0,0,0,0.160416666666667,0,0.3,0,0.485,0,0,0,0,0,0.863636363636364,1,1,0,1
"10",0.1,0,0.15,0,0.27,0.187391304347826,0.045,0.26,0,0.569,112.666666666667,93.5,151,47.5,151,65.304347826087,42,80,35,106.9,5,5,5,5,5,3.9047619047619,3,5,1,6,0,0,0,0,0,0.160416666666667,0,0.3,0,0.485,0,0,0,0,0,0.818181818181818,1,1,0,1
"11",0,0,0,0,0,0.189166666666667,0.06,0.2575,0.0015,0.4685,151,151,151,151,151,54.7916666666667,39.75,66.25,33.3,84.25,NA,NA,NA,NA,NA,3.65217391304348,3,5,1,5.9,0,0,0,0,0,0.141666666666667,0,0.225,0,0.485,NA,NA,NA,NA,NA,0.833333333333333,1,1,0,1
"12",0.1,0,0.15,0,0.27,0.185217391304348,0.055,0.245,0,0.469,112.666666666667,93.5,151,47.5,151,63.5652173913044,44.5,77.5,35.2,95.8,5,5,5,5,5,3.66666666666667,3,5,1,6,0,0,0,0,0,0.158333333333333,0,0.3,0,0.485,0,0,0,0,0,0.727272727272727,0.25,1,0,1
"13",0.1,0,0.15,0,0.27,0.190434782608696,0.07,0.265,0.001,0.569,112.666666666667,93.5,151,47.5,151,56.3913043478261,40.5,68.5,33.2,95.7,5,5,5,5,5,3.63636363636364,3,5,1,6,0,0,0,0,0,0.158333333333333,0,0.3,0,0.4,0,0,0,0,0,0.782608695652174,1,1,0,1
"14",0,0,0,0,0,0.166521739130435,0.045,0.245,0,0.442,151,151,151,151,151,57.9130434782609,41.5,61.5,33.2,95.7,NA,NA,NA,NA,NA,3.5,3,5,1,6,0,0,0,0,0,0.125,0,0.3,0,0.4,NA,NA,NA,NA,NA,0.727272727272727,0.25,1,0,1
"15",0.1,0,0.15,0,0.27,0.199583333333333,0.0825,0.2575,0.023,0.4685,112.666666666667,93.5,151,47.5,151,53.9583333333333,39.25,72.25,33.3,83.4,5,5,5,5,5,3.43478260869565,3,5,1,5.9,0,0,0,0,0,0.160416666666667,0,0.3,0,0.485,0,0,0,0,0,0.791666666666667,1,1,0,1
"16",0,0,0,0,0,0.194782608695652,0.045,0.265,0,0.569,151,151,151,151,151,63.6086956521739,40,80,33.2,106.9,NA,NA,NA,NA,NA,3.71428571428571,3,5,1,6,0,0,0,0,0,0.145833333333333,0,0.3,0,0.485,NA,NA,NA,NA,NA,0.772727272727273,1,1,0,1
"17",0.1,0,0.15,0,0.27,0.196086956521739,0.045,0.28,0,0.569,112.666666666667,93.5,151,47.5,151,58.2173913043478,38.5,68,33.2,105.6,5,5,5,5,5,3.5,3,5,1,6,0,0,0,0,0,0.139583333333333,0,0.225,0,0.4,0,0,0,0,0,0.727272727272727,0.25,1,0,1
"18",0,0,0,0,0,0.151739130434783,0.055,0.22,0.001,0.379,151,151,151,151,151,58.304347826087,39.5,68,35,95.8,NA,NA,NA,NA,NA,3.66666666666667,3,5,1,6,0,0,0,0,0,0.14375,0,0.225,0,0.4,NA,NA,NA,NA,NA,0.772727272727273,1,1,0,1
"19",0.1,0,0.15,0,0.27,0.187826086956522,0.045,0.245,0,0.569,112.666666666667,93.5,151,47.5,151,64.0434782608696,38,80,33.2,106.9,5,5,5,5,5,3.85714285714286,3,5,1,6,0,0,0,0,0,0.177083333333333,0,0.3,0,0.485,0,0,0,0,0,0.727272727272727,0.25,1,0,1
"20",0.1,0,0.15,0,0.27,0.168260869565217,0.06,0.24,0,0.379,112.666666666667,93.5,151,47.5,151,57.6521739130435,38,76,33.2,95.8,5,5,5,5,5,3.66666666666667,3,5,2,6,0,0,0,0,0,0.133333333333333,0,0.225,0,0.4,0,0,0,0,0,0.818181818181818,1,1,0,1
"21",0.1,0,0.15,0,0.27,0.179130434782609,0.07,0.265,0.001,0.453,112.666666666667,93.5,151,47.5,151,60.4782608695652,39.5,74,33.2,95.8,5,5,5,5,5,3.66666666666667,3,5,1,6,0,0,0,0,0,0.170833333333333,0,0.3,0,0.485,0,0,0,0,0,0.818181818181818,1,1,0,1
"22",0.1,0,0.15,0,0.27,0.197826086956522,0.07,0.245,0.002,0.569,112.666666666667,93.5,151,47.5,151,61.3913043478261,38,77.5,33.2,106.9,5,5,5,5,5,3.54545454545455,3,5,1,5.95,0,0,0,0,0,0.14375,0,0.3,0,0.485,0,0,0,0,0,0.863636363636364,1,1,0,1
"23",0.1,0,0.15,0,0.27,0.212083333333333,0.0825,0.28,0.00600000000000001,0.562,112.666666666667,93.5,151,47.5,151,55.7916666666667,39.75,72.75,35,84.85,5,5,5,5,5,3.69565217391304,3,5,1.2,5.9,0,0,0,0,0,0.1125,0,0.2,0,0.385,0,0,0,0,0,0.791666666666667,1,1,0,1
"24",0.1,0,0.15,0,0.27,0.23,0.1,0.28,0.014,0.569,112.666666666667,93.5,151,47.5,151,57.6086956521739,40.5,74,35.2,84.9,5,5,5,5,5,3.95454545454545,3,5,1.1,6,0,0,0,0,0,0.145833333333333,0,0.225,0,0.485,0,0,0,0,0,0.739130434782609,0.5,1,0,1
"25",0.1,0,0.15,0,0.27,0.19,0.06,0.245,0.001,0.569,112.666666666667,93.5,151,47.5,151,63.7391304347826,42,80,35,106.9,5,5,5,5,5,3.66666666666667,3,5,1,6,0,0,0,0,0,0.1625,0,0.3,0,0.485,0,0,0,0,0,0.772727272727273,1,1,0,1
"26",0.1,0,0.15,0,0.27,0.168333333333333,0.075,0.2325,0.0115,0.3735,112.666666666667,93.5,151,47.5,151,59.2083333333333,39.75,72.75,33.3,106.35,5,5,5,5,5,3.59090909090909,3,5,1,6,0,0,0,0,0,0.147916666666667,0,0.3,0,0.4,0,0,0,0,0,0.869565217391304,1,1,0,1
"27",0.1,0,0.15,0,0.27,0.195652173913043,0.07,0.245,0.002,0.569,112.666666666667,93.5,151,47.5,151,60.5217391304348,38,77.5,33.2,106.9,5,5,5,5,5,3.66666666666667,3,5,1,6,0,0,0,0,0,0.15,0,0.3,0,0.485,0,0,0,0,0,0.863636363636364,1,1,0,1
"28",0.1,0,0.15,0,0.27,0.215,0.0975,0.28,0.043,0.562,112.666666666667,93.5,151,47.5,151,58.2083333333333,42.5,72.75,35.3,95.2,5,5,5,5,5,3.8695652173913,3,5,1,6,0,0,0,0,0,0.154166666666667,0,0.3,0,0.4,0,0,0,0,0,0.833333333333333,1,1,0,1
"29",0.1,0,0.15,0,0.27,0.182173913043478,0.06,0.24,0,0.569,112.666666666667,93.5,151,47.5,151,63.2173913043478,44,76.5,37,106.9,5,5,5,5,5,3.57142857142857,3,5,1,6,0,0,0,0,0,0.13125,0,0.225,0,0.4,0,0,0,0,0,0.818181818181818,1,1,0,1
"30",0.1,0,0.15,0,0.27,0.195652173913043,0.055,0.265,0,0.568,112.666666666667,93.5,151,47.5,151,63.1304347826087,40.5,80,35,106.9,5,5,5,5,5,3.80952380952381,3,5,1,6,0,0,0,0,0,0.133333333333333,0,0.2,0,0.4,0,0,0,0,0,0.772727272727273,1,1,0,1
"31",0.1,0,0.15,0,0.27,0.188695652173913,0.095,0.265,0.011,0.453,112.666666666667,93.5,151,47.5,151,56.2608695652174,41.5,72.5,33.4,84.5,5,5,5,5,5,3.72727272727273,3,5,1,6,0,0,0,0,0,0.164583333333333,0,0.3,0,0.485,0,0,0,0,0,0.826086956521739,1,1,0,1
"32",0.1,0,0.15,0,0.27,0.219565217391304,0.085,0.28,0.002,0.569,112.666666666667,93.5,151,47.5,151,58.9565217391304,40.5,74,33.2,95.8,5,5,5,5,5,3.56521739130435,3,5,1,6,0,0,0,0,0,0.16875,0,0.3,0,0.485,0,0,0,0,0,0.826086956521739,1,1,0,1
"33",0.1,0,0.15,0,0.27,0.203478260869565,0.09,0.265,0.001,0.469,112.666666666667,93.5,151,47.5,151,62.8260869565217,40.5,77.5,33.4,106.9,5,5,5,5,5,3.80952380952381,3,5,1,6,0,0,0,0,0,0.164583333333333,0,0.3,0,0.485,0,0,0,0,0,0.818181818181818,1,1,0,1
"34",0.1,0,0.15,0,0.27,0.210869565217391,0.075,0.28,0.001,0.569,112.666666666667,93.5,151,47.5,151,55.7391304347826,39.5,68,33.2,83.6,5,5,5,5,5,3.60869565217391,3,5,1,6,0,0,0,0,0,0.139583333333333,0,0.3,0,0.4,0,0,0,0,0,0.782608695652174,1,1,0,1
"35",0.1,0,0.15,0,0.27,0.180869565217391,0.06,0.265,0,0.453,112.666666666667,93.5,151,47.5,151,59.304347826087,40.5,69.5,35.2,95.8,5,5,5,5,5,3.42857142857143,3,5,1,6,0,0,0,0,0,0.11875,0,0.1625,0,0.4,0,0,0,0,0,0.772727272727273,1,1,0,1
"36",0.1,0,0.15,0,0.27,0.198333333333333,0.075,0.28,0.0015,0.4685,112.666666666667,93.5,151,47.5,151,57.7083333333333,42.5,73.5,33.3,84.85,5,5,5,5,5,3.73913043478261,3,5,1.1,6,0,0,0,0,0,0.160416666666667,0,0.3,0,0.485,0,0,0,0,0,0.833333333333333,1,1,0,1
"37",0,0,0,0,0,0.163913043478261,0.055,0.21,0,0.462,151,151,151,151,151,59.6086956521739,38,76.5,33.2,95.8,NA,NA,NA,NA,NA,3.42857142857143,3,5,1,6,0,0,0,0,0,0.164583333333333,0,0.3,0,0.485,NA,NA,NA,NA,NA,0.818181818181818,1,1,0,1
"38",0.1,0,0.15,0,0.27,0.176666666666667,0.06,0.25,0.0015,0.458,112.666666666667,93.5,151,47.5,151,58.0416666666667,40.5,73.5,33.3,95.2,5,5,5,5,5,3.65217391304348,3,5,1.1,5.9,0,0,0,0,0,0.158333333333333,0,0.3,0,0.485,0,0,0,0,0,0.916666666666667,1,1,0.15,1
"39",0.1,0,0.15,0,0.27,0.187826086956522,0.06,0.28,0,0.469,112.666666666667,93.5,151,47.5,151,62.0869565217391,43.5,76.5,35,95.8,5,5,5,5,5,3.61904761904762,3,5,1,6,0,0,0,0,0,0.154166666666667,0,0.3,0,0.485,0,0,0,0,0,0.818181818181818,1,1,0,1
