"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.04125,0.0075,0.05,0,0.1085,0.0287425149700599,0,0.05,0,0.11,77.125,58.25,97.5,19.05,135.95,71.6411764705882,34.25,98,13.8,151,4.28571428571429,4,5,2.6,5.7,4.5,4,6,1,7,0.2375,0.1,0.3,0.035,0.625,0.106432748538012,0,0.15,0,0.5,0.5,0,1,0,1,0.601226993865031,0,1,0,1
"2",0.03125,0,0.0425,0,0.0955,0.0295808383233533,0,0.05,0,0.107,85,61.75,97.5,47.2,135.95,68.4529411764706,34,95,13.8,151,3.71428571428571,3,4.5,2,5,4.50943396226415,4,6,1,7,0.1375,0.0375,0.225,0,0.365,0.100584795321637,0,0.15,0,0.5,0.75,0.75,1,0,1,0.634146341463415,0,1,0,1
"3",0.03,0,0.0425,0,0.0955,0.0264880952380952,0,0.04,0,0.1065,74.625,60.25,94,47.2,105.2,68.5470588235294,36,93.75,21,151,3.75,3.5,5,1.35,5,4.65822784810127,4,6,1,7,0.1875,0.05,0.3,0.0175,0.365,0.101461988304094,0,0.15,0,0.5,0.875,1,1,0.35,1,0.621951219512195,0,1,0,1
"4",0.02125,0,0.0425,0,0.05,0.0268862275449102,0,0.04,0,0.0969999999999999,84.875,63.5,102,49.65,135.95,68.9058823529412,35.25,94.5,12.9,151,4.14285714285714,4,5,1.9,5.7,4.29746835443038,3,5,1,7,0.28125,0.0875,0.325,0.0175,0.66,0.085672514619883,0,0.1,0,0.45,0.75,0.75,1,0,1,0.615853658536585,0,1,0,1
"5",0.02875,0,0.05,0,0.0955,0.0291071428571429,0,0.05,0,0.1065,87.5,60.25,102,53.05,135.95,68.1117647058824,36,92.75,18.9,151,4,3,5,1.3,5.7,4.56172839506173,4,6,1,7,0.29375,0.1625,0.325,0.0175,0.66,0.1,0,0.15,0,0.5,0.75,0.75,1,0,1,0.598765432098765,0,1,0,1
"6",0.03375,0,0.05,0,0.1085,0.0268047337278107,0,0.04,0,0.1,73,59.5,82,48.75,103.1,72.4327485380117,36.5,98,20.5,151,4.125,3.5,5,2,5.65,4.37820512820513,3,6,1,7,0.35,0.2,0.425,0.135,0.695,0.089766081871345,0,0.1,0,0.4,0.5,0,1,0,1,0.636363636363636,0,1,0,1
"7",0.01,0,0.0125,0,0.033,0.0289820359281437,0,0.045,0,0.107,68.25,49,78.25,16.6,131.05,68.7235294117647,37,92.75,22,151,4,3,5,2,5.7,4.23270440251572,3,5,1,7,0.2875,0.175,0.425,0.035,0.565,0.1,0,0.15,0,0.425,0.5,0,1,0,1,0.624242424242424,0,1,0,1
"8",0.01875,0,0.04,0,0.0465,0.0293452380952381,0,0.04,0,0.1065,60.75,42.25,81.5,16.6,93.3,68.7602339181286,34,96,13,151,4.125,3.5,5.25,2,6,4.4620253164557,4,6,1,7,0.3125,0.1,0.45,0.035,0.73,0.101754385964912,0,0.15,0,0.5,0.5,0,1,0,1,0.607361963190184,0,1,0,1
"9",0.03625,0,0.05,0,0.1085,0.0280357142857143,0,0.04,0,0.1,68.625,46,85.5,17.65,124.9,69.7647058823529,36,96.5,14.9,151,4.375,4,5,2.7,5.65,4.5,4,6,1,7,0.3125,0.1,0.425,0.035,0.695,0.103216374269006,0,0.15,0,0.5,0.625,0,1,0,1,0.604938271604938,0,1,0,1
"10",0.045,0,0.0675,0,0.133,0.02625,0,0.04,0,0.1,74.5,50.75,85.5,44.4,135.95,70.6198830409357,34.5,98,19,151,4.71428571428571,4,5,4,5.7,4.43312101910828,3,6,1,7,0.29375,0.0875,0.4,0.0175,0.66,0.101169590643275,0,0.15,0,0.5,0.75,0.75,1,0,1,0.624242424242424,0,1,0,1
