ObjectID,Creation Date,Stream,Month,Site Type ,Tag,Stream Width,Mesohabitat,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence ,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation ,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Data Change,Species ,Weight ,Length ,Capture Method ,Capture Date,Release ,Notes.y 
65,2/19/2023 20:43,Beaver ,February,Occupied,133,10.56,Run,62,0.14,Cobble,0,0,0,0,0,0,0,No,34.673013,-111.668534,We dont get the joke,,Desert Sucker,75,193,Backpack Shocker,11/12/2021,,Riffles
30,2/19/2023 18:16,Beaver ,February,Occupied,149,16.5,Pool,>150,Na,NA,0,0,0,0,0,0,0,Yes,34.674063,-111.670767,,,Desert Sucker,90,193,Backpack Shocker,11/16/2021,,skin tag?
73,2/19/2023 21:01,Beaver ,February,Occupied,203,4.913,Riffle,29,0.61,Boulder,0,0.9,0,0,0,0,0.9,Yes,34.672787,-111.668134,,Changed to occupied,Desert Sucker,,227,E-fishing,11/5/2022,,
81,2/19/2023 21:19,Beaver ,February,Occupied,204,5.496,Run,60,0,Gravel,0.5,0,0,0,0,0,0.5,Yes,34.672589,-111.667639,,,Desert Sucker,,272,E-fishing,11/5/2022,,
67,2/19/2023 20:46,Beaver ,February,Occupied,208,10.264,Run,79,0.01,Pebble,0.2,0,0,0,0,0,0.2,No,34.672984,-111.668462,,"Changed to pebble, deleted gravel. Confirmed with photo",Black Bass,,270,E-fishing,11/5/2022,,
39,2/19/2023 19:52,Beaver ,February,Occupied,209,4.045,Run,47,0.25,Cobble,0,0,0,0,0.05,0.15,0.2,No,34.673906,-111.670181,,,Desert Sucker,,239,E-fishing,11/5/2022,,"Mislabeled 200, is 209"
35,2/19/2023 18:29,Beaver ,February,Occupied,211,9.9,Pool,>150,Na,NA,0,0,0,0,0,0,0,No,34.673981,-111.670347,,,Black Bass,,216,E-fishing,11/5/2022,,
111,2/19/2023 22:28,Beaver ,February,Occupied,212,9.988,Run,45,0.09,Cobble,0,0,0,0,0,0,0,Yes,34.673658,-111.669296,The fish sturgeons,,Black Bass,,228,E-fishing,11/5/2022,,
37,2/19/2023 18:33,Beaver ,February,Occupied,221,9.6,Pool,>150,Na,NA,0,0,0,0,0,0,0,No,34.673931,-111.670272,,,Desert Sucker,,250,E-fishing,11/5/2022,,
25,2/19/2023 17:59,Beaver ,February,Occupied,222,11.8,Riffle,27,0,Pebble,0.15,0.2,0,0,0,0,0.35,Yes,34.673993,-111.671056,,Changed to occupied,Desert Sucker,,267,E-fishing,11/5/2022,,
31,2/19/2023 18:20,Beaver ,February,Occupied,223,17,Pool,>150,Na,NA,0,0,0,0,0,0,0,Yes,34.674049,-111.670627,,,Black Bass,,243,E-fishing,11/5/2022,,
41,2/19/2023 19:55,Beaver ,February,Occupied,224,4.796,Run,46,0.17,Boulder,0.15,0,0,0,0,0,0.15,Yes,34.673897,-111.670149,,,Black Bass,,263,E-fishing,11/5/2022,,
18,2/19/2023 17:33,Beaver ,February,Occupied,225,7.45,Run,39,0.15,Pebble,0.1,0,0,0,0,0,0.1,Yes,34.674056,-111.671474,,,Black Bass,,266,E-fishing,11/5/2022,,
24,2/19/2023 17:47,Beaver ,February,Occupied,226,9.7,Riffle,18,0.01,Gravel,0.15,0,0,0,0,0,0.15,No,34.674067,-111.671285,,,Black Bass,,253,E-fishing,11/5/2022,,
1,2/19/2023 16:57,Beaver ,February,Available,NA,6.27,Run,84,0.09,Cobble,0,0,0,0,0,0,0,No,34.674924,-111.672329,,,,,,,,,
2,2/19/2023 17:00,Beaver ,February,Available,NA,6.8,Run,55,0.2,Boulder,0.5,0,0,0,0,0,0.5,Yes,34.674777,-111.672264,,,,,,,,,
3,2/19/2023 17:03,Beaver ,February,Available,NA,5.1,Riffle,30,0.04,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.674747,-111.672271,,,,,,,,,
4,2/19/2023 17:05,Beaver ,February,Available,NA,3.9,Riffle,20,0.25,Cobble,0.05,0.3,0,0,0,0,0.35,Yes,34.674534,-111.672385,,,,,,,,,
5,2/19/2023 17:08,Beaver ,February,Available,NA,4.8,Riffle,26,0.56,Cobble,0,0,0,0,0,0,0,Yes,34.674488,-111.672332,,,,,,,,,
6,2/19/2023 17:10,Beaver ,February,Available,NA,9.3,Pool,53,0.18,Cobble,0,0,0,0,0,0,0,Yes,34.674592,-111.672187,,"Changed overhead to yes, confirmed with photo",,,,,,,
7,2/19/2023 17:12,Beaver ,February,Available,NA,14.6,Pool,>150,Na,NA,0,0,0,0,0,0,0,Yes,34.674464,-111.672186,,,,,,,,,
8,2/19/2023 17:14,Beaver ,February,Available,NA,13.9,Pool,107,0,Sand,0,0,0,0,0,0,0,Yes,34.674321,-111.672252,,,,,,,,,
9,2/19/2023 17:16,Beaver ,February,Available,NA,15.1,Pool,>150,Na,Silt,0,0,0,0,0,0,0,No,34.674309,-111.672167,,,,,,,,,
