,ObjectID,Stream,Month,Creation Date,Tag,Site Type,Species,Mesohabitat,Stream Width,Substrate,Substrate Feature,Surface Turbulence ,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation ,Undercut Bank,Instream Cover,Canopy Cover,Depth,Velocity,Longitude,Latitude,Notes,Weight,Length,Capture Method,Capture Date,Release,Data Change
3,45,Beaver,June,6/21/2023 11:27,224,Occupied,Black Bass,Pool,11.3,Boulder,0,0,0,0,0,0,0,Yes,>150,0,34.674206,111.672199,,,263,E-fishing,11/5/2022,,
6,73,Beaver,June,6/21/2023 14:20,NA,Available,NA,Pool,9.1,Cobble,0.4,0,0,0,0,0,0.4,Yes,8,NA,34.674072,111.6718,,,,,,,
22,89,Beaver,June,6/21/2023 15:48,NA,Available,NA,Pool,15.6,Cobble,0,0,0,0,0,0,0,Yes,>150,NA,34.674052,111.67055,,,,,,,
23,90,Beaver,June,6/21/2023 15:50,NA,Available,NA,Pool,11.9,Bedrock,0,0,0,0,0,0,0,Yes,>150,NA,34.674033,111.670528,,,,,,,
36,254,Beaver,June,6/23/2023 11:19,NA,Available,NA,Pool,8.1,Boulder,0.2,0,0,0.4,0,0,0.6,No,6,Na,34.673054,111.668538,,,,,,,
42,261,Beaver,June,6/23/2023 11:39,NA,Available,NA,Pool,4.6,Boulder,0,0,0,0,0,0,0,Yes,>150,Na,34.672779,111.668115,,,,,,,
47,268,Beaver,June,6/23/2023 12:03,NA,Available,NA,Pool,13.9,Bedrock,0,0,0,0,0,0,0,No,>150,Na,34.67257,111.667693,,,,,,,
61,52,Beaver,June,6/21/2023 11:49,NA,Available,NA,Pool,12.7,Gravel,0,0,0,0,0,0,0,Yes,>150,NA,,,,,,,,,Available location randomly selected from snorkeling transects 
65,127,Beaver,June,6/22/2023 14:17,NA,Available,NA,Pool,9.7,Bedrock,0,0,0,0,0,0,0,No,4,NA,34.673956,111.670243,,,,,,,Available location randomly selected from snorkeling transects 
53,8,Beaver,June ,6/14/2023 15:30,NA,Available,NA,Pool,7,Bedrock,0,0,0,0,0,0,0,Yes,72,0.05,0,0,,,,,,,Velocity change from 5.0 to 0.05. Available location randomly selected from snorkeling transects 
4,71,Beaver,June,6/21/2023 14:11,NA,Available,NA,Pool,8.8,Cobble,0,0,0,0,0,0,0,Yes,34,0.11,34.67393,111.671713,,,,,,,
7,74,Beaver,June,6/21/2023 14:26,NA,Available,NA,Pool,7.8,Boulder,0.5,0,0,0,0,0,0.5,Yes,40,0.11,34.674052,111.671717,,,,,,,
5,72,Beaver,June,6/21/2023 14:16,NA,Available,NA,Pool,6.3,Cobble,0,0,0,0,0,0,0,Yes,62,0.08,34.674017,111.671892,,,,,,,
37,255,Beaver,June,6/23/2023 11:23,NA,Available,NA,Pool,10.1,Pebble,0.3,0,0,0,0,0,0.3,No,60,0.08,34.673008,111.668452,,,,,,,Changed velocity from 8.0 to .08
25,243,Beaver,June,6/23/2023 10:36,NA,Available,NA,Pool,12.8,Cobble,0,0,0,0,0,0,0,Yes,78,0.04,34.674157,111.670052,,,,,,,
54,23,Beaver,June ,6/14/2023 16:27,NA,Available,NA,Pool,,Bedrock,0.3,0,0,0,0,0,0.3,No,102,0.04,34.674812,111.672322,,,,,,,Available location randomly selected from snorkeling transects 
58,10,Beaver,June,6/20/2023 17:18,NA,Available,NA,Pool,,Boulder,0.1,0,0,0,0,0,0.1,No,10,0.04,,,,,,,,,Available location randomly selected from snorkeling transects 
27,245,Beaver,June,6/23/2023 10:47,NA,Available,NA,Pool,6.4,Bedrock,0,0,0,0,0,0,0,No,26,0.02,34.673397,111.669214,,,,,,,
39,257,Beaver,June,6/23/2023 11:28,NA,Available,NA,Pool,8.6,Cobble,0.5,0,0,0,0,0,0.5,No,10,0.02,34.672891,111.668354,,,,,,,
20,87,Beaver,June,6/21/2023 15:30,NA,Available,NA,Pool,13.8,Cobble,0,0,0,0,0,0,0,Yes,30,0.01,34.67399,111.67077,,,,,,,
21,88,Beaver,June,6/21/2023 15:43,NA,Available,NA,Pool,9.7,Gravel,0,0,0,0,0,0,0,Yes,36,0.01,34.674028,111.670675,,,,,,,
26,244,Beaver,June,6/23/2023 10:43,NA,Available,NA,Pool,9.8,Boulder,0.1,0,0,0,0,0,0.1,Yes,106,0.01,34.674157,111.670052,,,,,,,
34,252,Beaver,June,6/23/2023 11:10,NA,Available,NA,Pool,9,Boulder,0,0,0,0,0,0,0,No,12,0.01,34.673134,111.668688,,,,,,,
59,21,Beaver,June,6/21/2023 10:50,NA,Available,NA,Pool,13.3,Sand,0,0,0,0,0,0,0,Yes,53,0.01,,,,,,,,,Available location randomly selected from snorkeling transects 
60,43,Beaver,June,6/21/2023 11:21,NA,Available,NA,Pool,12.4,Gravel,0,0,0,0,0,0,0,Yes,104,0.01,,,,,,,,,Available location randomly selected from snorkeling transects 
63,102,Beaver,June,6/22/2023 13:24,NA,Available,NA,Pool,13.3,Gravel,0,0,0,0,0,0,0,Yes,128,0.01,,,,,,,,,Available location randomly selected from snorkeling transects 
24,242,Beaver,June,6/23/2023 10:34,NA,Available,NA,Pool,10.4,Gravel,0.1,0,0,0,0,0,0.1,Yes,30,0,34.674157,111.670052,,,,,,,
38,256,Beaver,June,6/23/2023 11:21,NA,Available,NA,Pool,10.5,Boulder,0.1,0,0,0,0,0,0.1,No,28,0,34.672915,111.668428,,,,,,,
62,61,Beaver,June,6/21/2023 12:13,NA,Available,NA,Pool,11.7,Boulder,0,0,0,0,0,0,0,Yes,0,0,,,,,,,,,Available location randomly selected from snorkeling transects 
64,111,Beaver,June,6/22/2023 13:43,NA,Available,NA,Pool,11.4,Boulder,0,0,0,0,0,0,0,Yes,120,0,,,,,,,,,Available location randomly selected from snorkeling transects 
