ObjectID,Stream,Month,Creation Date,Tag,Species,Site Type,Stream Width,Mesohabitat,Depth,Velocity,Substrate,Substrate Feature,Terrestrial Vegetation,Surface Turbulence,Large Woody Debris,Aquatic Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Latitude,Longitude,Notes,Data Change,Weight,Length,Capture Method,Capture Date,Release,Notes.y
54,Beaver,March,3/14/2022 0:00,116,Desert Sucker,Occupied,14.73,Pool,42,0,Boulder,0.75,0,0,0,0,0,0.75,No,-111.672367,34.674412,NA,NA,86,201,Backpack Shocker,11/3/2022,NA,NA
129,Beaver,March,3/14/2022 0:00,NA,NA,Available,11.87,Pool,43,0,Pebble,0,0.1,0,0,0,0,0.1,Yes,-111.668278,34.672873,NA,NA,NA,NA,NA,NA,NA,NA
128,Beaver,March,3/14/2022 0:00,NA,NA,Available,11.42,Pool,49,0,Gravel,0,0,0,0,0,0,0,Yes,-111.668347,34.672867,NA,NA,NA,NA,NA,NA,NA,NA
109,Beaver,March,3/14/2022 0:00,NA,NA,Available,11.75,Pool,50,0,Bedrock,0,0,0,0,0,0,0,No,-111.669247,34.67342,NA,NA,NA,NA,NA,NA,NA,NA
74,Beaver,March,3/14/2022 0:00,104,Black Bass,Occupied,8.9,Pool,63,0,Cobble,0,0,0,0,0,0,0,Yes,-111.67141,34.674023,NA,No undercut bank column,140,217,Backpack Shocker,11/3/2022,NA,NA
133,Beaver,March,3/14/2022 0:00,125,Black Bass,Occupied,7.11,Pool,78,0,Boulder,0.1,0,0,0.1,0,0,0.2,Yes,-111.668152,34.672718,NA,NA,103,202,Backpack Shocker,11/12/2022,NA,Riffles
144,Beaver,March,3/14/2022 0:00,131,Black Bass,Occupied,15.5,Pool,95,0,Gravel,0,0,0,0,0,0,0,Yes,-111.667697,34.672385,Jeremy,NA,82,191,Backpack Shocker,11/12/2022,NA,Riffles
142,Beaver,March,3/14/2022 0:00,NA,NA,Available,14.84,Pool,98,0,Sand,0,0,0,0,0,0,0,Yes,-111.667825,34.672378,NA,NA,NA,NA,NA,NA,NA,NA
108,Beaver,March,3/14/2022 0:00,NA,NA,Available,13.65,Pool,105,0,Silt,0,0,0,0,0,0,0,Yes,-111.669268,34.673478,NA,NA,NA,NA,NA,NA,NA,NA
141,Beaver,March,3/14/2022 0:00,NA,NA,Available,13.12,Pool,120,0,Silt,0,0,0,0,0,0,0,Yes,-111.667807,34.672473,NA,NA,NA,NA,NA,NA,NA,NA
84,Beaver,March,3/14/2022 0:00,159,Black Bass,Occupied,15.5,Pool,>150,0,Sand,0,0,0,0,0,0,0,Yes,-111.670827,34.673997,NA,NA,138,228,Backpack Shocker,11/22/2022,NA,pool
154,Beaver,March,3/14/2022 0:00,NA,NA,Available,10.6,Pool,41,0.01,Cobble,0.15,0,0,0,0,0,0.15,Yes,-111.667153,34.672513,NA,NA,NA,NA,NA,NA,NA,NA
130,Beaver,March,3/14/2022 0:00,NA,NA,Available,8.29,Pool,58,0.01,Pebble,0.1,0,0,0,0,0,0.1,Yes,-111.668218,34.672802,NA,NA,NA,NA,NA,NA,NA,NA
115,Beaver,March,3/14/2022 0:00,NA,NA,Available,8.06,Pool,80,0.01,Pebble,0,0,0,0,0,0,0,No,-111.668993,34.673283,NA,NA,NA,NA,NA,NA,NA,NA
65,Beaver,March,3/14/2022 0:00,NA,NA,Available,13.83,Pool,26,0.02,Cobble,0.1,0,0,0,0,0,0.1,No,-111.67205,34.67414,NA,NA,NA,NA,NA,NA,NA,NA
116,Beaver,March,3/14/2022 0:00,121,Desert Sucker,Occupied,9.56,Pool,67,0.02,Cobble,0.1,0,0,0,0,0,0.1,Yes,-111.668958,34.67326,NA,NA,86,192,Backpack Shocker,11/12/2022,NA,NA
157,Beaver,March,3/14/2022 0:00,NA,NA,Available,7.53,Pool,23,0.03,Pebble,0.2,0,0,0.1,0.1,0,0.4,Yes,-111.666998,34.672632,NA,NA,NA,NA,NA,NA,NA,NA
