,Tag,Species,ObjectID,Creation Date,Stream,Month,Site Type,Stream Width,Mesohabitat,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Data Change,Weight,Length,Capture Method,Capture Date,Release,Notes.y
26,155,Black Bass,112,5/18/2022 0:00,Beaver,May,Occupied,Na,Pool,41,0.06,Gravel,0,0,0,0,0,0,0,Yes,34.673,111.666388,NA,Confirmed Date,143,231,Backpack Shocker,11/16/2022,NA,Pool
17,131,Black Bass,91,5/18/2022 23:00,Beaver,May,Occupied,Na,Pool,56,0.02,Boulder,0.2,0,0,0,0,0,0.2,Yes,34.672588,111.667649,NA,NA,82,191,Backpack Shocker,11/12/2022,NA,Riffles
22,145,Black Bass,118,5/18/2022 0:00,Beaver,May,Occupied,Na,Pool,56,0.03,Cobble,0.3,0,0,0,0,0,0.3,No,34.6731,111.666305,NA,Confirmed Date,78,198,Backpack Shocker,11/28/2022,Camp Crossing,NA
4,108,Black Bass,75,5/18/2022 21:01,Beaver,May,Occupied,Na,Pool,62,0.03,Cobble,0.2,0,0,0,0,0,0.2,No,34.67296,111.668479,NA,NA,109,215,Backpack Shocker,11/12/2022,NA,NA
1,104,Black Bass,36,5/17/2022 22:19,Beaver,May,Occupied,NA,Pool,64,0.03,Cobble,0,0,0,0,0,0,0,Yes,34.674004,111.670822,NA,NA,140,217,Backpack Shocker,11/3/2022,NA,NA
19,135,Black Bass,115,5/18/2022 0:00,Beaver,May,Occupied,Na,Pool,64,0,Sand,0.3,0,0,0,0,0,0.3,Yes,34.673069,111.666302,NA,Confirmed Date,95,197,Backpack Shocker,11/16/2022,NA,Pool
10,120,Black Bass,63,5/18/2022 18:36,Beaver,May,Occupied,Na,Pool,86,0.01,Gravel,0.05,0,0,0.05,0,0,0.1,No,34673454,111.669341,NA,NA,77,182,Backpack Shocker,11/12/2022,NA,NA
18,134,Black Bass,38,5/17/2022 22:27,Beaver,May,Occupied,NA,Pool,88,0,Cobble,0,0,0,0,0,0,0,Yes,34.674054,111.670712,NA,NA,107,226,Backpack Shocker,11/13/2022,NA,Pool
12,123,Black Bass,62,5/18/2022 18:27,Beaver,May,Occupied,Na,Pool,88,0.06,Cobble,0,0,0,0,0,0,0,Yes,34.6734811,111.669386,NA,NA,115,218,Backpack Shocker,11/12/2022,NA,Riffles
3,107,Black Bass,14,5/17/2022 19:54,Beaver,May,Occupied,NA,Pool,>150,0,Silt,0,0,0,0,0,0,0,Yes,34.674093,111.672181,"Lat long taken on shore, not at location of fish",NA,79,191,Backpack Shocker,11/3/2022,NA,NA
15,127,Black Bass,88,5/18/2022 22:11,Beaver,May,Occupied,Na,Pool,>150,0,Silt,0,0,0,0.2,0,0,0.2,Yes,34.672595,111.667773,NA,NA,85,197,Backpack Shocker,11/12/2022,NA,Riffles
