,Tag,ObjectID,Stream,Month,Creation Date,Site Type,Stream Width,Mesohabitat,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Data Change,Species,Weight,Length,Capture Method,Capture Date,Release,Notes.y
1,104,20,Beaver,November,11/18/2022 18:57,Occupied,7.2,Riffle,36,0.04,Cobble,0,0,0,0,0,0,0,No,34.674084,111.671546,NA,NA,Black Bass,140,217,Backpack Shocker,11/3/2022,NA,NA
2,106,11,Beaver,November,11/18/2022 18:42,Occupied,18.3,Pool,>150,Na,NA,0,0,0,0,0,0,0,Yes,34.674217,111.672143,NA,NA,Desert Sucker,144,234,Backpack Shocker,11/3/2022,NA,NA
3,108,66,Beaver,November,11/18/2022 20:49,Occupied,5.1,Riffle,32,0.32,Cobble,0,0,0,0,0,0,0,Yes,34.673061,111.668583,NA,NA,Black Bass,109,215,Backpack Shocker,11/12/2022,NA,NA
4,112,19,Beaver,November,11/18/2022 18:55,Occupied,7.4,Run,58,0.1,Cobble,0,0,0,0,0,0,0,No,34.674077,111.67158,NA,NA,Black Bass,90,192,Backpack Shocker,11/3/2022,NA,NA
5,113,47,Beaver,November,11/18/2022 20:14,Occupied,7.5,Riffle,18,0.08,Pebble,0,0,0,0,0,0,0,Yes,34.673705,111.669564,NA,NA,Desert Sucker,101,192,Backpack Shocker,11/3/2022,NA,NA
6,114,34,Beaver,November,11/18/2022 19:51,Occupied,15.7,Pool,>150,Na,NA,0,0,0,0,0,0,0,Yes,34.673982,111.670557,Middle of pool,NA,Desert Sucker,91,196,Backpack Shocker,11/3/2022,NA,NA
7,120,56,Beaver,November,11/18/2022 20:30,Occupied,7.4,Pool,50,0.04,Pebble,0,0,0,0,0,0,0,No,34.673376,111.669133,NA,NA,Black Bass,77,182,Backpack Shocker,11/12/2022,NA,NA
8,121,59,Beaver,November,11/18/2022 20:37,Occupied,8,Run,72,0.02,Cobble,0,0,0,0,0,0,0,No,34.673296,111.668984,NA,NA,Desert Sucker,86,192,Backpack Shocker,11/12/2022,NA,NA
9,124,46,Beaver,November,11/18/2022 20:12,Occupied,6.6,Riffle,22,0.2,Pebble,0,0,0,0,0,0,0,Yes,34.673694,111.669582,NA,NA,Desert Sucker,121,221,Backpack Shocker,11/12/2022,NA,Male
10,125,72,Beaver,November,11/18/2022 21:01,Occupied,6.9,Pool,62,0.04,Pebble,0.1,0,0,0,0,0,0.1,Yes,34.672793,111.668916,NA,NA,Black Bass,103,202,Backpack Shocker,11/12/2022,NA,Riffles
11,143,24,Beaver,November,11/18/2022 19:35,Occupied,8,Riffle,26,0,Gravel,0.05,0,0,0,0,0,0.05,No,34.673992,111.671281,NA,143 is recorded as tagged in West Clear but was seen in Wet Beaver in May and September and no recordings in West Clear,Desert Sucker,76,189,Hoop Net,11/27/2022,Top of Reach,NA
12,148,87,Beaver,November,11/18/2022 21:29,Occupied,8.7,Riffle,25,0.04,Cobble,0,0,0,0,0,0,0,Yes,34.672481,111.667133,NA,NA,Desert Sucker,77,183,Backpack Shocker,11/16/2022,NA,pool
13,152,99,Beaver,November,11/18/2022 21:55,Occupied,4.2,Run,30,0.06,Boulder,0.3,0,0,0,0,0,0.3,No,34.673022,111.666434,NA,NA,Black Bass,102,207,Backpack Shocker,11/15/2022,NA,NA
