,Tag,Stream,Month,ObjectID,Creation Date,Site Type,Stream Width,Mesohabitat,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Data Change,Species,Weight,Length,Capture Method,Capture Date,Release,Notes.y
111,NA,Beaver,September,108,9/15/2022 0:03,Available,7.15,Pool,95,0.01,Boulder,0.15,0,0,0,0,0,0.15,No,34.673101,111.666159,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,135,Beaver,September,109,9/15/2022 0:05,Occupied,7.34,Pool,92,0,Cobble,0,0,0,0,0,0,0,No,34.6731,111.666131,NA,NA,Black Bass,95,197,Backpack Shocker,11/16/2022,NA,Pool
112,NA,Beaver,September,110,9/15/2022 0:07,Available,6.54,Pool,74,0,Sand,0,0,0,0,0,0,0,No,34.673115,111.666105,NA,Changed date to reflect original data,NA,NA,NA,NA,NA,NA,NA
113,NA,Beaver,September,111,9/15/2022 0:09,Available,4.01,Riffle,28,0.09,Pebble,0.4,0,0,0,0,0,0.4,Yes,34.673145,111.666023,NA,Changed date to reflect original data,NA,NA,NA,NA,NA,NA,NA
114,NA,Beaver,September,112,9/15/2022 0:11,Available,5.18,Pool,44,0.03,Pebble,0.1,0,0,0,0,0,0.1,No,34.673197,111.666164,NA,Changed date to reflect original data,NA,NA,NA,NA,NA,NA,NA
115,NA,Beaver,September,113,9/15/2022 0:13,Available,4.15,Pool,35,0.1,Cobble,0,0,0,0,0,0,0,No,34.673162,111.666241,NA,Changed date to reflect original data,NA,NA,NA,NA,NA,NA,NA
18,151,Beaver,September,114,9/15/2022 0:15,Occupied,3.52,Pool,36,0.02,Pebble,0,0,0,0,0,0,0,No,34.67316,111.666237,NA,Changed date to reflect original data,Black Bass,137,227,Backpack Shocker,11/16/2022,NA,NA
20,153,Beaver,September,115,9/15/2022 0:17,Occupied,4.15,Pool,36,0.02,Pebble,0,0,0,0,0,0,0,No,34.67316,111.666237,NA,Changed date to reflect original data,Black Bass,112,208,Backpack Shocker,11/16/2022,NA,Pool
116,NA,Beaver,September,116,9/15/2022 0:19,Available,4.73,Pool,32,0.15,Cobble,0,0,0,0,0,0,0,No,34.673153,111.666255,NA,Changed date to reflect original data,NA,NA,NA,NA,NA,NA,NA
117,NA,Beaver,September,117,9/15/2022 0:21,Available,5.05,Pool,26,0.02,Cobble,0.1,0,0,0,0,0,0.1,No,34.673096,111.666395,NA,Changed date to reflect original data,NA,NA,NA,NA,NA,NA,NA
