,Tag,Stream,Month,Creation Date,Site Type,Stream Width,Mesohabitat,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Data Change,Species,Weight,Length,Capture Method,Capture Date,Release,Notes.y
1,157,Clear,April,4/25/2022 20:46,Occupied,11.23,Run,51.816,0.27,Sand,0,0,0,0,0,0,0,NA,34.538292,111.685612,NA,NA,Black Bass,98,208,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
2,158,Clear,April,4/26/2022 20:35,Occupied,12.43,Run,76.2,0.22,Cobble,0.25,0,0,0,0,0,0.25,Yes,34.537018,111.681368,NA,NA,Desert Sucker,247,278,Backpack Shocker,11/28/2022,4th Pool to Honey Hole,All DS in Honey Hole
3,160,Clear,April,4/25/2022 22:01,Occupied,10.4,Pool,50.292,0.21,Boulder,0.4,0,0,0,0,0,0.4,No,34.538667,111.683839,NA,NA,Black Bass,77,186,Backpack Shocker,11/28/2022,Camp Crossing,NA
4,161,Clear,April,4/26/2022 20:46,Occupied,12.89,Riffle,42.672,0.07,Cobble,0,0,0,0,0,0,0,No,34.536965,111.681296,NA,NA,Desert Sucker,224,263,Backpack Shocker,11/28/2022,Camp Crossing,NA
5,162,Clear,April,4/26/2022 19:01,Occupied,11.25,Pool,85.344,0.05,Gravel,0.2,0,0,0,0,0,0.2,Yes,34.537856,111.682243,Visually confirmed,NA,Black Bass,89,204,Backpack Shocker,11/28/2022,Start to 2nd Pool,internal clear liquid
6,163,Clear,April,4/26/2022 20:37,Occupied,12.43,Run,54.864,0.05,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.536996,111.681323,NA,NA,Desert Sucker,239,277,Backpack Shocker,11/28/2022,4th Pool to Honey Hole,All DS in Honey Hole
7,165,Clear,April,4/26/2022 22:40,Occupied,19.06,Pool,68.58,0.01,Cobble,0,0,0,0,0,0,0,Yes,34.535897,111.678587,NA,NA,Black Bass,79,193,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
8,166,Clear,April,4/25/2022 20:50,Occupied,13.15,Run,47.244,0.22,Sand,0,0,0,0.05,0,0,0.05,Yes,34.538286,111.685517,NA,NA,Black Bass,79,188,Backpack Shocker,11/28/2022,4th Pool to Honey Hole,NA
9,168,Clear,April,4/25/2022 21:15,Occupied,9.79,Riffle,51.816,0.3,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.538337,111.685032,NA,NA,Black Bass,76,184,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
10,169,Clear,April,4/26/2022 21:07,Occupied,NA,Pool,85.344,0.04,Gravel,0,0,0,0.2,0,0,0.2,Yes,34.536603,111.6807,Visually confirmed with 2 others,NA,Desert Sucker,224,256,Backpack Shocker,11/28/2022,Camp Crossing,NA
11,171,Clear,April,4/25/2022 21:07,Occupied,16.79,Riffle,4.2672,1.2,Cobble,0,0,0,0.1,0,0,0.1,Yes,34.538362,111.685143,NA,NA,Black Bass,95,202,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
12,172,Clear,April,4/25/2022 21:28,Occupied,15.67,Riffle,18.288,0,Pebble,0.1,0,0,0,0,0,0.1,No,34.538433,111.684744,NA,NA,Black Bass,82,190,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
13,175,Clear,April,4/25/2022 21:19,Occupied,9.45,Riffle,33.528,0.11,Boulder,0.1,0,0,0,0,0,0.1,Yes,34.538365,111.684998,NA,NA,Black Bass,73,187,Backpack Shocker,11/28/2022,Start to 2nd Pool,NA
14,176,Clear,April,4/25/2022 20:31,Occupied,14.36,Riffle,30.48,0.43,Boulder,0.1,0,0,0,0,0,0.1,Yes,34.538163,111.686026,NA,NA,Desert Sucker,186,252,Backpack Shocker,11/28/2022,Honey Hole,NA
15,177,Clear,April,4/26/2022 22:07,Occupied,9.87,Riffle,42.672,0,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.535991,111.675393,20+ ds spotted,NA,Desert Sucker,227,274,Backpack Shocker,11/28/2022,4th Pool to Honey Hole,All DS in Honey Hole
16,178,Clear,April,4/25/2022 19:51,Occupied,14.89,Pool,>150,NA,Bedrock,0,0,0,0,0,0,0,No,34.538105,111.687235,NA,NA,Black Bass,117,221,Backpack Shocker,11/28/2022,Start to 2nd Pool,NA
17,179,Clear,April,4/25/2022 21:02,Occupied,13.45,Riffle,38.1,0.28,Boulder,0.5,0,0,0,0,0,0.5,Yes,34.538316,111.685215,NA,NA,Desert Sucker,225,273,Hoop Net,11/28/2022,Start to 2nd Pool,bottom pool- George
18,181,Clear,April,4/26/2022 18:54,Occupied,11.53,Pool,67.056,0.06,Sand,0.3,0,0,0,0,0,0.3,Yes,34.53792,111.682363,NA,NA,Black Bass,81,196,Backpack Shocker,11/28/2022,Start to 2nd Pool,NA
19,184,Clear,April,4/25/2022 22:11,Occupied,6.89,Run,67.056,0.24,Cobble,0.45,0,0,0,0,0,0.45,Yes,34.538714,111.683658,NA,NA,Black Bass,98,204,Backpack Shocker,11/28/2022,Start to 2nd Pool,NA
20,185,Clear,April,4/25/2022 21:48,Occupied,15.08,Pool,57.912,0.07,Pebble,0.05,0,0,0,0,0,0.05,No,34.53862,111.684127,Theres so many!,NA,Black Bass,88,201,Backpack Shocker,11/28/2022,Camp Crossing,NA
21,189,Clear,April,4/26/2022 22:12,Occupied,13.55,Run,54.864,0.15,Cobble,0.25,0,0,0,0,0,0.25,No,34.535996,111.679283,NA,NA,Desert Sucker,160,240,Backpack Shocker,11/28/2022,Honey Hole,NA
22,191,Clear,April,4/26/2022 20:43,Occupied,12.89,Riffle,16.764,0.06,Cobble,0.15,0,0,0,0,0,0.15,Yes,34.536945,111.681286,NA,NA,Desert Sucker,168,245,Backpack Shocker,11/28/2022,Honey Hole,NA
23,198,Clear,April,4/26/2022 18:05,Occupied,12.26,Pool,60.96,0.08,Cobble,0.2,0,0,0,0,0,0.2,Yes,34.538693,111.683334,NA,NA,Black Bass,99,195,Backpack Shocker,11/28/2022,Camp Crossing,NA
24,200,Clear,April,4/26/2022 22:10,Occupied,13.55,Run,51.816,0.1,Cobble,0,0,0,0,0,0,0,Yes,34.535996,111.679287,20+ ds spotted,NA,Desert Sucker,262,277,Backpack Shocker,11/28/2022,Honey Hole,NA
25,218,Clear,April,4/25/2022 20:26,Occupied,15.67,Riffle,35.052,0.04,Sand,0,0,0,0.2,0,0,0.2,Yes,34.538163,111.686164,NA,NA,Black Bass,87,194,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
26,NA,Clear,April,4/25/2022 18:38,Available,16.53,Pool,>150,Na,Bedrock,0,0,0,0,0,0,0,No,34.538176,111.867946,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,Clear,April,4/25/2022 18:47,Available,17.68,Pool,>150,Na,Bedrock,0,0,0,0,0,0,0,No,34.538216,111.687709,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,Clear,April,4/25/2022 18:49,Available,17.8,Pool,91.44,0.02,Bedrock,0,0,0,0,0,0,0,No,34.538188,111.687629,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,Clear,April,4/25/2022 18:51,Available,19.1,Pool,>150,Na,Bedrock,0,0,0,0,0,0,0,No,34.538194,111.687513,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,Clear,April,4/25/2022 18:53,Available,17.35,Pool,88.392,0.02,Bedrock,0,0,0,0,0,0,0,No,34.538172,111.687438,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,Clear,April,4/25/2022 18:55,Available,16.2,Pool,38.1,0.04,Bedrock,0,0,0,0,0,0,0,No,34.538153,111.68739,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,Clear,April,4/25/2022 18:56,Available,14.5,Pool,>150,Na,Bedrock,0,0,0,0,0,0,0,Yes,34.538147,111.687365,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,Clear,April,4/25/2022 18:58,Available,15.5,Pool,>150,Na,Bedrock,0,0,0,0,0,0,0,Yes,34.538116,111.687184,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,Clear,April,4/25/2022 19:00,Available,17.55,Pool,>150,Na,Bedrock,0,0,0,0,0,0,0,Yes,34.538084,111.68718,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,Clear,April,4/26/2022 19:05,Available,9.8,Pool,65.532,0.01,Boulder,0.5,0,0,0,0,0,0.5,Yes,34.537721,111.682166,NA,NA,NA,NA,NA,NA,NA,NA,NA
