,Tag,ObjectID,Stream,Month,Creation Date,Site Type,Stream Width,Mesohabitat,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Data Change,Species,Weight,Length,Capture Method,Capture Date,Release,Notes.y
1,104,20,Clear,December,12/4/2022 19:03,Occupied,6.7,Run,36,0.26,Cobble,0.1,0,0,0,0,0,0.1,No,34.673953,111.671636,NA,NA,Black Bass,140,217,Backpack Shocker,11/3/2022,NA,NA
2,108,74,Clear,December,12/4/2022 21:31,Occupied,7.813,Run,52,0.02,Cobble,0,0,0,0,0,0,0,Yes,34.673002,111.668481,NA,NA,Black Bass,109,215,Backpack Shocker,11/12/2022,NA,NA
3,124,52,Clear,December,12/4/2022 20:45,Occupied,6.6,Riffle,21,0.08,Cobble,0,0.05,0,0,0,0,0.05,Yes,34.673701,111.669594,NA,NA,Desert Sucker,121,221,Backpack Shocker,11/12/2022,NA,Male
4,125,79,Clear,December,12/4/2022 21:43,Occupied,7.6,Pool,42,0.07,Cobble,0.5,0,0,0,0,0,0.5,No,34.672835,111.66824,NA,NA,Black Bass,103,202,Backpack Shocker,11/12/2022,NA,Riffles
5,131,87,Clear,December,12/4/2022 22:10,Occupied,11.2,Pool,60,0.03,Gravel,0,0,0,0,0,0,0,Yes,34.672523,111.667806,NA,NA,Black Bass,82,191,Backpack Shocker,11/12/2022,NA,Riffles
6,143,22,Clear,December,12/4/2022 19:09,Occupied,5.1,Run,46,0.13,Cobble,0.2,0,0,0,0,0,0.2,Yes,34.673973,111.671445,NA,NA,Desert Sucker,76,189,Hoop Net,11/27/2022,Top of Reach,NA
7,147,66,Clear,December,12/4/2022 21:16,Occupied,7.866,Run,69,0.04,Cobble,0.1,0,0,0,0,0,0.1,No,34.673358,111.668981,NA,NA,Desert Sucker,88,198,Backpack Shocker,11/16/2022,NA,riffle
8,151,116,Clear,December,12/4/2022 23:21,Occupied,4.4,Pool,37,0.06,Cobble,0.05,0,0,0,0,0,0.05,No,34.673083,111.666333,NA,NA,Black Bass,137,227,Backpack Shocker,11/16/2022,NA,NA
9,153,115,Clear,December,12/4/2022 23:19,Occupied,4.8,Pool,32,0.07,Cobble,0,0,0,0,0,0,0,No,34.673101,111.666307,NA,NA,Black Bass,112,208,Backpack Shocker,11/16/2022,NA,Pool
10,154,110,Clear,December,12/4/2022 23:09,Occupied,7,Pool,92,0,Cobble,0.5,0,0,0,0,0,0.5,No,34.673091,111.666261,NA,NA,Black Bass,75,181,Backpack Shocker,11/14/2022,NA,Pool
11,203,84,Clear,December,12/4/2022 22:03,Occupied,3.66,Riffle,48,0,Boulder,0.4,0,0,0,0,0,0.4,Yes,34.672781,111.66792,NA,NA,Desert Sucker,NA,227,E-fishing,11/5/2022,NA,NA
12,204,83,Clear,December,12/4/2022 22:00,Occupied,NA,Riffle,32,0.91,Cobble,0.3,0,0,0,0,0,0.3,Yes,34.672723,111.668069,NA,Added NA to stream width,Desert Sucker,NA,272,E-fishing,11/5/2022,NA,NA
13,206,93,Clear,December,12/4/2022 22:26,Occupied,3.7,Run,60,0.05,Boulder,0.6,0,0,0,0,0,0.6,Yes,34.672503,111.667505,NA,"Changed canopy to yes, confirmed with photo (canyon wall)",Black Bass,NA,247,E-fishing,11/5/2022,NA,NA
14,208,77,Clear,December,12/4/2022 21:38,Occupied,9.235,Run,72,0.01,Cobble,0,0,0,0,0,0,0,Yes,34.672946,111.668376,NA,"changed substrate from silt to cobble, not clear in photo but changed to cobble based on surrounding substrate and site type.",Black Bass,NA,270,E-fishing,11/5/2022,NA,NA
15,210,27,Clear,December,12/4/2022 19:18,Occupied,11.4,Riffle,42,0.1,Cobble,0,0,0,0,0.05,0,0.05,Yes,34.673925,111.67116,NA,Changed canopy to Yes based on photo,Black Bass,NA,232,E-fishing,11/5/2022,NA,NA
16,211,34,Clear,December,12/4/2022 20:15,Occupied,14.7,Pool,48,0.01,Pebble,0,0,0,0,0,0,0,Yes,34.673973,111.670786,NA,NA,Black Bass,NA,216,E-fishing,11/5/2022,NA,NA
