,Tag,ObjectID,Creation Date,Stream,Month,Site Type,Stream Width,Mesohabitat,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Data Change,Species,Weight,Length,Capture Method,Capture Date,Release,Notes.y
1,145,408,7/21/2022 22:29,Clear ,July,Occupied,11.5,Pool,76,0.03,Silt,0,0,0,0,0,0,0,No,34.535735,111.678309,NA,NA,Black Bass,78,198,Backpack Shocker,11/28/2022,Camp Crossing,NA
2,157,299,7/20/2022 17:59,Clear ,July,Occupied,6.997,Riffle,63,0.42,Cobble,0.3,0,0,0,0,0,0.3,Yes,34.538295,111.685342,NA,"Changed to occupied, tag 157 is in WC and is not present anywhere else on data sheet. ",Black Bass,98,208,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
3,158,374,7/21/2022 18:59,Clear ,July,Occupied,10.6,Pool,72,0.11,Cobble,0,0,0,0,0,0,0,Yes,34.536686,111.680793,NA,NA,Desert Sucker,247,278,Backpack Shocker,11/28/2022,4th Pool to Honey Hole,All DS in Honey Hole
4,160,323,7/20/2022 21:09,Clear ,July,Occupied,5.1,Run,110,0.1,Gravel,0.2,0,0,0,0,0,0.2,No,34.538641,111.683854,NA,NA,Black Bass,77,186,Backpack Shocker,11/28/2022,Camp Crossing,NA
5,161,353,7/21/2022 17:58,Clear ,July,Occupied,7,Riffle,50,0.33,Boulder,0,0,0,0.6,0,0,0.6,Yes,34.537691,111.682139,NA,NA,Desert Sucker,224,263,Backpack Shocker,11/28/2022,Camp Crossing,NA
6,162,348,7/21/2022 17:46,Clear ,July,Occupied,10.6,Run,56,0,Boulder,0.2,0,0,0.1,0,0,0.3,Yes,34.537898,111.682338,Visually confirmed with group of 10,NA,Black Bass,89,204,Backpack Shocker,11/28/2022,Start to 2nd Pool,internal clear liquid
7,165,405,7/21/2022 22:19,Clear ,July,Occupied,11.3,Pool,82,0.02,Silt,0,0,0,0,0,0,0,Yes,34.535806,111.678495,NA,NA,Black Bass,79,193,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
8,166,295,7/20/2022 17:41,Clear ,July,Occupied,9.239,Riffle,59,0.26,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.538256,111.685547,NA,NA,Black Bass,79,188,Backpack Shocker,11/28/2022,4th Pool to Honey Hole,NA
9,167,383,7/21/2022 21:03,Clear ,July,Occupied,10.2,Pool,124,0.14,Boulder,0.5,0,0,0,0,0,0.5,Yes,34.536166,111.680218,Visually confirmed with group of 8,NA,Desert Sucker,188,248,Backpack Shocker,11/28/2022,Camp Crossing,NA
10,168,304,7/20/2022 18:48,Clear ,July,Occupied,7.928,Riffle,46,0.42,Boulder,0.1,0,0,0,0,0,0.1,No,34.538348,111.685074,NA,NA,Black Bass,76,184,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
11,171,303,7/20/2022 18:44,Clear ,July,Occupied,7.159,Riffle,38,0.35,Gravel,0.05,0,0,0,0,0,0.05,Yes,34.538356,111.685083,NA,NA,Black Bass,95,202,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
12,172,298,7/20/2022 17:56,Clear ,July,Occupied,7.758,Riffle,63,0.2,Cobble,0.1,0,0,0,0,0,0.1,No,34.538284,111.685358,NA,NA,Black Bass,82,190,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
13,175,305,7/20/2022 18:51,Clear ,July,Occupied,6.334,Riffle,66,0.18,Cobble,0.4,0,0,0,0,0,0.4,Yes,34.538346,111.685006,NA,NA,Black Bass,73,187,Backpack Shocker,11/28/2022,Start to 2nd Pool,NA
14,177,382,7/21/2022 21:00,Clear ,July,Occupied,10.2,Pool,48,0.02,Sand,0,0,0,0,0,0,0,Yes,34.536157,111.680181,Visually confirmed,NA,Desert Sucker,227,274,Backpack Shocker,11/28/2022,4th Pool to Honey Hole,All DS in Honey Hole
