,Tag,ObjectID,Creation Date,Stream,Month,Site Type,Stream Width,Mesohabitat,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Data Change,Species,Weight,Length,Capture Method,Capture Date,Release,Notes.y
16,178,155,5/30/2022 22:07,Clear,May,Occupied,11.076,Pool,10,NA,Bedrock,0,0,0,0,0,0,0,No,34.538157,111.687191,NA,removed extra '34.' from longitude ,Black Bass,117,221,Backpack Shocker,11/28/2022,Start to 2nd Pool,NA
79,NA,242,5/31/2022 0:00,Clear,May,Available,8.995,Pool,23,0.1,Cobble,0,0,0,0.1,0,0,0.1,No,34.535834,111.678637,NA,Changed date to correct date,NA,NA,NA,NA,NA,NA,NA
15,177,248,5/31/2022 0:00,Clear,May,Occupied,11.547,Pool,42,0.1,Gravel,0.2,0,0,0,0,0,0.2,Yes,34.535578,111.67804,NA,Changed date to correct date,Desert Sucker,227,274,Backpack Shocker,11/28/2022,4th Pool to Honey Hole,All DS in Honey Hole
98,NA,221,5/31/2022 23:06,Clear,May,Available,7.591,Pool,42,0.08,Boulder,0.3,0,0,0,0,0,0.3,Yes,34.536661,111.680799,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,138,5/30/2022 20:43,Clear,May,Available,8.833,Pool,46,0.01,Pebble,0.2,0,0,0,0,0,0.2,No,34.538116,111.68806,NA,Confirmed pool with photos,NA,NA,NA,NA,NA,NA,NA
6,165,243,5/31/2022 0:00,Clear,May,Occupied,14.069,Pool,50,0.06,Cobble,0,0,0,0,0,0,0,No,34.535849,111.678583,NA,Changed date to correct date,Black Bass,79,193,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
18,185,191,5/31/2022 18:49,Clear,May,Occupied,9.408,Pool,52,0,Pebble,0.1,0,0,0,0,0,0.1,No,34.538609,111.684171,NA,NA,Black Bass,88,201,Backpack Shocker,11/28/2022,Camp Crossing,NA
105,NA,190,5/31/2022 18:46,Clear,May,Available,13.392,Pool,53,0,Pebble,0.1,0,0,0,0,0,0.1,No,34.538562,111.684312,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,223,5/31/2022 23:15,Clear,May,Available,11.585,Pool,54,0.03,Pebble,0,0,0,0,0,0,0,Yes,34.536543,111.680713,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,146,5/30/2022 21:27,Clear,May,Available,11.95,Pool,56,0.02,Bedrock,0,0,0,0,0,0,0,No,34.538146,111.687392,NA,NA,NA,NA,NA,NA,NA,NA,NA
