,Tag,ObjectID,Stream,Month,Creation Date,Site Type,Stream Width,Mesohabitat,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Data Change,Species,Weight,Length,Capture Method,Capture Date,Release,Notes.y
1,145,247,Clear,November,11/19/2022 22:56,Occupied,16.34,Pool,63,0,Bedrock,0,0,0,0,0,0,0,Yes,34.535625,111.688124,NA,Changed to occupied to match tag status ,Black Bass,78,198,Backpack Shocker,11/28/2022,Camp Crossing,NA
2,157,149,Clear,November,11/19/2022 20:00,Occupied,9.2,Run,36,0.3,Cobble,0,0,0,0,0,0,0,No,34.538007,111.686172,NA,"Replaced 175 with 157, fits with the telemetry field notes timeline, and generally matches the same location and feature data.  ",Black Bass,98,208,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
3,161,212,Clear,November,11/19/2022 21:44,Occupied,9,Run,63,0.1,Cobble,0,0,0,0,0,0,0,Yes,34.537676,111.682112,NA,NA,Desert Sucker,224,263,Backpack Shocker,11/28/2022,Camp Crossing,NA
4,162,208,Clear,November,11/19/2022 21:38,Occupied,9.4,Pool,56,0.08,Cobble,0,0,0,0,0,0,0,Yes,34.537821,111.682322,NA,NA,Black Bass,89,204,Backpack Shocker,11/28/2022,Start to 2nd Pool,internal clear liquid
5,165,244,Clear,November,11/19/2022 22:52,Occupied,14.54,Pool,>150,NA,Silt,0,0,0,0,0,0,0,Yes,34.535787,111.678436,NA,Removed Available,Black Bass,79,193,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
6,168,165,Clear,November,11/19/2022 20:25,Occupied,9.6,Riffle,27,0,Cobble,0.3,0,0,0,0,0,0.3,NA,34.538215,111.685153,NA,NA,Black Bass,76,184,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
7,171,167,Clear,November,11/19/2022 20:32,Occupied,6.5,Riffle,30,0,Cobble,0,0,0,0,0,0,0,No,34.53827,111.685042,NA,Removed Available ,Black Bass,95,202,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
8,172,163,Clear,November,11/19/2022 20:22,Occupied,9.6,Riffle,44,0.12,Pebble,0.15,0,0,0,0,0,0.15,No,34.53824,111.685232,NA,NA,Black Bass,82,190,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
9,175,168,Clear,November,11/19/2022 20:33,Occupied,6.5,Riffle,49,0.17,Boulder,0,0,0,0,0,0,0,No,34.538284,111.685,NA,"Two 175s, this one fits into the telemetery field notes timeline best",Black Bass,73,187,Backpack Shocker,11/28/2022,Start to 2nd Pool,NA
10,178,137,Clear,November,11/19/2022 19:41,Occupied,11.9,Pool,>150,Na,Silt,0,0,0,0,0,0,0,Yes,34.538185,111.687306,Near shore,NA,Black Bass,117,221,Backpack Shocker,11/28/2022,Start to 2nd Pool,NA
11,179,138,Clear,November,11/19/2022 19:43,Occupied,11.3,Pool,8,0,Silt,0,0,0,0,0,0,0,Yes,34.538116,111.687094,NA,NA,Desert Sucker,225,273,Hoop Net,11/28/2022,Start to 2nd Pool,bottom pool- George
12,185,179,Clear,November,11/19/2022 20:51,Occupied,11.7,Pool,62,0.09,Gravel,0,0,0,0,0,0,0,No,34.538597,111.684238,NA,NA,Black Bass,88,201,Backpack Shocker,11/28/2022,Camp Crossing,NA
13,189,160,Clear,November,11/19/2022 20:18,Occupied,8.1,Run,59,0.06,Gravel,0.3,0,0,0,0,0,0.3,Yes,34.538271,111.685388,NA,Corrected longitude from 35. to 34.,Desert Sucker,160,240,Backpack Shocker,11/28/2022,Honey Hole,NA
14,190,201,Clear,November,11/19/2022 21:27,Occupied,10.5,Riffle,30,0.13,Gravel,0,0,0,0,0,0,0,Yes,34.538219,111.682625,NA,NA,Desert Sucker,186,247,Backpack Shocker,11/28/2022,Honey Hole,NA
15,191,199,Clear,November,11/19/2022 21:24,Occupied,7.2,Riffle,37,0,Pebble,0.05,0,0,0,0,0,0.05,Yes,34.538244,111.682634,NA,Removed Available ,Desert Sucker,168,245,Backpack Shocker,11/28/2022,Honey Hole,NA
16,200,231,Clear,November,11/19/2022 22:27,Occupied,14.26,Pool,>150,NA,NA,0,0,0,0,0,0,0,No,34.536197,111.68036,Deep AF,Changed to occupied to match tag status ,Desert Sucker,262,277,Backpack Shocker,11/28/2022,Honey Hole,NA
17,NA,140,Clear,November,11/19/2022 19:47,Available,13,Pool,>150,Na,Silt,0,0,0,0,0,0,0,No,34.538007,111.686965,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,141,Clear,November,11/19/2022 19:48,Available,8.6,Run,72,0.17,Gravel,0.2,0,0,0,0,0,0.2,Yes,34.537948,111.686821,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,142,Clear,November,11/19/2022 19:50,Available,12.6,Riffle,34,0.05,Cobble,0,0.1,0,0,0,0,0.1,Yes,34.537993,111.68669,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,143,Clear,November,11/19/2022 19:52,Available,15,Riffle,43,0.17,Cobble,0.1,0,0,0,0,0,0.1,NA,34.537995,111.686602,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,144,Clear,November,11/19/2022 19:53,Available,10.6,Riffle,35,0.15,Cobble,0.25,0,0,0,0,0,0.25,Yes,34.537989,111.686526,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,145,Clear,November,11/19/2022 19:55,Available,10.4,Riffle,38,0.04,Gravel,0.1,0,0,0,0,0,0.1,No,34.538007,111.686482,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,146,Clear,November,11/19/2022 19:56,Available,13,Riffle,49,0.23,Cobble,0.25,0,0,0,0,0,0.25,No,34.538035,111.686385,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,147,Clear,November,11/19/2022 19:58,Available,6.3,Riffle,32,0.19,Pebble,0,0,0,0,0,0,0,Yes,34.53805,111.686291,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,148,Clear,November,11/19/2022 19:59,Available,4.7,Riffle,30,0.24,Pebble,0,0,0,0,0,0,0,Yes,34.538015,111.68623,NA,NA,NA,NA,NA,NA,NA,NA,NA
