,Tag,ObjectID,Stream,Month,Creation Date,Site Type,Stream Width,Mesohabitat,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Data Change,Species,Weight,Length,Capture Method,Capture Date,Release,Notes.y
1,145,548,Clear ,October,10/22/2022 18:34,Occupied,13.6,Pool,>150,Na,Silt,0,0,0,0,0,0,0,No,34.535752,111.678368,NA,NA,Black Bass,78,198,Backpack Shocker,11/28/2022,Camp Crossing,NA
2,157,328,Clear ,October,10/20/2022 21:09,Occupied,8.2,Riffle,30,0.12,Cobble,0,0,0,0,0,0,0,Yes,34.538174,111.685861,NA,NA,Black Bass,98,208,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
3,158,406,Clear ,October,10/20/2022 17:21,Occupied,8.2,Run,68,0,Gravel,0,0,0,0,0,0,0,Yes,34.537052,111.68119,NA,NA,Desert Sucker,247,278,Backpack Shocker,11/28/2022,4th Pool to Honey Hole,All DS in Honey Hole
4,161,393,Clear ,October,10/20/2022 23:37,Occupied,7.3,Riffle,46,0.27,Cobble,0,0.05,0,0,0,0,0.05,Yes,34.537582,111.682025,NA,NA,Desert Sucker,224,263,Backpack Shocker,11/28/2022,Camp Crossing,NA
5,162,385,Clear ,October,10/20/2022 23:20,Occupied,8.7,Pool,67,0.07,Cobble,0.1,0,0,0,0,0,0.1,No,34.537885,111.682415,NA,NA,Black Bass,89,204,Backpack Shocker,11/28/2022,Start to 2nd Pool,internal clear liquid
6,165,547,Clear ,October,10/22/2022 18:32,Occupied,13.6,Pool,>150,Na,Silt,0,0,0,0,0,0,0,No,34.535748,111.678379,NA,NA,Black Bass,79,193,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
7,166,340,Clear ,October,10/20/2022 21:36,Occupied,11.8,Riffle,49,0.07,Cobble,0,0,0,0,0,0,0,Yes,34.538343,111.685181,NA,NA,Black Bass,79,188,Backpack Shocker,11/28/2022,4th Pool to Honey Hole,NA
8,168,344,Clear ,October,10/20/2022 21:46,Occupied,5.7,Riffle,34,0.04,Cobble,0,0,0,0,0,0,0,No,34.538329,111.685045,NA,NA,Black Bass,76,184,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
9,171,335,Clear ,October,10/20/2022 21:26,Occupied,8.5,Run,63,0.15,Boulder,0.3,0,0,0,0,0,0.3,Yes,34.538276,111.685439,NA,NA,Black Bass,95,202,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
10,172,336,Clear ,October,10/20/2022 21:30,Occupied,8.5,Run,65,0.12,Gravel,0,0,0,0,0,0,0,Yes,34.538277,111.685431,NA,NA,Black Bass,82,190,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
