,Tag,Stream,Month,ObjectID,Creation Date,Site Type,Stream Width,Mesohabitat,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Data Change,Species,Weight,Length,Capture Method,Capture Date,Release,Notes.y
1,145,Clear,September,290,9/16/2022 0:10,Occupied,13.8,Pool,>150,Na,NA,0,0,0,0,0,0,0,Yes,34.535651,111.678163,NA,Changed date to reflect original data,Black Bass,78,198,Backpack Shocker,11/28/2022,Camp Crossing,NA
2,156,Clear,September,151,9/16/2022 18:47,Occupied,12.6,Riffle,26,0.04,Cobble,0.3,0,0,0,0,0,0.3,Yes,34.537951,111.686688,NA,NA,Desert Sucker,203,262,Backpack Shocker,11/28/2022,4th Pool to Honey Hole,All DS in Honey Hole
3,157,Clear,September,163,9/16/2022 20:06,Occupied,6.3,Riffle,28,0,Pebble,0.25,0,0,0,0,0,0.25,No,34.538173,111.685749,NA,NA,Black Bass,98,208,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
4,158,Clear,September,242,9/16/2022 22:43,Occupied,8.3,Run,53,0.05,Cobble,0.15,0,0,0,0,0,0.15,No,34.536957,111.681272,NA,NA,Desert Sucker,247,278,Backpack Shocker,11/28/2022,4th Pool to Honey Hole,All DS in Honey Hole
5,160,Clear,September,193,9/16/2022 21:05,Occupied,11.3,Pool,59,0.04,Pebble,0,0,0,0,0,0,0,No,34.538547,111.68411,NA,NA,Black Bass,77,186,Backpack Shocker,11/28/2022,Camp Crossing,NA
6,162,Clear,September,222,9/16/2022 22:09,Occupied,11.1,Pool,67,0.13,Boulder,0.2,0,0,0,0,0,0.2,Yes,34.53787,111.682395,NA,NA,Black Bass,89,204,Backpack Shocker,11/28/2022,Start to 2nd Pool,internal clear liquid
7,165,Clear,September,282,9/16/2022 23:56,Occupied,10.5,Pool,46,0.05,Gravel,0,0,0,0,0,0,0,Yes,34.535927,111.678613,NA,NA,Black Bass,79,193,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
9,166,Clear,September,169,9/16/2022 20:18,Occupied,9.3,Run,50,0.01,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.538268,111.685475,NA,NA,Black Bass,79,188,Backpack Shocker,11/28/2022,4th Pool to Honey Hole,NA
10,168,Clear,September,174,9/16/2022 20:25,Occupied,6.8,Riffle,24,0.07,Gravel,0,0,0,0,0,0,0,No,34.538242,111.685323,NA,NA,Black Bass,76,184,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
11,171,Clear,September,172,9/16/2022 20:21,Occupied,6.5,Riffle,32,0.4,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.538278,111.685395,NA,NA,Black Bass,95,202,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
12,172,Clear,September,166,9/16/2022 20:11,Occupied,8.9,Riffle,42,0.22,Gravel,0.1,0,0,0,0,0,0.1,Yes,34.538232,111.685589,NA,NA,Black Bass,82,190,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
13,175,Clear,September,178,9/16/2022 20:33,Occupied,6.4,Riffle,43,0.12,Boulder,0.45,0,0,0,0,0,0.45,No,34.538268,111.685105,NA,NA,Black Bass,73,187,Backpack Shocker,11/28/2022,Start to 2nd Pool,NA
14,177,Clear,September,261,9/16/2022 23:21,Occupied,9.5,Pool,94,0.11,Boulder,0.3,0,0,0,0,0,0.3,Yes,34.536183,111.680231,NA,NA,Desert Sucker,227,274,Backpack Shocker,11/28/2022,4th Pool to Honey Hole,All DS in Honey Hole
15,178,Clear,September,143,9/16/2022 18:30,Occupied,16.7,Pool,>150,Na,Silt,0,0,0,0,0,0,0,NA,34.538158,111.687208,NA,NA,Black Bass,117,221,Backpack Shocker,11/28/2022,Start to 2nd Pool,NA
16,179,Clear,September,147,9/16/2022 18:38,Occupied,11.6,Pool,50,0,Gravel,0,0,0,0.1,0,0,0.1,NA,34.53803,111.68693,NA,"Changed to Occupied, NA canopy",Desert Sucker,225,273,Hoop Net,11/28/2022,Start to 2nd Pool,bottom pool- George
17,184,Clear,September,197,9/16/2022 21:13,Occupied,3.9,Pool,94,0.06,Silt,0,0,0,0,0,0,0,Yes,34.538628,111.683898,NA,NA,Black Bass,98,204,Backpack Shocker,11/28/2022,Start to 2nd Pool,NA
18,185,Clear,September,190,9/16/2022 20:58,Occupied,10.9,Pool,82,0.07,Gravel,0,0,0,0,0,0,0,No,34.538594,111.684241,NA,Changed to Occupied,Black Bass,88,201,Backpack Shocker,11/28/2022,Camp Crossing,NA
