,ObjectID,Stream,Month,Creation Date,Tag,Site Type,Species,Mesohabitat,Stream Width,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Depth,Velocity,Longitude,Latitude,Notes,Data Change,Weight,Length,Capture Method,Capture Date,Release,Notes.y
45,1,Clear,June,6/15/2022 18:10,NA,Available,NA,Run,7.8,Pebble,0,0,0,0,0,0,0,No,28,0.02,34.538517,111.688861,NA,removed NA from site type ,NA,NA,NA,NA,NA,NA
46,2,Clear,June,6/15/2022 19:09,NA,Available,NA,Pool,7.8,Gravel,0.2,0,0,0,0,0,0.2,Yes,34,0.06,34.53835,111.688139,NA,NA,NA,NA,NA,NA,NA,NA
47,3,Clear,June,6/15/2022 19:13,NA,Available,NA,Pool,7.8,Cobble,0,0,0,0,0,0,0,No,48,0.012,34.53835,111.688139,"Transect, repeat coordinates",NA,NA,NA,NA,NA,NA,NA
48,4,Clear,June,6/15/2022 19:21,NA,Available,NA,Pool,7.8,Cobble,0,0,0,0,0,0,0,No,60,0.1,34.53835,111.688139,"Transect, repeat coordinates", Changed to cobble,NA,NA,NA,NA,NA,NA
49,5,Clear,June,6/15/2022 19:24,NA,Available,NA,Pool,7.8,Cobble,0,0,0,0,0,0,0,No,62,0.11,34.53835,111.688139,"Transect, repeat coordinates",NA,NA,NA,NA,NA,NA,NA
50,6,Clear,June,6/15/2022 19:27,NA,Available,NA,Pool,7.8,Cobble,0.2,0,0,0,0,0,0.2,No,40,0.09,34.53835,111.688139,"Transect, repeat coordinates",NA,NA,NA,NA,NA,NA,NA
51,7,Clear,June,6/15/2022 19:28,NA,Available,NA,Pool,7.8,Gravel,0.3,0,0,0,0,0,0.3,No,29,0.08,34.53835,111.688139,"Transect, repeat coordinates",NA,NA,NA,NA,NA,NA,NA
52,8,Clear,June,6/15/2022 19:30,NA,Available,NA,Pool,7.8,Cobble,0.2,0,0,0,0,0,0.2,Yes,8,0,34.538398,111.688869,NA,NA,NA,NA,NA,NA,NA,NA
53,14,Clear,June,6/15/2022 20:07,NA,Available,NA,Pool,7.7,Boulder,0,0,0,0,0,0,0,NA,>150,NA,34.538479,111.688713,16. 1 to 3,Changed to boulder - most likely ,NA,NA,NA,NA,NA,NA
54,15,Clear,June,6/15/2022 20:11,NA,Available,NA,Pool,7.7,Boulder,0,0,0,0,0,0,0,NA,>150,NA,34.538479,111.688713,"Transect, repeat coordinates",NA,NA,NA,NA,NA,NA,NA
55,16,Clear,June,6/15/2022 20:12,NA,Available,NA,Pool,7.7,Boulder,0,0,0,0,0,0,0,No,>150,NA,34.538479,111.688713,"Transect, repeat coordinates",NA,NA,NA,NA,NA,NA,NA
56,17,Clear,June,6/15/2022 20:13,NA,Available,NA,Pool,7.7,Boulder,0.2,0,0,0.1,0,0,0.3,No,>150,0,34.538479,111.688713,"Transect, repeat coordinates",NA,NA,NA,NA,NA,NA,NA
57,18,Clear,June,6/15/2022 20:14,NA,Available,NA,Pool,7.7,Boulder,0.2,0,0,0.05,0,0,0.25,No,90,0,34.538479,111.688713,"Transect, repeat coordinates",NA,NA,NA,NA,NA,NA,NA
58,19,Clear,June,6/15/2022 20:16,NA,Available,NA,Pool,7.7,Gravel,0.25,0,0,0.1,0,0,0.35,No,66,0,34.538479,111.688713,"Transect, repeat coordinates",NA,NA,NA,NA,NA,NA,NA
59,20,Clear,June,6/15/2022 20:17,NA,Available,NA,Pool,7.7,Boulder,0.3,0,0,0.15,0,0,0.45,Yes,26,0,34.538439,111.688696,NA,NA,NA,NA,NA,NA,NA,NA
60,23,Clear,June,6/15/2022 21:37,NA,Available,NA,Riffle,3.34,Pebble,0.3,0,0,0,0,0,0.3,Yes,48,0.16,34.538471,111.688599,NA,NA,NA,NA,NA,NA,NA,NA
61,24,Clear,June,6/15/2022 21:42,NA,Available,NA,Pool,5.1,Gravel,0.3,0,0,0,0,0,0.3,Yes,34,0.01,34.53848,111.688498,NA,NA,NA,NA,NA,NA,NA,NA
62,25,Clear,June,6/15/2022 21:49,NA,Available,NA,Pool,5.1,Pebble,0.25,0,0,0,0,0,0.25,Yes,42,0.01,34.53848,111.688498,"Transect, repeat coordinates",NA,NA,NA,NA,NA,NA,NA
23,26,Clear,June,6/15/2022 21:50,NA,Available,NA,Pool,5.1,Pebble,0.4,0.15,0,0,0,0,0.55,No,42,0.01,34.53848,111.688498,"Transect, repeat coordinates",NA,NA,NA,NA,NA,NA,NA
