Stream,Month,Creation Date,ObjectID,Tag,Species,Site Type,Stream Width,Mesohabitat,Depth,Velocity,Substrate,Substrate Feature,Terrestrial Vegetation,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Undercut Bank,Instream Cover,Canopy Cover,Latitude,Longitude,Notes,Data Change
Clear,March,3/16/2022 0:00,277,NA,NA,Available,15.47,Run,97,0.08,Boulder,0.4,0,0,0,0,0,0.4,Yes,-111.699715,34.538447,NA,Changed from Riffle to Run based on photo and knowledge of location
Clear,March,3/16/2022 0:00,190,NA,NA,Available,4.5,Riffle,26,0.14,Boulder,0.4,0,0.2,0,0,0,0.6,Yes,-111.689338,34.538267,NA,NA
Clear,March,3/16/2022 0:00,189,NA,NA,Available,5.3,Riffle,29,0.55,Cobble,0.1,0,0.1,0,0,0,0.2,Yes,-111.689192,34.538217,NA,NA
Clear,March,3/16/2022 0:00,188,NA,NA,Available,7.1,Riffle,19,0.04,Cobble,0.3,0,0,0,0,0,0.3,No,-111.689028,34.5382,NA,NA
Clear,March,3/16/2022 0:00,175,NA,NA,Available,14.3,Riffle,42,0.5,Pebble,0.3,0,0,0,0,0,0.3,No,-111.688985,34.538462,NA,NA
Clear,March,3/16/2022 0:00,176,NA,NA,Available,10.69,Pool,73,0.14,Pebble,0,0,0,0,0,0,0,No,-111.688893,34.538417,NA,NA
Clear,March,3/16/2022 0:00,187,NA,NA,Available,7.14,Run,59,0.18,Silt,0,0,0,0.1,0.2,0,0.3,Yes,-111.688873,34.538232,NA,NA
Clear,March,3/16/2022 0:00,186,NA,NA,Available,7.5,Run,33,0.11,Gravel,0.3,0,0,0,0,0,0.3,Yes,-111.688692,34.538172,NA,NA
Clear,March,3/16/2022 0:00,177,NA,NA,Available,8.5,Pool,45,0.02,Pebble,0.1,0,0,0,0.2,0,0.3,No,-111.68868,34.538475,NA,NA
Clear,March,3/16/2022 0:00,178,NA,NA,Available,9.48,Pool,85,0.08,Cobble,0.1,0,0,0,0,0,0.1,Yes,-111.688507,34.538458,NA,NA
Clear,March,3/16/2022 0:00,185,NA,NA,Available,9.3,Run,35,0.05,Gravel,0.1,0,0,0.05,0,0,0.15,No,-111.688493,34.538183,NA,NA
Clear,March,3/16/2022 0:00,179,NA,NA,Available,7.29,Riffle,37,0.21,Boulder,0.3,0,0.3,0,0,0,0.6,No,-111.688438,34.538412,NA,NA
Clear,March,3/16/2022 0:00,184,NA,NA,Available,12.6,Riffle,26,0.27,Pebble,0.2,0,0,0,0.1,0,0.3,Yes,-111.688343,34.538083,NA,NA
Clear,March,3/16/2022 0:00,180,NA,NA,Available,7.03,Riffle,45,0.45,Boulder,0.3,0,0.3,0,0,0,0.6,Yes,-111.688298,34.53838,NA,NA
Clear,March,3/16/2022 0:00,183,NA,NA,Available,9.54,Pool,36,0.03,Cobble,0.2,0,0,0,0.1,0,0.3,Yes,-111.688218,34.538193,NA,NA
Clear,March,3/16/2022 0:00,181,NA,NA,Available,7.18,Riffle,43,0.59,Pebble,0,0,0.5,0,0.1,0,0.6,Yes,-111.688163,34.538282,NA,NA
Clear,March,3/16/2022 0:00,191,NA,NA,Available,19.24,Pool,99,0,Pebble,0,0,0,0,0,0,0,No,-111.688063,34.538092,NA,NA
Clear,March,3/16/2022 0:00,182,NA,NA,Available,26.7,Pool,107,0.02,Gravel,0,0,0,0,0,0,0,No,-111.688048,34.538207,NA,NA
Clear,March,3/16/2022 0:00,192,NA,NA,Available,15.74,Pool,>150,NA,NA,0,0,0,0,0,0,0,Yes,-111.687953,34.538077,NA,NA
Clear,March,3/16/2022 0:00,193,NA,NA,Available,19.95,Pool,>150,NA,NA,0,0,0,0,0,0,0,No,-111.687718,34.53829,NA,NA
Clear,March,3/16/2022 0:00,194,NA,NA,Available,20.21,Pool,>150,NA,NA,0,0,0,0,0,0,0,No,-111.687668,34.538327,NA,NA
