ObjectID,Stream,Date ,Site Type,Tag Number,Stream Width (m),Mesohabitat,Other - Mesohabitat ,Depth (cm),Velocity (m/s),Substrate,Canopy Cover ,Instream Cover Type (1),Instream Cover Percentage (1),Instream Cover Type (2),Instream Cover Percentage (2),Instream Cover Type (3),Instream Cover Percentage (3),Latitude (W),Longitude (N),Photo Number ,Notes ,Data Changes
219,West Clear ,3/16/2022,Available,na,10.84,Riffle,,39,0.15,Gravel,Yes,Boulder,60%,Surface Turbulance,40%,na,na,W 111.41.1604,N 34.32.2912,,,All Available_ changed to Available
220,West Clear ,3/16/2022,Available,na,12.85,Riffle,,52,0.40,Boulder,No,na,na,na,na,na,na,W 111.41.1542,N 34.32.2933,,,All Riffle_ replaced with Riffle 
221,West Clear ,3/16/2022,Available,na,14.07,Riffle,,56,0.55,Cobble,No,Boulder,10%,na,na,na,na,W 111.41.1453,N 34.32.2918,,,All Boulder_ replaced with Boulder
222,West Clear ,3/16/2022,Available,na,15.01,Riffle,,38,0.28,Pebble,No,Boulder,15%,na,na,na,na,W 111.41.1464,N 34.32.2913,,,
223,West Clear ,3/16/2022,Available,na,14.95,Riffle,,50,0.96,Boulder,No,Boulder,50%,Surface Turbulance,5%,na,na,W 111.41.1435,N 34.32.2975,,,
224,West Clear ,3/16/2022,Available,na,13.09,Riffle,,42,0.84,Gravel,Yes,Boulder,30%,na,na,na,na,W 111.41.1415,N 34.32.2947,,,
225,West Clear ,3/16/2022,Available,na,13.53,Riffle,,53,0.32,Sand,Yes,na,na,na,na,na,na,W 111.41.1383,N 34.32.2942,,,
226,West Clear ,3/16/2022,Available,na,14.21,Run,,31,0.02,Sand,Yes,Aquatic Vegetation,30%,Woody Debris,5%,Boulder,5%,W 111.41.1362,N 34.32.2925,,,
227,West Clear ,3/16/2022,Available,na,14.03,Run,,58,0.28,Pebble,Yes,Boulder,15%,na,na,na,na,W 111.41.1299,N 34.32.2956,,,
228,West Clear ,3/16/2022,Available,na,12.26,Riffle,,84,0.65,Boulder,No,Boulder,30%,na,na,na,na,W 111.41.1284,N 34.32.2977,,,
229,West Clear ,3/16/2022,Available,na,13.65,Riffle,,48,1.07,Pebble,No,Boulder,15%,na,na,na,na,W 111.41.1218,N 34.32.298,,,
230,West Clear ,3/16/2022,Available,na,17.16,Riffle,,34,1.16,Cobble,Yes,Boulder,35%,Surface Turbulance,10%,na,na,W 111.41.1164,N 34.32.2959,,,
231,West Clear ,3/16/2022,Available,na,15.25,Riffle,,46,0.82,Boulder,No,Boulder,60%,Surface Turbulance,40%,na,na,W 111.41.1176,N 34.32.2972,,,
232,West Clear ,3/16/2022,Occupied ,157,14.56,Riffle,,38,0.43,Boulder,Yes,Boulder,40%,na,na,na,na,W 111.41.1116,N 34.32.2972,,,All Occupied_ changed to Occupied 
233,West Clear ,3/16/2022,Occupied ,168,12.72,Riffle,,37,0.97,Boulder,Yes,Boulder,50%,na,na,na,na,W 111.41.1116,N 34.32.2972,,,
234,West Clear ,3/16/2022,Occupied ,172,12.75,Riffle,,30,0.28,Boulder,Yes,Boulder,70%,na,na,na,na,W 111.41.1116,N 34.32.2972,,,
235,West Clear ,3/16/2022,Occupied ,163,12.63,Riffle,,34,0.27,Boulder,Yes,Boulder,50%,Woody Debris,20%,na,na,W 111.41.1086,N 34.32.2975,,,
236,West Clear ,3/16/2022,Available,na,13.54,Riffle,,62,0.86,Boulder,Yes,Boulder,40%,Surface Turbulance,5%,na,na,W 111.41.1081,N 34.32.2983,,,
237,West Clear ,3/16/2022,Occupied ,163,13.61,Riffle,,50,0.11,Boulder,Yes,Boulder,20%,na,na,na,na,W 111.41.1058,N 34.32.2979,,,
238,West Clear ,3/16/2022,Occupied ,171,13.61,Riffle,,52,0.24,Boulder,Yes,Boulder,20%,na,na,na,na,W 111.41.1055,N 34.32.2979,,,
239,West Clear ,3/16/2022,Available,na,8.18,Riffle,,69,0.08,Pebble,No,Boulder,10%,na,na,na,na,W 111.41.1038,N 34.32.2991,,,
240,West Clear ,3/16/2022,Occupied ,175,8.45,Riffle,,65,0.0,Pebble,Yes,Woody Debris,40%,na,na,na,na,W 111.41.1028,N 34.32.2987,,,
241,West Clear ,3/16/2022,Available,162,8.44,Riffle,,70,0.29,Cobble,Yes,Woody Debris,50%,na,na,na,na,W 111.41.1032,N 34.32.2985,,,
242,West Clear ,3/16/2022,Available,na,8.88,Riffle,,na,na,na,Yes,na,na,na,na,na,na,W 111.41.1002,N 34.32.2978,,A little sketch ,
243,West Clear ,3/17/2022,Available,na,11.95,Riffle,,25,0.65,Cobble,Yes,Boulder,10,na,na,na,na,W 111.41.0927,N 34.32.3032,,,
244,West Clear ,3/17/2022,Available,na,10.98,Riffle,,48,0.64,Pebble,Yes,Boulder,15,na,na,na,na,W 111.41.0864,N 34.32.3011,,,
245,West Clear ,3/17/2022,Occupied ,173,12.3,Riffle,,33,0.36,Boulder,No,Boulder,30,na,na,na,na,W 111.40.6109,N 34.32.1413,,,
246,West Clear ,3/17/2022,Available,na,13.3,Riffle,,56,0.23,Boulder,No,Boulder,40,Surface Turbulance,5,na,na,W 111.41.0809,N 34.32.3041,,,
247,West Clear ,3/17/2022,Available,na,12.43,Riffle,,63,0.87,Cobble,Yes,Boulder,20,na,na,na,na,W 111.41.0787,N 34.32.3028,,,
248,West Clear ,3/17/2022,Available,na,12.62,Riffle,,38,0.12,Boulder,Yes,Boulder,40,Surface Turbulance,5,na,na,W 111.41.0738,N 34.32.3044,,,
249,West Clear ,3/17/2022,Available,na,11.4,Riffle,,50,0.14,Boulder,No,Boulder,50,Surface Turbulance,20,na,na,W 111.41.0715,N 34.32.3125,,,
250,West Clear ,3/17/2022,Available,na,12.2,Riffle,,22,0.23,Silt,Yes,Aquatic Vegetation,30,Woody Debris,20,na,na,W 111.41.0607,N 34.32.3059,,,
251,West Clear ,3/17/2022,Available,na,10.9,Riffle,,65,0.47,Cobble,No,Boulder,10,na,na,na,na,W 111.41.0652,N 34.32.3098,,,
252,West Clear ,3/17/2022,Available,na,12.4,Riffle,,26,0.34,Silt,Yes,Aquatic Vegetation,80,na,na,na,na,w 111.41.0615,N 34.32.3119,,,Replaced Silt/Clay with Silt
253,West Clear ,3/17/2022,Available,na,15.6,Pool,,66,0.40,Boulder,No,Boulder,30,na,na,na,na,W 111.41.0466,N 34.32.3056,,,
254,West Clear ,3/17/2022,Occupied ,185,15.6,Pool,,50,0,Gravel,No,Boulder,20,na,na,na,na,W 111.41.0502,N 34.32.3044,,,
255,West Clear ,3/17/2022,Occupied ,181,15.6,Pool,,60,0.14,Gravel,No,Na,Na,na,na,na,na,W 111.41.0503,N 34.32.3114,,,
256,West Clear ,3/17/2022,Available,na,15.6,Pool,,71,0.19,Boulder,No,Boulder,60,na,na,na,na,W 111.41.0473,N 34.32.3121,,,
257,West Clear ,3/17/2022,Available,na,14.6,Pool,,53,0.12,Cobble,Yes,Boulder,10,na,na,na,na,w 111.41.0408,N 34.32.3019,,,
258,West Clear ,3/17/2022,Available,na,13.69,Pool,,88,0.15,Cobble,No,Na,Na,na,na,na,na,W 111.41.0346,N 34.32.3090,,,
259,West Clear ,3/17/2022,Available,na,11.01,Pool,,67,0,Silt,Yes,Terrestrial Vegetation,30,na,na,na,na,W 111.41.0369,N 34.32.3153,,,
260,West Clear ,3/17/2022,Occupied ,160,9.94,Riffle,,>150,Na,na,na,Na,Na,na,na,na,na,W 111.41.0347,N 34.32.3155,,,
261,West Clear ,3/17/2022,Available,na,9.91,Riffle,,61,0.07,Silt,Yes,Woody Debris,30,na,na,na,na,W 111.41.0350,N 34.32.3159,,,
262,West Clear ,3/17/2022,Occupied ,184,9.98,Riffle,,>150,Na,na,na,Na,Na,na,na,na,na,W 111.41.0311,N 34.32.3158,,,
