Stream,Creation Date,Site Type ,Tag,Stream Width (m),Mesohabitat,Other - Mesohabitat,Depth cm,Velocity ms,Substrate,Substrate Feature,Surface Turbulence ,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation ,Undercut Bank,Instream Cover,NA,Canopy Cover,Longitude (N),Latitude (W),Notes,x,y,,Data Changes 
Clear,4/25/2022 18:38,Available,NA,16.53,Pool,,>150,Na,Bedrock,0,0,0,0,0,0,0,No,No,34.538176,111.867946,,-111.6880588,34.5381366,,
Clear,4/25/2022 18:47,Available,NA,17.68,Pool,,>150,Na,Bedrock,0,0,0,0,0,0,0,No,No,34.538216,111.687709,,-111.6878032,34.5381489,,
Clear,4/25/2022 18:49,Available,NA,17.8,Pool,,3,0.02,Bedrock,0,0,0,0,0,0,0,No,No,34.538188,111.687629,,-111.687675,34.5381587,,
Clear,4/25/2022 18:51,Available,NA,19.1,Pool,,>150,Na,Bedrock,0,0,0,0,0,0,0,No,No,34.538194,111.687513,,-111.6876112,34.5381321,,
Clear,4/25/2022 18:53,Available,NA,17.35,Pool,,2.9,0.02,Bedrock,0,0,0,0,0,0,0,No,No,34.538172,111.687438,,-111.6875053,34.5381551,,
Clear,4/25/2022 18:55,Available,NA,16.2,Pool,,1.25,0.04,Bedrock,0,0,0,0,0,0,0,No,No,34.538153,111.68739,,-111.6874235,34.5381482,,
Clear,4/25/2022 18:56,Available,NA,14.5,Pool,,>150,Nq,Bedrock,0,0,0,0,0,0,0,No,Yes,34.538147,111.687365,,-111.6874426,34.5380726,,
Clear,4/25/2022 18:58,Available,NA,15.5,Pool,,>150,Na,Bedrock,0,0,0,0,0,0,0,No,Yes,34.538116,111.687184,,-111.6873516,34.538073,,
Clear,4/25/2022 19:00,Available,NA,17.55,Pool,,>150,Na,Bedrock,0,0,0,0,0,0,0,No,Yes,34.538084,111.68718,,-111.6872622,34.5380411,,
Clear,4/25/2022 19:51,Occupied,178,14.89,Pool,,>150,NA,Bedrock,0,0,0,0,0,0,0,No,No,34.538105,111.687235,,-111.6874706,34.5383429,,
Clear,4/25/2022 19:57,Available,NA,14.24,Pool,,>150,NA,Bedrock,0,0,0,0,0,0,0,No,No,34.537984,111.686946,,-111.686979,34.5381014,,
Clear,4/25/2022 19:58,Available,NA,11.53,Pool,,1.75,0.22,Bedrock,0,0,0,0,0,0,0,No,No,34.537964,111.686938,,-111.6869445,34.5380809,,
Clear,4/25/2022 20:01,Available,NA,12.72,Run,,1.65,0.27,Bedrock,0,0,0,0,0,0,0,No,No,34.537964,111.686896,,-111.6869166,34.5380071,,
Clear,4/25/2022 20:54,Available,NA,11.3,Riffle,,1.2,0.35,Bedrock,0.1,0,0,0,0,0,0.1,No,Yes,34.538279,111.685397,,-111.685431,34.538292,,
Clear,4/26/2022 17:53,Available,NA,6.12,Riffle,,0.7,0.04,Bedrock,0,0.05,0,0,0,0,0.05,No,Yes,34.538715,111.683564,,-111.6835827,34.5386126,,
Clear,4/26/2022 21:24,Available,NA,16.7,Pool,,>150,Na,Bedrock,0,0,0,0,0,0,0,No,No,34.536442,111.680418,,-111.6804356,34.5364395,,
Clear,4/25/2022 17:41,Available,NA,7,Riffle,,0.4,0.59,Boulder,0.3,0,0,0,0,0,0.3,No,Yes,34.538231,111.688989,,-111.689207,34.5384982,,
