ObjectID,Creation Date,Stream,Site Type,Tag,Stream Width _m,Mesohabitat,Depth_cm,Velocity_ms,Substrate,Substrate Feature,Surface Turbulence ,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation ,Undercut Bank,NA,Canopy Cover,Longitude (N),Latitude (W),Notes,Data Change
264,7/8/2022 18:55,West Clear ,Available,NA,15.37,Pool,>150,Na,Silt,0,0,0,0,0,0,Yes,Yes,34.53674,111.688021,NA- too murkey to see ,Moved 'too murkey' to notes from NA
249,7/19/2022 16:49,West Clear ,Available,NA,6.25,Riffle,16,0,Cobble,0.6,0,0,0,0,0,No,No,34.538398,111.688884,,
250,7/19/2022 17:01,West Clear ,Available,NA,7.56,Pool,32,0.3,Cobble,0.4,0,0,0,0,0,No,No,34.538367,111.688795,,
251,7/19/2022 17:11,West Clear ,Available,NA,6.25,Pool,110,0.18,Cobble,0.6,0,0,0,0,0,No,No,34.538407,111.688735,,
252,7/19/2022 17:24,West Clear ,Available,NA,5.34,Pool,34,0,Gravel,0.2,0,0,0.01,0,0,No,No,34.538454,111.688655,,
253,7/19/2022 17:28,West Clear ,Available,NA,6.18,Riffle,54,0.25,Cobble,0.1,0,0,0,0.05,0,No,Yes,34.538481,111.688526,,
254,7/19/2022 17:34,West Clear ,Available,NA,4.68,Riffle,36,0.83,Boulder,0,0.3,0.15,0,0,0,No,Yes,34.538467,111.68846,,
255,7/19/2022 17:50,West Clear ,Available,NA,4.8,Riffle,50,0.96,Boulder,0.4,0.6,0,0,0.1,0,No,Yes,34.538428,111.688412,,
256,7/19/2022 17:54,West Clear ,Available,NA,4.3,Riffle,20,1.29,Boulder,0.4,0.6,0.2,0,0,0,No,Yes,34.53841,111.688352,,
257,7/19/2022 17:59,West Clear ,Available,NA,5,Riffle,16,0.24,Cobble,0.5,0.1,0,0.01,0.05,0,No,No,34.538435,111.68829,,
258,7/19/2022 18:08,West Clear ,Available,NA,5.06,Riffle,44,0.09,Cobble,0.4,0,0,0.05,0,0,No,Yes,34.538389,111.688163,,
259,7/19/2022 18:13,West Clear ,Available,NA,5.33,Riffle,36,1.02,Cobble,0.5,0.6,0,0,0.04,0,No,Yes,34.538342,111.688166,,
