ObjectID,Creation Date,Site Type ,Tag,Fish Species,Other - Fish Species,Size,Coded Size,Number of Individuals,Mesohabitat,Other - Mesohabitat,Stream Width (m),Substrate,Substrate Feature,Surface Turbulence ,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation ,Undercut Bank,Instream Cover,Canopy Cover,Depth (cm),Velocity (m/s),Longitude (N),Latitude (W),Notes,,x,y,,Data Changes
111,6/16/2022 20:06,Occupied,173,NA,,,,NA,Pool,,17.9,Silt,0,0,0,0.3,0.2,0,0.5,No,115,NA,34.952965,111.486079,"""washer lost"" in washer number ",-111.6876642,34.5381737,"'Washer lost' marked as number, first tag number marked was 173 (based off telem notes) but there is no 173 record. No other tag records before this chronologically. Marking as occupied by 173 ",,
201,6/17/2022 16:39,Occupied,178,NA,,,,NA,Pool,,11.9,Bedrock,0,0,0,0,0,0,0,Yes,>150,0,34.538188,111.68724,,-111.6872855,34.53820227,,,
264,6/17/2022 20:51,Occupied,218,Black Bass,,>127,2,1,Riffle,,11.06,Cobble,0,0,0,0,0,0,0,Yes,31,0.05,34.538111,111.686119,,0,0,Leaving fish data but everything indicates this should be telemetry tag 218 which is a black bass. Maybe data taker got confused?  ,,
321,6/17/2022 23:02,Occupied,166,NA,,,,NA,Run,,9.953,Gravel,0.1,0,0,0,0,0,0.1,Yes,44,0.12,34.538253,111.685499,,-111.6855783,34.53827189,"Marked Available but with 166 tag number, second 166 has note 'might be a lost one' meaning it appeared warn and covered in detritous. Changing to occupied ",,
332,6/17/2022 23:18,Occupied,157,NA,,,,NA,Run,,9.146,Pebble,0,0,0,0,0,0,0,Yes,46,0.02,34.538234,111.685398,,-111.6854374,34.5384363,,,
347,6/17/2022 23:51,Occupied,171,NA,,,,NA,Riffle,,12,Boulder,0.6,0,0,0,0,0,0.6,Yes,38,0.28,34.538278,111.685193,,0,0,,,
348,6/17/2022 23:53,Occupied,172,NA,,,,NA,Riffle,,10.2,Boulder,0.6,0,0,0,0,0,0.6,Yes,28,0.06,34.538295,111.68516,,-111.6851939,34.53833167,,,
352,6/18/2022 16:54,Occupied,168,NA,,,,NA,Riffle,,7.7,Cobble,0.5,0,0,0,0,0,0.5,Yes,45,0.04,34.538285,111.685128,,-111.685877,34.53850987,,,
353,6/18/2022 16:58,Occupied,176,NA,,,,NA,Riffle,,6.63,Cobble,0.1,0,0,0,0,0,0.1,No,51,0.19,34.538304,111.685049,,-111.6850311,34.53831445,,,
354,6/18/2022 17:00,Occupied,175,NA,,,,NA,Riffle,,6.6,Cobble,0.1,0,0,0,0,0,0.1,Yes,40,0.34,34.538302,111.685051,,-111.6847613,34.53820698,,,
360,6/18/2022 17:19,Occupied,192,NA,,,,NA,Riffle,,13.1,Cobble,0.2,0,0,0,0,0,0.2,No,38,0.12,34.538494,111.684646,,-111.6846692,34.53838901,,,
367,6/18/2022 17:41,Occupied,185,NA,,,,NA,Pool,,11.2,Silt,0,0,0,0,0,0,0,No,92,0.1,34.538615,111.684212,,-111.6841997,34.5385209,,,
