Stream,Date,ObjectID,Tag,Species,Site.Type,Stream.Width.m,Mesohabitat,Depth.cm,Velocity.ms,Substrate,Substrate.Feature,Terrestrial Vegetation,Surface Turbulence,Aquatic Vegetation,Woody Debris,Terrestrial Vegetation ,Undercut Bank,Instream Cover,Canopy.Cover,Latitude,Longitude,Notes.x,x,y,Data.Changes
West Clear,3/16/2022 0:00,175,NA,NA,Available,14.3,Riffle,42,0.5,Pebble,0.3,0,0,0,0,0,0,0.3,No,-111.688985,34.538462,NA,-111.6889468,34.5384548,NA
West Clear,3/16/2022 0:00,176,NA,NA,Available,10.69,Pool,73,0.14,Pebble,0,0,0,0,0,0,0,0,No,-111.688893,34.538417,NA,-111.6888361,34.5384694,NA
West Clear,3/16/2022 0:00,177,NA,NA,Available,8.5,Pool,45,0.02,Pebble,0.1,0,0,0,0.2,0,0,0.3,No,-111.68868,34.538475,NA,-111.6887098,34.5384918,NA
West Clear,3/16/2022 0:00,178,NA,NA,Available,9.48,Pool,85,0.08,Cobble,0.1,0,0,0,0,0,0,0.1,Yes,-111.688507,34.538458,NA,-111.6885247,34.5385559,NA
West Clear,3/16/2022 0:00,179,NA,NA,Available,7.29,Riffle,37,0.21,Boulder,0.3,0,0.3,0,0,0,0,0.6,No,-111.688438,34.538412,NA,-111.6883976,34.5384918,NA
West Clear,3/16/2022 0:00,180,NA,NA,Available,7.03,Riffle,45,0.45,Boulder,0.3,0,0.3,0,0,0,0,0.6,Yes,-111.688298,34.53838,NA,-111.6882947,34.5383777,NA
West Clear,3/16/2022 0:00,181,NA,NA,Available,7.18,Riffle,43,0.59,Pebble,0,0,0.5,0,0.1,0,0,0.6,Yes,-111.688163,34.538282,NA,-111.6881478,34.5383301,NA
West Clear,3/16/2022 0:00,182,NA,NA,Available,26.7,Pool,107,0.02,Gravel,0,0,0,0,0,0,0,0,No,-111.688048,34.538207,NA,-111.6880453,34.5382087,NA
West Clear,3/16/2022 0:00,183,NA,NA,Available,9.54,Pool,36,0.03,Cobble,0.2,0,0,0,0.1,0,0,0.3,Yes,-111.688218,34.538193,NA,-111.6881483,34.5381889,NA
West Clear,3/16/2022 0:00,184,NA,NA,Available,12.6,Riffle,26,0.27,Pebble,0.2,0,0,0,0.1,0,0,0.3,Yes,-111.688343,34.538083,NA,-111.6882356,34.5381458,NA
West Clear,3/16/2022 0:00,185,NA,NA,Available,9.3,Run,35,0.05,Gravel,0.1,0,0,0.05,0,0,0,0.15,No,-111.688493,34.538183,NA,-111.6882719,34.5381312,NA
West Clear,3/16/2022 0:00,186,NA,NA,Available,7.5,Run,33,0.11,Gravel,0.3,0,0,0,0,0,0,0.3,Yes,-111.688692,34.538172,NA,-111.6884629,34.5381594,NA
West Clear,3/16/2022 0:00,187,NA,NA,Available,7.14,Run,59,0.18,Silt,0,0,0,0.1,0.2,0,0,0.3,Yes,-111.688873,34.538232,NA,-111.6887916,34.5382423,NA
West Clear,3/16/2022 0:00,188,NA,NA,Available,7.1,Riffle,19,0.04,Cobble,0.3,0,0,0,0,0,0,0.3,No,-111.689028,34.5382,NA,-111.6889538,34.5382092,NA
West Clear,3/16/2022 0:00,189,NA,NA,Available,5.3,Riffle,29,0.55,Cobble,0.1,0,0.1,0,0,0,0,0.2,Yes,-111.689192,34.538217,NA,-111.689177,34.5382201,NA
West Clear,3/16/2022 0:00,190,NA,NA,Available,4.5,Riffle,26,0.14,Boulder,0.4,0,0.2,0,0,0,0,0.6,Yes,-111.689338,34.538267,NA,-111.6893094,34.5382549,NA
West Clear,3/16/2022 0:00,191,NA,NA,Available,19.24,Pool,99,0,Pebble,0,0,0,0,0,0,0,0,No,-111.688063,34.538092,NA,-111.6880237,34.5381325,NA
West Clear,3/16/2022 0:00,192,NA,NA,Available,15.74,Pool,>150,NA,NA,0,0,0,0,0,0,0,0,Yes,-111.687953,34.538077,NA,-111.6878888,34.5381241,NA
West Clear,3/16/2022 0:00,193,NA,NA,Available,19.95,Pool,>150,NA,NA,0,0,0,0,0,0,0,0,No,-111.687718,34.53829,NA,-111.6877045,34.5382776,NA
West Clear,3/16/2022 0:00,194,NA,NA,Available,20.21,Pool,>150,NA,NA,0,0,0,0,0,0,0,0,No,-111.687668,34.538327,NA,-111.6876383,34.5382899,NA
West Clear,3/16/2022 0:00,195,NA,NA,Available,21.3,Pool,>150,NA,NA,0,0,0,0,0,0,0,0,No,-111.687588,34.538288,NA,-111.6875994,34.538292,NA
West Clear,3/16/2022 0:00,196,NA,NA,Available,20.41,Pool,108,0,Silt,0,0,0,0,0,0,0,0,Yes,-111.687533,34.538252,NA,-111.6875149,34.538256,NA
West Clear,3/16/2022 0:00,197,NA,NA,Available,23.39,Pool,>150,NA,NA,0,0,0,0,0,0,0,0,Yes,-111.687455,34.538303,NA,-111.6874157,34.5382489,NA
West Clear,3/16/2022 0:00,198,NA,NA,Available,19.1,Pool,>150,NA,NA,0,0,0,0,0,0,0,0,No,-111.687347,34.538218,NA,-111.6873445,34.5382319,NA
West Clear,3/16/2022 0:00,199,NA,NA,Available,16.29,Pool,>150,NA,NA,0,0,0,0,0,0,0,0,No,-111.687317,34.53819,NA,-111.6872452,34.5381905,NA
West Clear,3/16/2022 0:00,200,NA,NA,Available,19.01,Pool,64,0,Silt,0,0,0,0,0,0,0,0,Yes,-111.687265,34.538162,NA,-111.6871605,34.5381707,NA
West Clear,3/16/2022 0:00,201,NA,NA,Available,21.21,Pool,14,0,Silt,0,0,0,0,0.3,0,0,0.3,Yes,-111.687148,34.538137,NA,-111.6871104,34.5381531,NA
West Clear,3/16/2022 0:00,202,NA,NA,Available,17.1,Pool,>150,NA,NA,0,0,0,0,0,0,0,0,No,-111.687078,34.538092,NA,-111.6870316,34.5381058,NA
West Clear,3/16/2022 0:00,203,166,Black Bass,Occupied,16,Pool,>150,NA,Gravel,0,0,0,0,0,0,0,0,No,-111.687043,34.538078,NA,-111.6869714,34.5381098,NA
West Clear,3/16/2022 0:00,204,NA,NA,Available,16.04,Pool,64,0,Gravel,0.15,0,0,0,0,0,0,0.15,No,-111.687038,34.538048,NA,-111.6869235,34.5380756,NA
West Clear,3/16/2022 0:00,205,NA,NA,Available,13.91,Riffle,81,0.35,Gravel,0.35,0,0,0,0,0,0,0.35,Yes,-111.68695,34.538002,NA,-111.6868531,34.5380439,NA
West Clear,3/16/2022 0:00,206,178,Black Bass,Occupied,9.42,Riffle,57,0.3,Boulder,0.7,0,0,0,0,0,0,0.7,Yes,-111.686857,34.704655,NA,-111.6867775,34.538016,NA
West Clear,3/16/2022 0:00,207,NA,NA,Available,9.21,Riffle,72,0.33,Boulder,0.9,0,0.05,0,0,0,0,0.95,Yes,-111.686817,34.537962,NA,-111.6867397,34.5379583,NA
West Clear,3/16/2022 0:00,208,NA,NA,Available,18.2,Riffle,39,0.3,Gravel,0.5,0,0,0,0,0,0,0.5,Yes,-111.686783,34.537973,NA,-111.6866685,34.5379978,NA
West Clear,3/16/2022 0:00,209,NA,NA,Occupied,14.08,Riffle,62,0.49,Gravel,0.15,0,0,0,0,0,0,0.15,Yes,-111.686497,34.538032,NA,-111.6866562,34.5380555,NA
West Clear,3/16/2022 0:00,210,NA,NA,Available,17.43,Riffle,60,0.48,Cobble,0.1,0,0,0,0,0,0,0.1,Yes,-111.686563,34.53805,NA,-111.6865767,34.5380441,NA
West Clear,3/16/2022 0:00,211,NA,NA,Available,21.02,Riffle,38,0.49,Boulder,0.6,0,0,0,0,0,0,0.6,Yes,-111.686737,34.538092,NA,-111.6865431,34.5380629,NA
West Clear,3/16/2022 0:00,212,NA,NA,Available,19.3,Riffle,39,0.11,Boulder,0.6,0,0,0,0,0,0,0.6,No,-111.686377,34.538067,NA,-111.6864386,34.5380458,NA
West Clear,3/16/2022 0:00,213,NA,NA,Available,15.76,Riffle,49,0.41,Boulder,0.3,0,0,0,0,0,0,0.3,No,-111.686308,34.538032,NA,-111.6863889,34.5380729,NA
West Clear,3/16/2022 0:00,214,NA,NA,Available,12.48,Riffle,41,0.58,Boulder,0.15,0,0,0,0,0,0,0.15,Yes,-111.686323,34.538147,NA,-111.6863337,34.5380789,NA
West Clear,3/16/2022 0:00,215,NA,NA,Available,10.58,Riffle,50,0.64,Boulder,0.3,0,0,0,0,0,0,0.3,No,-111.686173,34.53813,NA,-111.6862663,34.5380941,NA
West Clear,3/16/2022 0:00,216,NA,NA,Available,9.54,Riffle,46,0.4,Cobble,0.2,0,0,0,0,0,0,0.2,No,-111.686163,34.538087,NA,-111.6862075,34.538115,NA
West Clear,3/16/2022 0:00,217,NA,NA,Available,9.73,Riffle,44,0.23,Cobble,0.2,0,0,0,0,0,0,0.2,Yes,-111.686085,34.538202,NA,-111.68615,34.5381627,NA
West Clear,3/16/2022 0:00,218,218,Black Bass,Occupied,11.52,Riffle,59,0.35,Boulder,0.65,0,0,0,0,0,0,0.65,Yes,-111.686042,34.538222,NAmed bruno!,-111.6861386,34.5381667,NA
West Clear,3/16/2022 0:00,219,NA,NA,Available,10.84,Riffle,39,0.15,Gravel,0.6,0,0.4,0,0,0,0,1,Yes,-111.686007,34.538187,NA,-111.6860568,34.5381967,NA
West Clear,3/16/2022 0:00,220,NA,NA,Available,12.85,Riffle,52,0.4,Boulder,0,0,0,0,0,0,0,0,No,-111.685903,34.538222,NA,-111.686016,34.5381252,NA
West Clear,3/16/2022 0:00,221,NA,NA,Available,14.07,Riffle,56,0.55,Cobble,0.1,0,0,0,0,0,0,0.1,No,-111.685755,34.538197,NA,-111.6859755,34.5381315,NA
West Clear,3/16/2022 0:00,222,NA,NA,Available,15.01,Riffle,38,0.28,Pebble,0.15,0,0,0,0,0,0,0.15,No,-111.685773,34.538188,NA,-111.6859004,34.5381717,NA
West Clear,3/16/2022 0:00,223,NA,NA,Available,14.95,Riffle,50,0.96,Boulder,0.5,0,0.05,0,0,0,0,0.55,No,-111.685725,34.538292,NA,-111.6858241,34.5381935,NA
West Clear,3/16/2022 0:00,224,NA,NA,Available,13.09,Riffle,42,0.84,Gravel,0.3,0,0,0,0,0,0,0.3,Yes,-111.685692,34.538245,NA,-111.6857801,34.5382041,NA
West Clear,3/16/2022 0:00,225,NA,NA,Available,13.53,Riffle,53,0.32,Sand,0,0,0,0,0,0,0,0,Yes,-111.685638,34.538237,NA,-111.6857061,34.5382308,NA
West Clear,3/16/2022 0:00,226,NA,NA,Available,14.21,Run,31,0.02,Sand,0.05,0,0,0.3,0.05,0,0,0.4,Yes,-111.685603,34.538208,NA,-111.6856501,34.5382926,NA
West Clear,3/16/2022 0:00,227,NA,NA,Available,14.03,Run,58,0.28,Pebble,0.15,0,0,0,0,0,0,0.15,Yes,-111.685498,34.53826,NA,-111.6855824,34.5382352,NA
West Clear,3/16/2022 0:00,228,NA,NA,Available,12.26,Riffle,84,0.65,Boulder,0.3,0,0,0,0,0,0,0.3,No,-111.685473,34.538295,NA,-111.6855048,34.5383103,NA
West Clear,3/16/2022 0:00,229,NA,NA,Available,13.65,Riffle,48,1.07,Pebble,0.15,0,0,0,0,0,0,0.15,No,-111.685363,34.5383,NA,-111.6854167,34.5383043,NA
West Clear,3/16/2022 0:00,230,NA,NA,Available,17.16,Riffle,34,1.16,Cobble,0.35,0,0.1,0,0,0,0,0.45,Yes,-111.685273,34.538265,NA,-111.6853297,34.5383294,NA
West Clear,3/16/2022 0:00,231,NA,NA,Available,15.25,Riffle,46,0.82,Boulder,0.6,0,0.4,0,0,0,0,1,No,-111.685293,34.538287,NA,-111.6852768,34.5383155,NA
West Clear,3/16/2022 0:00,232,157,Black Bass,Occupied,14.56,Riffle,38,0.43,Boulder,0.4,0,0,0,0,0,0,0.4,Yes,-111.685193,34.538287,NA,-111.6851482,34.5383108,NA
West Clear,3/16/2022 0:00,233,168,Black Bass,Occupied,12.72,Riffle,37,0.97,Boulder,0.5,0,0,0,0,0,0,0.5,Yes,-111.685193,34.538287,NA,-111.6851697,34.5382224,NA
West Clear,3/16/2022 0:00,234,172,Black Bass,Occupied,12.75,Riffle,30,0.28,Boulder,0.7,0,0,0,0,0,0,0.7,Yes,-111.685193,34.538287,NA,-111.6851339,34.5382782,NA
West Clear,3/16/2022 0:00,235,163,Desert Sucker,Occupied,12.63,Riffle,34,0.27,Boulder,0.5,0,0,0,0.2,0,0,0.7,Yes,-111.685143,34.538292,NA,-111.6851222,34.5383011,NA
West Clear,3/16/2022 0:00,236,NA,NA,Available,13.54,Riffle,62,0.86,Boulder,0.4,0,0.05,0,0,0,0,0.45,Yes,-111.685135,34.538305,NA,-111.6851017,34.5383272,NA
West Clear,3/16/2022 0:00,237,163,Desert Sucker,Occupied,13.61,Riffle,50,0.11,Boulder,0.2,0,0,0,0,0,0,0.2,Yes,-111.685097,34.538298,NA,-111.6851502,34.5383169,NA
West Clear,3/16/2022 0:00,238,171,Black Bass,Occupied,13.61,Riffle,52,0.24,Boulder,0.2,0,0,0,0,0,0,0.2,Yes,-111.685092,34.538298,NA,-111.6851436,34.5383287,NA
West Clear,3/16/2022 0:00,239,NA,NA,Available,8.18,Riffle,69,0.08,Pebble,0.1,0,0,0,0,0,0,0.1,No,-111.685063,34.538318,NA,-111.6850687,34.5383257,NA
