ObjectID,Creation Date,Stream,Site Type ,Tag,Stream Width (m),Mesohabitat,Depth (cm),Velocity (m/s),Substrate,Substrate Feature,Surface Turbulence ,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation ,Undercut Bank,Instream Cover,NA,Canopy Cover,Longitude (N),Latitude (W),Notes,Data Change
122,5/30/2022 19:09,West Clear,Available,NA,3.4765,Riffle,25,0.84,Cobble,0.3,0.3,0,0,0,0,0.6,No,Yes,34.538449,111.688646,,
123,5/30/2022 19:20,West Clear,Available,NA,5.1017,Riffle,38,0.51,Cobble,0.15,0,0,0,0,0,0.15,No,Yes,34.538478,111.688512,,
124,5/30/2022 19:25,West Clear,Available,NA,5.088,Riffle,25,0.24,Cobble,0.4,0,0,0,0,0,0.4,No,Yes,34.538461,111.688427,,
125,5/30/2022 19:29,West Clear,Available,NA,4.253,Riffle,34,0.33,Boulder,0.6,0,0,0,0,0,0.6,No,Yes,34.53842,111.68835e,,Confirmed canopy with photo
126,5/30/2022 19:36,West Clear,Available,NA,4.89,Riffle,36,0.91,Cobble,0.75,0,0,0,0,0,0.75,No,Yes,34.538408,111.688288,,
127,5/30/2022 19:40,West Clear,Available,NA,4.917,Riffle,24,0.59,Cobble,0.4,0,0,0,0,0,0.4,No,Yes,34.538374,111.688223,,Confirmed canopy with photo
128,5/30/2022 19:42,West Clear,Available,NA,5.438,Riffle,40,0.55,Cobble,0.3,0.9,0,0.1,0,0,1.3,No,Yes,34.538324,111.688148,,
129,5/30/2022 19:50,West Clear,Available,NA,3.479,Riffle,52,0.19,Cobble,0.3,0.95,0,0,0,0,1.25,No,Yes,34.538255,111.688059,,
130,5/30/2022 19:56,West Clear,Available,NA,21.284,Riffle,26,0.08,Cobble,0.05,0,0,0,0,0,0.05,No,No,34.538219,111.687983,,Confirmed cobble with photo
131,5/30/2022 20:02,West Clear,Available,NA,3.376,Riffle,14,0.44,Pebble,0,0,0,0,0,0,0,No,Yes,34.53815,111.688639,,
132,5/30/2022 20:15,West Clear,Available,NA,5.822,Riffle,20,0.1,Pebble,0,0,0,0,0,0,0,No,No,34.538181,111.688567,,
133,5/30/2022 20:17,West Clear,Available,NA,5.44,Riffle,22,0.04,Cobble,0.3,0,0,0,0,0,0.3,No,No,34.538116,111.688496,,Confirmed cobble with photo 
134,5/30/2022 20:26,West Clear,Available,NA,4.837,Riffle,50,0.04,Pebble,0.2,0,0,0,0,0,0.2,No,No,34.538119,111.688431,,
135,5/30/2022 20:34,West Clear,Available,NA,4.5,Riffle,14,0,Gravel,0.05,0,0,0,0,0,0.05,No,Yes,34.538137,111.688325,,
136,5/30/2022 20:36,West Clear,Available,NA,5.592,Riffle,14,0.16,Pebble,0.4,0,0,0.2,0,0,0.6,No,Yes,34.538111,111.688243,,Confirmed canoy with photo
137,5/30/2022 20:41,West Clear,Available,NA,7.579,Riffle,16,0.07,Cobble,0.15,0,0,0.5,0,0,0.65,No,Yes,34.538138,111.68816,,
