ObjectID,Stream,Creation Date,Site Type ,Tag,Stream Width (m),Mesohabitat,Other - Mesohabitat,Depth cm,Velocity ms,Substrate,Substrate Feature,Surface Turbulence ,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation ,Undercut Bank,Instream Cover,NA,Canopy Cover,Longitude (N),Latitude (W),Notes,x,y,Data Changes
247,West Clear,11/19/2022 22:56,Occupied,145,16.34,Pool,,63,0,Bedrock,0,0,0,0,0,0,0,No,Yes,34.535625,111.688124,,-111.6781551,34.53562034,Changed to occupied to match tag status 
149,West Clear,11/19/2022 20:00,Occupied,157,9.2,Run,,36,0.3,Cobble,0,0,0,0,0,0,0,No,No,34.538007,111.686172,,-111.6861887,34.53804215,"Replaced 175 with 157, fits with the telemetry field notes timeline, and generally matches the same location and feature data.  "
212,West Clear,11/19/2022 21:44,Occupied,161,9,Run,,63,0.1,Cobble,0,0,0,0,0,0,0,No,Yes,34.537676,111.682112,,-111.6821206,34.53772972,
208,West Clear,11/19/2022 21:38,Occupied,162,9.4,Pool,,56,0.08,Cobble,0,0,0,0,0,0,0,No,Yes,34.537821,111.682322,,-111.6823207,34.53784981,
244,West Clear,11/19/2022 22:52,Occupied,165,14.54,Pool,,>150,NA,Silt,0,0,0,0,0,0,0,No,Yes,34.535787,111.678436,,-111.6784194,34.53576509,Removed Available
165,West Clear,11/19/2022 20:25,Occupied,168,9.6,Riffle,,27,0,Cobble,0.3,0,0,0,0,0,0.3,No,,34.538215,111.685153,,-111.6851552,34.5382893,
167,West Clear,11/19/2022 20:32,Occupied,171,6.5,Riffle,,30,0,Cobble,0,0,0,0,0,0,0,No,No,34.53827,111.685042,,-111.685067,34.53831276,Removed Available 
163,West Clear,11/19/2022 20:22,Occupied,172,9.6,Riffle,,44,0.12,Pebble,0.15,0,0,0,0,0,0.15,No,No,34.53824,111.685232,,-111.68525,34.53826549,
168,West Clear,11/19/2022 20:33,Occupied,175,6.5,Riffle,,49,0.17,Boulder,0,0,0,0,0,0,0,No,No,34.538284,111.685,,-111.6850745,34.53836336,"Two 175s, this one fits into the telemetery field notes timeline best"
137,West Clear,11/19/2022 19:41,Occupied,178,11.9,Pool,,>150,Na,Silt,0,0,0,0,0,0,0,No,Yes,34.538185,111.687306,Near shore,-111.6872446,34.53810257,
138,West Clear,11/19/2022 19:43,Occupied,179,11.3,Pool,,8,0,Silt,0,0,0,0,0,0,0,No,Yes,34.538116,111.687094,,-111.6872445,34.53813117,
179,West Clear,11/19/2022 20:51,Occupied,185,11.7,Pool,,62,0.09,Gravel,0,0,0,0,0,0,0,No,No,34.538597,111.684238,,-111.6843596,34.53856175,
160,West Clear,11/19/2022 20:18,Occupied,189,8.1,Run,,59,0.06,Gravel,0.3,0,0,0,0,0,0.3,No,Yes,35.538271,111.685388,,-111.68544,34.53827082,
201,West Clear,11/19/2022 21:27,Occupied,190,10.5,Riffle,,30,0.13,Gravel,0,0,0,0,0,0,0,No,Yes,34.538219,111.682625,,-111.6826943,34.53823859,
199,West Clear,11/19/2022 21:24,Occupied,191,7.2,Riffle,,37,0,Pebble,0.05,0,0,0,0,0,0.05,No,Yes,34.538244,111.682634,,-111.6827389,34.53829803,Removed Available 
231,West Clear,11/19/2022 22:27,Occupied,200,14.26,Pool,,>150,NA,NA,0,0,0,0,0,0,0,No,No,34.536197,111.68036,Deep AF,-111.6801526,34.53617675,Changed to occupied to match tag status 
114,West Clear,11/19/2022 18:24,Available,NA,7.5,Pool,,29,0.15,Gravel,0,0,0,0,0,0,0,No,No,34.538429,111.688894,,-111.6891576,34.53847248,
115,West Clear,11/19/2022 18:27,Available,NA,11,Pool,,84,0.01,Gravel,0.1,0,0.2,0,0,0,0.3,No,No,34.538413,111.688734,,-111.6888669,34.53843492,
116,West Clear,11/19/2022 18:31,Available,NA,7,Pool,,>150,Na,Cobble,0,0,0,0,0,0,0,No,No,34.538447,111.688706,,-111.6887852,34.53846292,
117,West Clear,11/19/2022 18:33,Available,NA,4.6,Riffle,,32,0.52,Cobble,0,0,0,0,0,0,0,No,Yes,34.538477,111.68863,,-111.6887296,34.53847316,
118,West Clear,11/19/2022 18:35,Available,NA,5.3,Riffle,,35,0.2,Cobble,0,0,0,0,0,0,0,No,Yes,34.538468,111.688547,,-111.6886136,34.53851617,
119,West Clear,11/19/2022 18:37,Available,NA,4.2,Riffle,,34,0.29,Boulder,0.4,0,0,0,0,0,0.4,No,Yes,34.538442,111.688478,,-111.6885368,34.53846583,
120,West Clear,11/19/2022 18:40,Available,NA,4.3,Riffle,,50,0.4,Cobble,0,0,0,0,0,0,0,No,Yes,34.538407,111.688358,,-111.6885128,34.53845565,
121,West Clear,11/19/2022 18:41,Available,NA,3.9,Riffle,,21,0.33,Cobble,0.1,0,0,0,0,0,0.1,No,Yes,34.538379,111.688306,,-111.6883988,34.53845303,
122,West Clear,11/19/2022 18:43,Available,NA,5.1,Riffle,,39,0.28,Cobble,0,0,0,0,0,0,0,No,Yes,34.538357,111.688185,,-111.6882947,34.53844163,
123,West Clear,11/19/2022 18:45,Available,NA,5.5,Riffle,,26,0.45,Cobble,0,0.05,0,0,0,0,0.05,No,Yes,34.538348,111.688128,,-111.6882498,34.5384058,
124,West Clear,11/19/2022 18:46,Available,NA,5.6,Riffle,,30,0.18,Cobble,0,0.15,0,0,0,0,0.15,No,Yes,34.538293,111.688076,,-111.6882091,34.53831857,
125,West Clear,11/19/2022 18:48,Available,NA,9.5,Pool,,46,0.01,Pebble,0,0,0,0,0,0,0,No,No,34.538189,111.688093,,-111.6880976,34.53826637,
126,West Clear,11/19/2022 18:50,Available,NA,18,Pool,,99,0,Silt,0,0,0,0,0,0,0,No,No,34.53817,111.688013,,-111.6880895,34.53819747,
127,West Clear,11/19/2022 18:52,Available,NA,17.1,Pool,,49,0,Cobble,0,0,0,0.2,0,0,0.2,No,Yes,34.53813,111.687934,,-111.6880358,34.53814387,
128,West Clear,11/19/2022 18:54,Available,NA,18.2,Pool,,>150,Na,Silt,0,0,0,0,0,0,0,No,NA,34.5382,111.687891,,-111.6879937,34.53810052,
129,West Clear,11/19/2022 18:56,Available,NA,18.8,Pool,,>150,Na,Silt,0,0,0,0,0,0,0,No,No,34.538181,111.687741,,-111.6878774,34.5380905,
130,West Clear,11/19/2022 18:58,Available,NA,15.3,Pool,,26,0,Bedrock,0,0,0,0,0,0,0,No,No,34.53822,111.687673,,-111.6877571,34.53809769,
131,West Clear,11/19/2022 18:59,Available,NA,15.2,Pool,,81,0.01,Bedrock,0,0,0,0,0,0,0,No,No,34.538209,111.687556,,-111.6876645,34.53807404,
132,West Clear,11/19/2022 19:01,Available,NA,16.9,Pool,,62,0.06,Bedrock,0,0,0,0,0,0,0,No,Yes,34.538197,111.687459,,-111.6875672,34.53807786,
133,West Clear,11/19/2022 19:02,Available,NA,12.6,Pool,,>150,Na,Silt,0,0,0,0,0,0,0,No,Yes,34.538114,111.687379,,-111.6874991,34.53808321,
134,West Clear,11/19/2022 19:04,Available,NA,11.7,Pool,,110,0.01,Bedrock,0,0,0,0,0,0,0,No,No,34.538119,111.6873,,-111.6873969,34.53811285,
135,West Clear,11/19/2022 19:05,Available,NA,13.1,Pool,,95,0.03,Bedrock,0,0,0,0,0,0,0,No,No,34.538067,111.687178,,-111.6873136,34.53806908,
136,West Clear,11/19/2022 19:06,Available,NA,12.2,Pool,,>150,Na,NA,0,0,0,0,0,0,0,No,Yes,34.538034,111.687135,,-111.6872606,34.53802791,
139,West Clear,11/19/2022 19:45,Available,NA,14.2,Pool,,>150,Na,Silt,0,0,0,0,0,0,0,No,No,34.538006,111.686999,,-111.6870882,34.5381063,
