ObjectID,Stream ,Creation Date,Site Type ,Tag,Stream Width (m),Mesohabitat,Depth cm,Velocity ms,Substrate,Substrate Feature,Surface Turbulence ,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation ,Undercut Bank,Instream Cover,NA,Canopy Cover,Longitude (N),Latitude (W),Notes,,Data Edits
109,West Clear Creek,9/16/2022 0:03,Occupied,135,7.34,Pool,92,0,Cobble,0,0,0,0,0,0,0,No,No,34.6731,111.666131,,,
114,West Clear Creek,9/16/2022 0:15,Occupied,151,3.52,Pool,36,0.02,Pebble,0,0,0,0,0,0,0,No,No,34.67316,111.666237,,,
120,West Clear Creek,9/16/2022 0:27,Occupied,152,5.65,Pool,97,0.12,Bedrock,0.5,0,0,0,0,0,0.5,No,No,34.672995,111.666606,Wire bent,,Confirmed no canopy from photo
115,West Clear Creek,9/16/2022 0:17,Occupied,153,4.15,Pool,36,0.02,Pebble,0,0,0,0,0,0,0,No,No,34.67316,111.666237,,,
151,West Clear Creek,9/16/2022 18:47,Occupied,156,12.6,Riffle,26,0.04,Cobble,0.3,0,0,0,0,0,0.3,No,Yes,34.537951,111.686688,,,
163,West Clear Creek,9/16/2022 20:06,Occupied,157,6.3,Riffle,28,0,Pebble,0.25,0,0,0,0,0,0.25,No,No,34.538173,111.685749,,,
169,West Clear Creek,9/16/2022 20:18,Occupied,166,9.3,Run,50,0.01,Cobble,0.1,0,0,0,0,0,0.1,No,Yes,34.538268,111.685475,,,
166,West Clear Creek,9/16/2022 20:11,Occupied,172,8.9,Riffle,42,0.22,Gravel,0.1,0,0,0,0,0,0.1,No,Yes,34.538232,111.685589,,,
143,West Clear Creek,9/16/2022 18:30,Occupied,178,16.7,Pool,>150,NA,Silt,0,0,0,0,0,0,0,No,NA,34.538158,111.687208,,,
147,West Clear Creek,9/16/2022 18:38,Occupied,179,11.6,Pool,50,0,Gravel,0,0,0,0.1,0,0,0.1,No,Yes,34.53803,111.68693,,Confirmed occupied. Confirmed canopy cover from photo. ,
158,West Clear Creek,9/16/2022 19:57,Occupied,218,7,Riffle,36,0.08,Cobble,0,0,0,0,0,0,0,No,Yes,34.538093,111.686137,,,
108,West Clear Creek,9/16/2022 0:02,Available,NA,7.15,Pool,95,0.01,Boulder,0.15,0,0,0,0,0,0.15,No,No,34.673101,111.666159,,,
110,West Clear Creek,9/16/2022 0:06,Available,NA,6.54,Pool,74,0,Sand,0,0,0,0,0,0,0,No,No,34.673115,111.666105,,,
111,West Clear Creek,9/16/2022 0:07,Available,NA,4.01,Riffle,28,0.09,Pebble,0.4,0,0,0,0,0,0.4,No,Yes,34.673145,111.666023,,,
112,West Clear Creek,9/16/2022 0:11,Available,NA,5.18,Pool,44,0.03,Pebble,0.1,0,0,0,0,0,0.1,No,No,34.673197,111.666164,,,
113,West Clear Creek,9/16/2022 0:14,Available,NA,4.15,Pool,35,0.1,Cobble,0,0,0,0,0,0,0,No,No,34.673162,111.666241,,,
116,West Clear Creek,9/16/2022 0:19,Available,NA,4.73,Pool,32,0.15,Cobble,0,0,0,0,0,0,0,No,No,34.673153,111.666255,,,
117,West Clear Creek,9/16/2022 0:21,Available,NA,5.05,Pool,26,0.02,Cobble,0.1,0,0,0,0,0,0.1,No,No,34.673096,111.666395,,,
118,West Clear Creek,9/16/2022 0:24,Available,NA,4.72,Pool,28,0.03,Cobble,0.2,0,0,0,0,0,0.2,No,No,34.673065,111.666483,,,
119,West Clear Creek,9/16/2022 0:26,Available,NA,5.45,Pool,56,0.05,Bedrock,0,0,0,0,0,0,0,No,Yes,34.673025,111.666608,,,
121,West Clear Creek,9/16/2022 0:30,Available,NA,10.01,Pool,64,0.02,Bedrock,0,0,0,0,0,0,0,No,No,34.672961,111.666676,,,
122,West Clear Creek,9/16/2022 0:31,Available,NA,7.52,Pool,48,0,Bedrock,0,0,0,0,0,0,0,No,No,34.672923,111.666715,,,Confirmed no canopy from photo
123,West Clear Creek,9/16/2022 0:33,Available,NA,6.18,Pool,23,0.01,Silt,0,0,0,0,0,0,0,No,No,34.672961,111.666845,,,
124,West Clear Creek,9/16/2022 0:35,Available,NA,4.83,Pool,53,0.01,Silt,0,0,0,0.3,0,0,0.3,No,No,34.672907,111.666912,,,
125,West Clear Creek,9/16/2022 17:35,Available,NA,6.01,Riffle,46,0.33,Silt,0,0,0,0,0,0,0,No,Yes,34.538417,111.688881,,,
126,West Clear Creek,9/16/2022 17:38,Available,NA,5.3,Pool,>150,NA,Cobble,0,0,0,0,0,0,0,No,NA,34.538469,111.688698,,,
127,West Clear Creek,9/16/2022 17:39,Available,NA,2.4,Riffle,32,0.2,Cobble,0.2,0,0,0,0,0,0.2,No,Yes,34.538512,111.688527,,,
128,West Clear Creek,9/16/2022 17:42,Available,NA,4.1,Riffle,30,0.28,Cobble,0,0,0,0,0,0,0,No,Yes,34.538413,111.688422,,,
129,West Clear Creek,9/16/2022 17:44,Available,NA,5.4,Riffle,22,0.48,Pebble,0.1,0.05,0,0,0,0,0.15,No,Yes,34.538371,111.688274,,,
130,West Clear Creek,9/16/2022 17:47,Available,NA,5.9,Riffle,30,0.47,Boulder,0.2,0.4,0,0,0,0,0.6,No,Yes,34.538344,111.688158,,,
131,West Clear Creek,9/16/2022 17:49,Available,NA,11.6,Pool,76,0.01,Pebble,0,0,0,0,0,0,0,No,No,34.538219,111.687972,,,
132,West Clear Creek,9/16/2022 18:05,Available,NA,2.6,Riffle,10,0.25,Gravel,0,0,0,0,0,0,0,No,Yes,34.538182,111.688655,,,
133,West Clear Creek,9/16/2022 18:07,Available,NA,3.8,Riffle,12,0.03,Silt,0.2,0,0,0,0,0,0.2,No,No,34.538162,111.688526,,,
134,West Clear Creek,9/16/2022 18:09,Available,NA,4.6,Riffle,3,0,Silt,0.2,0,0,0,0,0,0.2,No,No,34.538141,111.688341,,,
135,West Clear Creek,9/16/2022 18:11,Available,NA,5.8,Pool,11,0,Cobble,0,0,0,0,0,0,0,No,Yes,34.538175,111.688177,,,
136,West Clear Creek,9/16/2022 18:13,Available,NA,10.3,Pool,73,0,Gravel,0.05,0,0,0,0,0,0.05,No,No,34.53823,111.687987,,,
137,West Clear Creek,9/16/2022 18:17,Available,NA,12,Pool,>150,NA,NA,0,0,0,0,0,0,0,No,Yes,34.538273,111.687902,,,
138,West Clear Creek,9/16/2022 18:19,Available,NA,17,Pool,>150,NA,Silt,0,0,0,0,0,0,0,No,No,34.538238,111.687643,,,
139,West Clear Creek,9/16/2022 18:23,Available,NA,16.5,Pool,>150,NA,Silt,0,0,0,0,0,0,0,No,No,34.538276,111.687513,,,
140,West Clear Creek,9/16/2022 18:25,Available,NA,20,Pool,>150,NA,Silt,0,0,0,0,0,0,0,No,No,34.538243,111.687433,,,
141,West Clear Creek,9/16/2022 18:26,Available,NA,15,Pool,>150,NA,NA,0,0,0,0,0,0,0,No,No,34.538234,111.687353,,,
142,West Clear Creek,9/16/2022 18:28,Available,NA,12.5,Pool,>150,NA,NA,0,0,0,0,0,0,0,No,No,34.538156,111.68725,,,
144,West Clear Creek,9/16/2022 18:32,Available,NA,16.8,Pool,>150,NA,NA,0,0,0,0,0,0,0,No,No,34.53816,111.687185,,,
145,West Clear Creek,9/16/2022 18:33,Available,NA,13.4,Pool,4,0,Silt,0,0,0,0.3,0,0,0.3,No,Yes,34.538128,111.687069,,,
146,West Clear Creek,9/16/2022 18:35,Available,NA,13.4,Pool,>150,NA,NA,0,0,0,0,0,0,0,No,No,34.538085,111.686951,,,
148,West Clear Creek,9/16/2022 18:40,Available,NA,14.3,Pool,20,0,Bedrock,0,0,0,0,0,0,0,No,No,34.537991,111.686937,,,
149,West Clear Creek,9/16/2022 18:43,Available,NA,8.89,Riffle,42,0.23,Cobble,0.1,0,0,0,0,0,0.1,No,Yes,34.537992,111.686813,,,
150,West Clear Creek,9/16/2022 18:45,Available,NA,12.3,Riffle,15,0.16,Pebble,0.05,0,0,0.1,0,0,0.15,No,No,34.537969,111.686709,,,
152,West Clear Creek,9/16/2022 18:49,Available,NA,13.5,Riffle,46,0.18,Boulder,0.6,0,0,0,0,0,0.6,No,Yes,34.538031,111.686604,,,
153,West Clear Creek,9/16/2022 18:51,Available,NA,6.61,Riffle,53,0.23,Cobble,0.2,0.05,0,0,0,0,0.25,No,Yes,34.537967,111.686517,,,
154,West Clear Creek,9/16/2022 18:54,Available,NA,7.2,Riffle,38,0,Boulder,0.4,0,0,0,0,0,0.4,No,No,34.537989,111.686438,,,
155,West Clear Creek,9/16/2022 18:56,Available,NA,9.4,Riffle,43,0.05,Cobble,0.1,0,0,0,0,0,0.1,No,No,34.538009,111.686361,,,
