,Tag,ObjectID,Stream,Date,Site.Type,Stream.Width.m,Mesohabitat,Other...Mesohabitat,Depth.cm,Velocity.ms,Substrate,Canopy.Cover,Latitude,Longitude,Notes.x,Other...Mesohabitat.1,x,y,Data.Changes,Boulder,Terrestrial Vegetation,None,Surface Turbulence,Woody Debris,Absent,Aquatic Vegetation,Species,Weight,Length,Capture Method,Capture Date,Release,Notes.y
2,104,74,Wet Beaver,3/14/2022 0:00,Occupied,8.9,Pool,NA,63,0,Cobble,Yes,-111.67141,34.674023,NA,NA,-111.6714848,34.6741042,NA,NA,NA,NA,NA,NA,NA,NA,Black Bass,140,217,Backpack Shocker,11/3/2022,NA,NA
3,106,52,Wet Beaver,3/14/2022 0:00,Occupied,6.14,Riffle,NA,41,1.63,Boulder,Yes,-111.672262,34.674593,NA,NA,-111.6722751,34.6746042,NA,0.15,NA,NA,0.1,NA,NA,NA,Desert Sucker,144,234,Backpack Shocker,11/3/2022,NA,NA
5,107,61,Wet Beaver,3/14/2022 0:00,Occupied,17.34,Pool,NA,>150,NA,Silt,Yes,-111.672117,34.674222,NA,NA,-111.6720625,34.6742262,NA,NA,NA,NA,NA,NA,NA,NA,Black Bass,79,191,Backpack Shocker,11/3/2022,NA,NA
6,108,124,Wet Beaver,3/14/2022 0:00,Occupied,12.74,Pool,NA,48,0.22,Cobble,No,-111.668563,34.673007,Fin-ley,NA,-111.6686258,34.6730638,NA,0.2,NA,NA,NA,NA,NA,NA,Black Bass,109,215,Backpack Shocker,11/12/2022,NA,NA
8,110,68,Wet Beaver,3/14/2022 0:00,Occupied,8.7,Run,NA,56,0.15,Gravel,Yes,-111.671873,34.674072,NA,NA,-111.6717856,34.6741364,NA,0.4,NA,NA,NA,NA,NA,NA,Desert Sucker,121,256,Backpack Shocker,11/3/2022,NA,NA
9,111,62,Wet Beaver,3/14/2022 0:00,Occupied,17.75,Pool,NA,>150,NA,Silt,Yes,-111.672117,34.674222,NA,NA,-111.6720725,34.6741627,NA,NA,NA,NA,NA,NA,NA,NA,Desert Sucker,114,207,Backpack Shocker,11/3/2022,NA,NA
11,112,73,Wet Beaver,3/14/2022 0:00,Occupied,10.42,Riffle,NA,41,0.5,Cobble,Yes,-111.671467,34.674063,NA,NA,-111.671494,34.6741259,NA,0.15,NA,NA,NA,NA,NA,NA,Black Bass,90,192,Backpack Shocker,11/3/2022,NA,NA
13,113,95,Wet Beaver,3/14/2022 0:00,Occupied,6.79,Riffle,NA,27,0.51,Boulder,No,-111.669903,34.673868,NA,NA,-111.6699721,34.6738799,NA,0.5,NA,NA,0.3,NA,NA,NA,Desert Sucker,101,192,Backpack Shocker,11/3/2022,NA,NA
14,114,103,Wet Beaver,3/14/2022 0:00,Occupied,15.5,Riffle,NA,35,0,Pebble,Yes,-111.669557,34.673622,NA,NA,-111.6695977,34.6737214,NA,0.5,NA,NA,NA,NA,NA,NA,Desert Sucker,91,196,Backpack Shocker,11/3/2022,NA,NA
15,116,54,Wet Beaver,3/14/2022 0:00,Occupied,14.73,Pool,NA,42,0,Boulder,No,-111.672367,34.674412,NA,NA,-111.6723901,34.6745373,NA,0.75,NA,NA,NA,NA,NA,NA,Desert Sucker,86,201,Backpack Shocker,11/3/2022,NA,NA
18,117,51,Wet Beaver,3/14/2022 0:00,Occupied,6.1,Riffle,NA,21,1.76,Boulder,Yes,-111.67231,34.674673,NA,NA,-111.6723022,34.6745794,NA,0.15,NA,NA,0.5,NA,NA,NA,Desert Sucker,121,221,Backpack Shocker,11/3/2022,NA,NA
19,120,112,Wet Beaver,3/14/2022 0:00,Occupied,12.8,Pool,NA,100,0.05,Cobble,Yes,-111.669202,34.67339,Recorded negative flow as positive bc kaitlyn told us to. Finn-igan,NA,-111.6692059,34.673389,NA,0.15,NA,NA,NA,NA,NA,NA,Black Bass,77,182,Backpack Shocker,11/12/2022,NA,NA
20,121,116,Wet Beaver,3/14/2022 0:00,Occupied,9.56,Pool,NA,67,0.02,Cobble,Yes,-111.668958,34.67326,NA,NA,-111.6689685,34.673341,NA,0.1,NA,NA,NA,NA,NA,NA,Desert Sucker,86,192,Backpack Shocker,11/12/2022,NA,NA
