Stream,Creation Date,Site Type ,Tag,Stream Width m,Mesohabitat,Other - Mesohabitat,Depth cm,Velocity ms,Substrate,Substrate Feature,Surface Turbulence ,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation ,Undercut Bank,Instream Cover,NA,Canopy Cover,Longitude (N),Latitude (W),Notes,x,y,,Data Change 
Beaver,4/24/2022 18:33,Occupied,108,9.89,Pool,,51.816,0.04,Cobble,0.2,0,0,0,0,0,0.2,No,No,34.673012,111.668527,Visually confirmed w2 others,-111.6686319,34.6729919,,
Beaver,4/23/2022 23:17,Occupied,112,9.5,Riffle,,25.908,0.06,Boulder,0.3,0,0,0,0,0,0.3,No,No,34.674024,111.671498,,-111.6716296,34.6740429,,Replaced all Pool_ with Pool
Beaver,4/24/2022 0:20,Occupied,113,16.14,Pool,,>150,Na,NA,0,0,0,0,0,0,0,No,Yes,34.674059,111.670577,,-111.670582,34.6740348,,
Beaver,4/24/2022 18:05,Occupied,114,11.2,Pool,,51.816,0,Pebble,0.4,0,0,0,0,0,0.4,No,Yes,34.673397,111.669152,,-111.6691599,34.6733897,,
Beaver,4/24/2022 17:52,Occupied,120,11.32,Pool,,99.06,0,Pebble,0.25,0,0,0,0,0,0.25,No,No,34.673514,111.669353,,-111.6693848,34.6736909,,
Beaver,4/24/2022 18:16,Occupied,121,8.06,Pool,,39.624,0.01,Boulder,0.6,0,0,0,0,0,0.6,No,No,34.673303,111.668974,,-111.668988,34.6732965,,
Beaver,4/24/2022 18:07,Occupied,124,11.2,Pool,,42.672,0,Pebble,0.4,0,0,0,0,0,0.4,No,Yes,34.673397,111.679153,,-111.6691363,34.6733832,,
Beaver,4/24/2022 18:57,Occupied,125,11.8,Pool,,118.872,0.01,Boulder,0.6,0,0,0,0,0,0.6,No,Yes,34.672947,111.668385,,-111.6684275,34.6729101,,
Beaver,4/24/2022 18:49,Occupied,127,11.87,Pool,,108.204,0,Sand,0.35,0,0,0,0,0,0.35,No,Yes,34.672994,111.668424,Visually confirmed with 12 others. silt substrate,-111.6684074,34.6729844,,
Beaver,4/24/2022 19:41,Occupied,129,7.63,Pool,,62.484,0,Boulder,0.6,0,0,0,0,0,0.6,No,Yes,34.672566,111.667602,,-111.6676231,34.672432,,
Beaver,4/24/2022 19:36,Occupied,131,12.8,Pool,,118.872,0,Sand,0,0,0,0,0,0,0,No,Yes,34.672419,111.667704,Silt substrate,-111.6677025,34.6724807,,Changed sand substrate to silt as directed by 'note'
Beaver,4/24/2022 19:43,Occupied,133,5.45,Pool,,62.484,0,Cobble,0.3,0,0,0,0,0,0.3,No,Yes,34.672525,111.667714,Visual confirmation with 4 others,-111.6677824,34.6723841,,
Beaver,4/24/2022 21:41,Occupied,134,8.18,Pool,,82.296,0,Sand,0,0,0,0,0,0,0,No,Yes,34.673012,111.66627,,-111.6662368,34.6730268,,
Beaver,4/24/2022 22:10,Occupied,135,12.24,Pool,,73.152,0.08,Bedrock,0,0,0,0,0,0,0,No,Yes,34.672959,111.666567,,-111.6666631,34.6729936,,
Beaver,4/24/2022 21:15,Occupied,141,,Riffle,,45.72,0.08,Boulder,0.8,0,0,0,0,0,0.8,No,Yes,34.672641,111.666807,Visual confirmation,-111.6668667,34.6727352,,
Beaver,4/23/2022 23:36,Occupied,143,10.14,Riffle,,21.336,0.13,Boulder,0.7,0.1,0,0,0,0,0.8,No,Yes,34.673938,111.67109,,-111.6712125,34.6740149,,
Beaver,4/24/2022 21:45,Occupied,146,6.87,Pool,,94.488,0.01,Sand,0.2,0,0,0,0,0,0.2,No,No,34.673079,111.666174,,-111.6662114,34.6730982,,
Beaver,4/24/2022 21:07,Occupied,147,9.09,Pool,,54.864,0.12,Cobble,0.05,0,0,0,0,0,0.05,No,Yes,34.672489,111.666974,Visually confirmed,-111.6670459,34.6725791,,
Beaver,4/24/2022 19:23,Occupied,148,12.8,Pool,,73.152,0.04,Pebble,0.1,0,0,0,0,0,0.1,No,Yes,34.672611,111.667891,"With 5 others, not utilizing cover",-111.6679307,34.6725795,,
Beaver,4/24/2022 22:01,Occupied,151,8.14,Pool,,54.864,0,Cobble,0,0,0,0,0,0,0,No,No,34.67296,111.666679,,-111.6668373,34.6729346,,
Beaver,4/24/2022 22:20,Occupied,152,9.82,Pool,,25.908,0.05,Boulder,0.3,0,0,0,0,0,0.3,No,No,34.673,111.666419,,-111.6664526,34.673025,,
Beaver,4/24/2022 22:14,Occupied,154,10.35,Pool,,65.532,0.01,Bedrock,0,0,0,0,0,0,0,No,No,34.672939,111.666605,,-111.6665865,34.6730167,,
Beaver,4/24/2022 22:05,Occupied,155,5.3,Pool,,82.296,0,Cobble,0.3,0,0,0,0,0,0.3,No,No,34.672937,111.666663,,-111.6666835,34.6729517,,
Beaver,4/24/2022 0:10,Occupied,159,14.07,Pool,,67.056,0.01,Cobble,0,0,0,0,0,0,0,No,Yes,34.674015,111.670812,,-111.6708439,34.674068,,
Beaver,4/23/2022 22:02,Available,NA,7.4,Pool,,>150,Na,Sand,0.2,0,0,0.05,0,0,0.25,No,No,34.674752,111.672528,,-111.6722708,34.6748276,,
Beaver,4/23/2022 22:09,Available,NA,7.6,Pool,,42.672,0,Pebble,0.1,0,0,0,0,0,0.1,No,Yes,34.674758,111.672353,,-111.6724008,34.6748787,,
Beaver,4/23/2022 22:13,Available,NA,5.7,Riffle,,44.196,0.07,Boulder,0.4,0.1,0,0,0,0,0.5,No,Yes,34.674747,111.672303,,-111.6723428,34.6748243,,
Beaver,4/23/2022 22:17,Available,NA,5.1,Riffle,,32.004,0.33,Boulder,0.3,0.1,0,0,0,0,0.4,No,Yes,34.674706,111.672286,,-111.6722919,34.6747687,,
Beaver,4/23/2022 22:20,Available,NA,5.17,Riffle,,30.48,0.04,Boulder,0.4,0,0,0,0,0,0.4,No,Yes,34.67468,111.672279,,-111.6722892,34.6747033,,
Beaver,4/23/2022 22:21,Available,NA,2,Riffle,,24.384,0.6,Boulder,0.5,0.1,0,0,0,0,0.6,No,Yes,34.674633,111.672311,,-111.6722505,34.6746884,,
Beaver,4/23/2022 22:26,Available,NA,5,Riffle,,15.24,0.12,Cobble,0.1,0,0,0,0,0,0.1,No,Yes,34.674586,111.672283,,-111.6722709,34.674598,,
Beaver,4/23/2022 22:28,Available,NA,8,Riffle,,15.24,0.29,Sand,0.3,0,0,0,0,0,0.3,No,Yes,34.674547,111.672257,,-111.6722534,34.6745686,,
Beaver,4/23/2022 22:29,Available,NA,9.5,Pool,,51.816,0.01,Cobble,0.2,0,0,0,0,0,0.2,No,No,34.674519,111.67233,,-111.6722711,34.6745838,,
Beaver,4/23/2022 22:32,Available,NA,13.69,Pool,,102.108,0,Cobble,0,0,0,0,0,0,0,No,Yes,34.674427,111.672332,,-111.672324,34.6745,,
Beaver,4/23/2022 22:35,Available,NA,17.8,Pool,,108.204,0.01,Silt,0,0,0,0,0,0,0,No,Yes,34.674366,111.67229,Silt substrate,-111.6723298,34.6744069,,
Beaver,4/23/2022 22:38,Available,NA,17.5,Pool,,>150,na,Sand,0,0,0,0,0,0,0,No,Yes,34.674348,111.672225,,-111.6722641,34.6744416,,
Beaver,4/23/2022 22:41,Available,NA,16.95,Pool,,>150,Na,NA,0,0,0,0,0,0,0,No,No,34.674364,111.672155,,-111.6721856,34.6743744,,
Beaver,4/23/2022 22:43,Available,NA,17.43,Pool,,>150,Na,NA,0,0,0,0,0,0,0,No,Yes,34.674199,111.672174,,-111.6721884,34.6743316,,
Beaver,4/23/2022 22:46,Available,NA,14.72,Pool,,36.576,0,Cobble,0.1,0,0,0,0,0,0.1,No,Yes,34.67414,111.672114,,-111.6721385,34.6742446,,
Beaver,4/23/2022 22:49,Available,NA,11.24,Pool,,73.152,0.02,Pebble,0.2,0,0,0,0,0,0.2,No,Yes,34.67405,111.672094,,-111.6720983,34.6742164,,
Beaver,4/23/2022 22:53,Available,NA,9.6,Pool,,27.432,0.01,Boulder,0.4,0,0,0,0,0,0.4,No,No,34.674054,111.671913,,-111.6720116,34.6741562,,
