ObjectID,Stream,Creation Date,Site Type ,Tag Number,Stream Width (m),Mesohabitat,Other - Mesohabitat,Depth (cm),Velocity (m/s),Substrate,Substrate Feature,Surface Turbulence ,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation ,Undercut Bank,NA,Canopy Cover,Longitude (N),Latitude (W),Notes,x,y,Data Changes
1,Wet Beaver,11/18/2022 18:19,Available,NA,5,Pool,,>150,Na,Bedrock,.00,.00,.00,.00,.00,.00,No,No,34.674895,111.672360,,-111.6718976,34.67433236,
2,Wet Beaver,11/18/2022 18:27,Available,NA,5.1,Riffle,,48,0.40,Cobble,.00,.00,.00,.00,.00,.00,No,Yes,34.674766,111.672254,,-111.6723763,34.67485238,
3,Wet Beaver,11/18/2022 18:29,Available,NA,6.2,Riffle,,33,0.09,Pebble,.00,.00,.00,.00,.00,.00,No,Yes,34.674726,111.672275,,-111.6723603,34.67481043,
4,Wet Beaver,11/18/2022 18:31,Available,NA,2.6,Riffle,,45,0.36,Cobble,.00,.10,.00,.00,.00,.00,No,Yes,34.674647,111.672286,,-111.6723302,34.6747159,
5,Wet Beaver,11/18/2022 18:33,Available,NA,4.9,Riffle,,24,0.36,Cobble,.00,.05,.00,.00,.00,.00,No,Yes,34.674551,111.672285,,-111.6722903,34.67465148,
6,Wet Beaver,11/18/2022 18:34,Available,NA,8.2,Pool,,30,0.06,Pebble,.00,.00,.00,.00,.00,.00,No,Yes,34.674474,111.672338,,-111.6723376,34.67454023,
7,Wet Beaver,11/18/2022 18:35,Available,NA,13.8,Pool,,46,0.03,Gravel,.00,.00,.00,.00,.00,.00,No,Yes,34.674452,111.672277,,-111.6723306,34.67453491,
8,Wet Beaver,11/18/2022 18:37,Available,NA,13.4,Pool,,>150,Na,Silt,.00,.00,.00,.00,.00,.00,No,Yes,34.674433,111.672261,,-111.6722552,34.67444575,
9,Wet Beaver,11/18/2022 18:38,Available,NA,16,Pool,,58,0.0,Silt,.00,.00,.00,.00,.00,.00,No,Yes,34.674301,111.672189,,-111.6721965,34.67432408,
10,Wet Beaver,11/18/2022 18:40,Available,NA,17.4,Pool,,>150,Na,Silt,.00,.00,.00,.00,.00,.00,No,Yes,34.674224,111.672142,,-111.6721671,34.67425821,
11,Wet Beaver,11/18/2022 18:42,Occupied,106,18.3,Pool,,>150,Na,NA,.00,.00,.00,.00,.00,.00,No,Yes,34.674217,111.672143,,-111.6721202,34.67415867,
12,Wet Beaver,11/18/2022 18:44,Available,NA,13.2,Pool,,>150,Na,NA,.00,.00,.00,.00,.00,.00,No,Yes,34.674178,111.672095,,-111.6721636,34.67412173,
13,Wet Beaver,11/18/2022 18:45,Available,NA,9.5,Pool,,38,0,Cobble,.00,.00,.00,.00,.00,.00,No,Yes,34.674177,111.672037,,-111.6720823,34.67416845,
14,Wet Beaver,11/18/2022 18:47,Available,NA,8.3,Pool,,44,0.05,Pebble,.00,.00,.00,.00,.00,.00,No,No,34.674166,111.671910,,-111.6719979,34.67407209,
15,Wet Beaver,11/18/2022 18:48,Available,NA,10,Run,,32,0.06,Boulder,.10,.00,.00,.00,.00,.00,No,No,34.674140,111.671826,,-111.6719348,34.67409677,
16,Wet Beaver,11/18/2022 18:49,Available,NA,5.4,Riffle,,38,0,Gravel,.10,.00,.00,.00,.00,.00,No,,34.674078,111.671748,,-111.6718805,34.67407882,
17,Wet Beaver,11/18/2022 18:51,Available,NA,9,Riffle,,26,0.03,Gravel,.30,.00,.00,.00,.00,.00,No,No,34.674085,111.671698,,-111.6717472,34.67409915,
18,Wet Beaver,11/18/2022 18:53,Available,NA,7.1,Riffle,,34,0.05,Gravel,.05,.00,.00,.00,.00,.00,No,No,34.674118,111.671598,,-111.6716873,34.6740889,
19,Wet Beaver,11/18/2022 18:55,Occupied,112,7.4,Run,,58,0.10,Cobble,.00,.00,.00,.00,.00,.00,No,No,34.674077,111.671580,,-111.6715962,34.67406902,
20,Wet Beaver,11/18/2022 18:57,Occupied,104,7.2,Riffle,,36,0.04,Cobble,.00,.00,.00,.00,.00,.00,No,No,34.674084,111.671546,,-111.6715474,34.67406958,
