ObjectID,Stream ,Creation Date,Site Type ,Tag Number,Stream Width (m),Mesohabitat,Other - Mesohabitat,Depth (cm),Velocity (m/s),Substrate,Substrate Feature,Surface Turbulence ,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation ,Undercut Bank,NA,Canopy Cover,Longitude (N),Latitude (W),,x,y,Notes,Data Changes
488,Wet Beaver,10/21/2022 23:03,Occupied,108,8.60,Pool,,73,0.04,Cobble,.00,.00,.00,.00,.00,.00,No,Yes,34.672995,111.668453,,-111.6722383,34.67484477,,
440,Wet Beaver,10/21/2022 19:11,Occupied,112,7.3,Run,,58,0.13,Gravel,.20,.00,.00,.00,.00,.00,No,No,34.673959,111.671589,,-111.6724079,34.67485382,,
467,Wet Beaver,10/21/2022 22:08,Occupied,113,13.67,Riffle,,20,0.11,Cobble,.20,.00,.00,.00,.00,.00,No,Yes,34.673723,111.669703,,-111.6723604,34.67482244,,"Lat/long is located on West Clear Creek, but info and photo match up to Wet Beaver "
453,Wet Beaver,10/21/2022 19:41,Occupied,114,14.7,Pool,,134,0.01,Cobble,.00,.00,.00,.00,.00,.00,No,Yes,34.673991,111.670451,,-111.6723356,34.6747355,,
430,Wet Beaver,10/21/2022 18:53,Occupied,117,15.1,Pool,,100,0.0,Silt,.00,.00,.00,.30,.00,.00,No,Yes,34.674243,111.672140,,-111.6722668,34.67468082,,
479,Wet Beaver,10/21/2022 22:37,Occupied,121,8.06,Pool,,64,0.03,Pebble,.05,.00,.00,.00,.00,.00,No,No,34.673307,111.668985,,-111.6723248,34.67459144,,
461,Wet Beaver,10/21/2022 19:58,Occupied,124,4.5,Run,,70,0.08,Bedrock,.00,.00,.00,.00,.00,.00,No,No,34.673892,111.670123,,-111.6723304,34.6745504,,
491,Wet Beaver,10/21/2022 23:12,Occupied,125,10.42,Pool,,112,0.00,Cobble,.15,.00,.00,.00,.00,.00,No,Yes,34.672924,111.668300,,-111.6723658,34.67451429,,
493,Wet Beaver,10/21/2022 23:23,Occupied,131,5.17,Run,,53,0.00,Boulder,.20,.00,.00,.00,.00,.00,No,Yes,34.672716,111.668173,,-111.6722571,34.67443306,Added NA in canopy cover ,
483,Wet Beaver,10/21/2022 22:52,Occupied,133,6.34,Riffle,,20,0.17,Boulder,.40,.20,.00,.00,.00,.00,No,No,34.673191,111.668786,,-111.6721851,34.67431113,,
