ObjectID,Stream ,Creation Date,Site Type ,Tag Number,Species,Stream Width (m),Mesohabitat,Depth (cm),Velocity (m/s),Substrate,Substrate Feature,Surface Turbulence ,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation ,Undercut Bank,NA,Canopy Cover,Longitude (N),Latitude (W),Notes,,Data Edits,,,
8,Wet Beaver ,9/15/2022 18:45,Occupied,104,,12.69,Pool,100,0.01,Boulder,.60,.00,.00,.00,.00,.00,No,Yes,34.674499,111.672306,,,,,,
72,Wet Beaver ,9/15/2022 22:23,Occupied,110,,10.43,Pool,108,0.05,Cobble,.30,.00,.00,.00,.00,.00,No,Yes,34.672932,111.668395,Visually confirmed,,,,,
20,Wet Beaver ,9/15/2022 19:14,Occupied,112,,6.8,Run,62,0.01,Cobble,.30,.00,.00,.00,.00,.00,No,Yes,34.674041,111.671605,,,,,,
49,Wet Beaver ,9/15/2022 21:18,Occupied,113,,9.63,Riffle,14,0.16,Boulder,.10,.00,.00,.00,.00,.00,No,Yes,34.673614,111.669537,,,,,,
33,Wet Beaver ,9/15/2022 20:35,Occupied,114,,11.26,Pool,92,0,Sand,.00,.00,.00,.00,.00,.00,No,Yes,34.673929,111.670765,,,,,,
11,Wet Beaver ,9/15/2022 18:52,Occupied,117,,11.79,Pool,73,0,Sand,.00,.00,.00,.50,.00,.00,No,Yes,34.674328,111.672201,Potential mortality,,,,,
56,Wet Beaver ,9/15/2022 21:41,Occupied,120,,8.2,Pool,90,0.03,Gravel,.10,.00,.00,.00,.00,.00,No,Yes,34.673310,33.669258,,,,,,
59,Wet Beaver ,9/15/2022 21:50,Occupied,121,,8.43,Pool,47,0.14,Pebble,.10,.00,.00,.00,.00,.00,No,No,34.673287,111.669097,,,,,,
43,Wet Beaver ,9/15/2022 20:59,Occupied,124,,4.56,Riffle,30,0.47,Cobble,.05,.10,.00,.00,.00,.00,No,Yes,34.673836,111.670004,,,Changed to Occupied,,,
65,Wet Beaver ,9/15/2022 22:07,Occupied,125,,6.67,Riffle,20,0.31,Cobble,.00,.00,.00,.00,.00,.00,No,No,34.673113,111.668819,,,,,,
83,Wet Beaver ,9/15/2022 22:50,Occupied,127,,12.34,Pool,72,0.00,Sand,.00,.00,.00,.00,.00,.00,No,Yes,34.672484,111.667774,,,,,,
76,Wet Beaver ,9/15/2022 22:32,Occupied,131,,5.15,Pool,54,0.02,Cobble,.15,.00,.00,.00,.00,.00,No,Yes,34.672845,111.668343,,,,,,
63,Wet Beaver ,9/15/2022 22:01,Occupied,133,,6.03,Riffle,27,0.43,Cobble,.20,.00,.00,.00,.00,.00,No,No,34.673167,111.668935,No record,,,,,
26,Wet Beaver ,9/15/2022 20:20,Occupied,143,,11.65,Riffle,34,0.22,Cobble,.10,.00,.00,.00,.00,.00,No,Yes,34.674004,111.671243,,,Added NA to canopy cover,,, 
54,Wet Beaver ,9/15/2022 21:28,Occupied,147,,7.67,Pool,4,4,Pebble,.10,.00,.00,.00,.00,.00,No,No,34.673287,111.669097,With about 10 DS,,,,,
93,Wet Beaver ,9/15/2022 23:21,Occupied,148,,9.34,Pool,70,0.02,Cobble,.20,.00,.00,.00,.00,.00,No,No,34.672510,111.337104,,,,,,
106,Wet Beaver ,9/15/2022 23:57,Occupied,154,,7.62,Pool,69,0.00,Pebble,.00,.00,.00,.10,.00,.00,No,No,34.673034,111.666295,,,,,,
100,Wet Beaver ,9/15/2022 23:42,Occupied,155,,5.11,Riffle,18,0.30,Boulder,.45,.00,.00,.00,.00,.00,No,No,34.672877,111.666611,,,,,,
27,Wet Beaver ,9/15/2022 20:22,Occupied,159,,12.23,Riffle,27,0.81,Cobble,.05,.00,.00,.00,.00,.00,No,Yes,34.673995,111.671252,,,,,,
1,Wet Beaver ,9/15/2022 18:14,Available,NA,,4.89,Pool,57,0,Cobble,.10,.00,.00,.00,.00,.00,No,No,34.674918,111.672341,,,,,,
2,Wet Beaver ,9/15/2022 18:30,Available,NA,,3.665,Riffle,26,0,Cobble,.00,.05,.00,.00,.00,.00,No,Yes,34.674826,111.672214,,,,,,
3,Wet Beaver ,9/15/2022 18:32,Available,NA,,4.1,Riffle,26,0.03,Boulder,.60,.00,.00,.00,.00,.00,No,Yes,34.674746,111.672222,,,,,,
4,Wet Beaver ,9/15/2022 18:35,Available,NA,,2.117,Riffle,18,0.05,Cobble,.20,.00,.00,.00,.00,.00,No,Yes,34.674714,111.672235,,,,,,
5,Wet Beaver ,9/15/2022 18:38,Available,NA,,5.072,Riffle,18,0.11,Pebble,.20,.00,.00,.00,.00,.00,No,Yes,34.674622,111.672219,,,,,,
6,Wet Beaver ,9/15/2022 18:40,Available,NA,,9.7,Pool,40,0.04,Pebble,.00,.00,.00,.00,.00,.00,No,Yes,34.674531,111.672267,,,,,,
7,Wet Beaver ,9/15/2022 18:42,Available,NA,,NA,Pool,NA,NA,NA,.00,.00,.00,.00,.00,.00,No,NA,34.674530,111.672299,DEAD,,Changed to available because fish is dead,,,
9,Wet Beaver ,9/15/2022 18:47,Available,NA,,16.9,Pool,55,0.04,Gravel,.00,.00,.00,.25,.00,.00,No,Yes,34.674494,111.672270,,,,,,
10,Wet Beaver ,9/15/2022 18:49,Available,NA,,12.6,Pool,110,0,Sand,.00,.00,.00,.00,.00,.00,No,Yes,34.674375,111.672242,,,,,,
12,Wet Beaver ,9/15/2022 18:56,Available,NA,,15,Pool,>150,NA,Sand,.00,.00,.00,.00,.00,.00,No,Yes,34.674293,111.672177,,,,,,
13,Wet Beaver ,9/15/2022 18:58,Available,NA,,14.9,Pool,>150,NA,Sand,.00,.00,.00,.00,.00,.00,No,Yes,34.674274,111.672157,,,,,,
14,Wet Beaver ,9/15/2022 19:00,Available,NA,,12.65,Pool,24,0,Sand,.00,.00,.00,.00,.00,.00,No,NA,34.674233,111.672119,,,,,,
15,Wet Beaver ,9/15/2022 19:02,Available,NA,,9.3,Pool,28,0.04,Cobble,.00,.00,.00,.00,.00,.00,No,Yes,34.674129,111.671973,,,,,,
16,Wet Beaver ,9/15/2022 19:06,Available,NA,,7.4,Pool,25,0.02,Boulder,.30,.00,.00,.00,.00,.00,No,No,34.674093,111.671921,,,,,,
