,Tag,ObjectID,Stream,Month,Site Type,Stream Width,Mesohabitat,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Data Change,Creation Date,Species,Weight,Length,Capture Method,Capture Date,Release,Notes.y
1,104,20,Beaver,December,Occupied,6.7,Run,36,0.26,Cobble,0.1,0,0,0,0,0,0.1,No,34.673953,111.671636,NA,NA,12/4/2022 19:03,Black Bass,140,217,Backpack Shocker,11/3/2022,NA,NA
2,108,74,Beaver,December,Occupied,7.813,Run,52,0.02,Cobble,0,0,0,0,0,0,0,Yes,34.673002,111.668481,NA,NA,12/4/2022 21:31,Black Bass,109,215,Backpack Shocker,11/12/2022,NA,NA
3,124,52,Beaver,December,Occupied,6.6,Riffle,21,0.08,Cobble,0,0.05,0,0,0,0,0.05,Yes,34.673701,111.669594,NA,NA,12/4/2022 20:45,Desert Sucker,121,221,Backpack Shocker,11/12/2022,NA,Male
4,125,79,Beaver,December,Occupied,7.6,Pool,42,0.07,Cobble,0.5,0,0,0,0,0,0.5,No,34.672835,111.66824,NA,NA,12/4/2022 21:43,Black Bass,103,202,Backpack Shocker,11/12/2022,NA,Riffles
5,131,87,Beaver,December,Occupied,11.2,Pool,60,0.03,Gravel,0,0,0,0,0,0,0,Yes,34.672523,111.667806,NA,NA,12/4/2022 22:10,Black Bass,82,191,Backpack Shocker,11/12/2022,NA,Riffles
6,143,22,Beaver,December,Occupied,5.1,Run,46,0.13,Cobble,0.2,0,0,0,0,0,0.2,Yes,34.673973,111.671445,NA,NA,12/4/2022 19:09,Desert Sucker,76,189,Hoop Net,11/27/2022,Top of Reach,NA
7,147,66,Beaver,December,Occupied,7.866,Run,69,0.04,Cobble,0.1,0,0,0,0,0,0.1,No,34.673358,111.668981,NA,NA,12/4/2022 21:16,Desert Sucker,88,198,Backpack Shocker,11/16/2022,NA,riffle
8,151,116,Beaver,December,Occupied,4.4,Pool,37,0.06,Cobble,0.05,0,0,0,0,0,0.05,No,34.673083,111.666333,NA,NA,12/4/2022 23:21,Black Bass,137,227,Backpack Shocker,11/16/2022,NA,NA
9,153,115,Beaver,December,Occupied,4.8,Pool,32,0.07,Cobble,0,0,0,0,0,0,0,No,34.673101,111.666307,NA,NA,12/4/2022 23:19,Black Bass,112,208,Backpack Shocker,11/16/2022,NA,Pool
10,154,110,Beaver,December,Occupied,7,Pool,92,0,Cobble,0.5,0,0,0,0,0,0.5,No,34.673091,111.666261,NA,NA,12/4/2022 23:09,Black Bass,75,181,Backpack Shocker,11/14/2022,NA,Pool
11,203,84,Beaver,December,Occupied,3.66,Riffle,48,0,Boulder,0.4,0,0,0,0,0,0.4,Yes,34.672781,111.66792,NA,NA,12/4/2022 22:03,Desert Sucker,NA,227,E-fishing,11/5/2022,NA,NA
12,204,83,Beaver,December,Occupied,NA,Riffle,32,0.91,Cobble,0.3,0,0,0,0,0,0.3,Yes,34.672723,111.668069,NA,Added NA to stream width,12/4/2022 22:00,Desert Sucker,NA,272,E-fishing,11/5/2022,NA,NA
13,206,93,Beaver,December,Occupied,3.7,Run,60,0.05,Boulder,0.6,0,0,0,0,0,0.6,Yes,34.672503,111.667505,NA,"Changed canopy to yes, confirmed with photo (canyon wall)",12/4/2022 22:26,Black Bass,NA,247,E-fishing,11/5/2022,NA,NA
14,208,77,Beaver,December,Occupied,9.235,Run,72,0.01,Cobble,0,0,0,0,0,0,0,Yes,34.672946,111.668376,NA,"changed substrate from silt to cobble, not clear in photo but changed to cobble based on surrounding substrate and site type.",12/4/2022 21:38,Black Bass,NA,270,E-fishing,11/5/2022,NA,NA
15,210,27,Beaver,December,Occupied,11.4,Riffle,42,0.1,Cobble,0,0,0,0,0.05,0,0.05,Yes,34.673925,111.67116,NA,Changed canopy to Yes based on photo,12/4/2022 19:18,Black Bass,NA,232,E-fishing,11/5/2022,NA,NA
16,211,34,Beaver,December,Occupied,14.7,Pool,48,0.01,Pebble,0,0,0,0,0,0,0,Yes,34.673973,111.670786,NA,NA,12/4/2022 20:15,Black Bass,NA,216,E-fishing,11/5/2022,NA,NA
17,212,60,Beaver,December,Occupied,7.888,Run,40,0,Pebble,0.05,0,0,0,0,0,0.05,Yes,34.673508,111.669207,NA,"Changed canopy cover, confirmed in photo.",12/4/2022 21:04,Black Bass,NA,228,E-fishing,11/5/2022,NA,NA
18,215,7,Beaver,December,Occupied,2.9,Riffle,26,0.3,Cobble,0.2,0.1,0,0,0,0,0.3,NA,34.674556,111.672336,NA,Added NA to Canopy.,12/4/2022 18:40,Desert Sucker,NA,247,E-fishing,11/5/2022,NA,NA
19,219,62,Beaver,December,Occupied,9.74,Run,66,0.03,Cobble,0,0,0,0,0,0,0,Yes,34.673434,111.669184,NA,NA,12/4/2022 21:08,Black Bass,NA,283,E-fishing,11/5/2022,NA,Pretty sure it was 219 but not positive
20,221,45,Beaver,December,Occupied,5.6,Run,76,0.08,Bedrock,0,0,0,0,0,0,0,No,34.673886,111.670095,NA,NA,12/4/2022 20:33,Desert Sucker,NA,250,E-fishing,11/5/2022,NA,NA
21,222,37,Beaver,December,Occupied,13.6,Pool,>150,NA,Silt,0,0,0,0,0,0,0,Yes,34.673959,111.670626,NA,changed to >150 from >200,12/4/2022 20:21,Desert Sucker,NA,267,E-fishing,11/5/2022,NA,NA
22,223,59,Beaver,December,Occupied,8.311,Pool,67,0.06,Pebble,0,0,0,0,0,0,0,Yes,34.673481,111.669229,NA,NA,12/4/2022 21:02,Black Bass,NA,243,E-fishing,11/5/2022,NA,NA
23,225,28,Beaver,December,Occupied,10.1,Riffle,29,0,Cobble,0.15,0,0,0,0,0,0.15,Yes,34.67391,111.671096,NA,NA,12/4/2022 19:19,Black Bass,NA,266,E-fishing,11/5/2022,NA,NA
24,226,35,Beaver,December,Occupied,12.7,Pool,34,0,Silt,0,0,0,0.6,0,0,0.6,Yes,34.673908,111.670704,NA,NA,12/4/2022 20:17,Black Bass,NA,253,E-fishing,11/5/2022,NA,NA
25,227,8,Beaver,December,Occupied,2.9,Riffle,24,0.08,Cobble,0.1,0.2,0,0,0,0,0.3,Yes,34.674558,111.672329,NA,NA,12/4/2022 18:42,Desert Sucker,NA,251,E-fishing,11/5/2022,NA,NA
26,228,4,Beaver,December,Occupied,3.45,Riffle,41,0,Cobble,0,0.1,0,0,0,0,0.1,Yes,34.674665,111.672301,NA,NA,12/4/2022 18:34,Desert Sucker,NA,221,E-fishing,11/5/2022,NA,NA
27,NA,1,Beaver,December,Available,5.6,Pool,72,0.07,Bedrock,0,0,0,0,0,0,0,Yes,34.674743,111.672476,NA,NA,12/4/2022 18:26,NA,NA,NA,NA,NA,NA,NA
28,NA,2,Beaver,December,Available,5.6,Pool,>150,NA,Bedrock,0,0,0,0,0,0,0,No,34.674753,111.67241,NA,NA,12/4/2022 18:30,NA,NA,NA,NA,NA,NA,NA
29,NA,3,Beaver,December,Available,4.9,Riffle,56,0.03,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.6747,111.672293,NA,NA,12/4/2022 18:32,NA,NA,NA,NA,NA,NA,NA
30,NA,17,Beaver,December,Available,7.6,Run,33,0.05,Gravel,0.1,0,0,0,0,0,0.1,Yes,34.674019,111.671838,NA,NA,12/4/2022 18:58,NA,NA,NA,NA,NA,NA,NA
31,NA,5,Beaver,December,Available,4.3,Riffle,36,0.3,Cobble,0.15,0.05,0,0,0,0,0.2,Yes,34.674639,111.672295,NA,NA,12/4/2022 18:36,NA,NA,NA,NA,NA,NA,NA
32,NA,6,Beaver,December,Available,2.3,Riffle,19,0,Cobble,0,0.05,0,0,0,0,0.05,Yes,34.674596,111.672317,NA,NA,12/4/2022 18:38,NA,NA,NA,NA,NA,NA,NA
33,NA,33,Beaver,December,Available,13.4,Pool,39,0.02,Pebble,0.1,0,0,0,0,0,0.1,Yes,34.674031,111.670815,NA,NA,12/4/2022 19:28,NA,NA,NA,NA,NA,NA,NA
34,NA,21,Beaver,December,Available,6,Riffle,18,0.13,Boulder,0.35,0,0,0,0,0,0.35,No,34.673993,111.671563,NA,NA,12/4/2022 19:05,NA,NA,NA,NA,NA,NA,NA
35,NA,9,Beaver,December,Available,6,Riffle,19,0.29,Pebble,0,0,0,0,0,0,0,Yes,34.674534,111.672321,NA,NA,12/4/2022 18:43,NA,NA,NA,NA,NA,NA,NA
36,NA,10,Beaver,December,Available,10.4,Pool,57,0.02,Pebble,0,0,0,0,0,0,0,Yes,34.674487,111.672277,NA,NA,12/4/2022 18:44,NA,NA,NA,NA,NA,NA,NA
37,NA,11,Beaver,December,Available,13.4,Pool,>150,NA,NA,0,0,0,0,0,0,0,Yes,34.674309,111.672271,NA,NA,12/4/2022 18:46,NA,NA,NA,NA,NA,NA,NA
38,NA,12,Beaver,December,Available,16.3,Pool,>150,NA,NA,0,0,0,0,0,0,0,Yes,34.674234,111.672247,NA,NA,12/4/2022 18:49,NA,NA,NA,NA,NA,NA,NA
39,NA,13,Beaver,December,Available,18.3,Pool,36,0,Silt,0,0,0,0,0,0,0,Yes,34.671143,111.672194,NA,NA,12/4/2022 18:51,NA,NA,NA,NA,NA,NA,NA
40,NA,14,Beaver,December,Available,11.4,Pool,82,0.02,Boulder,0.2,0,0,0,0,0,0.2,Yes,34.674054,111.672132,NA,NA,12/4/2022 18:53,NA,NA,NA,NA,NA,NA,NA
