,Tag,ObjectID,Stream,Month,Creation Date,Site Type,Stream Width,Mesohabitat,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Data Change,Species,Weight,Length,Capture Method,Capture Date,Release,Notes.y
1,108,488,Beaver,October,10/21/2022 23:03,Occupied,8.6,Pool,73,0.04,Cobble,0,0,0,0,0,0,0,Yes,34.672995,111.668453,NA,NA,Black Bass,109,215,Backpack Shocker,11/12/2022,NA,NA
2,112,440,Beaver,October,10/21/2022 19:11,Occupied,7.3,Run,58,0.13,Gravel,0.2,0,0,0,0,0,0.2,No,34.673959,111.671589,NA,NA,Black Bass,90,192,Backpack Shocker,11/3/2022,NA,NA
3,113,467,Beaver,October,10/21/2022 22:08,Occupied,13.67,Riffle,20,0.11,Cobble,0.2,0,0,0,0,0,0.2,Yes,34.673723,111.669703,NA,"Lat/long is located on West Clear Creek, but info and photo match up to Wet Beaver",Desert Sucker,101,192,Backpack Shocker,11/3/2022,NA,NA
4,114,453,Beaver,October,10/21/2022 19:41,Occupied,14.7,Pool,134,0.01,Cobble,0,0,0,0,0,0,0,Yes,34.673991,111.670451,NA,NA,Desert Sucker,91,196,Backpack Shocker,11/3/2022,NA,NA
5,117,430,Beaver,October,10/21/2022 18:53,Occupied,15.1,Pool,100,0,Silt,0,0,0,0.3,0,0,0.3,Yes,34.674243,111.67214,NA,NA,Desert Sucker,121,221,Backpack Shocker,11/3/2022,NA,NA
6,121,479,Beaver,October,10/21/2022 22:37,Occupied,8.06,Pool,64,0.03,Pebble,0.05,0,0,0,0,0,0.05,No,34.673307,111.668985,NA,NA,Desert Sucker,86,192,Backpack Shocker,11/12/2022,NA,NA
7,124,461,Beaver,October,10/21/2022 19:58,Occupied,4.5,Run,70,0.08,Bedrock,0,0,0,0,0,0,0,No,34.673892,111.670123,NA,NA,Desert Sucker,121,221,Backpack Shocker,11/12/2022,NA,Male
8,125,491,Beaver,October,10/21/2022 23:12,Occupied,10.42,Pool,112,0,Cobble,0.15,0,0,0,0,0,0.15,Yes,34.672924,111.6683,NA,NA,Black Bass,103,202,Backpack Shocker,11/12/2022,NA,Riffles
9,131,493,Beaver,October,10/21/2022 23:23,Occupied,5.17,Run,53,0,Boulder,0.2,0,0,0,0,0,0.2,Yes,34.672716,111.668173,Added NA in canopy cover,NA,Black Bass,82,191,Backpack Shocker,11/12/2022,NA,Riffles
10,133,483,Beaver,October,10/21/2022 22:52,Occupied,6.34,Riffle,20,0.17,Boulder,0.4,0.2,0,0,0,0,0.6,No,34.673191,111.668786,NA,NA,Desert Sucker,75,193,Backpack Shocker,11/12/2022,NA,Riffles
