ObjectID,Creation Date,Site Type ,Tag,Stream Width (m),Mesohabitat,Other - Mesohabitat,Depth cm,Velocity ms,Substrate,Substrate Feature,Surface Turbulence ,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation ,Undercut Bank,Instream Canopy,NA,Canopy Cover,Longitude (N),Latitude (W),Notes,x,y,Data Changes
20,12/4/2022 19:03,Occupied,104,6.7,Run,,36,0.26,Cobble,0.1,0,0,0,0,0,0.1,No,No,34.673953,111.671636,,0,0,
74,12/4/2022 21:31,Occupied,108,7.813,Run,,52,0.02,Cobble,0,0,0,0,0,0,0,No,Yes,34.673002,111.668481,,-111.6684875,34.67302694,
52,12/4/2022 20:45,Occupied,124,6.6,Riffle,,21,0.08,Cobble,0,0.05,0,0,0,0,0.05,No,Yes,34.673701,111.669594,,-111.6696716,34.67380363,
79,12/4/2022 21:43,Occupied,125,7.6,Pool,,42,0.07,Cobble,0.5,0,0,0,0,0,0.5,No,No,34.672835,111.66824,,-111.6683258,34.67284986,
87,12/4/2022 22:10,Occupied,131,11.2,Pool,,60,0.03,Gravel,0,0,0,0,0,0,0,No,Yes,34.672523,111.667806,,-111.6678952,34.67266067,
22,12/4/2022 19:09,Occupied,143,5.1,Run,,46,0.13,Cobble,0.2,0,0,0,0,0,0.2,No,Yes,34.673973,111.671445,,0,0,
66,12/4/2022 21:16,Occupied,147,7.866,Run,,69,0.04,Cobble,0.1,0,0,0,0,0,0.1,No,No,34.673358,111.668981,,-111.6689898,34.6733523,
116,12/4/2022 23:21,Occupied,151,4.4,Pool,,37,0.06,Cobble,0.05,0,0,0,0,0,0.05,No,No,34.673083,111.666333,,-111.6663083,34.67307846,
115,12/4/2022 23:19,Occupied,153,4.8,Pool,,32,0.07,Cobble,0,0,0,0,0,0,0,No,No,34.673101,111.666307,,-111.6662881,34.6730711,
110,12/4/2022 23:09,Occupied,154,7,Pool,,92,0,Cobble,0.5,0,0,0,0,0,0.5,No,No,34.673091,111.666261,,-111.666219,34.6731064,
84,12/4/2022 22:03,Occupied,203,3.66,Riffle,,48,0,Boulder,0.4,0,0,0,0,0,0.4,No,Yes,34.672781,111.66792,,-111.6680721,34.67272952,
83,12/4/2022 22:00,Occupied,204,NA,Riffle,,32,0.91,Cobble,0.3,0,0,0,0,0,0.3,No,Yes,34.672723,111.668069,,-111.6681246,34.67269241,Added NA to stream width
93,12/4/2022 22:26,Occupied,206,3.7,Run,,60,0.05,Boulder,0.6,0,0,0,0,0,0.6,No,Yes,34.672503,111.667505,,-111.6676342,34.67229751,"Changed canopy to yes, confirmed with photo (canyon wall)"
77,12/4/2022 21:38,Occupied,208,9.235,Run,,72,0.01,Cobble,0,0,0,0,0,0,0,No,Yes,34.672946,111.668376,,-111.6684329,34.67289607,"changed substrate from silt to cobble, not clear in photo but changed to cobble based on surrounding substrate and site type.    "
27,12/4/2022 19:18,Occupied,210,11.4,Riffle,,42,0.1,Cobble,0,0,0,0,0.05,0,0.05,No,Yes,34.673925,111.67116,,0,0,Changed canopy to Yes based on photo
34,12/4/2022 20:15,Occupied,211,14.7,Pool,,48,0.01,Pebble,0,0,0,0,0,0,0,No,Yes,34.673973,111.670786,,-111.6707897,34.67402525,
60,12/4/2022 21:04,Occupied,212,7.888,Run,,40,0,Pebble,0.05,0,0,0,0,0,0.05,No,Yes,34.673508,111.669207,,-111.6692614,34.6734897,"Changed canopy cover, confirmed in photo."
7,12/4/2022 18:40,Occupied,215,2.9,Riffle,,26,0.3,Cobble,0.2,0.1,0,0,0,0,0.3,No,NA,34.674556,111.672336,,0,0,Added NA to Canopy.
62,12/4/2022 21:08,Occupied,219,9.74,Run,,66,0.03,Cobble,0,0,0,0,0,0,0,No,Yes,34.673434,111.669184,,-111.6692271,34.67343838,
45,12/4/2022 20:33,Occupied,221,5.6,Run,,76,0.08,Bedrock,0,0,0,0,0,0,0,No,No,34.673886,111.670095,,-111.6701017,34.67393362,
37,12/4/2022 20:21,Occupied,222,13.6,Pool,,>150,NA,Silt,0,0,0,0,0,0,0,No,Yes,34.673959,111.670626,,-111.6706566,34.67403449,changed to >150 from >200
59,12/4/2022 21:02,Occupied,223,8.311,Pool,,67,0.06,Pebble,0,0,0,0,0,0,0,No,Yes,34.673481,111.669229,,-111.6692594,34.67355237,
28,12/4/2022 19:19,Occupied,225,10.1,Riffle,,29,0,Cobble,0.15,0,0,0,0,0,0.15,No,Yes,34.67391,111.671096,,0,0,
35,12/4/2022 20:17,Occupied,226,12.7,Pool,,34,0,Silt,0,0,0,0.6,0,0,0.6,No,Yes,34.673908,111.670704,,-111.6707882,34.67406894,
8,12/4/2022 18:42,Occupied,227,2.9,Riffle,,24,0.08,Cobble,0.1,0.2,0,0,0,0,0.3,No,Yes,34.674558,111.672329,,0,0,
4,12/4/2022 18:34,Occupied,228,3.45,Riffle,,41,0,Cobble,0,0.1,0,0,0,0,0.1,No,Yes,34.674665,111.672301,,0,0,
1,12/4/2022 18:26,Available,NA,5.6,Pool,,72,0.07,Bedrock,0,0,0,0,0,0,0,No,Yes,34.674743,111.672476,,0,0,
2,12/4/2022 18:30,Available,NA,5.6,Pool,,>150,NA,Bedrock,0,0,0,0,0,0,0,No,No,34.674753,111.67241,,0,0,
3,12/4/2022 18:32,Available,NA,4.9,Riffle,,56,0.03,Cobble,0.1,0,0,0,0,0,0.1,No,Yes,34.6747,111.672293,,0,0,
5,12/4/2022 18:36,Available,NA,4.3,Riffle,,36,0.3,Cobble,0.15,0.05,0,0,0,0,0.2,No,Yes,34.674639,111.672295,,0,0,
6,12/4/2022 18:38,Available,NA,2.3,Riffle,,19,0,Cobble,0,0.05,0,0,0,0,0.05,No,Yes,34.674596,111.672317,,0,0,
9,12/4/2022 18:43,Available,NA,6,Riffle,,19,0.29,Pebble,0,0,0,0,0,0,0,No,Yes,34.674534,111.672321,,0,0,
10,12/4/2022 18:44,Available,NA,10.4,Pool,,57,0.02,Pebble,0,0,0,0,0,0,0,No,Yes,34.674487,111.672277,,0,0,
11,12/4/2022 18:46,Available,NA,13.4,Pool,,>150,NA,NA,0,0,0,0,0,0,0,No,Yes,34.674309,111.672271,,0,0,
12,12/4/2022 18:49,Available,NA,16.3,Pool,,>150,NA,NA,0,0,0,0,0,0,0,No,Yes,34.674234,111.672247,,0,0,
13,12/4/2022 18:51,Available,NA,18.3,Pool,,36,0,Silt,0,0,0,0,0,0,0,No,Yes,34.671143,111.672194,,0,0,
14,12/4/2022 18:53,Available,NA,11.4,Pool,,82,0.02,Boulder,0.2,0,0,0,0,0,0.2,No,Yes,34.674054,111.672132,,0,0,
15,12/4/2022 18:54,Available,NA,9.5,Pool,,27,0.01,Pebble,0.15,0,0,0,0,0,0.15,No,No,34.674049,111.671992,,0,0,
16,12/4/2022 18:56,Available,NA,10.5,Pool,,25,0,Cobble,0,0,0,0,0,0,0,No,No,34.674031,111.671896,,0,0,
17,12/4/2022 18:58,Available,NA,7.6,Run,,33,0.05,Gravel,0.1,0,0,0,0,0,0.1,No,Yes,34.674019,111.671838,,0,0,
18,12/4/2022 18:59,Available,NA,7.6,Riffle,,26,0,Boulder,0.35,0,0,0,0,0,0.35,No,Yes,34.673945,111.671734,,0,0,
19,12/4/2022 19:01,Available,NA,7.9,Run,,50,0,Gravel,0,0,0,0,0,0,0,No,No,34.673973,111.671638,,0,0,
21,12/4/2022 19:05,Available,NA,6,Riffle,,18,0.13,Boulder,0.35,0,0,0,0,0,0.35,No,No,34.673993,111.671563,,0,0,
23,12/4/2022 19:11,Available,NA,5.3,Run,,26,0,Gravel,0.1,0,0,0,0,0,0.1,No,Yes,34.673992,111.671417,,0,0,
24,12/4/2022 19:12,Available,NA,8.9,Riffle,,18,0,Cobble,0,0.1,0,0,0,0,0.1,No,Yes,34.674044,111.671291,,0,0,
25,12/4/2022 19:15,Available,NA,10.3,Riffle,,14,0.28,Cobble,0,0,0,0,0,0,0,No,Yes,34.673989,111.671257,,0,0,
26,12/4/2022 19:16,Available,NA,11.4,Riffle,,44,0,Cobble,0.2,0,0,0,0,0,0.2,No,NA,34.673981,111.671212,,0,0,Added NA to Canopy.
29,12/4/2022 19:22,Available,NA,10.1,Riffle,,23,0,Cobble,0.2,0,0,0,0,0,0.2,No,Yes,34.673896,111.671084,,0,0,
30,12/4/2022 19:23,Available,NA,14.2,Riffle,,22,0,Pebble,0,0,0,0,0,0,0,No,Yes,34.673893,111.671033,,0,0,
31,12/4/2022 19:24,Available,NA,11.9,Riffle,,22,0,Cobble,0,0,0,0,0,0,0,No,No,34.673926,111.670906,,0,0,
32,12/4/2022 19:26,Available,NA,14.3,Pool,,43,0.05,Pebble,0,0,0,0,0,0,0,No,Yes,34.673974,111.670832,,0,0,
33,12/4/2022 19:28,Available,NA,13.4,Pool,,39,0.02,Pebble,0.1,0,0,0,0,0,0.1,No,Yes,34.674031,111.670815,,-111.6708427,34.67401624,
36,12/4/2022 20:20,Available,NA,12.7,Pool,,48,0.01,Silt,0,0,0,0,0,0,0,No,Yes,34.673941,111.670654,,-111.6706562,34.67403482,
38,12/4/2022 20:24,Available,NA,13.6,Pool,,>150,NA,Silt,0,0,0,0,0,0,0,No,Yes,34.674064,111.670634,,-111.6706255,34.67407482,
39,12/4/2022 20:24,Available,NA,13.6,Pool,,>150,NA,Silt,0,0,0,0,0,0,0,No,Yes,34.674057,111.670547,,-111.6706128,34.67407566,
40,12/4/2022 20:26,Available,NA,13.8,Pool,,>150,NA,NA,0,0,0,0,0,0,0,No,No,34.67399,111.670446,,-111.6705476,34.6740299,
41,12/4/2022 20:28,Available,NA,11.4,Pool,,12,0.04,Bedrock,0,0,0,0,0,0,0,No,No,34.673929,111.670354,,-111.6704565,34.67402444,
42,12/4/2022 20:29,Available,NA,7.3,Pool,,35,0.07,Bedrock,0,0,0,0,0,0,0,No,Yes,34.67393,111.67028,,-111.6703236,34.67400886,
43,12/4/2022 20:31,Available,NA,4.3,Run,,>150,NA,Bedrock,0,0,0,0,0,0,0,No,No,34.673942,111.670202,,-111.6702866,34.67396129,
44,12/4/2022 20:32,Available,NA,5.2,Run,,16,0.11,Bedrock,0,0,0,0,0,0,0,No,No,34.673908,111.670146,,-111.6701699,34.67398618,
46,12/4/2022 20:34,Available,NA,5.5,Run,,56,0.38,Boulder,0.2,0,0,0,0,0,0.2,No,Yes,34.673877,111.670066,,-111.6700582,34.67397105,
47,12/4/2022 20:35,Available,NA,5,Run,,76,0,Cobble,0,0,0,0,0,0,0,No,No,34.673896,111.670002,,-111.6700303,34.67397464,
48,12/4/2022 20:37,Available,NA,4,Riffle,,39,0.12,Bedrock,0,0,0,0,0,0,0,No,Yes,34.673873,111.669941,,-111.6700287,34.67390784,
49,12/4/2022 20:39,Available,NA,3.8,Riffle,,28,0.23,Cobble,0.1,0.15,0,0,0,0,0.25,No,Yes,34.673818,111.669875,,-111.6699642,34.67388544,
50,12/4/2022 20:41,Available,NA,5.3,Riffle,,20,0,Gravel,0.25,0,0,0,0,0,0.25,No,Yes,34.673827,111.669811,,-111.6698684,34.67385564,
51,12/4/2022 20:43,Available,NA,9,Riffle,,12,0.3,Pebble,0,0,0,0,0,0,0,No,Yes,34.673729,111.669644,,-111.6696757,34.67382461,
53,12/4/2022 20:47,Available,NA,6.627,Riffle,,31,0.11,Cobble,0,0,0,0,0,0,0,No,Yes,34.673697,111.669603,,-111.6695799,34.67370861,
54,12/4/2022 20:50,Available,NA,5.9,Riffle,,20,0.027,Pebble,0.1,0,0,0,0,0,0.1,No,Yes,34.67367,111.669546,,-111.669543,34.67368473,
55,12/4/2022 20:53,Available,NA,10.043,Riffle,,36,0.15,Cobble,0.1,0,0,0,0,0,0.1,No,Yes,34.673642,111.669419,,-111.6694325,34.67367903,
56,12/4/2022 20:55,Available,NA,9.237,Run,,25,0.09,Pebble,0,0,0,0,0,0,0,No,Yes,34.673584,111.66938,,-111.6693884,34.67362844,
57,12/4/2022 20:57,Available,NA,12.663,Pool,,99,0.01,Cobble,0,0,0,0,0,0,0,No,Yes,34.673513,111.669311,,-111.6692803,34.67357327,
58,12/4/2022 21:00,Available,NA,8.311,Pool,,30,0,Cobble,0,0,0,0,0,0,0,No,Yes,34.673532,111.669233,,-111.6692923,34.67350095,Changed to Available 
61,12/4/2022 21:06,Available,NA,5.017,Run,,33,0.17,Cobble,0.15,0,0,0,0,0,0.15,No,Yes,34.673527,111.66918,,-111.6692444,34.67347218,
63,12/4/2022 21:10,Available,NA,7.74,Riffle,,65,0.35,Boulder,0.3,0.15,0,0,0,0,0.45,No,Yes,34.673436,111.669165,,-111.669173,34.67342128,
64,12/4/2022 21:13,Available,NA,6.729,Run,,25,0.06,Cobble,0,0,0,0,0,0,0,No,No,34.673441,111.669061,,-111.6690463,34.6733716,
