ObjectID,Stream,Date,Tag.Number,Species,Site.Type,Stream.Width.m,Mesohabitat,Depth.cm,Velocity.ms,Substrate,Substrate Feature,Terrestrial Vegetation,Surface Turbulence,Woody Debris,Aquatic Vegetation,Instream Cover,Canopy.Cover,Latitude,Longitude,Notes.x,x,y,Data.Changes,Weight,Length,Capture Method,Capture Date,Release,Notes.y
27,Wet Beaver,2/26/2022 0:00,104,Black Bass,Occupied,7.1,Riffle,49,0.28,Cobble,0.2,0,0,0,0,0.2,Yes,-111.671495,34.674063,Base,-111.6715253,34.6741582,NA,140,217,Backpack Shocker,11/3/2022,NA,NA
16,Wet Beaver,2/26/2022 0:00,107,Black Bass,Occupied,14,Pool,>150,0,Cobble,0,0,0,0,0,0,Yes,-111.672098,34.674138,NA,-111.6720436,34.6741729,NA,79,191,Backpack Shocker,11/3/2022,NA,NA
26,Wet Beaver,2/26/2022 0:00,112,Black Bass,Occupied,8.3,Riffle,21,0.31,Boulder,0.75,0,0,0,0,0.75,Yes,-111.671508,34.674067,Treble,-111.6715169,`,NA,90,192,Backpack Shocker,11/3/2022,NA,NA
38,Wet Beaver,2/26/2022 0:00,159,Black Bass,Occupied,15,Pool,>150,0,Sand,0,0,0,0,0,0,Yes,-111.67064,34.674063,NA,-111.6706836,34.6740484,NA,138,228,Backpack Shocker,11/22/2022,NA,pool
21,Wet Beaver,2/26/2022 0:00,110,Desert Sucker,Occupied,10.7,Riffle,44,0.18,Cobble,0.1,0,0,0,0,0.1,Yes,-111.671808,34.674035,Verde,-111.6718137,34.6741426,NA,121,256,Backpack Shocker,11/3/2022,NA,NA
17,Wet Beaver,2/26/2022 0:00,111,Desert Sucker,Occupied,12.3,Pool,74,0.06,Pebble,0.1,0,0,0,0,0.1,Yes,-111.671928,34.674143,Fern the fish,-111.6720514,34.6741838,NA,114,207,Backpack Shocker,11/3/2022,NA,NA
9,Wet Beaver,2/26/2022 0:00,116,Desert Sucker,Occupied,17.3,Pool,43,0,Boulder,0.9,0,0,0,0,0.9,No,-111.672458,34.674412,Bimbo,-111.6723947,34.6744711,NA,86,201,Backpack Shocker,11/3/2022,NA,NA
2,Wet Beaver,2/26/2022 0:00,117,Desert Sucker,Occupied,4.8,Riffle,20,30.37,Cobble,0.4,0.1,0,0,0,0.5,Yes,-111.672345,34.674698,Primo,-111.6722856,34.6747141,NA,121,221,Backpack Shocker,11/3/2022,NA,NA
42,Wet Beaver,2/26/2022 0:00,NA,NA,Available,11,Pool,>150,0,Boulder,0,0,0,0,0,0,No,-111.670352,34.673957,Substrate is bedrock,-111.6704206,34.6740046,NA,NA,NA,NA,NA,NA,NA
3,Wet Beaver,2/26/2022 0:00,NA,NA,Available,6,Pool,>150,0,Sand,0,0,0,0,0,0,No,-111.672385,34.674838,NA,-111.6724013,34.674846,NA,NA,NA,NA,NA,NA,NA
4,Wet Beaver,2/26/2022 0:00,NA,NA,Available,4,Pool,63,0,Cobble,0,0,0,0,0,0,No,-111.672327,34.674802,NA,-111.672326,34.6748312,NA,NA,NA,NA,NA,NA,NA
5,Wet Beaver,2/26/2022 0:00,NA,NA,Available,2.6,Riffle,30,0.02,Boulder,0,0,0,0,0,0,Yes,-111.672293,34.674742,NA,-111.6722907,34.6747445,NA,NA,NA,NA,NA,NA,NA
6,Wet Beaver,2/26/2022 0:00,NA,NA,Available,3.6,Riffle,15,0.04,Boulder,0.3,0,0.6,0,0,0.9,Yes,-111.672308,34.674673,NA,-111.6722796,34.6746982,NA,NA,NA,NA,NA,NA,NA
7,Wet Beaver,2/26/2022 0:00,NA,NA,Available,2.7,Riffle,4,0.33,Pebble,0.3,0,0,0,0,0.3,Yes,-111.67235,34.674617,NA,-111.672322,34.6746148,NA,NA,NA,NA,NA,NA,NA
8,Wet Beaver,2/26/2022 0:00,NA,NA,Available,6.4,Riffle,18,0.12,Cobble,0.2,0,0,0,0,0.2,Yes,-111.672337,34.674517,NA,-111.6723391,34.674583,NA,NA,NA,NA,NA,NA,NA
