ObjectID,Stream,Date,Tag,Species,Site.Type,Stream.Width.m,Mesohabitat,Other...Mesohabitat,Depth.cm,Velocity.ms,Substrate,Substrate Feature,Terrestrial Vegetation,Surface Turbulence,Woody Debris,Aquatic Vegetation,Instream Cover,Canopy.Cover,Latitude,Longitude,Notes.x,Other...Mesohabitat.1,x,y,Data.Changes,Weight,Length,Capture Method,Capture Date,Release,Notes.y
74,Wet Beaver,3/14/2022 0:00,104,Black Bass,Occupied,8.9,Pool,NA,63,0,Cobble,0,0,0,0,0,0,Yes,-111.67141,34.674023,NA,NA,-111.6714848,34.6741042,NA,140,217,Backpack Shocker,11/3/2022,NA,NA
52,Wet Beaver,3/14/2022 0:00,106,Desert Sucker,Occupied,6.14,Riffle,NA,41,1.63,Boulder,0.15,0,0.1,0,0,0.25,Yes,-111.672262,34.674593,NA,NA,-111.6722751,34.6746042,NA,144,234,Backpack Shocker,11/3/2022,NA,NA
61,Wet Beaver,3/14/2022 0:00,107,Black Bass,Occupied,17.34,Pool,NA,>150,NA,Silt,0,0,0,0,0,0,Yes,-111.672117,34.674222,NA,NA,-111.6720625,34.6742262,NA,79,191,Backpack Shocker,11/3/2022,NA,NA
124,Wet Beaver,3/14/2022 0:00,108,Black Bass,Occupied,12.74,Pool,NA,48,0.22,Cobble,0.2,0,0,0,0,0.2,No,-111.668563,34.673007,Fin-ley,NA,-111.6686258,34.6730638,NA,109,215,Backpack Shocker,11/12/2022,NA,NA
68,Wet Beaver,3/14/2022 0:00,110,Desert Sucker,Occupied,8.7,Run,NA,56,0.15,Gravel,0.4,0,0,0,0,0.4,Yes,-111.671873,34.674072,NA,NA,-111.6717856,34.6741364,NA,121,256,Backpack Shocker,11/3/2022,NA,NA
62,Wet Beaver,3/14/2022 0:00,111,Desert Sucker,Occupied,17.75,Pool,NA,>150,NA,Silt,0,0,0,0,0,0,Yes,-111.672117,34.674222,NA,NA,-111.6720725,34.6741627,NA,114,207,Backpack Shocker,11/3/2022,NA,NA
73,Wet Beaver,3/14/2022 0:00,112,Black Bass,Occupied,10.42,Riffle,NA,41,0.5,Cobble,0.15,0,0,0,0,0.15,Yes,-111.671467,34.674063,NA,NA,-111.671494,34.6741259,NA,90,192,Backpack Shocker,11/3/2022,NA,NA
95,Wet Beaver,3/14/2022 0:00,113,Desert Sucker,Occupied,6.79,Riffle,NA,27,0.51,Boulder,0.5,0,0.3,0,0,0.8,No,-111.669903,34.673868,NA,NA,-111.6699721,34.6738799,NA,101,192,Backpack Shocker,11/3/2022,NA,NA
103,Wet Beaver,3/14/2022 0:00,114,Desert Sucker,Occupied,15.5,Riffle,NA,35,0,Pebble,0.5,0,0,0,0,0.5,Yes,-111.669557,34.673622,NA,NA,-111.6695977,34.6737214,NA,91,196,Backpack Shocker,11/3/2022,NA,NA
54,Wet Beaver,3/14/2022 0:00,116,Desert Sucker,Occupied,14.73,Pool,NA,42,0,Boulder,0.75,0,0,0,0,0.75,No,-111.672367,34.674412,NA,NA,-111.6723901,34.6745373,NA,86,201,Backpack Shocker,11/3/2022,NA,NA
51,Wet Beaver,3/14/2022 0:00,117,Desert Sucker,Occupied,6.1,Riffle,NA,21,1.76,Boulder,0.15,0,0.5,0,0,0.65,Yes,-111.67231,34.674673,NA,NA,-111.6723022,34.6745794,NA,121,221,Backpack Shocker,11/3/2022,NA,NA
112,Wet Beaver,3/14/2022 0:00,120,Black Bass,Occupied,12.8,Pool,NA,100,0.05,Cobble,0.15,0,0,0,0,0.15,Yes,-111.669202,34.67339,Recorded negative flow as positive bc kaitlyn told us to. Finn-igan,NA,-111.6692059,34.673389,NA,77,182,Backpack Shocker,11/12/2022,NA,NA
116,Wet Beaver,3/14/2022 0:00,121,Desert Sucker,Occupied,9.56,Pool,NA,67,0.02,Cobble,0.1,0,0,0,0,0.1,Yes,-111.668958,34.67326,NA,NA,-111.6689685,34.673341,NA,86,192,Backpack Shocker,11/12/2022,NA,NA
110,Wet Beaver,3/14/2022 0:00,124,Desert Sucker,Occupied,11.75,Pool,NA,35,0.3,Pebble,0,0,0.5,0,0,0.5,Yes,-111.669202,34.673408,Gill-bert,NA,-111.6693096,34.6734389,NA,121,221,Backpack Shocker,11/12/2022,NA,Male
133,Wet Beaver,3/14/2022 0:00,125,Black Bass,Occupied,7.11,Pool,NA,78,0,Boulder,0.1,0,0,0.1,0,0.2,Yes,-111.668152,34.672718,NA,NA,-111.6680439,34.6727025,NA,103,202,Backpack Shocker,11/12/2022,NA,Riffles
137,Wet Beaver,3/14/2022 0:00,129,Black Bass,Occupied,10.94,Riffle,NA,22,0.06,Pebble,0.1,0,0.2,0,0,0.3,No,-111.66798,34.672547,NA,NA,-111.6680471,34.6727324,NA,112,201,Backpack Shocker,11/12/2022,NA,Riffles
144,Wet Beaver,3/14/2022 0:00,131,Black Bass,Occupied,15.5,Pool,NA,95,0,Gravel,0,0,0,0,0,0,Yes,-111.667697,34.672385,Jeremy,NA,-111.6676122,34.6724341,NA,82,191,Backpack Shocker,11/12/2022,NA,Riffles
146,Wet Beaver,3/14/2022 0:00,133,Desert Sucker,Occupied,8.2,Pool,NA,NA,NA,Bedrock,0,0,0.7,0,0,0.7,Yes,-111.667593,34.6724,Gerald,NA,-111.6675634,34.672466,NA,75,193,Backpack Shocker,11/12/2022,NA,Riffles
173,Wet Beaver,3/14/2022 0:00,134,Black Bass,Available,7.45,Pool,NA,53,0.5,Gravel,0,0,0,0,0,0,Yes,-111.666518,34.673017,NAmed butter,NA,-111.6664108,34.6730315,NA,107,226,Backpack Shocker,11/13/2022,NA,Pool
159,Wet Beaver,3/14/2022 0:00,141,Desert Sucker,Occupied,7.38,Riffle,NA,49,0.46,Cobble,0.2,0,0.1,0,0,0.3,Yes,-111.666918,34.672633,NA,NA,-111.6669081,34.6726792,NA,76,180,Backpack Shocker,11/16/2022,NA,Pool
160,Wet Beaver,3/14/2022 0:00,147,Desert Sucker,Occupied,7.35,Riffle,NA,39,0.12,Cobble,0.2,0,0.3,0,0,0.5,No,-111.666885,34.672668,Pesto,NA,-111.6668903,34.6726696,NA,88,198,Backpack Shocker,11/16/2022,NA,riffle
156,Wet Beaver,3/14/2022 0:00,148,Desert Sucker,Occupied,10.24,Pool,NA,65,0.1,Cobble,0,0,0,0,0,0,Yes,-111.666992,34.672613,NA,NA,-111.6670061,34.6725661,NA,77,183,Backpack Shocker,11/16/2022,NA,pool
172,Wet Beaver,3/14/2022 0:00,152,Black Bass,Occupied,8.03,Pool,NA,53,0.22,Gravel,0.1,0,0,0.05,0,0.15,Yes,-111.666423,34.672983,NA,NA,-111.6664066,34.6730099,NA,102,207,Backpack Shocker,11/15/2022,NA,NA
171,Wet Beaver,3/14/2022 0:00,153,Black Bass,Occupied,8.01,Pool,NA,55,0.18,Boulder,0.1,0,0,0,0,0.1,Yes,-111.666433,34.672993,NA,NA,-111.6664048,34.6729865,NA,112,208,Backpack Shocker,11/16/2022,NA,Pool
174,Wet Beaver,3/14/2022 0:00,154,Black Bass,Occupied,7.45,Pool,NA,60,0.37,Bedrock,0,0,0,0,0,0,Yes,-111.666447,34.673112,NAmed fly,NA,-111.6664286,34.6730245,NA,75,181,Backpack Shocker,11/14/2022,NA,Pool
164,Wet Beaver,3/14/2022 0:00,155,Black Bass,Occupied,11.91,Riffle,NA,23,0.11,Cobble,0.15,0,0.3,0,0,0.45,Yes,-111.666703,34.672838,NA,NA,-111.6666783,34.6728495,NA,143,231,Backpack Shocker,11/16/2022,NA,Pool
166,Wet Beaver,3/14/2022 0:00,157,Black Bass,Occupied,11.31,Pool,NA,>150,NA,Boulder,0,0,0,0,0,0,No,-111.666768,34.672943,NA,NA,-111.6666466,34.6728939,NA,98,208,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
84,Wet Beaver,3/14/2022 0:00,159,Black Bass,Occupied,15.5,Pool,NA,>150,0,Sand,0,0,0,0,0,0,Yes,-111.670827,34.673997,NA,NA,-111.6707449,34.6740714,NA,138,228,Backpack Shocker,11/22/2022,NA,pool
131,Wet Beaver,3/14/2022 0:00,227,NA,Occupied,8.14,Pool,NA,69,0.16,Boulder,0.5,0,0,0,0,0.5,Yes,-111.668162,34.672772,NA,NA,-111.6682547,34.6727837,NA,NA,NA,NA,NA,NA,NA
49,Wet Beaver,3/14/2022 0:00,NA,NA,Available,5.14,Riffle,NA,43,0.23,Cobble,0.3,0,0.6,0,0,0.9,Yes,-111.672252,34.674702,NA,NA,-111.6723058,34.6746854,Confirmed cobble and canopy cover with photo,NA,NA,NA,NA,NA,NA
56,Wet Beaver,3/14/2022 0:00,NA,NA,Available,NA,Pool,NA,>150,NA,NA,0,0,0,0,0,0,Yes,-111.672307,34.674422,NA,NA,-111.672232,34.6745002,NA,NA,NA,NA,NA,NA,NA
57,Wet Beaver,3/14/2022 0:00,NA,NA,Available,NA,Pool,NA,>150,NA,NA,0,0,0,0,0,0,Yes,-111.67229,34.674322,NA,NA,-111.6722008,34.6744781,NA,NA,NA,NA,NA,NA,NA
101,Wet Beaver,3/14/2022 0:00,NA,NA,Available,15.3,Riffle,NA,20,0.05,Cobble,0.1,0,0,0,0,0.1,"No,Yes",-111.669652,34.673687,NA,NA,-111.6696293,34.6737423,NA,NA,NA,NA,NA,NA,NA
66,Wet Beaver,3/14/2022 0:00,NA,NA,Available,11.26,Run,NA,45,0.41,Boulder,0.3,0,0,0,0,0.3,No,-111.671973,34.674105,NA,NA,-111.6719014,34.6741706,NA,NA,NA,NA,NA,NA,NA
67,Wet Beaver,3/14/2022 0:00,NA,NA,Available,9.89,Run,NA,47,0.25,Pebble,0.3,0,0,0,0,0.3,Yes,-111.671917,34.674088,NA,NA,-111.6718125,34.6741211,NA,NA,NA,NA,NA,NA,NA
78,Wet Beaver,3/14/2022 0:00,NA,NA,Available,12,Riffle,NA,36,0.17,Cobble,0.25,0,0,0,0,0.25,Yes,-111.671183,34.674028,NA,NA,-111.6712446,34.6740073,NA,NA,NA,NA,NA,NA,NA
