ObjectID,Creation Date,Stream,Site Type ,Tag,Stream Width (m),Mesohabitat,Depth cm,Velocity (m/s),Substrate,Substrate Feature,Surface Turbulence ,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation ,Undercut Bank,Instream Cover,NA,Canopy Cover,Longitude (N),Latitude (W),Notes,,Data Change,
1,5/17/2022 18:43,Wet Beaver,Available,NA,7.39,Pool,80,0.03,Cobble,0,0,0,0.05,0,0,0.05,No,No,34.674853,111.672343,,,,
2,5/17/2022 18:53,Wet Beaver,Available,NA,6.13,Pool,22,0.01,Cobble,0,0,0,0,0,0,0,No,,34.674782,111.6723,,,,
3,5/17/2022 18:58,Wet Beaver,Available,NA,5.33,Riffle,40,0.08,Cobble,0,0,0,0,0,0,0,No,Yes,34.674807,111.672286,,,,
4,5/17/2022 19:05,Wet Beaver,Available,NA,4.16,Riffle,32,0.04,Cobble,0,0,0,0,0,0,0,No,Yes,34.674733,111.672328,,,,
5,5/17/2022 19:09,Wet Beaver,Available,NA,5.61,Riffle,26,0.25,Cobble,0,0,0,0,0,0,0,No,Yes,34.674613,111.672323,,,,
6,5/17/2022 19:14,Wet Beaver,Occupied,118,4.74,Riffle,22,0.69,Cobble,0,0,0,0,0,0,0,No,Yes,34.674628,111.672315,,,,
7,5/17/2022 19:18,Wet Beaver,Available,NA,5.39,Riffle,20,0.54,Cobble,0,0,0,0,0,0,0,No,Yes,34.674582,111.672285,,,,
8,5/17/2022 19:20,Wet Beaver,Available,NA,7.47,Riffle,12,0.3,Cobble,0,0,0,0.5,0,0,0.5,No,Yes,34.674542,111.672289,,,,
9,5/17/2022 19:23,Wet Beaver,Available,NA,13.77,Pool,8,0.01,Cobble,0.2,0,0,0,0,0,0.2,No,Yes,34.674506,111.672379,,,,
10,5/17/2022 19:30,Wet Beaver,Available,NA,16.75,Pool,88,0,Cobble,0,0,0,0,0,0,0,No,Yes,34.674327,111.672434,,,,
11,5/17/2022 19:38,Wet Beaver,Available,NA,17.75,Pool,112,0.02,Sand,0,0,0,0,0,0,0,No,Yes,34.67434,111.672385,,,,
12,5/17/2022 19:44,Wet Beaver,Available,NA,17.47,Pool,150,0.01,Sand,0,0,0,0,0,0,0,No,Yes,34.674256,111.672325,,,,
13,5/17/2022 19:50,Wet Beaver,Available,NA,NA,Pool,>150,0,Silt,0,0,0,0,0,0,0,No,Yes,34.674159,111.672373,Lat long recorded from stream bank,,,
14,5/17/2022 19:54,Wet Beaver,Occupied,107,NA,Pool,>150,0,Silt,0,0,0,0,0,0,0,No,Yes,34.674093,111.672181,"Lat long taken on shore, not at location of fish",,,
15,5/17/2022 19:56,Wet Beaver,Available,NA,NA,Pool,28,0,Silt,0,0,0,0,0,0,0,No,Yes,34.674146,111.672073,,,,
16,5/17/2022 20:48,Wet Beaver,Available,NA,NA,Pool,76,0,Cobble,0,0,0,0,0,0,0,No,Yes,34.6741,111.672027,,,,
17,5/17/2022 20:51,Wet Beaver,Available,NA,NA,Pool,50,0.02,Cobble,0,0,0,0,0,0,0,No,Yes,34.674064,111.671974,,,,
18,5/17/2022 20:55,Wet Beaver,Occupied,106,NA,Run,40,0.08,Cobble,0,0,0,0,0,0,0,No,No,34.674058,111.671934,,,,
19,5/17/2022 20:58,Wet Beaver,Available,NA,NA,Pool,22,0.05,Cobble,0.1,0,0,0,0,0,0.1,No,No,34.674048,111.671873,,,,
20,5/17/2022 21:02,Wet Beaver,Available,NA,NA,Run,32,0.21,Cobble,0.2,0,0,0.05,0,0,0.25,No,Yes,34.674079,111.671795,,,,
21,5/17/2022 21:07,Wet Beaver,Occupied,143,NA,Run,42,0.21,Pebble,0,0,0,0,0,0,0,No,Yes,34.674034,111.671648,,,,
22,5/17/2022 21:09,Wet Beaver,Available,NA,NA,Riffle,16,0.21,Cobble,0.3,0,0,0,0,0,0.3,No,Yes,34.674052,111.671779,,,,
23,5/17/2022 21:15,Wet Beaver,Occupied,110,NA,Riffle,29,0.19,Cobble,0.1,0,0,0,0,0,0.1,No,No,34.674066,111.671672,,,,
24,5/17/2022 21:18,Wet Beaver,Available,NA,NA,Riffle,40,0.22,Cobble,0.1,0,0,0,0,0,0.1,No,Yes,34.674057,111.671522,,,,
25,5/17/2022 21:22,Wet Beaver,Occupied,112,NA,Run,52,0.1,Cobble,0,0,0,0,0,0,0,No,No,34.674009,111.67149,,,,
26,5/17/2022 21:25,Wet Beaver,Available,NA,NA,Riffle,18,0.55,Cobble,0.2,0,0,0,0,0,0.2,No,No,34.674031,111.671509,,,,
27,5/17/2022 21:30,Wet Beaver,Available,NA,NA,Run,46,0.11,Cobble,0.2,0,0,0,0,0,0.2,No,No,34.67402,111.671419,,,,
28,5/17/2022 21:43,Wet Beaver,Available,NA,NA,Riffle,24,0.48,Boulder,0,1,0,0,0,0,1,No,Yes,34.673988,111.6713,,,,
29,5/17/2022 21:48,Wet Beaver,Available,NA,NA,Riffle,30,-0.01,Cobble,0,0,0,0,0,0,0,No,No,34.673966,111.671203,,,,
30,5/17/2022 21:52,Wet Beaver,Available,NA,NA,Riffle,12,0.03,Cobble,0,0,0,0,0,0,0,No,Yes,34.674081,111.671177,,,,
31,5/17/2022 21:58,Wet Beaver,Occupied,159,NA,Riffle,36,0.13,Cobble,0,0.7,0,0,0,0,0.7,No,Yes,34.674007,111.67107,,,,
32,5/17/2022 22:03,Wet Beaver,Available,NA,NA,Riffle,20,0.63,Boulder,0,0,0,0,0,0.5,0.5,No,Yes,34.673997,111.67103,,,,
33,5/17/2022 22:06,Wet Beaver,Available,NA,NA,Riffle,18,0.39,Cobble,0.1,0,0,0,0,0,0.1,No,Yes,34.673972,111.670968,,,,
34,5/17/2022 22:11,Wet Beaver,Available,NA,NA,Riffle,22,0.18,Pebble,0,0,0,0,0,0,0,No,Yes,34.673938,111.670882,,,,
35,5/17/2022 22:15,Wet Beaver,Available,NA,NA,Pool,28,0.02,Cobble,0.1,0,0,0,0,0,0.1,No,Yes,34.67394,111.670737,,,,
36,5/17/2022 22:19,Wet Beaver,Occupied,104,NA,Pool,64,0.03,Cobble,0,0,0,0,0,0,0,No,Yes,34.674004,111.670822,,,,
37,5/17/2022 22:22,Wet Beaver,Available,NA,NA,Pool,70,-0.01,Cobble,0,0,0,0,0,0,0,No,Yes,34.674028,111.670783,,,,
38,5/17/2022 22:27,Wet Beaver,Occupied,134,NA,Pool,88,0,Cobble,0,0,0,0,0,0,0,No,Yes,34.674054,111.670712,,,,
39,5/17/2022 22:31,Wet Beaver,Available,NA,NA,Pool,92,-0.02,Cobble,0,0,0,0,0,0.3,0.3,No,Yes,34.674051,111.670683,,,,
