"","Species","Stream","Group","Mesohabitat","Observed","Unique","Available","Ratio_Pool","RPool_95L","RPool_95H","RPool_80L","RPool_80H","RPool_Percent_Support","Ratio_Riffle","RRiffle_95L","RRiffle_95H","RRiffle_80L","RRiffle_80H","RRiffle_Percent_Support","Ratio_Run","RRun_95L","RRun_95H","RRun_80L","RRun_80H","RRun_Percent_Support","Mesohabitat_Riffle","MesoRiffle_95L","MesoRiffle_95H","MesoRiffle_80L","MesoRiffle_80H","MesoRiffle_Percent_Support","Mesohabitat_Run","MesoRun_95L","MesoRun_95H","MesoRun_80L","MesoRun_80H","MesoRun_Percent_Support","Velocity Coef","Velocity_95L","Velocity_95H","Velocity_80L","Velocity_80H","V_Percent_Support","Depth Coef","Depth_95L","Depth_95H","Depth_80L","Depth_80H","D_Percent_Support","Sub Coef","Sub_95L","Sub_95H","Sub_80L","Sub_80H","S_Percent_Support","VelFull Coef","VelFull_95L","VelFull_95H","VelFull_80L","VelFull_80H","VF_Percent_Support","DepthFull Coef","DepthFull_95L","DepthFull_95H","DepthFull_80L","DepthFull_80H","DF_Percent_Support","Instream Coef","Instream_95L","Instream_95H","Instream_80L","Instream_80H","I_Percent_Support","Canopy Coef","Canopy_95L","Canopy_95H","Canopy_80L","Canopy_80H","C_Percent_Support","Velocity_25","Velocity_75","Velocity_t_stat_50","Velocity_p_50","Velocity_5","Velocity_95","Velocity_t_stat_90","Velocity_p_90","Velocity_Min","Velocity_Max","Depth_25","Depth_75","Depth_t_stat_50","Depth_p_50","Depth_5","Depth_95","Depth_t_stat_90","Depth_p_90","Depth_Min","Depth_Max","Substrate_25","Substrate_75","Substrate_t_stat_50","Substrate_p_50","Substrate_5","Substrate_95","Substrate_t_stat_90","Substrate_p_90","Substrate_Min","Substrate_Max","Instream_25","Instream_75","Instream_t_stat_50","Instream_p_50","Instream_5","Instream_95","Instream_t_stat_90","Instream_p_90","Instream_Min","Instream_Max","Canopy_Chi","Canopy_P","C_Prob_Support0.05","Canopy_Min","Canopy_Max"
"1","BB","WB","High","Meso",29,24,313,1.379,1.047,1.743,1.153,1.611,0.989,0.417,0.152,0.67,0.282,0.613,1,1.159,0.717,1.646,0.843,1.475,0.735,-1.379,-2.393,-0.637,-1.793,-0.811,1,-0.277,-0.898,0.266,-0.678,0.1,0.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","BB","WB","Low","Meso",80,29,732,1.239,0.96,1.524,1.056,1.424,0.95,0.326,0.094,0.582,0.186,0.486,1,1.49,0.665,2.533,0.805,2.147,0.855,-1.495,-2.718,-0.573,-2.015,-0.813,1,0.104,-0.762,0.875,-0.509,0.644,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","BB","WC","High","Meso",17,17,142,0.601,0.209,0.923,0.397,0.849,0.997,1.129,0.811,1.469,0.925,1.346,0.763,2.18,0.788,4.016,0.978,3.311,0.89,0.415,-0.359,1.576,-0.151,0.916,0.812,0.733,-0.357,2.197,0.071,1.693,0.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","BB","WC","Low","Meso",92,17,1279,1.194,0.691,1.731,0.865,1.555,0.729,0.707,0.309,1.116,0.446,0.991,0.91,1.974,0,4.529,0.532,3.453,0.819,-0.597,-1.594,0.275,-1.19,-0.017,0.904,-0.914,-14.834,1.537,-0.595,1.213,0.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","DS","WB","High","Meso",25,19,309,1.007,0.634,1.396,0.736,1.268,0.511,1.198,0.758,1.676,0.906,1.506,0.793,0.684,0.24,1.223,0.277,1.053,0.86,0.11,-0.586,0.821,-0.337,0.562,0.624,-0.722,-1.745,0.411,-1.433,0.118,0.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","DS","WB","Low","Meso",61,23,713,0.617,0.322,0.945,0.429,0.815,0.986,0.95,0.588,1.313,0.706,1.187,0.612,1.635,0.469,2.928,0.9,2.452,0.816,0.448,-0.397,1.372,-0.099,0.999,0.857,0.862,-0.486,2.046,0.181,1.659,0.938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","DS","WC","High","Meso",10,9,135,1.699,1.165,2.373,1.251,2.147,1,0.64,0.294,1.027,0.316,0.968,0.951,0,0,0,0,0,1,-1.501,-2.357,-0.416,-2.197,-0.536,1,-15.515,-16.007,-14.391,-15.902,-14.679,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","DS","WC","Low","Meso",62,14,1249,0.86,0.23,1.61,0.449,1.351,0.653,0.92,0.405,1.44,0.586,1.242,0.602,2.182,0,5.162,0,3.94,0.871,0.2,-1.232,1.611,-0.766,0.908,0.512,-0.569,-14.519,2.674,-13.952,1.956,0.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","BB","WB","High","RI",4,4,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.53,-3.969,-0.63,-3.619,-0.698,1,-0.532,-1.255,-0.17,-1.101,-0.228,1,-1.706,-4.73,-0.77,-4.691,-0.809,1,-1.632,-4.589,-0.616,-3.955,-0.685,1,-0.388,-0.979,-0.097,-0.752,-0.158,0.9991,-0.215,-0.623,0.061,-0.548,0.01,0.874,-0.347,-0.774,0.066,-0.734,0.028,0.805,0.054,0.244,0.3493,0.1383,0.029,0.372,-0.3336,0.0021,0.01,0.5,20.752,29.526,0.1427,0.0177,19.35,35.143,-0.3415,0.0177,18,41,3.877,4.752,0.8728,0.1565,3.375,4.95,0.8728,0.1565,3,5,0.187,0.319,1.3223,0.2235,0.157,0.394,0.6243,0.1098,0.15,0.45,0.7742,0.579,0,0,1
"10","BB","WB","High","PO",16,13,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.295,-0.22,0.706,0.057,0.52,0.9343,0.274,-0.081,0.638,0.038,0.513,0.9297,0.271,-0.16,0.76,-0.017,0.577,0.8842,0.644,0.153,1.324,0.352,0.977,0.9934,0.739,0.274,1.426,0.402,1.105,0.9998,0.344,0.02,0.669,0.141,0.51,0.9814,0.599,-0.102,7.258,-0.027,0.633,0.8752,0,0.123,-0.9118,0.0507,0,0.206,NA,NA,0,0.22,61.171,144.432,1.3646,0.2572,50.773,150.841,1.5034,0.1841,47,151,3.343,5.853,0.9674,0.1906,1.808,5.99,0.7583,0.0834,1,6,0,0.151,-1.245,0,0,0.32,NA,NA,0,0.5,0.8223,0.491,0,0,1
