"","Species","Stream","Group","Mesohabitat","Observed","Unique","Available","Velocity Coef","Velocity_95L","Velocity_95H","Velocity_80L","Velocity_80H","V_Percent_Support","Depth Coef","Depth_95L","Depth_95H","Depth_80L","Depth_80H","D_Percent_Support","Sub Coef","Sub_95L","Sub_95H","Sub_80L","Sub_80H","S_Percent_Support","VelFull Coef","VelFull_95L","VelFull_95H","VelFull_80L","VelFull_80H","VF_Percent_Support","DepthFull Coef","DepthFull_95L","DepthFull_95H","DepthFull_80L","DepthFull_80H","DF_Percent_Support","Instream Coef","Instream_95L","Instream_95H","Instream_80L","Instream_80H","I_Percent_Support","Canopy Coef","Canopy_95L","Canopy_95H","Canopy_80L","Canopy_80H","C_Percent_Support","Velocity_25","Velocity_75","Velocity_t_stat_50","Velocity_p_50","Velocity_5","Velocity_95","Velocity_t_stat_90","Velocity_p_90","Velocity_Min","Velocity_Max","Depth_25","Depth_75","Depth_t_stat_50","Depth_p_50","Depth_5","Depth_95","Depth_t_stat_90","Depth_p_90","Depth_Min","Depth_Max","Substrate_25","Substrate_75","Substrate_t_stat_50","Substrate_p_50","Substrate_5","Substrate_95","Substrate_t_stat_90","Substrate_p_90","Substrate_Min","Substrate_Max","Instream_25","Instream_75","Instream_t_stat_50","Instream_p_50","Instream_5","Instream_95","Instream_t_stat_90","Instream_p_90","Instream_Min","Instream_Max","Canopy_25","Canopy_75","Canopy_t_stat_50","Canopy_p_50","Canopy_5","Canopy_95","Canopy_t_stat_90","Canopy_p_90","Canopy_Min","Canopy_Max","Ratio_Pool","RPool_95L","RPool_95H","RPool_80L","RPool_80H","RPool_Percent_Support","Ratio_Riffle","RRiffle_95L","RRiffle_95H","RRiffle_80L","RRiffle_80H","RRiffle_Percent_Support","Ratio_Run","RRun_95L","RRun_95H","RRun_80L","RRun_80H","RRun_Percent_Support","Mesohabitat_Riffle","MesoRiffle_95L","MesoRiffle_95H","MesoRiffle_80L","MesoRiffle_80H","MesoRiffle_Percent_Support","Mesohabitat_Run","MesoRun_95L","MesoRun_95H","MesoRun_80L","MesoRun_80H","MesoRun_Percent_Support"
"1","BB","WB","High","RI",8,7,157,-1.082,-2.695,-0.399,-1.687,-0.495,1,0.07,-0.48,0.567,-0.288,0.43,0.6401,-0.774,-1.236,-0.16,-1.141,-0.335,0.9968,-1.094,-2.7,-0.432,-1.697,-0.525,1,0.128,-0.367,0.574,-0.193,0.446,0.6864,-0.187,-0.766,0.299,-0.582,0.216,0.6973,0.347,-0.314,7.233,-0.27,0.276,0.528,0.042,0.189,2.2936,0.5314,0.013,0.326,0.5582,0.0513,0,0.5,22.538,37.013,1.0218,0.2756,19.762,44.737,-0.3221,0.0022,18,49,4.528,5,0.6703,0.0228,3.578,5.285,0.5551,0.0228,3,6,0.154,0.3,1.9134,0.5291,0.093,0.484,0.6737,0.1828,0.05,0.75,0.528,1,NA,NA,0.144,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","BB","WB","High","PO",26,16,185,0.315,-0.017,0.62,0.139,0.484,0.9713,0.027,-0.316,0.334,-0.189,0.234,0.5765,0.102,-0.233,0.482,-0.125,0.339,0.7055,0.404,0.05,0.787,0.204,0.612,0.986,0.254,-0.151,0.689,-0.012,0.525,0.8902,0.607,0.323,0.893,0.439,0.775,0.9999,0.004,-0.36,0.44,-0.228,0.231,0.4629,0,0.088,-1.0692,0.0024,0,0.201,NA,NA,0,0.22,49.752,120.864,1.3799,0.2898,36.642,150.101,1.261,0.0931,32,151,3.456,5.359,0.5573,0.0996,1.609,5.937,1.0872,0.1109,1,6,0,0.258,-2.0272,0.0096,0,0.52,NA,NA,0,0.6,0.253,1,NA,NA,0.003,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","BB","WB","High","RU",15,12,116,-0.09,-0.583,0.219,-0.343,0.113,0.6409,0.257,0.073,0.562,0.131,0.41,0.9983,0.179,-0.164,0.543,-0.05,0.415,0.8412,-0.081,-0.516,0.256,-0.311,0.107,0.6614,0.261,0.068,0.601,0.127,0.438,0.9975,-0.094,-0.886,0.259,-0.556,0.161,0.4774,1.525,0.334,8.694,0.534,1.191,1,0.032,0.225,0.5887,0.0198,0.013,0.404,0.569,0.0061,0,0.5,42.796,59.406,1.8683,0.4947,34.607,69.039,1.4601,0.3001,31,79,4.62,5.38,0.521,0.0167,3.631,6.566,0.5229,0.0319,3,7,0.001,0.113,0.6102,0.0329,0,0.359,-0.1589,0.0279,0,0.6,0.903,1,NA,NA,0.256,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","BB","WB","Low","RI",11,9,259,-0.271,-1.033,0.378,-0.839,0.26,0.7653,0.511,0.245,0.786,0.333,0.684,1,0.115,-0.204,0.426,-0.12,0.36,0.7924,-0.244,-1.141,0.493,-0.894,0.374,0.7227,0.52,0.26,0.812,0.342,0.697,1,-3.067,-67.962,0.199,-1.636,-0.013,0.9071,-0.904,-8.33,-0.198,-1.041,-0.25,1,0.05,0.243,0.1359,0.1082,0.021,0.384,0.3061,0.0315,0,0.81,25.827,39.321,0.4633,0.0631,20.489,42.872,1.2622,0.2502,18,44,4.898,5.309,1.1347,0.1669,4.401,5.793,1.4007,0.3178,4,6,0,0.147,1.1477,0.4688,0,0.386,0.0784,0.0561,0,0.7,0,0.548,NA,NA,0,0.893,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","BB","WB","Low","PO",46,19,312,-0.104,-0.751,0.297,-0.448,0.191,0.6115,0.223,-0.068,0.505,0.036,0.408,0.9339,0.145,-0.224,0.585,-0.11,0.414,0.7559,0.008,-0.67,0.467,-0.37,0.338,0.5692,0.233,-0.121,0.608,-0.004,0.472,0.8949,0.307,-0.098,0.606,0.081,0.515,0.9465,0.165,-0.239,0.67,-0.106,0.438,0.7709,0,0.036,0.2498,0.0258,0,0.081,0.2015,0.0201,0,0.12,58.758,101.396,1.523,0.4186,39.905,145.58,1.9167,0.6815,26,151,3.86,5.57,0.6959,0.1092,1.681,6.576,NA,NA,1,7,0.001,0.243,-1.3519,0.0065,0,0.486,NA,NA,0,0.6,0.296,1,NA,NA,0.005,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","BB","WB","Low","RU",7,4,55,-3.609,-10.475,-1.125,-5.436,-1.462,1,0.425,0.107,0.966,0.189,0.742,0.9979,0.007,-0.485,0.347,-0.322,0.271,0.5516,-4.003,-10.233,-0.998,-5.592,-1.366,1,0.167,-0.231,0.609,-0.071,0.41,0.7979,0.498,0.156,1.22,0.215,0.754,1,0.642,-0.377,8.553,-0.32,0.552,0.6251,0.016,0.057,0.9723,0.1444,0.005,0.08,0.351,0.1129,0,0.13,45.357,58.784,0.72,0.1453,37.529,61.698,0.1309,0.011,30,64,5.068,5.754,1.1022,0.1559,4.716,5.951,1.0834,0.1559,3,6,0.196,0.281,2.2047,0.7192,0.144,0.296,2.0401,0.6226,0,0.3,0.341,0.812,0.6577,0.0502,0.114,0.962,0.6577,0.0502,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","BB","WC","High","RI",12,12,119,-0.21,-0.741,0.107,-0.563,0.029,0.8501,0.545,0.231,0.888,0.333,0.762,1,0.527,0.178,1.123,0.25,0.878,1,-0.526,-1.37,-0.063,-1.047,-0.166,0.993,0.679,0.286,1.112,0.414,0.95,1,0.338,0.063,0.61,0.159,0.515,0.9933,2.149,0.412,7.056,0.45,7.032,1,0.097,0.342,1.1943,0.2428,0.006,0.657,0.301,0.0064,0,0.97,35.865,59.429,0.7625,4e-04,30.381,66.425,1.2538,0.0457,29,70,5.047,6,0.9693,0.0804,3.762,6,0.6358,0.0476,3,6,0.21,0.553,0.5019,0.0561,0.092,0.682,0.665,0.0471,0.05,0.7,1,1,1.3052,0.2423,0.55,1,1.3052,0.2423,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","BB","WC","High","PO",12,12,86,-0.127,-0.435,0.112,-0.3,0.024,0.8535,-0.464,-0.934,-0.163,-0.746,-0.234,0.9999,-0.364,-0.636,-0.082,-0.547,-0.179,0.9937,-0.193,-0.559,0.064,-0.391,-0.023,0.9301,-0.472,-0.919,-0.179,-0.739,-0.252,1,0.282,-0.204,0.65,-0.03,0.53,0.8873,-0.459,-0.898,-0.106,-0.696,-0.201,0.999,0.003,0.064,0.6842,0.1593,0,0.101,0.5621,0.0207,0,0.14,41.62,74.771,1.4662,0.4446,34.032,121.185,1.1695,0.0582,32,151,3,4.761,1.6561,0.5253,1.423,4.993,1.7482,0.6493,1,5,0,0.289,-0.3553,0,0,0.528,NA,NA,0,0.6,0,0.952,NA,NA,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","BB","WC","High","RU",9,9,43,-2.008,-7.208,-0.47,-4.982,-0.577,1,0.775,0.112,2.317,0.265,1.174,0.9874,0.221,-0.127,0.62,0,0.466,0.891,-1.438,-5.266,-0.29,-3.461,-0.423,0.9982,0.675,0.041,3.16,0.186,0.999,0.982,-1.854,-4.616,-0.147,-3.255,-0.257,0.9975,2.979,0.09,8.53,0.223,8.42,0.9908,0.002,0.031,1.2509,0.225,0,0.151,0.756,0.2437,0,0.26,52.165,121.463,-0.072,0.0128,41.058,145.69,0.7669,0.0201,36,151,4.853,5.147,0.9755,0.1369,4.438,5.559,0.9755,0.1369,4,6,0,0.048,1.6714,0.3989,0,0.334,0.3415,0.3357,0,0.6,0.85,1,0.9772,0.1119,0.434,1,0.9772,0.1119,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","BB","WC","Low","RI",41,10,681,-0.643,-2.49,0.332,-1.568,0.138,0.8246,0.693,0.062,1.31,0.287,1.102,0.9834,-0.099,-0.515,0.381,-0.383,0.211,0.6947,-0.685,-2.582,0.365,-1.66,0.152,0.8238,0.697,0.08,1.303,0.312,1.094,0.9843,-0.705,-2.281,0.22,-1.514,-0.009,0.9054,-0.109,-0.855,0.392,-0.598,0.284,0.827,0.048,0.209,0.7051,0.1773,0.012,0.414,0.4584,0.1156,0,1.2,34.564,48.724,0.7034,0.1529,26.648,56.184,0.4793,0.1229,4,66,4.258,5.063,1.2426,0.3687,3.473,5.431,1.3695,0.4167,2,6,0.046,0.224,0.9768,0.218,0.01,0.417,0.708,0.1733,0,1,0.272,0.966,NA,NA,0.055,0.997,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
