"","Species","Stream","Group","Mesohabitat","Observed","Unique","Available","Ratio_Pool","RPool_95L","RPool_95H","RPool_80L","RPool_80H","RPool_Percent_Support","Ratio_Riffle","RRiffle_95L","RRiffle_95H","RRiffle_80L","RRiffle_80H","RRiffle_Percent_Support","Ratio_Run","RRun_95L","RRun_95H","RRun_80L","RRun_80H","RRun_Percent_Support","Mesohabitat_Riffle","MesoRiffle_95L","MesoRiffle_95H","MesoRiffle_80L","MesoRiffle_80H","MesoRiffle_Percent_Support","Mesohabitat_Run","MesoRun_95L","MesoRun_95H","MesoRun_80L","MesoRun_80H","MesoRun_Percent_Support","Velocity Coef","Velocity_95L","Velocity_95H","Velocity_80L","Velocity_80H","V_Percent_Support","Depth Coef","Depth_95L","Depth_95H","Depth_80L","Depth_80H","D_Percent_Support","Sub Coef","Sub_95L","Sub_95H","Sub_80L","Sub_80H","S_Percent_Support","VelFull Coef","VelFull_95L","VelFull_95H","VelFull_80L","VelFull_80H","VF_Percent_Support","DepthFull Coef","DepthFull_95L","DepthFull_95H","DepthFull_80L","DepthFull_80H","DF_Percent_Support","Instream Coef","Instream_95L","Instream_95H","Instream_80L","Instream_80H","I_Percent_Support","Canopy Coef","Canopy_95L","Canopy_95H","Canopy_80L","Canopy_80H","C_Percent_Support","Velocity_25","Velocity_75","Velocity_t_stat_50","Velocity_p_50","Velocity_5","Velocity_95","Velocity_t_stat_90","Velocity_p_90","Velocity_Min","Velocity_Max","Depth_25","Depth_75","Depth_t_stat_50","Depth_p_50","Depth_5","Depth_95","Depth_t_stat_90","Depth_p_90","Depth_Min","Depth_Max","Substrate_25","Substrate_75","Substrate_t_stat_50","Substrate_p_50","Substrate_5","Substrate_95","Substrate_t_stat_90","Substrate_p_90","Substrate_Min","Substrate_Max","Instream_25","Instream_75","Instream_t_stat_50","Instream_p_50","Instream_5","Instream_95","Instream_t_stat_90","Instream_p_90","Instream_Min","Instream_Max","Canopy_Chi","Canopy_P","C_Prob_Support0.05","Canopy_Min","Canopy_Max"
"1","BB","WB","High","Meso",45,27,419,1.317,0.957,1.706,1.075,1.569,0.958,0.444,0.138,0.73,0.268,0.64,1,1.242,0.713,1.813,0.89,1.611,0.798,-1.233,-2.391,-0.471,-1.746,-0.684,1,-0.153,-0.868,0.486,-0.594,0.281,0.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","BB","WB","Low","Meso",64,21,626,1.37,1.037,1.679,1.16,1.581,0.984,0.322,0,0.651,0.127,0.522,1,0.689,0,1.922,0,1.401,0.757,-1.971,-16.945,-0.512,-2.507,-0.828,1,-4.163,-15.024,0.468,-14.93,0.108,0.841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","BB","WC","High","Meso",17,17,142,0.598,0.209,0.917,0.396,0.846,0.997,1.133,0.812,1.47,0.927,1.342,0.774,2.174,0.782,3.988,0.976,3.309,0.89,0.428,-0.342,1.591,-0.145,0.92,0.818,0.726,-0.357,2.23,0.065,1.705,0.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","BB","WC","Low","Meso",92,17,1279,1.191,0.67,1.724,0.859,1.559,0.724,0.706,0.31,1.101,0.447,0.986,0.911,1.994,0,4.503,0.557,3.501,0.819,-0.594,-1.586,0.297,-1.188,0.003,0.899,-0.845,-14.828,1.557,-0.569,1.21,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","DS","WB","High","Meso",35,23,409,0.778,0.425,1.151,0.554,1.027,0.876,1.312,0.904,1.755,1.029,1.599,0.919,0.854,0.395,1.419,0.464,1.208,0.709,0.484,-0.203,1.28,0.019,0.952,0.909,-0.032,-1.082,0.997,-0.693,0.634,0.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","DS","WB","Low","Meso",51,20,613,0.648,0.344,0.978,0.458,0.861,0.983,0.862,0.507,1.216,0.632,1.092,0.768,1.93,0.601,3.658,0.8,2.979,0.897,0.297,-0.575,1.225,-0.275,0.877,0.749,0.911,-0.33,2.218,0.213,1.787,0.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","DS","WC","High","Meso",10,9,135,1.698,1.163,2.371,1.246,2.14,1,0.642,0.296,1.029,0.316,0.969,0.946,0,0,0,0,0,1,-1.488,-2.357,-0.416,-2.197,-0.536,1,-15.517,-16.007,-14.358,-15.902,-14.679,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","DS","WC","Low","Meso",62,14,1249,0.862,0.231,1.6,0.452,1.353,0.646,0.919,0.408,1.439,0.584,1.241,0.601,2.177,0,5.195,0,3.998,0.87,0.201,-1.213,1.602,-0.749,0.896,0.509,-0.607,-14.507,2.676,-13.963,1.934,0.204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","BB","WB","High","RI",6,6,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.462,-3.552,-0.547,-3.193,-0.634,1,-0.067,-0.715,0.378,-0.377,0.295,0.5968,-0.947,-1.613,-0.284,-1.33,-0.549,1,-1.474,-3.579,-0.576,-3.181,-0.652,1,0.039,-0.459,0.429,-0.256,0.344,0.5463,-0.325,-0.965,0.023,-0.645,-0.038,0.9548,0.359,-0.494,7.209,-0.447,0.164,0.5725,0.037,0.164,2.0336,0.6778,0.013,0.328,0.4466,0.3245,0,0.5,22.702,34.63,0.6517,0.0701,20.054,39.634,-0.2819,0,18,42,4.301,5,0.6773,0.0634,3.578,5,0.5619,0.0634,3,5,0.133,0.255,2.2226,0.5975,0.093,0.363,0.7493,0.1556,0.05,0.45,0.4643,0.624,0,0,1
"10","BB","WB","High","PO",24,16,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283,-0.063,0.597,0.096,0.461,0.9561,0.039,-0.311,0.349,-0.184,0.253,0.5972,0.046,-0.252,0.395,-0.166,0.263,0.592,0.377,0.002,0.779,0.168,0.593,0.9757,0.248,-0.164,0.695,-0.024,0.524,0.8779,0.645,0.347,1.04,0.462,0.826,1,-0.05,-0.412,0.387,-0.286,0.18,0.6492,0,0.087,-0.8965,0.0033,0,0.202,NA,NA,0,0.22,49.575,120.757,1.3203,0.2409,36.549,150.116,1.1509,0.0844,32,151,3.122,5.358,0.2558,0.0425,1.322,5.936,1.1154,0.0498,1,6,0,0.254,-2.0823,0.0095,0,0.519,NA,NA,0,0.6,0.4626,0.615,0,0,1
