"","Species","Stream","Group","Mesohabitat","Observed","Unique","Available","Ratio_Pool","RPool_95L","RPool_95H","RPool_80L","RPool_80H","RPool_Percent_Support","Ratio_Riffle","RRiffle_95L","RRiffle_95H","RRiffle_80L","RRiffle_80H","RRiffle_Percent_Support","Ratio_Run","RRun_95L","RRun_95H","RRun_80L","RRun_80H","RRun_Percent_Support","Mesohabitat_Riffle","MesoRiffle_95L","MesoRiffle_95H","MesoRiffle_80L","MesoRiffle_80H","MesoRiffle_Percent_Support","Mesohabitat_Run","MesoRun_95L","MesoRun_95H","MesoRun_80L","MesoRun_80H","MesoRun_Percent_Support","Velocity Coef","Velocity_95L","Velocity_95H","Velocity_80L","Velocity_80H","V_Percent_Support","Depth Coef","Depth_95L","Depth_95H","Depth_80L","Depth_80H","D_Percent_Support","Sub Coef","Sub_95L","Sub_95H","Sub_80L","Sub_80H","S_Percent_Support","VelFull Coef","VelFull_95L","VelFull_95H","VelFull_80L","VelFull_80H","VF_Percent_Support","DepthFull Coef","DepthFull_95L","DepthFull_95H","DepthFull_80L","DepthFull_80H","DF_Percent_Support","Instream Coef","Instream_95L","Instream_95H","Instream_80L","Instream_80H","I_Percent_Support","Canopy Coef","Canopy_95L","Canopy_95H","Canopy_80L","Canopy_80H","C_Percent_Support","Velocity_25","Velocity_75","Velocity_t_stat_50","Velocity_p_50","Velocity_5","Velocity_95","Velocity_t_stat_90","Velocity_p_90","Velocity_Min","Velocity_Max","Depth_25","Depth_75","Depth_t_stat_50","Depth_p_50","Depth_5","Depth_95","Depth_t_stat_90","Depth_p_90","Depth_Min","Depth_Max","Substrate_25","Substrate_75","Substrate_t_stat_50","Substrate_p_50","Substrate_5","Substrate_95","Substrate_t_stat_90","Substrate_p_90","Substrate_Min","Substrate_Max","Instream_25","Instream_75","Instream_t_stat_50","Instream_p_50","Instream_5","Instream_95","Instream_t_stat_90","Instream_p_90","Instream_Min","Instream_Max","Canopy_Chi","Canopy_P","C_Prob_Support0.05","Canopy_Min","Canopy_Max"
"1","BB","WB","High","Meso",29,18,303,1.192,0.744,1.689,0.904,1.505,0.785,0.244,0,0.712,0,0.528,1,1.508,0.929,2.133,1.119,1.908,0.953,-6.116,-16.528,-0.622,-16.391,-0.946,0.999,-0.008,-0.721,0.695,-0.463,0.453,0.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","BB","WB","Low","Meso",80,22,742,1.375,1.037,1.693,1.153,1.589,0.986,0.33,0.114,0.634,0.123,0.509,1,0.803,0,2.095,0,1.556,0.63,-1.853,-2.704,-0.531,-2.526,-0.837,1,-3.483,-14.908,0.589,-14.812,0.232,0.802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","BB","WC","Low","Meso",109,19,1421,0.976,0.502,1.486,0.657,1.309,0.543,0.802,0.429,1.172,0.564,1.031,0.851,2.373,0.758,4.606,0.904,3.758,0.849,-0.241,-1.103,0.654,-0.789,0.318,0.724,0.53,-0.61,1.899,-0.238,1.499,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","DS","WB","High","Meso",22,13,296,0.466,0,0.994,0.25,0.826,0.976,1.403,0.691,2.194,0.949,1.917,0.875,1.284,0.643,2.025,0.743,1.795,0.8,2.095,-0.419,16.098,0,1.773,0.901,2.009,-0.511,16.069,-0.058,1.729,0.865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","DS","WB","Low","Meso",64,22,726,0.72,0.427,1.059,0.479,0.938,0.941,0.855,0.488,1.234,0.612,1.1,0.791,1.729,0.556,3.414,0.668,2.702,0.865,0.174,-0.7,1.056,-0.382,0.728,0.661,0.619,-0.514,1.917,-0.116,1.534,0.884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","DS","WC","Low","Meso",72,16,1384,1.123,0.479,1.846,0.703,1.567,0.592,0.831,0.427,1.316,0.559,1.151,0.752,1.512,0,3.968,0,3.041,0.691,-0.344,-1.411,0.745,-1.045,0.338,0.731,-2.149,-14.784,1.602,-14.561,1.158,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","BB","WB","High","RI",3,3,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.231,-11.054,-1.495,-9.808,-1.593,1,0.166,-0.491,0.85,-0.419,0.648,0.6717,-1.582,-4.706,-0.175,-4.677,-0.228,1,-4.259,-11.644,-1.409,-10.035,-1.506,1,0.175,-0.577,0.853,-0.408,0.675,0.6724,-0.648,-0.991,-0.211,-0.91,-0.272,1,1.894,-0.639,6.689,-0.565,6.671,0.3343,0.02,0.054,NA,NA,0.007,0.067,NA,NA,0,0.1,25.691,33.718,-0.7598,0,22.48,36.929,-1.2136,0,18,42,4.001,4.667,0.0487,0,3.735,4.933,0.0487,0,3,5,0.1,0.133,0.9073,0.3283,0.086,0.147,0.9073,0.3283,0.05,0.15,0.7009,0.409,0,0,1
"8","BB","WB","High","PO",13,9,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142,-0.292,0.442,-0.064,0.343,0.8087,-0.308,-1.078,0.263,-0.785,0.129,0.8249,-0.034,-0.453,0.504,-0.338,0.305,0.5861,0.079,-0.3,0.386,-0.13,0.277,0.7056,-0.27,-1.032,0.316,-0.76,0.163,0.7776,1.534,0.688,2.504,0.843,2.361,0.989,-0.364,-0.84,0.301,-0.731,-0.032,0.9404,0.009,0.063,0.2984,0.1609,0.001,0.069,0.9081,0.1751,0,0.07,38.82,79.784,0.2626,0.0108,34.007,120.363,0.7626,0.0751,32,151,3.923,5.023,0.9566,0.146,2.238,5.528,0.4016,0.0709,1,6,0.008,0.346,-1.4446,0.0584,0.001,0.523,NA,NA,0,0.6,1.3556,0.409,0,0,1
"9","BB","WB","High","RU",13,10,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.329,-0.971,0.054,-0.666,-0.036,0.9398,0.277,0.027,0.698,0.109,0.51,0.9853,0.238,-0.093,0.575,0.023,0.458,0.9242,-0.242,-0.885,0.167,-0.583,0.061,0.8286,0.228,-0.034,0.67,0.051,0.455,0.9558,0.135,-0.539,0.523,-0.276,0.394,0.7441,1.567,0.159,8.64,0.416,8.565,1,0.028,0.156,0.3295,0.024,0.013,0.231,0.7216,0.061,0,0.28,41.284,59.623,0.6701,0.0291,34.448,69.229,0.9952,0.0588,31,79,4.744,5.236,0.6975,0.0672,4.243,6.048,1.1568,0.134,4,7,0.016,0.131,0.5632,0.0999,0.001,0.378,-0.472,0.027,0,0.6,2.9792,0.161,0,0,1
"10","BB","WB","Low","RI",14,10,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.527,-1.554,0.177,-1.254,0.022,0.8834,0.434,0.157,0.714,0.253,0.611,0.9988,-0.153,-0.442,0.158,-0.34,0.03,0.8426,-0.575,-1.71,0.167,-1.357,0.016,0.8896,0.446,0.163,0.733,0.262,0.625,0.9992,-1.009,-2.82,0.04,-1.57,-0.126,0.9625,-0.551,-1.128,-0.028,-1.011,-0.097,0.9785,0.05,0.237,0.7887,0.1656,0.021,0.425,0.6223,0.0999,0,0.81,25.166,39.436,0.6247,0.0563,20.67,43.098,1.4525,0.343,18,44,4.66,5.058,1.4422,0.3336,4.159,5.445,1.6313,0.498,4,6,0,0.185,1.177,0.2376,0,0.408,0.4034,0.0508,0,0.7,2.0612,0.291,0,0,1
