"","Species","Stream","Group","Mesohabitat","Observed","Unique","Available","Ratio_Pool","RPool_95L","RPool_95H","RPool_80L","RPool_80H","RPool_Percent_Support","Ratio_Riffle","RRiffle_95L","RRiffle_95H","RRiffle_80L","RRiffle_80H","RRiffle_Percent_Support","Ratio_Run","RRun_95L","RRun_95H","RRun_80L","RRun_80H","RRun_Percent_Support","Mesohabitat_Riffle","MesoRiffle_95L","MesoRiffle_95H","MesoRiffle_80L","MesoRiffle_80H","MesoRiffle_Percent_Support","Mesohabitat_Run","MesoRun_95L","MesoRun_95H","MesoRun_80L","MesoRun_80H","MesoRun_Percent_Support","Velocity Coef","Velocity_95L","Velocity_95H","Velocity_80L","Velocity_80H","V_Percent_Support","Depth Coef","Depth_95L","Depth_95H","Depth_80L","Depth_80H","D_Percent_Support","Sub Coef","Sub_95L","Sub_95H","Sub_80L","Sub_80H","S_Percent_Support","VelFull Coef","VelFull_95L","VelFull_95H","VelFull_80L","VelFull_80H","VF_Percent_Support","DepthFull Coef","DepthFull_95L","DepthFull_95H","DepthFull_80L","DepthFull_80H","DF_Percent_Support","Instream Coef","Instream_95L","Instream_95H","Instream_80L","Instream_80H","I_Percent_Support","Canopy Coef","Canopy_95L","Canopy_95H","Canopy_80L","Canopy_80H","C_Percent_Support","Velocity_25","Velocity_75","Velocity_t_stat_50","Velocity_p_50","Velocity_5","Velocity_95","Velocity_t_stat_90","Velocity_p_90","Velocity_Min","Velocity_Max","Depth_25","Depth_75","Depth_t_stat_50","Depth_p_50","Depth_5","Depth_95","Depth_t_stat_90","Depth_p_90","Depth_Min","Depth_Max","Substrate_25","Substrate_75","Substrate_t_stat_50","Substrate_p_50","Substrate_5","Substrate_95","Substrate_t_stat_90","Substrate_p_90","Substrate_Min","Substrate_Max","Instream_25","Instream_75","Instream_t_stat_50","Instream_p_50","Instream_5","Instream_95","Instream_t_stat_90","Instream_p_90","Instream_Min","Instream_Max","Canopy_Chi","Canopy_P","Canopy_0.05","C_Percent_Support0.05","Canopy_0.1","C_Percent_Support0.1","Canopy_Min","Canopy_Max"
"1","BB","WB","High","Meso",49,27,459,0.005,0.004,0.007,0.004,0.006,1,0.002,0.001,0.003,0.001,0.003,1,0.005,0.003,0.008,0.004,0.007,1,-1.1,-2.311,-0.346,-1.652,-0.553,0.999,-0.021,-0.735,0.622,-0.474,0.407,0.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","BB","WB","Low","Meso",64,21,626,0.006,0.004,0.007,0.005,0.007,1,0.001,0,0.003,0.001,0.002,1,0.003,0,0.008,0,0.006,1,-1.951,-16.945,-0.525,-2.497,-0.823,1,-4.239,-15.029,0.486,-14.935,0.125,0.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","BB","WC","High","Meso",33,33,248,0.003,0.002,0.005,0.003,0.004,1,0.003,0.002,0.004,0.002,0.003,1,0.008,0.004,0.011,0.005,0.01,1,-0.365,-0.907,0.17,-0.713,-0.023,0.912,0.488,-0.139,1.083,0.089,0.882,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","BB","WC","Low","Meso",92,17,1279,0.004,0.002,0.006,0.003,0.005,1,0.002,0.001,0.004,0.001,0.003,1,0.006,0,0.014,0.002,0.011,1,-0.597,-1.601,0.297,-1.196,-0.004,0.901,-0.86,-14.831,1.578,-0.581,1.208,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","DS","WB","High","Meso",39,23,449,0.003,0.002,0.004,0.002,0.004,1,0.005,0.004,0.007,0.004,0.007,1,0.003,0.001,0.006,0.002,0.005,1,0.569,-0.121,1.359,0.105,1.043,0.945,-0.059,-1.412,1.037,-0.718,0.685,0.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","DS","WB","Low","Meso",51,20,613,0.003,0.001,0.004,0.002,0.004,1,0.004,0.002,0.005,0.003,0.005,1,0.008,0.003,0.016,0.003,0.013,1,0.307,-0.544,1.224,-0.257,0.873,0.757,0.904,-0.341,2.195,0.195,1.79,0.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","DS","WC","High","Meso",20,19,235,0.004,0.002,0.005,0.003,0.005,1,0.004,0.003,0.005,0.003,0.004,1,0.004,0.002,0.007,0.002,0.006,1,-0.117,-0.742,0.601,-0.542,0.306,0.652,-0.274,-1.192,0.711,-0.916,0.462,0.551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","DS","WC","Low","Meso",62,14,1249,0.003,0.001,0.005,0.001,0.004,1,0.003,0.001,0.005,0.002,0.004,1,0.007,0,0.016,0,0.012,1,0.214,-1.235,1.616,-0.788,0.896,0.505,-0.527,-14.507,2.758,-13.946,1.935,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","BB","WB","High","RI",8,7,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.076,-2.669,-0.4,-1.689,-0.491,1,0.071,-0.48,0.563,-0.288,0.427,0.6422,-0.78,-1.28,-0.221,-1.139,-0.341,0.997,-1.088,-2.674,-0.434,-1.697,-0.525,1,0.128,-0.373,0.572,-0.193,0.445,0.6917,-0.189,-0.745,0.297,-0.585,0.211,0.7024,0.329,-0.314,7.227,-0.27,0.276,0.5224,0.042,0.19,2.2731,0.5239,0.013,0.326,0.5525,0.0476,0,0.5,22.512,37.072,1.0096,0.2687,19.738,44.802,-0.3343,0.0031,18,49,4.522,5,0.6666,0.0232,3.569,5.285,0.5498,0.0232,3,6,0.154,0.298,1.9172,0.541,0.093,0.483,0.6842,0.1807,0.05,0.75,0.3296,0.61,0,0.5224,0,0.5224,0,1
"10","BB","WB","High","PO",26,16,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.314,-0.012,0.614,0.138,0.482,0.9705,0.028,-0.309,0.337,-0.187,0.234,0.578,0.107,-0.232,0.475,-0.124,0.344,0.717,0.402,0.05,0.784,0.205,0.612,0.9855,0.254,-0.149,0.686,-0.009,0.523,0.8924,0.604,0.317,0.892,0.436,0.77,0.9997,-0.005,-0.36,0.434,-0.241,0.225,0.5468,0,0.088,-1.0712,0.0026,0,0.201,NA,NA,0,0.22,49.728,121.129,1.3726,0.2847,36.633,150.128,1.2598,0.0952,32,151,3.475,5.37,0.5608,0.1013,1.619,5.938,1.0868,0.1124,1,6,0,0.257,-2.016,0.0093,0,0.519,NA,NA,0,0.6,0.4135,0.639,0,0.5468,0,0.5468,0,1
