"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.223333333333333,0.085,0.305,0.065,0.461,0.399861111111111,0.1475,0.5725,0,1.1635,28.6666666666667,22.5,32,22.1,39.2,31.1111111111111,24,40.5,13,49,4.66666666666667,4.5,5,4.1,5,5.2972972972973,5,6,4,7,0.3,0.225,0.375,0.165,0.435,0.322266666666667,0.1,0.5,0,0.9,0.666666666666667,0.5,1,0.1,1,0.675675675675676,0,1,0,1
"2",0.19,0.035,0.28,0.015,0.456,0.39625,0.1475,0.56,0,1.1815,27,20,31.5,18.4,39.1,31.5694444444444,24,42,12.55,49,4,3.5,4.5,3.1,4.9,5.31081081081081,5,6,4,6.34999999999999,0.2,0.15,0.225,0.15,0.285,0.3056,0.1,0.5,0,0.759999999999999,0.333333333333333,0,0.5,0,0.9,0.621621621621622,0,1,0,1
"3",0.06,0.035,0.085,0.015,0.105,0.363835616438356,0.15,0.54,0,0.947999999999999,21,20,22.5,18.4,22.9,30.7260273972603,24,40,12,49.4,4,3.5,4.5,3.1,4.9,5.36,5,6,4,6,0.3,0.225,0.375,0.165,0.435,0.2996,0.1,0.475,0,0.83,0.333333333333333,0,0.5,0,0.9,0.689189189189189,0,1,0,1
"4",0.223333333333333,0.085,0.305,0.065,0.461,0.395890410958904,0.15,0.56,0.006,1.162,28.6666666666667,22.5,32,22.1,39.2,31.2328767123288,24,40,12,49.4,4.66666666666667,4.5,5,4.1,5,5.2972972972973,5,6,4,6,0.3,0.225,0.375,0.165,0.435,0.297333333333333,0.1,0.475,0,0.7,0.666666666666667,0.5,1,0.1,1,0.675675675675676,0,1,0,1
"5",0.19,0.035,0.28,0.015,0.456,0.367945205479452,0.14,0.54,0,0.96,27,20,31.5,18.4,39.1,31.2054794520548,24,40,13,49.4,4,3.5,4.5,3.1,4.9,5.28378378378378,5,6,4,6.34999999999999,0.2,0.15,0.225,0.15,0.285,0.300933333333333,0.1,0.5,0,0.7,0.333333333333333,0,0.5,0,0.9,0.648648648648649,0,1,0,1
"6",0.223333333333333,0.085,0.305,0.065,0.461,0.4075,0.1675,0.5625,0.01,1.0935,28.6666666666667,22.5,32,22.1,39.2,30.4583333333333,24,37.25,12.55,49.45,4.66666666666667,4.5,5,4.1,5,5.27027027027027,5,6,4,7,0.3,0.225,0.375,0.165,0.435,0.274266666666667,0.1,0.4,0,0.759999999999999,0.666666666666667,0.5,1,0.1,1,0.666666666666667,0,1,0,1
"7",0.206666666666667,0.06,0.305,0.02,0.461,0.400547945205479,0.17,0.56,0,1.196,27.3333333333333,20.5,32,18.5,39.2,31.4383561643836,25,38,16,45.6,4.33333333333333,4,5,3.2,5,5.33333333333333,5,6,4,7,0.25,0.15,0.3,0.15,0.42,0.306666666666667,0.1,0.5,0,0.9,0.666666666666667,0.5,1,0.1,1,0.675675675675676,0,1,0,1
"8",0.223333333333333,0.085,0.305,0.065,0.461,0.425540540540541,0.1725,0.6325,0,1.1605,28.6666666666667,22.5,32,22.1,39.2,32.1081081081081,24,42,14.6,49.35,4.66666666666667,4.5,5,4.1,5,5.28378378378378,5,6,4,6.34999999999999,0.3,0.225,0.375,0.165,0.435,0.288,0.1,0.4,0,0.83,0.666666666666667,0.5,1,0.1,1,0.689189189189189,0,1,0,1
"9",0.223333333333333,0.085,0.305,0.065,0.461,0.41958904109589,0.16,0.65,0.006,1.162,28.6666666666667,22.5,32,22.1,39.2,31.7397260273973,24,42,14.8,49.4,4.66666666666667,4.5,5,4.1,5,5.2972972972973,5,6,4,6.34999999999999,0.3,0.225,0.375,0.165,0.435,0.315333333333333,0.1,0.5,0,0.9,0.666666666666667,0.5,1,0.1,1,0.68,0,1,0,1
"10",0.223333333333333,0.085,0.305,0.065,0.461,0.361643835616438,0.11,0.52,0.006,0.944,28.6666666666667,22.5,32,22.1,39.2,30.0958904109589,21,39,12,49.4,4.66666666666667,4.5,5,4.1,5,5.27027027027027,5,6,4,6,0.3,0.225,0.375,0.165,0.435,0.3016,0.1,0.45,0,0.83,0.666666666666667,0.5,1,0.1,1,0.693333333333333,0,1,0,1
