"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.0616666666666667,0,0.0925,0,0.198,0.0287022900763359,0,0.035,0,0.11,88.0833333333333,50.25,151,35.65,151,82.8854961832061,41,151,23.5,151,4.3,3.5,5.75,1,6,3.90265486725664,2,5,1,7,0.170833333333333,0,0.2375,0,0.545,0.0301526717557252,0,0,0,0.15,0.666666666666667,0,1,0,1,0.68,0,1,0,1
"2",0.0308333333333333,0,0.045,0,0.114,0.0245038167938931,0,0.03,0,0.1,89.75,53.75,151,35.65,151,81.9389312977099,39,151,21.5,151,3.90909090909091,2.5,5.5,1,6,3.84070796460177,2,5,1,7,0.120833333333333,0,0.125,0,0.545,0.0396946564885496,0,0,0,0.2,0.583333333333333,0,1,0,1,0.674603174603175,0,1,0,1
"3",0.07,0,0.165,0,0.22,0.026412213740458,0,0.03,0,0.105,91.5833333333333,54.5,151,43.05,151,79.0152671755725,37,151,19.5,151,4.54545454545455,4,6,1.5,6,3.95535714285714,2,5,1,7,0.141666666666667,0,0.2,0,0.5,0.0354961832061069,0,0,0,0.2,0.666666666666667,0,1,0,1,0.648,0,1,0,1
"4",0.0641666666666667,0,0.0925,0,0.22,0.0329770992366412,0,0.04,0,0.17,85.9166666666667,45.25,151,33.1,151,81.2213740458015,40,151,19.5,151,4.1,3.25,5,1,6,3.96551724137931,2,5,1,7,0.175,0,0.275,0,0.545,0.0320610687022901,0,0,0,0.2,0.583333333333333,0,1,0,1,0.64,0,1,0,1
"5",0.0666666666666667,0,0.0925,0,0.22,0.0320610687022901,0,0.045,0,0.145,82,46.5,109,34.75,151,82.1374045801527,40,151,20,151,4.4,3.5,5,2.45,5.55,4.01818181818182,3,5,1,7,0.158333333333333,0,0.275,0,0.5,0.0374045801526718,0,0,0,0.2,0.583333333333333,0,1,0,1,0.650793650793651,0,1,0,1
"6",0.0683333333333333,0,0.165,0,0.22,0.0326717557251908,0,0.04,0,0.155,87.8333333333333,52.25,151,41.7,151,82.2977099236641,42,151,25.5,151,4.09090909090909,2.5,6,1,6,3.91228070175439,3,5,1,7,0.145833333333333,0,0.2,0,0.545,0.0366412213740458,0,0,0,0.175,0.75,0.75,1,0,1,0.696,0,1,0,1
"7",0.045,0,0.06,0,0.187,0.0322900763358779,0,0.035,0,0.17,84,49.5,109,35.65,151,80.3969465648855,40,151,23.5,151,4.18181818181818,3.5,5,1.5,6,4.04464285714286,3,5,1,7,0.154166666666667,0,0.275,0,0.545,0.0461832061068702,0,0.025,0,0.275,0.583333333333333,0,1,0,1,0.696,0,1,0,1
"8",0.0491666666666667,0,0.06,0,0.198,0.0301526717557252,0,0.03,0,0.17,79.1666666666667,52.25,96.25,35.65,151,83.7786259541985,42,151,23.5,151,3.83333333333333,2.75,5.25,1,6,3.95575221238938,2,5,1,7,0.0916666666666667,0,0.1125,0,0.38,0.033206106870229,0,0,0,0.2,0.75,0.75,1,0,1,0.672,0,1,0,1
"9",0.06,0,0.0625,0,0.22,0.0317557251908397,0,0.04,0,0.155,66.3333333333333,45.25,64,33.1,151,83.9465648854962,41.5,151,20,151,3.91666666666667,3.75,5,1,5.45,4.00900900900901,3,5,1,7,0.0916666666666667,0,0.1125,0,0.38,0.0362595419847328,0,0,0,0.225,0.583333333333333,0,1,0,1,0.661417322834646,0,1,0,1
"10",0.0416666666666667,0,0.055,0,0.187,0.0283206106870229,0,0.03,0,0.13,95.5833333333333,59.25,151,38.4,151,82.1603053435115,39.5,151,19.5,151,4,2.5,5,1,6,3.96428571428571,2.75,5,1,7,0.204166666666667,0,0.5,0,0.545,0.032824427480916,0,0,0,0.175,0.583333333333333,0,1,0,1,0.68,0,1,0,1
