"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.05375,0.0325,0.0775,0.0035,0.1065,0.272919117647059,0.04,0.3825,0,0.7925,31.75,22.75,40.5,19.4,43.3,29.8602941176471,20.75,38,13,50,4.5,4,5,3.35,5,5.15942028985507,5,6,4,7,0.1375,0,0.1875,0,0.3975,0.241151079136691,0.05,0.35,0,0.755,0.375,0,1,0,1,0.688888888888889,0,1,0,1
"2",0.1475,0.0475,0.155,0.04,0.437,0.286323529411765,0.04,0.4125,0,0.925,35.5,30.75,41.25,23.75,43.3,29.1764705882353,21,36,13,45.75,4.625,4,5,4,5,5.10144927536232,5,6,4,7,0.0625,0,0.075,0,0.2475,0.233597122302158,0.05,0.35,0,0.7,0.428571428571429,0,1,0,1,0.676470588235294,0,1,0,1
"3",0.09375,0.0475,0.1025,0.014,0.2465,0.28536231884058,0.04,0.4025,0,0.9415,31.375,26,37,22.35,41.3,29.536231884058,20.25,37.75,13,50,4.625,4,5,4,5,5.0863309352518,5,6,4,7,0.11875,0,0.1875,0,0.3975,0.228201438848921,0,0.35,0,0.7,0.571428571428571,0,1,0,1,0.651851851851852,0,1,0,1
"4",0.08625,0.0325,0.1025,0.0035,0.2465,0.284169117647059,0.04,0.38,0,0.925,33,27.5,40.5,19.75,43.3,30.5661764705882,22,38.25,13,50.5,4.625,4.75,5,3.35,5,5.10144927536232,5,6,4,7,0.1,0,0.15,0,0.345,0.239208633093525,0.05,0.35,0,0.7,0.5,0,1,0,1,0.656934306569343,0,1,0,1
"5",0.09875,0.0475,0.1025,0.04,0.2465,0.272876811594203,0.04,0.4175,0,0.815000000000001,33.25,26,40.5,22.35,43.3,29.9275362318841,22,36.75,14,49,4.625,4,5,4,5,5.11510791366906,5,6,3.9,6.09999999999999,0.1,0,0.1125,0,0.3975,0.249280575539568,0.05,0.4,0,0.7,0.428571428571429,0,1,0,1,0.644444444444444,0,1,0,1
"6",0.085,0.04,0.0775,0.014,0.243,0.285766423357664,0.04,0.4,0,0.924,34,28.5,40.5,23.75,43.3,30.5255474452555,22,36,13.8,51.2,4.625,4,5,4,5,5.13768115942029,5,6,4,7,0.0625,0,0.075,0,0.2475,0.231798561151079,0.05,0.325,0,0.705,0.428571428571429,0,1,0,1,0.693430656934307,0,1,0,1
"7",0.08375,0.0325,0.1025,0.0035,0.2465,0.260992753623188,0.03,0.36,0,0.906,31.375,26,37.5,19.75,43.3,29.5652173913043,20.25,37.75,13,49.3,4.625,4.75,5,3.35,5,5.14492753623188,5,6,4,7,0.1,0,0.15,0,0.345,0.203597122302158,0.05,0.325,0,0.6,0.571428571428571,0,1,0,1,0.674074074074074,0,1,0,1
"8",0.15,0.055,0.1625,0.014,0.437,0.289022058823529,0.04,0.4125,0,0.96,34.125,27.5,41.25,22.35,43.3,29.3970588235294,22,36,13,46.5,4.75,4.75,5,4,5,5.15217391304348,5,6,4,7,0.1375,0,0.1875,0,0.3975,0.241007194244604,0.05,0.35,0,0.755,0.625,0,1,0,1,0.676470588235294,0,1,0,1
"9",0.11625,0.0475,0.1025,0.014,0.3635,0.270345588235294,0.04,0.3525,0,0.91,33.5,26,41.25,22.35,43.3,30,20.75,38,12.75,49.25,4.625,4,5,4,5,5.15217391304348,5,6,4,7,0.1375,0,0.1875,0,0.3975,0.231438848920863,0.05,0.35,0,0.7,0.571428571428571,0,1,0,1,0.676470588235294,0,1,0,1
"10",0.11,0.0325,0.1025,0.0035,0.3635,0.281875912408759,0.04,0.38,0,0.924,33,26,41.25,19.75,43.3,30.2408759124088,22,37,13.8,50.2,4.5,4,5,3.35,5,5.12230215827338,5,6,4,6.09999999999999,0.11875,0,0.15,0,0.345,0.244244604316547,0.05,0.4,0,0.7,0.571428571428571,0,1,0,1,0.656934306569343,0,1,0,1
