"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.02125,0,0.0375,0,0.07,0.0268181818181818,0,0.04,0,0.1,73.625,46.5,88,33.5,151,73.1704035874439,36,102,18,151,4.4375,4.75,5,1,6,4.46534653465347,4,6,1,7,0.20625,0,0.3875,0,0.6,0.0770089285714286,0,0.1,0,0.4,0.625,0,1,0,1,0.627906976744186,0,1,0,1
"2",0.03,0,0.045,0,0.105,0.0229545454545455,0,0.04,0,0.09,76.8125,60.5,86.25,33,151,71.3946188340807,37,97,20,151,4.0625,3.5,5,1,6.25,4.26341463414634,3,5,1,7,0.134375,0,0.2625,0,0.4125,0.0774553571428571,0,0.1,0,0.4,0.625,0,1,0,1,0.638095238095238,0,1,0,1
"3",0.030625,0,0.045,0,0.1125,0.0245,0,0.04,0,0.09,69.0625,54,88,29,112.75,71.457399103139,36,98.5,18,151,4.875,4,5.25,4,6.25,4.28780487804878,3,5,1,7,0.140625,0,0.2125,0,0.525,0.0709821428571429,0,0.1,0,0.3,0.5625,0,1,0,1,0.652582159624413,0,1,0,1
"4",0.02625,0,0.045,0,0.07,0.0224434389140271,0,0.03,0,0.09,69.6875,55,78.25,39.25,112,74.1121076233184,37,104,20.1,151,4.1875,2.75,5.25,1,7,4.245,3,6,1,7,0.134375,0,0.2125,0,0.6,0.0808035714285714,0,0.1,0,0.4,0.75,0.75,1,0,1,0.629107981220657,0,1,0,1
"5",0.02125,0,0.03,0,0.075,0.0256561085972851,0,0.04,0,0.1,78.4375,54,97.5,35.5,151,70.9508928571429,34.75,98.25,16.3,151,4.1875,3.75,5,1.75,6.25,4.4368932038835,4,6,1,7,0.2125,0,0.3875,0,0.6,0.0787946428571429,0,0.1,0,0.4,0.8125,1,1,0,1,0.589622641509434,0,1,0,1
"6",0.02625,0,0.03,0,0.1125,0.0274660633484163,0,0.04,0,0.1,75.6875,43.5,97.75,32,151,70.7982062780269,37,92,20.1,151,4.875,4,6,1,7,4.37073170731707,3,6,1,7,0.24375,0,0.5,0,0.6,0.0910714285714286,0,0.15,0,0.4425,0.6875,0,1,0,1,0.602803738317757,0,1,0,1
"7",0.025,0,0.0425,0,0.06,0.0265158371040724,0,0.04,0,0.1,60.4375,42.25,70.75,32,95.75,70.2017937219731,36,97,21,151,4.5,4,5,2.5,6,4.29756097560976,3,6,1,7,0.1875,0,0.3125,0,0.6,0.08125,0,0.1,0,0.4,0.625,0,1,0,1,0.647619047619048,0,1,0,1
"8",0.03125,0,0.06,0,0.09,0.0271171171171171,0,0.04,0,0.0994999999999999,81.8125,60.25,93.25,33.5,151,72.6517857142857,37,97.25,22,151,4,2.75,5,1,7,4.27363184079602,3,5,1,7,0.125,0,0.125,0,0.525,0.0792410714285714,0,0.1,0,0.4,0.8125,1,1,0,1,0.604651162790698,0,1,0,1
"9",0.024375,0,0.045,0,0.0825,0.025045045045045,0,0.04,0,0.09,76.75,53.25,91,31.5,151,70.5291479820628,37,95.5,21.1,151,4.5,4,6,1,6.25,4.36764705882353,3.75,6,1,7,0.16875,0,0.375,0,0.6,0.0825892857142857,0,0.1,0,0.4,0.75,0.75,1,0,1,0.613953488372093,0,1,0,1
"10",0.02375,0,0.04,0,0.06,0.0249545454545455,0,0.04,0,0.0904999999999998,76.1875,60.5,83.5,36.75,151,72.1165919282511,35.5,98.5,20,151,4.1875,4,5,1.75,5.25,4.35643564356436,4,5.75,1,7,0.090625,0,0.125,0,0.35,0.0727678571428571,0,0.1,0,0.4,0.5625,0,1,0,1,0.605633802816901,0,1,0,1
