"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.0366666666666667,0,0.02,0,0.198,0.030959595959596,0,0.05,0,0.14,87.6666666666667,54.75,121.75,45.35,151,75.9141414141414,40,106.75,22.85,151,4,2.5,5,1.5,6,4.01123595505618,2,5,1,7,0.104166666666667,0,0.15,0,0.335,0.0419597989949749,0,0.05,0,0.255,0.75,0.75,1,0,1,0.605263157894737,0,1,0,1
"2",0.045,0,0.06,0,0.198,0.0324623115577889,0,0.05,0,0.142,85.75,53.75,151,35.65,151,77.3618090452261,39,122,23,151,4,2.5,5.5,1,6,4.07386363636364,3,5,1,7,0.104166666666667,0,0.15,0,0.38,0.0409547738693467,0,0.05,0,0.205,0.75,0.75,1,0,1,0.626943005181347,0,1,0,1
"3",0.05,0,0.08,0,0.198,0.0306565656565657,0,0.05,0,0.1115,83.5833333333333,50.25,151,30.4,151,73.959595959596,37,101.5,23,151,3.90909090909091,2,5.5,1,6.5,3.91573033707865,2,5,1,7,0.125,0,0.15,0,0.545,0.0404522613065327,0,0.05,0,0.205,0.75,0.75,1,0,1,0.628272251308901,0,1,0,1
"4",0.04,0,0.045,0,0.143,0.0302020202020202,0,0.04,0,0.1415,79.6666666666667,50.75,103,36,151,78.4040404040404,40,119.25,23,151,4.33333333333333,3.75,5.25,2.1,6.45,3.97126436781609,2,5,1,7,0.104166666666667,0,0.15,0,0.4625,0.0447236180904523,0,0.05,0,0.255,0.75,0.75,1,0,1,0.630208333333333,0,1,0,1
"5",0.0183333333333333,0,0.0425,0,0.0645,0.0346969696969697,0,0.05,0,0.1515,80.8333333333333,42.25,112.75,33.1,151,76.6363636363636,37,119.25,22,151,4.09090909090909,3,5,1,6,4.04,3,5,1,7,0.1125,0,0.1625,0,0.4625,0.0454773869346734,0,0.05,0,0.255,0.666666666666667,0,1,0,1,0.628272251308901,0,1,0,1
"6",0.035,0,0.0475,0,0.138,0.0327638190954774,0,0.05,0,0.141,75.75,52.5,93.25,41.15,129.55,74.2914572864322,38,101,22,151,4.91666666666667,4.75,6,2.65,6.45,4.09444444444444,3,5,1,7,0.175,0,0.2375,0,0.545,0.0477386934673367,0,0.05,0,0.255,0.75,0.75,1,0,1,0.62303664921466,0,1,0,1
"7",0.0291666666666667,0,0.0275,0,0.138,0.0290909090909091,0,0.04,0,0.103,90.8333333333333,55.5,151,32.2,151,77.7676767676768,40.25,145,22.85,151,4.3,4,5.75,1,6,3.94285714285714,2,5,1,7,0.1625,0,0.275,0,0.545,0.0386934673366834,0,0.025,0,0.25,0.583333333333333,0,1,0,1,0.609625668449198,0,1,0,1
"8",0.0216666666666667,0,0.0175,0,0.1045,0.0292929292929293,0,0.04,0,0.114499999999999,92.25,58.5,151,30.4,151,77.7828282828283,39.25,118.5,22,151,4,2.5,5.5,1,7,3.8448275862069,2,5,1,7,0.0666666666666667,0,0.025,0,0.325,0.0447236180904523,0,0.05,0,0.25,0.666666666666667,0,1,0,1,0.592592592592593,0,1,0,1
"9",0.0225,0,0.025,0,0.098,0.0335175879396985,0,0.05,0,0.15,76.6666666666667,47,82.75,35.1,151,73.0301507537689,36.5,101,23,151,4.63636363636364,4,6,1.5,7,3.93888888888889,2,5,1,7,0.1375,0,0.2375,0,0.545,0.0474874371859296,0,0.05,0,0.3,0.833333333333333,1,1,0,1,0.626315789473684,0,1,0,1
"10",0.0425,0,0.045,0,0.198,0.0307575757575758,0,0.05,0,0.123,73.5,47,83.5,35.65,151,77.1111111111111,40,111.5,22.85,151,4.63636363636364,4,6,1.5,6,4.01675977653631,2,5,1,7,0.191666666666667,0,0.2375,0,0.6,0.0407035175879397,0,0.05,0,0.205,0.583333333333333,0,1,0,1,0.606382978723404,0,1,0,1
