"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.133333333333333,0.105,0.1575,0.025,0.2425,0.128727272727273,0.025,0.17,0,0.344,64.1666666666667,53,62.25,46,98.25,46.8245614035088,36,60,15.6,80,4.16666666666667,3,5.75,2.25,6,4.73333333333333,4,6,3,6,0.15,0.025,0.275,0,0.3,0.211666666666667,0,0.3125,0,0.709999999999999,0.8,1,1,0.2,1,0.766666666666667,1,1,0,1
"2",0.156666666666667,0.1275,0.1825,0.105,0.2125,0.140877192982456,0.04,0.19,0,0.352,65.8333333333333,52.5,64.5,47.75,98.75,46.271186440678,34.5,60,9.6,80.3,4,3,5,2.25,5.75,4.68333333333333,3,6,3,6,0.116666666666667,0.0125,0.1875,0,0.275,0.203333333333333,0.05,0.3,0,0.6,0.666666666666667,0.25,1,0,1,0.733333333333333,0,1,0,1
"3",0.158333333333333,0.12,0.18,0.105,0.25,0.122909090909091,0.035,0.175,0,0.306,64,50.5,64.5,45.5,98.75,46.7017543859649,34,61,12.4,80.6,3.66666666666667,3,4.5,2.25,5.75,4.68333333333333,3,6,3,6,0.125,0.025,0.1875,0,0.275,0.223333333333333,0.0375,0.3625,0,0.7,0.6,0,1,0,1,0.75,0.75,1,0,1
"4",0.185,0.1525,0.2125,0.1275,0.2575,0.132,0.045,0.165,0,0.358,56.1666666666667,50.5,62.25,47.75,64.5,45.7368421052632,33,60,9.2,80.6,3.83333333333333,2.25,5,2,5.75,4.65,3,6,2,6,0.0833333333333333,0,0.125,0,0.2625,0.23,0.0375,0.3625,0,0.7,0.8,1,1,0.2,1,0.716666666666667,0,1,0,1
"5",0.105,0.045,0.1575,0.0125,0.1675,0.151607142857143,0.05,0.2025,0,0.42,59.1666666666667,52.5,64.5,47,69.5,45.051724137931,32.25,60,9.4,80,4.66666666666667,4.25,5,3.25,5.75,4.61666666666667,3,5.25,2.95,6,0.116666666666667,0,0.25,0,0.3,0.228333333333333,0,0.3625,0,0.709999999999999,1,1,1,1,1,0.8,1,1,0,1
"6",0.0783333333333333,0.0125,0.1375,0.0025,0.18,0.118,0.02,0.16,0,0.296,62.5,50,61.25,47,98.25,44.0526315789474,33,56,9.2,78.4,4.83333333333333,4.25,5.75,3.25,6,4.75,4,6,2,6,0.175,0.1125,0.275,0.025,0.3,0.25,0.05,0.4,0,0.709999999999999,0.666666666666667,0.25,1,0,1,0.733333333333333,0,1,0,1
"7",0.0916666666666667,0.04,0.1425,0.005,0.1575,0.148214285714286,0.05,0.2,0,0.42,66.6666666666667,57,64.5,48.5,98.75,45.3620689655172,30,59.25,9.4,80.45,4.5,3.25,5.75,3,6,4.75,4,6,2,6,0.133333333333333,0,0.275,0,0.3,0.215833333333333,0,0.3125,0,0.614999999999999,0.833333333333333,1,1,0.25,1,0.75,0.75,1,0,1
"8",0.09,0.0325,0.1425,0.0025,0.1575,0.137090909090909,0.04,0.19,0,0.358,69.8333333333333,57.75,72.5,51.5,101.25,45.4035087719298,30,60,9.2,80.6,4.83333333333333,3.5,6,3,6,4.75,3.75,6,3,6,0.2,0.125,0.3,0.025,0.3,0.230833333333333,0.05,0.4,0,0.7,0.666666666666667,0.25,1,0,1,0.75,0.75,1,0,1
"9",0.165,0.1275,0.1675,0.12,0.245,0.123333333333333,0.02,0.17,0,0.304,61.6666666666667,54.75,69.5,46,74,43.6034482758621,30.5,55.75,17.4,68.9,4.16666666666667,3,5.75,2.25,6,4.45,3,5,2,6,0.166666666666667,0.025,0.3,0,0.3,0.204166666666667,0,0.3,0,0.709999999999999,0.8,1,1,0.2,1,0.766666666666667,1,1,0,1
"10",0.161666666666667,0.13,0.2225,0.0375,0.2625,0.147454545454545,0.045,0.195,0,0.424,60.8333333333333,54,66.5,50.5,70,44.9473684210526,33,56,9.2,80.6,4.16666666666667,3.5,5,2.25,5,4.81666666666667,4,6,3,6,0.141666666666667,0,0.25,0,0.4125,0.248333333333333,0.0875,0.4,0,0.709999999999999,1,1,1,1,1,0.7,0,1,0,1
