"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.0466666666666667,0,0.075,0,0.125,0.0316666666666667,0,0.03,0,0.15,95.8333333333333,60.75,136.75,57,151,93.8086419753086,58,151,32,151,3.33333333333333,1.5,4.5,1,6.5,3.56115107913669,1,6,1,7,0,0,0,0,0,0.100679012345679,0,0.2,0,0.4,0.666666666666667,0.25,1,0,1,0.476190476190476,0,1,0,1
"2",0.0216666666666667,0,0.045,0,0.0675,0.0404320987654321,0,0.0475,0,0.18,130,108.25,151,85,151,93.9135802469136,58,151,34.05,151,1.66666666666667,1,2.5,1,3,3.73913043478261,1,6,1,7,0,0,0,0,0,0.092037037037037,0,0.1875,0,0.4,0.333333333333333,0,0.75,0,1,0.489795918367347,0,1,0,1
"3",0.0383333333333333,0,0.055,0,0.1125,0.0398765432098765,0,0.04,0,0.199,112.166666666667,73.75,151,61,151,95.2777777777778,60,151,35.05,151,2.66666666666667,1,3.75,1,5.5,3.62589928057554,1,6,1,7,0.0333333333333333,0,0,0,0.15,0.106234567901235,0,0.2,0,0.4,0.4,0,1,0,1,0.479452054794521,0,1,0,1
"4",0.062,0.04,0.07,0.008,0.126,0.0393827160493827,0,0.04,0,0.1895,66,59,67,51.8,88.6,91.3703703703704,57.25,151,32,151,2.83333333333333,1.5,3.75,1,4.75,3.71223021582734,1,6,1,7,0.116666666666667,0,0.175,0,0.35,0.106851851851852,0,0.2,0,0.4,0.333333333333333,0,0.75,0,1,0.452054794520548,0,1,0,1
"5",0.054,0,0.13,0,0.138,0.0390123456790123,0,0.04,0,0.18,98.4,63,151,60.6,151,92.6172839506173,58,151,32.05,151,3.5,1.5,5.25,1,6.75,3.75714285714286,1,6,1,7,0.1,0,0.15,0,0.35,0.100987654320988,0,0.2,0,0.4,0.666666666666667,0.25,1,0,1,0.472972972972973,0,1,0,1
"6",0.045,0,0.0675,0,0.1225,0.0325308641975309,0,0.04,0,0.1595,114,76.25,151,61.75,151,92.0802469135803,56,151,32,151,2.6,1,3,1,4.6,3.69565217391304,1,6,1,7,0.0333333333333333,0,0.075,0,0.1,0.110246913580247,0,0.2,0,0.4,0.5,0,1,0,1,0.443708609271523,0,1,0,1
"7",0.0733333333333333,0.045,0.115,0.01,0.1375,0.0380864197530864,0,0.04,0,0.18,85.5,61.75,91,59.25,136.75,91.3086419753086,55.25,151,33.05,151,3,1.5,3.75,1,5.5,3.69503546099291,1,6,1,7,0.0333333333333333,0,0,0,0.15,0.0951234567901235,0,0.2,0,0.4,0.4,0,1,0,1,0.452702702702703,0,1,0,1
"8",0.042,0.03,0.07,0.006,0.07,0.0334567901234568,0,0.0375,0,0.15,87,67,82,60.6,137.2,92.3271604938272,56,151,30.1,151,2.83333333333333,1.5,3.75,1,4.75,3.73049645390071,1,6,1,7,0.0833333333333333,0,0.075,0,0.325,0.0898765432098765,0,0.2,0,0.4,0.166666666666667,0,0,0,0.75,0.456375838926175,0,1,0,1
"9",0.03,0,0.06,0,0.068,0.0338271604938272,0,0.03,0,0.1595,109,82,151,70,151,96.8395061728395,59,151,36.05,151,2.2,1,3,1,4.6,3.71641791044776,1,6,1,7,0.0833333333333333,0,0.075,0,0.325,0.0926543209876543,0,0.15,0,0.4,0.666666666666667,0.25,1,0,1,0.496551724137931,0,1,0,1
"10",0.0616666666666667,0.01,0.1125,0,0.1375,0.0400617283950617,0,0.04,0,0.18,98.6666666666667,61.75,139.25,59.25,151,91.5246913580247,58,151,32.05,151,3,1.5,3.75,1,5.5,3.72857142857143,1,6,1,7,0.05,0,0.075,0,0.175,0.0994444444444444,0,0.2,0,0.4,0.5,0,1,0,1,0.483221476510067,0,1,0,1
