"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.04,0.0125,0.0675,0.0025,0.0775,0.03,0,0.03,0,0.177,84,62.5,90.75,58.75,137.75,85.7474747474748,49,123.5,22.85,151,4.33333333333333,3.25,5,2.25,6.5,4.62176165803109,3,7,1,7,0.108333333333333,0.0125,0.175,0,0.275,0.15639603960396,0,0.2375,0,0.65,0.5,0,1,0,1,0.451776649746193,0,1,0,1
"2",0.02,0,0.02,0,0.06,0.0270056497175141,0,0.03,0,0.11,89.8333333333333,57.75,110.75,52.5,142,83.2763819095477,46,124,23,151,3.66666666666667,3,4.75,1.5,5.75,4.60416666666667,3,6,1,7,0.266666666666667,0.025,0.4,0,0.8,0.161871287128713,0,0.25,0,0.697499999999999,0.5,0,1,0,1,0.454081632653061,0,1,0,1
"3",0.078,0.01,0.1,0.002,0.188,0.0271777777777778,0,0.02,0,0.101499999999999,88.5,57.75,109.25,51,142,86.58,46,130.5,22.95,151,4.33333333333333,2,6,1,6.75,4.48167539267016,3,6,1,7,0.3,0,0.475,0,0.8,0.172722772277228,0,0.2875,0,0.7,0.333333333333333,0,0.75,0,1,0.461928934010152,0,1,0,1
"4",0.04,0.01,0.065,0,0.0775,0.0313812154696133,0,0.03,0,0.15,99.3333333333333,67,135.75,58.75,151,86.9748743718593,49,133,24.9,151,4,3,4.75,2.25,6.5,4.51322751322751,3,6,1,7,0.208333333333333,0.0125,0.2,0,0.65,0.174990099009901,0,0.3,0,0.7,0.833333333333333,1,1,0.25,1,0.446700507614213,0,1,0,1
"5",0.046,0.01,0.07,0.002,0.078,0.0319337016574586,0,0.03,0,0.15,84.6666666666667,58.75,103.5,55,142,86.7727272727273,49,135.5,24,151,4,3.25,5,1.5,5.75,4.47894736842105,3,6,1,7,0.275,0.0125,0.425,0,0.8,0.190792079207921,0,0.3,0,0.7,0.666666666666667,0.25,1,0,1,0.44949494949495,0,1,0,1
"6",0.03,0,0.06,0,0.076,0.0328114285714286,0,0.03,0,0.17,102.333333333333,67.5,142,62.5,151,86.5979899497487,46,135,24,151,3.83333333333333,2.25,5,1.25,6.5,4.67894736842105,3,6,1,7,0.166666666666667,0,0.275,0,0.45,0.178168316831683,0,0.3,0,0.7,0.666666666666667,0.25,1,0,1,0.474489795918367,0,1,0,1
"7",0.0525,0.0475,0.07,0.0175,0.07,0.0306327683615819,0,0.03,0,0.154,62.1666666666667,55,68.5,21,103.5,87.6834170854271,48,133,24,151,4.16666666666667,2.5,5.75,1.25,6.75,4.44791666666667,3,6,1,7,0.291666666666667,0.0125,0.45,0,0.8,0.189316831683168,0,0.3,0,0.7,0.5,0,1,0,1,0.47979797979798,0,1,0,1
"8",0.046,0.02,0.07,0.004,0.078,0.0332777777777778,0,0.03,0,0.171,88.1666666666667,55.75,110.75,51,142,85.6010101010101,48.25,130,23.85,151,4.5,3.5,5.75,1.5,6.75,4.52820512820513,3,6,1,7,0.283333333333333,0.025,0.425,0,0.8,0.184861386138614,0,0.3,0,0.7,0.5,0,1,0,1,0.441624365482233,0,1,0,1
"9",0.0325,0.015,0.0525,0.003,0.0585,0.0315842696629213,0,0.03,0,0.17,84.8333333333333,58.75,110.75,20,142,85.275,46,132.5,22.9,151,3.66666666666667,3,4.5,1.5,6.5,4.62303664921466,3,6,1,7,0.133333333333333,0,0.175,0,0.425,0.177712871287129,0,0.3,0,0.7,0.333333333333333,0,0.75,0,1,0.474747474747475,0,1,0,1
"10",0.044,0.01,0.07,0.002,0.078,0.0294886363636364,0,0.03,0,0.1325,52.1666666666667,52.5,65.5,20.5,68.5,86.8939393939394,49.25,126,26,151,4.83333333333333,4.25,5.75,2.5,6.75,4.70157068062827,3,6.5,1,7,0.25,0.025,0.275,0,0.75,0.166079207920792,0,0.3,0,0.65,0.666666666666667,0.25,1,0,1,0.461538461538462,0,1,0,1
