"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.711666666666667,0.1525,1.35,0.03,1.7275,0.399722222222222,0.17,0.5625,0,1.1635,30.5,22.5,38,20.25,40.5,32.2361111111111,24.75,42,13,49.45,5.5,5.25,6,4.25,6,5.2972972972973,5,6,4,6.34999999999999,0.5,0.35,0.6125,0.2625,0.7625,0.3276,0.125,0.5,0,0.9,0.666666666666667,0.25,1,0,1,0.675675675675676,0,1,0,1
"2",0.763333333333333,0.205,1.375,0.03,1.7275,0.363055555555556,0.0875,0.525,0,1.1635,35.6666666666667,30.5,40.5,23,47,31.3333333333333,24.75,39.25,12.55,48.45,5.33333333333333,5,6,4.25,6,5.31081081081081,5,6,4,6.34999999999999,0.516666666666667,0.35,0.6125,0.2625,0.8375,0.3036,0.1,0.475,0,0.9,0.833333333333333,1,1,0.25,1,0.675675675675676,0,1,0,1
"3",0.27,0.1525,0.415,0.03,0.4975,0.402702702702703,0.155,0.5675,0,1.1605,32,23.25,38,20.5,46.5,31.0405405405405,24.25,38.75,12.65,49.35,5.33333333333333,5,6,4.25,6,5.33333333333333,5,6,4,7,0.433333333333333,0.3,0.5,0.225,0.725,0.304933333333333,0.1,0.475,0,0.73,0.666666666666667,0.25,1,0,1,0.689189189189189,0,1,0,1
"4",0.47,0.03,0.5725,0,1.375,0.397027027027027,0.1525,0.5675,0,1.1605,36.6666666666667,30.5,40.5,27.5,47,31.0540540540541,24,41.5,12,49,5,4.25,5.75,4,6,5.24324324324324,5,6,4,6.34999999999999,0.466666666666667,0.3125,0.5,0.2625,0.8,0.2796,0.1,0.425,0,0.759999999999999,0.833333333333333,1,1,0.25,1,0.702702702702703,0,1,0,1
"5",0.48,0.07,0.4975,0,1.35,0.435138888888889,0.1675,0.6525,0.0355,1.1635,33.5,27,39.5,23.25,47,30.4583333333333,24,38.5,12.55,48.45,5.16666666666667,4.25,6,4,6,5.2972972972973,5,6,4,6.34999999999999,0.4,0.2625,0.4625,0.2125,0.725,0.3096,0.1,0.5,0,0.9,0.833333333333333,1,1,0.25,1,0.68,0,1,0,1
"6",0.495,0.1525,0.4975,0.03,1.35,0.407432432432432,0.11,0.6325,0,1.194,33.8333333333333,27,40.5,21.75,47,31.6081081081081,24,42,12,49.35,5.33333333333333,5,6,4.25,6,5.32,5,6,4,6,0.416666666666667,0.3,0.4625,0.2625,0.725,0.3136,0.1,0.5,0,0.83,0.666666666666667,0.25,1,0,1,0.653333333333333,0,1,0,1
"7",0.475,0.03,0.4975,0,1.4475,0.387297297297297,0.11,0.5675,0,1.1605,33,27,38,22.5,46.5,31.4594594594595,24.25,42,12.65,49.35,5,4.25,5.75,4,6,5.32432432432432,5,6,4,7,0.516666666666667,0.3875,0.6125,0.3125,0.7625,0.2896,0.1,0.45,0,0.83,0.666666666666667,0.25,1,0,1,0.675675675675676,0,1,0,1
"8",0.516666666666667,0.1525,0.4975,0.03,1.4475,0.407260273972603,0.15,0.57,0.006,1.196,30.5,22.5,36,20.25,46.5,31.0547945205479,24,39,12.6,49.4,5.33333333333333,5,6,4.25,6,5.27027027027027,5,6,4,6.34999999999999,0.483333333333333,0.3125,0.6125,0.3,0.7625,0.28,0.1,0.45,0,0.73,0.666666666666667,0.25,1,0,1,0.662162162162162,0,1,0,1
"9",0.41,0.03,0.4075,0,1.3375,0.383561643835616,0.15,0.56,0,0.96,35.1666666666667,29,40.5,21.75,47,30.3972602739726,21,40,12,50,5,4.25,5.75,4,6,5.27027027027027,5,6,4,6.34999999999999,0.366666666666667,0.3,0.4625,0.2625,0.5,0.2836,0.1,0.425,0,0.83,0.833333333333333,1,1,0.25,1,0.72,0,1,0,1
"10",0.41,0.03,0.4075,0,1.3375,0.407777777777778,0.1325,0.57,0.00550000000000001,1.198,35.1666666666667,29,40.5,21.75,47,30.6944444444444,24,40.5,12,49,5,4.25,5.75,4,6,5.35135135135135,5,6,4,7,0.366666666666667,0.3,0.4625,0.2625,0.5,0.314933333333333,0.1,0.5,0,0.9,0.833333333333333,1,1,0.25,1,0.716216216216216,0,1,0,1
"11",0.475,0.0625,0.4975,0,1.35,0.388082191780822,0.11,0.57,0,1.054,33.1666666666667,27,39.5,21.75,47,30.8082191780822,24,38,12.6,48.4,5.16666666666667,4.25,6,4,6,5.27027027027027,5,6,4,6,0.416666666666667,0.3,0.4625,0.2625,0.725,0.310266666666667,0.1,0.5,0,0.83,0.833333333333333,1,1,0.25,1,0.666666666666667,0,1,0,1
"12",0.465,0.1525,0.4525,0.03,1.35,0.338055555555556,0.1325,0.525,0,0.918,29.3333333333333,23.25,36,20.5,40.5,32.2083333333333,24,42,14.65,50,5.5,5.25,6,4.25,6,5.2972972972973,5,6,4,6,0.4,0.2625,0.4625,0.2125,0.725,0.312,0.1,0.5,0,0.9,0.666666666666667,0.25,1,0,1,0.635135135135135,0,1,0,1
"13",0.453333333333333,0.03,0.4975,0,1.35,0.39625,0.15,0.57,0,1.062,36.3333333333333,29,40.5,27,47,30.7222222222222,24,40.5,12,50,5,4.25,5.75,4,6,5.25675675675676,5,6,4,6,0.45,0.3125,0.5,0.2625,0.725,0.334933333333333,0.1,0.5,0,0.9,0.666666666666667,0.25,1,0,1,0.689189189189189,0,1,0,1
"14",0.495,0.1525,0.4975,0.03,1.35,0.37013698630137,0.14,0.56,0.006,0.966,35.1666666666667,29,40.5,21.75,47,30.7397260273973,24,39,12,45.6,5.33333333333333,5,6,4.25,6,5.25333333333333,5,6,4,6.3,0.441666666666667,0.3,0.5,0.2625,0.725,0.312,0.1,0.5,0,0.9,0.666666666666667,0.25,1,0,1,0.648648648648649,0,1,0,1
"15",0.763333333333333,0.205,1.375,0.03,1.7275,0.374722222222222,0.14,0.545,0,1.062,35.6666666666667,30.5,40.5,23,47,31.4444444444444,24,40.5,13,49.45,5.33333333333333,5,6,4.25,6,5.27027027027027,5,6,4,6.34999999999999,0.516666666666667,0.35,0.6125,0.2625,0.8375,0.310933333333333,0.1,0.5,0,0.759999999999999,0.833333333333333,1,1,0.25,1,0.689189189189189,0,1,0,1
"16",0.535,0.115,0.585,0,1.375,0.363561643835616,0.14,0.54,0,1.03,34.6666666666667,27.5,39.5,27,47,31.5616438356164,24,40,12.6,49.4,5.16666666666667,4.25,6,4,6,5.25675675675676,5,6,4,6,0.516666666666667,0.3125,0.725,0.2625,0.875,0.296266666666667,0.1,0.475,0,0.83,0.833333333333333,1,1,0.25,1,0.756756756756757,1,1,0,1
"17",0.44,0.03,0.445,0,1.4475,0.394794520547945,0.14,0.54,0,1.196,28.1666666666667,22.5,33,20.25,38,31.013698630137,24,40,13,46,5.16666666666667,4.25,6,4,6,5.28,5,6,4,6,0.516666666666667,0.3875,0.6125,0.3125,0.7625,0.316266666666667,0.1,0.5,0,0.9,0.666666666666667,0.25,1,0,1,0.716216216216216,0,1,0,1
"18",0.478333333333333,0.03,0.585,0,1.375,0.403918918918919,0.1425,0.57,0,1.1605,33,27.5,38,27,40.5,31.2162162162162,24,41.5,12,49,5.16666666666667,4.25,6,4,6,5.24,5,6,4,6,0.55,0.3875,0.725,0.275,0.875,0.326266666666667,0.1,0.5,0,0.83,0.666666666666667,0.25,1,0,1,0.621621621621622,0,1,0,1
"19",0.41,0.03,0.4075,0,1.3375,0.375972222222222,0.1575,0.56,0.00550000000000001,0.968,35.1666666666667,29,40.5,21.75,47,32,24.75,42,13,49.45,5,4.25,5.75,4,6,5.27027027027027,5,6,4,6,0.366666666666667,0.3,0.4625,0.2625,0.5,0.314933333333333,0.1,0.5,0,0.9,0.833333333333333,1,1,0.25,1,0.621621621621622,0,1,0,1
"20",0.223333333333333,0.03,0.4075,0,0.4975,0.382837837837838,0.1425,0.56,0,1.046,32.8333333333333,27,38,21.75,46.5,31.5810810810811,24,42,12,49.35,5,4.25,5.75,4,6,5.32,5,6,4,7,0.458333333333333,0.3125,0.5,0.3,0.725,0.301333333333333,0.1,0.475,0,0.83,0.666666666666667,0.25,1,0,1,0.689189189189189,0,1,0,1
"21",0.418333333333333,0.03,0.445,0,1.35,0.382602739726027,0.14,0.57,0.006,1.066,31.5,27,38,21.75,40.5,31.1369863013699,24,42,12,49.4,5.16666666666667,4.25,6,4,6,5.18666666666667,5,6,4,6,0.45,0.3125,0.5,0.2625,0.725,0.322266666666667,0.1,0.5,0,0.9,0.666666666666667,0.25,1,0,1,0.675675675675676,0,1,0,1
"22",0.768333333333333,0.3025,1.35,0.0625,1.7275,0.354666666666667,0.11,0.53,0,0.927,30.8333333333333,22.5,37.5,20.25,47,31.2666666666667,24,40,12,49.3,5.5,5.25,6,4.25,6,5.29333333333333,5,6,4,6,0.441666666666667,0.3,0.575,0.2625,0.7625,0.296266666666667,0.1,0.5,0,0.73,0.833333333333333,1,1,0.25,1,0.733333333333333,0,1,0,1
"23",0.773333333333333,0.325,1.35,0.07,1.7275,0.44625,0.17,0.6525,0.00550000000000001,1.198,31.1666666666667,23.25,37.5,21.25,47,31.5833333333333,24,40.5,16,48.45,5.5,5.25,6,4.25,6,5.35135135135135,5,6,4,6.34999999999999,0.425,0.2625,0.575,0.2125,0.7625,0.336,0.1,0.5,0,0.9,0.833333333333333,1,1,0.25,1,0.648648648648649,0,1,0,1
"24",0.501666666666667,0.07,0.4975,0,1.4475,0.387361111111111,0.1475,0.54,0.0155,1.198,30.1666666666667,23.25,33,21.25,45.5,30.2361111111111,24,38.25,12,45.8,5.16666666666667,4.25,6,4,6,5.36486486486486,5,6,4,7,0.466666666666667,0.3125,0.6125,0.225,0.7625,0.324666666666667,0.1,0.5,0,0.9,0.833333333333333,1,1,0.25,1,0.662162162162162,0,1,0,1
"25",0.75,0.2575,1.3375,0.1525,1.7275,0.394383561643836,0.16,0.56,0.016,1.054,32,21.25,40.5,20.25,47,31.1369863013699,24,42,12.6,49.4,5.66666666666667,5.25,6,5,6,5.31081081081081,5,6,4,6,0.366666666666667,0.2625,0.45,0.2125,0.6125,0.2996,0.1,0.475,0,0.83,0.833333333333333,1,1,0.25,1,0.675675675675676,0,1,0,1
"26",0.738333333333333,0.2575,1.35,0.0625,1.7275,0.402361111111111,0.1325,0.5725,0.00550000000000001,1.1635,26.3333333333333,21.25,27,20.25,37.5,31.8055555555556,24,42,14.2,50,5.66666666666667,6,6,4.5,6,5.2972972972973,5,6,4,7,0.425,0.2625,0.575,0.2125,0.7625,0.303333333333333,0.1,0.475,0,0.9,0.833333333333333,1,1,0.25,1,0.648648648648649,0,1,0,1
"27",0.768333333333333,0.3025,1.35,0.0625,1.7275,0.406805555555556,0.2,0.5625,0.00550000000000001,1.1635,32.1666666666667,22.5,39.5,20.25,47,31.4166666666667,24,40.5,14.65,48.45,5.5,5.25,6,4.25,6,5.32432432432432,5,6,4,6.34999999999999,0.466666666666667,0.3,0.6125,0.2625,0.7625,0.328266666666667,0.1,0.5,0,0.9,0.833333333333333,1,1,0.25,1,0.662162162162162,0,1,0,1
"28",0.751666666666667,0.1275,1.375,0,1.7275,0.417397260273973,0.14,0.58,0,1.196,30,27,33.5,22.5,39.5,31.7671232876712,25,42,12,49,5.33333333333333,4.5,6,4,6,5.27027027027027,5,6,4,6,0.575,0.3875,0.7625,0.275,0.875,0.322933333333333,0.1,0.5,0,0.9,0.833333333333333,1,1,0.25,1,0.662162162162162,0,1,0,1
"29",0.768333333333333,0.3025,1.35,0.0625,1.7275,0.401666666666667,0.15,0.57,0.00550000000000001,1.062,30.8333333333333,22.5,37.5,20.25,47,32.2361111111111,25,42,12.55,50,5.5,5.25,6,4.25,6,5.27027027027027,5,6,4,6,0.441666666666667,0.3,0.575,0.2625,0.7625,0.326266666666667,0.1,0.5,0,0.9,0.833333333333333,1,1,0.25,1,0.662162162162162,0,1,0,1
"30",0.436666666666667,0.03,0.415,0,1.435,0.376575342465753,0.14,0.54,0,0.966,32.1666666666667,23.25,38,21.25,46.5,32.6164383561644,25,42,14.8,50,5,4.25,5.75,4,6,5.28378378378378,5,6,4,6.34999999999999,0.416666666666667,0.3125,0.5,0.225,0.6125,0.304266666666667,0.1,0.475,0,0.9,0.833333333333333,1,1,0.25,1,0.675675675675676,0,1,0,1
"31",0.305,0.0625,0.4975,0,0.585,0.385068493150685,0.15,0.56,0,1.162,31.1666666666667,27,33.5,21.75,45.5,30.958904109589,24,40,12.6,49,5.16666666666667,4.25,6,4,6,5.34666666666667,5,6,4,6.3,0.525,0.3125,0.725,0.3,0.875,0.3276,0.1,0.5,0,0.9,0.833333333333333,1,1,0.25,1,0.675675675675676,0,1,0,1
"32",0.533333333333333,0.1525,0.5725,0.03,1.4725,0.375277777777778,0.1475,0.5625,0,1.0345,32.1666666666667,23,38,20.25,46.5,30.9722222222222,24,40.5,12.55,50,5.33333333333333,5,6,4.25,6,5.24324324324324,5,6,4,6,0.525,0.35,0.6125,0.3,0.8375,0.310266666666667,0.1,0.5,0,0.759999999999999,0.833333333333333,1,1,0.25,1,0.693333333333333,0,1,0,1
"33",0.475,0.03,0.4975,0,1.4475,0.417297297297297,0.1725,0.5775,0,1.1605,33,27,38,22.5,46.5,31.3918918918919,24.25,42,13,49.35,5,4.25,5.75,4,6,5.29333333333333,5,6,4,6,0.516666666666667,0.3875,0.6125,0.3125,0.7625,0.314933333333333,0.1,0.5,0,0.9,0.666666666666667,0.25,1,0,1,0.662162162162162,0,1,0,1
"34",0.556666666666667,0.115,0.585,0,1.4725,0.379722222222222,0.11,0.56,0,1.0755,31.3333333333333,27,33.5,22.5,45.5,32.1388888888889,25,42,14.65,49,5.16666666666667,4.25,6,4,6,5.27027027027027,5,6,4,6,0.583333333333333,0.3875,0.7625,0.3125,0.875,0.3116,0.1,0.5,0,0.9,0.833333333333333,1,1,0.25,1,0.689189189189189,0,1,0,1
"35",0.511666666666667,0.1525,0.5725,0.03,1.375,0.377777777777778,0.17,0.52,0,1.0935,35.5,30.5,40.5,22.25,47,32.0833333333333,24,40.5,13,50,5.33333333333333,5,6,4.25,6,5.27027027027027,5,6,4,6,0.458333333333333,0.3,0.5,0.2625,0.8,0.3116,0.1,0.5,0,0.9,0.833333333333333,1,1,0.25,1,0.702702702702703,0,1,0,1
"36",0.703333333333333,0.1525,1.3375,0.03,1.7275,0.362702702702703,0.1525,0.535,0.0065,0.9435,34.1666666666667,24.5,40.5,20.25,47,31.2972972972973,24,42,12,50,5.33333333333333,5,6,4.25,6,5.25675675675676,5,6,4,7,0.416666666666667,0.3,0.5,0.2625,0.6125,0.268266666666667,0.1,0.45,0,0.63,0.833333333333333,1,1,0.25,1,0.594594594594595,0,1,0,1
"37",0.563333333333333,0.2575,0.4975,0.1525,1.4475,0.416712328767123,0.18,0.58,0,1.162,29.6666666666667,21.25,36,20.25,46.5,30.9041095890411,24,42,12.6,49.4,5.66666666666667,5.25,6,5,6,5.24,5,6,4,6,0.458333333333333,0.3,0.6125,0.225,0.7625,0.308933333333333,0.1,0.5,0,0.9,0.666666666666667,0.25,1,0,1,0.662162162162162,0,1,0,1
"38",0.511666666666667,0.1525,0.5725,0.03,1.375,0.390694444444444,0.1325,0.5725,0,1.04,34.1666666666667,27.5,40.5,21.75,47,32.1111111111111,25,42,14.65,49,5.33333333333333,5,6,4.25,6,5.35135135135135,5,6,4,7,0.433333333333333,0.3,0.4625,0.2625,0.8,0.3156,0.1,0.5,0,0.83,0.833333333333333,1,1,0.25,1,0.608108108108108,0,1,0,1
"39",0.746666666666667,0.205,1.35,0.03,1.7275,0.371891891891892,0.11,0.56,0,1.0565,35.3333333333333,29,40.5,22.5,47,30.2972972972973,24,38.75,12,48.35,5.33333333333333,5,6,4.25,6,5.29333333333333,5,6,4,7,0.5,0.35,0.6125,0.2625,0.7625,0.2796,0.1,0.45,0,0.759999999999999,0.666666666666667,0.25,1,0,1,0.689189189189189,0,1,0,1
"40",0.768333333333333,0.3025,1.35,0.0625,1.7275,0.409722222222222,0.1675,0.5725,0,1.0755,30.8333333333333,22.5,37.5,20.25,47,31.3194444444444,24,39.25,14.65,49.45,5.5,5.25,6,4.25,6,5.25675675675676,5,6,4,6,0.441666666666667,0.3,0.575,0.2625,0.7625,0.3176,0.1,0.5,0,0.9,0.833333333333333,1,1,0.25,1,0.743243243243243,0.25,1,0,1
"41",0.703333333333333,0.1525,1.3375,0.03,1.7275,0.328513513513514,0.14,0.455,0,0.907,34.1666666666667,24.5,40.5,20.25,47,32.4459459459459,25.25,42,12.65,50,5.33333333333333,5,6,4.25,6,5.27027027027027,5,6,4,6.34999999999999,0.416666666666667,0.3,0.5,0.2625,0.6125,0.274266666666667,0.1,0.4,0,0.7,0.833333333333333,1,1,0.25,1,0.689189189189189,0,1,0,1
"42",0.41,0.03,0.4075,0,1.3375,0.374246575342466,0.15,0.54,0,1.162,35.1666666666667,29,40.5,21.75,47,31.5753424657534,24,42,13,49.4,5,4.25,5.75,4,6,5.32,5,6,4,6,0.366666666666667,0.3,0.4625,0.2625,0.5,0.340266666666667,0.1,0.525,0,0.9,0.833333333333333,1,1,0.25,1,0.666666666666667,0,1,0,1
