"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.205833333333333,0.1175,0.22,0,0.5605,0.18536320754717,0.02925,0.3,0,0.572499999999999,33.8333333333333,22.75,46.5,13.2,54.9,24.377358490566,16,32,8,46.9,5.33333333333333,5,6,4.55,6,4.97169811320755,4,6,4,6.44999999999999,0.3,0.1,0.45,0,0.845,0.209433962264151,0,0.3,0,0.622499999999999,0.75,0.75,1,0,1,0.653846153846154,0,1,0,1
"2",0.31,0.13,0.3975,0.044,0.8055,0.184702830188679,0.03,0.3,0,0.52,34.3333333333333,22.75,46.5,13.2,59.6,24.3584905660377,16,30,9,48,5.5,5,6,5,6,5.00943396226415,4,6,4,6.44999999999999,0.3625,0.25,0.45,0,0.845,0.195518867924528,0,0.3,0,0.6,0.727272727272727,0.5,1,0,1,0.631578947368421,0,1,0,1
"3",0.214166666666667,0.1025,0.24,0.044,0.547,0.183160377358491,0.03,0.2825,0,0.572499999999999,32.5,22.75,42.25,21.1,54.9,23.2783018867925,15,30,6.55,44.45,5.16666666666667,5,5.25,4.55,6,4.97641509433962,4,6,3,6.44999999999999,0.25,0.1,0.3,0,0.69,0.189622641509434,0,0.3,0,0.6,0.727272727272727,0.5,1,0,1,0.655502392344498,0,1,0,1
"4",0.176666666666667,0.08,0.195,0.044,0.4755,0.182877358490566,0.03,0.2825,0,0.5145,33.9166666666667,21.75,46.5,16.65,58.5,23.5754716981132,15,30,7.55,46.9,5.16666666666667,5,5.25,4.55,6,4.95754716981132,4,6,3.55,6.44999999999999,0.225,0.0375,0.3125,0,0.58,0.185377358490566,0,0.3,0,0.6,0.818181818181818,1,1,0,1,0.652380952380952,0,1,0,1
"5",0.215833333333333,0.07,0.24,0,0.668,0.180551886792453,0.03,0.2725,0,0.529,33.3333333333333,24.75,42.25,19.4,51.6,24.7311320754717,16.75,31.25,8.55,48.45,5.33333333333333,5,6,5,6,4.96698113207547,4,6,3.55,6,0.279166666666667,0.1,0.325,0,0.69,0.201415094339623,0,0.3,0,0.6,0.909090909090909,1,1,0.5,1,0.633333333333333,0,1,0,1
"6",0.3175,0.1175,0.495,0,0.8055,0.181165094339623,0.03,0.2925,0,0.5145,27.6666666666667,22.75,29.75,13.2,47.75,24.3396226415094,16,30,8,48.45,5.08333333333333,5,5.25,4.1,6,5.03301886792453,4,6,4,7,0.2625,0.0875,0.3,0,0.735,0.209433962264151,0,0.3,0,0.6,0.636363636363636,0,1,0,1,0.653846153846154,0,1,0,1
"7",0.305833333333333,0.08,0.495,0,0.8055,0.193207547169811,0.03,0.3,0,0.6145,31.8333333333333,21.75,42.25,13.2,55.2,24.0990566037736,16,30.25,7.55,48,5.33333333333333,5,6,5,6,4.98584905660377,4,6,4,7,0.291666666666667,0.0875,0.3625,0,0.845,0.199764150943396,0,0.3,0,0.6,0.818181818181818,1,1,0,1,0.661904761904762,0,1,0,1
"8",0.245,0.1075,0.24,0,0.789,0.181778301886792,0.03,0.29,0,0.572499999999999,28.0833333333333,21.75,33,17.3,44.15,24.8443396226415,16,32,8,48.9,5.41666666666667,5,6,5,6,4.98584905660377,4,6,4,6.44999999999999,0.275,0.075,0.45,0,0.69,0.18938679245283,0,0.3,0,0.6,0.818181818181818,1,1,0,1,0.636363636363636,0,1,0,1
"9",0.27,0.1025,0.3325,0.022,0.789,0.183570754716981,0.03,0.29,0,0.52,28.9166666666667,22.75,29.75,17.75,51.6,24.7311320754717,16,30.25,8,46.9,5.25,5,5.25,5,6,4.95754716981132,4,6,4,7,0.225,0.075,0.3,0,0.49,0.198584905660377,0,0.3,0,0.6,0.727272727272727,0.5,1,0,1,0.641148325358852,0,1,0,1
"10",0.170833333333333,0.125,0.2125,0.08,0.256,0.183051886792453,0.03,0.2825,0,0.5335,29.5833333333333,21.5,35.5,17.75,50.5,24.5801886792453,16,30.25,8,49,5.25,5,6,4.55,6,4.9622641509434,4,6,4,6.44999999999999,0.3,0.1,0.375,0,0.69,0.200471698113208,0,0.3,0,0.622499999999999,0.636363636363636,0,1,0,1,0.663461538461538,0,1,0,1
