"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.511666666666667,0.07,0.61,0,1.6885,0.248994791666667,0.03,0.36,0,0.839499999999999,31.25,24.75,39.5,21.55,44.6,27.4166666666667,19,33.25,12,49,5.08333333333333,5,5.25,4,6,4.93298969072165,4,5,4,6.34999999999999,0.3125,0.175,0.3875,0,0.7175,0.205487179487179,0.025,0.3,0,0.7,0.75,0.75,1,0,1,0.7,0,1,0,1
"2",0.500833333333333,0.1275,0.4975,0.062,1.6885,0.25029381443299,0.04,0.35,0,0.835,32.25,23.5,39.5,20.55,55.75,27.4226804123711,19,34,10,49.35,5.33333333333333,5,6,4.55,6,4.97435897435897,4,6,3.7,6.29999999999998,0.3375,0.2375,0.3875,0,0.7625,0.204102564102564,0,0.3,0,0.714999999999999,0.818181818181818,1,1,0,1,0.638743455497382,0,1,0,1
"3",0.48,0.06,0.5625,0,1.6885,0.225348958333333,0.03,0.3225,0,0.745999999999999,26.75,21,29,15.95,41,27.140625,18,34,10,50,5.25,5,6,4,6,4.9639175257732,4,6,3,7,0.391666666666667,0.2375,0.5375,0.0775,0.845,0.217025641025641,0.025,0.3,0,0.764999999999999,0.818181818181818,1,1,0,1,0.657894736842105,0,1,0,1
"4",0.5075,0.18,0.4975,0.0605,1.6885,0.257953125,0.04,0.36,0,0.7945,30.25,21.75,36,20,44.6,27.625,19,34,12,49.45,5.16666666666667,5,6,4,6,4.98453608247423,4,6,4,6.34999999999999,0.35,0.2,0.5,0.055,0.7625,0.212666666666667,0,0.3,0,0.764999999999999,0.818181818181818,1,1,0,1,0.647668393782383,0,1,0,1
"5",0.5,0.1025,0.5725,0,1.6885,0.241953367875648,0.04,0.34,0,0.908,30.6666666666667,21.75,36,20.55,44.6,26.9274611398964,19,33,12,48.4,5.08333333333333,5,5.25,4,6,4.93846153846154,4,6,4,6,0.3,0.2,0.3875,0.0775,0.5675,0.218205128205128,0.05,0.3,0,0.714999999999999,0.833333333333333,1,1,0,1,0.675392670157068,0,1,0,1
"6",0.5275,0.08,0.7675,0,1.6885,0.238838541666667,0.03,0.3325,0,0.79,28.25,21.75,34.25,14.85,44.15,27.6145833333333,18,35.25,12,50,5.08333333333333,4.75,6,4,6,4.93814432989691,4,5.75,3.65,7,0.325,0.175,0.425,0,0.7625,0.206769230769231,0,0.3,0,0.714999999999999,0.909090909090909,1,1,0.5,1,0.642105263157895,0,1,0,1
"7",0.559166666666667,0.1475,0.6375,0,1.6885,0.247901041666667,0.04,0.3525,0,0.6935,29.5,23.25,36.5,15.95,44.6,28.2708333333333,20,35,12,48.45,5.41666666666667,5,6,4.55,6,5.02577319587629,4,6,4,7,0.479166666666667,0.2875,0.6875,0.1275,0.9,0.214871794871795,0,0.3,0,0.8,0.818181818181818,1,1,0,1,0.678756476683938,0,1,0,1
"8",0.494166666666667,0.08,0.5725,0.022,1.6885,0.264307291666667,0.05,0.36,0,0.909,29.1666666666667,21.75,34.25,20.55,44.6,27.296875,18,34,10,49.45,5.25,5,6,4.55,6,4.92783505154639,4,5,4,6.34999999999999,0.295833333333333,0.175,0.35,0.0275,0.6225,0.214205128205128,0.025,0.3,0,0.729999999999998,0.909090909090909,1,1,0.5,1,0.691099476439791,0,1,0,1
"9",0.325,0,0.4375,0,1.188,0.244175257731959,0.04,0.3275,0,0.828499999999999,29.9166666666667,20.75,39.5,14.85,48.45,27.5721649484536,20,34,12,48.35,5,4.75,6,3.55,6,4.95897435897436,4,6,4,6.29999999999998,0.35,0.175,0.5,0.0275,0.7625,0.214974358974359,0.05,0.3,0,0.7,0.75,0.75,1,0,1,0.673684210526316,0,1,0,1
"10",0.3875,0.07,0.48,0,1.2925,0.222864583333333,0.03,0.32,0,0.6935,32.75,24.75,36,20.55,55.75,27.8854166666667,19.75,35,12,49.45,5.16666666666667,5,6,4,6,4.93298969072165,4,5.75,4,6,0.4,0.3,0.525,0.0825,0.7175,0.208564102564103,0,0.3,0,0.714999999999999,0.75,0.75,1,0,1,0.671875,0,1,0,1
"11",0.260833333333333,0.07,0.2275,0,0.956999999999999,0.24265625,0.04,0.35,0,0.750499999999999,27.0833333333333,20.75,28.75,20,43.05,27.734375,20,34,11.1,50,5.25,5,6,4.55,6,4.98969072164948,4,6,4,7,0.3125,0.175,0.425,0.0275,0.6225,0.216512820512821,0.05,0.3,0,0.764999999999999,0.818181818181818,1,1,0,1,0.663157894736842,0,1,0,1
"12",0.308333333333333,0.03,0.285,0,1.2925,0.261807291666667,0.04,0.3825,0,0.839499999999999,25.9166666666667,21,27.5,19.1,37.7,27.1510416666667,20,33.25,12,46.9,4.91666666666667,4.75,5.25,3.55,6,4.97938144329897,4,6,4,6,0.254166666666667,0.05,0.35,0,0.6225,0.224461538461538,0.05,0.35,0,0.8,0.818181818181818,1,1,0,1,0.659685863874346,0,1,0,1
"13",0.494166666666667,0.15,0.505,0,1.6885,0.24171875,0.04,0.33,0,0.68,30.4166666666667,20.75,39.5,17.3,44.6,27.7239583333333,19,35.25,12,48.45,5.41666666666667,5,6,4.55,6,5.01546391752577,4,6,4,7,0.3875,0.225,0.525,0.1,0.7625,0.222666666666667,0.025,0.35,0,0.764999999999999,0.818181818181818,1,1,0,1,0.649214659685864,0,1,0,1
"14",0.303333333333333,0.03,0.34,0,1.0505,0.242367875647668,0.04,0.34,0,0.741999999999998,33.5833333333333,24.75,39.5,21.55,55.75,27.720207253886,20,34,12,50,5.08333333333333,5,5.25,4,6,4.93846153846154,4,5.5,4,6,0.308333333333333,0.1875,0.3875,0.055,0.5675,0.213435897435897,0.025,0.3,0,0.764999999999999,0.909090909090909,1,1,0.5,1,0.675392670157068,0,1,0,1
