"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.216666666666667,0.12,0.28,0.016,0.398,0.230046511627907,0.05,0.3,0,0.77,45.3333333333333,38,54,30.8,55.2,31.9168591224018,24,41,12,52,5.11111111111111,5,6,4,6,4.74942528735632,4,6,3,6,0.316666666666667,0.2,0.4,0.07,0.62,0.278,0.1,0.4,0,0.764999999999998,0.777777777777778,1,1,0,1,0.743055555555556,0,1,0,1
"2",0.162222222222222,0.08,0.28,0.028,0.304,0.221705607476636,0.05,0.3,0,0.7265,43.3333333333333,38,54,25,55.2,32.7976744186047,24,42,12,52,5.11111111111111,5,6,3.8,6,4.75402298850575,4,6,3,6,0.25,0.1,0.4,0.04,0.56,0.260873563218391,0.1,0.4,0,0.7,0.666666666666667,0,1,0,1,0.747685185185185,0,1,0,1
"3",0.211111111111111,0.12,0.28,0.016,0.398,0.216542056074766,0.05,0.2925,0,0.68,48.1111111111111,43,54,30.8,60.2,32.0997679814385,24,41.5,11.5,52,4.77777777777778,4,5,3.4,6,4.7264367816092,4,6,3,6,0.261111111111111,0.1,0.3,0.07,0.52,0.27535632183908,0.1,0.4,0,0.7,0.777777777777778,1,1,0,1,0.731481481481482,0,1,0,1
"4",0.188888888888889,0.08,0.27,0.016,0.398,0.215337995337995,0.05,0.3,0,0.703999999999999,49,43,54,30.8,60.2,31.8935185185185,23,42,11,52,5,4,6,4,6,4.74252873563218,4,6,3,6,0.311111111111111,0.2,0.4,0.1,0.58,0.258183908045977,0.1,0.4,0,0.7,0.777777777777778,1,1,0,1,0.766203703703704,1,1,0,1
"5",0.134444444444444,0.07,0.17,0.024,0.304,0.213364269141531,0.045,0.295,0,0.7,40.2222222222222,38,50,19.4,55.2,32.6605080831409,24,42,11.6,52,5.11111111111111,5,6,3.8,6,4.73793103448276,4,6,3,6,0.238888888888889,0.1,0.4,0.04,0.46,0.257885057471264,0.1,0.4,0,0.7,0.666666666666667,0,1,0,1,0.74245939675174,0,1,0,1
"6",0.238888888888889,0.2,0.32,0.032,0.402,0.220981308411215,0.05,0.3,0,0.7265,51.6666666666667,50,54,40,60.2,32.6867749419954,24,42,12,52,5.22222222222222,4,6,4,6,4.74022988505747,4,6,3,6,0.377777777777778,0.3,0.5,0.1,0.66,0.277655172413793,0.1,0.4,0,0.7,0.888888888888889,1,1,0.4,1,0.736720554272517,0,1,0,1
"7",0.208888888888889,0.12,0.27,0.016,0.398,0.215104895104895,0.05,0.28,0,0.73,47.8888888888889,43,54,30.8,60.2,31.9768518518519,24,41.25,11,52.45,5,5,5,4,6,4.74252873563218,4,6,3,6,0.238888888888889,0.1,0.3,0.07,0.54,0.268528735632184,0.1,0.4,0,0.7,0.777777777777778,1,1,0,1,0.727482678983834,0,1,0,1
"8",0.163333333333333,0.06,0.27,0.016,0.304,0.212943925233645,0.05,0.28,0,0.65,44.8888888888889,38,54,20.6,60.2,32.2900232018562,24,42,12,52,5,4,6,4,6,4.72413793103448,4,6,3,6,0.327777777777778,0.15,0.4,0.1,0.62,0.265011494252874,0.1,0.4,0,0.714999999999998,0.888888888888889,1,1,0.4,1,0.75,0.75,1,0,1
"9",0.15,0.07,0.27,0.048,0.304,0.208060747663551,0.05,0.29,0,0.6465,38.7777777777778,26,54,19.4,55.2,32.6914153132251,24,42,13,51.5,5.22222222222222,5,6,4.4,6,4.7264367816092,4,6,3,6,0.294444444444444,0.15,0.4,0.04,0.62,0.263402298850575,0.1,0.4,0,0.7,0.777777777777778,1,1,0,1,0.729166666666667,0,1,0,1
"10",0.24,0.11,0.33,0.038,0.422,0.221585081585082,0.05,0.3,0,0.709999999999998,47.5555555555556,46,54,29,55.2,32.368909512761,24,42,12,52,5.11111111111111,4,6,3.4,6,4.74252873563218,4,6,3,6,0.455555555555556,0.3,0.5,0.18,0.84,0.269724137931035,0.1,0.4,0,0.7,0.888888888888889,1,1,0.4,1,0.71824480369515,0,1,0,1
