"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.122,0.09,0.15,0.058,0.206,0.140535714285714,0.05,0.1725,0,0.355,66.4,55,76,52.6,90.4,45.8793103448276,32.25,59.25,13.4,80.45,4.6,5,5,3.4,5,4.78333333333333,3.75,6,3,6,0.14,0.1,0.25,0.02,0.25,0.2325,0.05,0.3625,0,0.709999999999999,0.8,1,1,0.2,1,0.683333333333333,0,1,0,1
"2",0.104,0.05,0.13,0.01,0.218,0.128245614035088,0.03,0.17,0,0.336,89.8,55,129,52.6,146.6,47.1379310344828,34,60.75,17.85,80.45,5,5,5,3.4,6.6,4.76666666666667,4,6,3,6,0.28,0,0.6,0,0.68,0.226666666666667,0.05,0.4,0,0.605,0.6,0,1,0,1,0.75,0.75,1,0,1
"3",0.076,0.05,0.13,0.01,0.146,0.144210526315789,0.05,0.19,0,0.416,75.2,55,62,53.4,133.2,43.5762711864407,32.5,55,9.6,78.2,5,5,5,3.4,6.6,4.68333333333333,3.75,6,2.95,6,0.24,0.1,0.25,0.02,0.61,0.204166666666667,0,0.3,0,0.614999999999999,0.4,0,1,0,1,0.75,0.75,1,0,1
"4",0.138,0.1,0.22,0.02,0.236,0.147678571428571,0.045,0.1925,0,0.42,94,62,129,54,146.6,45.0175438596491,32,56,16.4,80.6,5,5,5,3.4,6.6,4.61666666666667,3,6,2,6,0.31,0,0.6,0,0.68,0.210833333333333,0,0.3625,0,0.605,0.6,0,1,0,1,0.816666666666667,1,1,0,1
"5",0.056,0,0.1,0,0.124,0.136785714285714,0.0475,0.1725,0,0.355,77.6,55,68,52.6,134.4,45.280701754386,33,57,16.4,80.6,4.6,3,5,3,6.6,4.76666666666667,4,6,3,6,0.16,0,0.1,0,0.58,0.208333333333333,0,0.3,0,0.605,0.8,1,1,0.2,1,0.733333333333333,0,1,0,1
"6",0.132,0.05,0.22,0.01,0.236,0.12125,0.04,0.1625,0,0.2975,93.2,55,129,55,146.6,43.6140350877193,30,56,13.2,74.8,5.4,5,5,5,6.6,4.7,3.75,6,2,6,0.24,0.1,0.25,0.02,0.53,0.216666666666667,0,0.325,0,0.7,0.4,0,1,0,1,0.8,1,1,0,1
"7",0.124,0.1,0.15,0.02,0.222,0.138448275862069,0.0225,0.1875,0,0.412,89.8,55,129,52.6,146.6,44.9152542372881,32.5,60,13.6,78.2,5,5,5,3.4,6.6,4.63333333333333,3,6,2.95,6,0.31,0,0.6,0,0.68,0.238333333333333,0.05,0.4,0,0.7,0.4,0,1,0,1,0.766666666666667,1,1,0,1
"8",0.096,0.05,0.13,0.05,0.146,0.131272727272727,0.025,0.185,0,0.313,55.4,53,55,52.2,60.6,44.9473684210526,34,57,12.4,75.2,4.6,5,5,3.4,5,4.66666666666667,3,6,2.95,6,0.24,0.1,0.25,0.02,0.61,0.235833333333333,0,0.4125,0,0.709999999999999,0.6,0,1,0,1,0.783333333333333,1,1,0,1
"9",0.076,0,0.09,0,0.21,0.128545454545455,0.035,0.175,0,0.326,99.4,68,129,57.6,146.6,45.2105263157895,30,60,9.2,78.4,4.6,3,5,3,6.6,4.73333333333333,4,6,3,6,0.16,0,0.1,0,0.5,0.213333333333333,0,0.3,0,0.709999999999999,0.6,0,1,0,1,0.733333333333333,0,1,0,1
"10",0.138,0.1,0.22,0.02,0.236,0.137068965517241,0.04,0.185,0,0.332,94,62,129,54,146.6,47.4237288135593,35,60,18,80,5,5,5,3.4,6.6,4.56666666666667,3,5.25,2,6,0.31,0,0.6,0,0.68,0.210833333333333,0,0.325,0,0.6,0.6,0,1,0,1,0.816666666666667,1,1,0,1
"11",0.048,0,0.09,0,0.098,0.131818181818182,0.025,0.175,0,0.358,84,55,94,52.6,139.6,43.0526315789474,30,56,9.2,75.2,4.6,3,5,3,6.6,4.8,4,6,2.95,6,0.04,0,0.1,0,0.1,0.216666666666667,0,0.325,0,0.709999999999999,0.8,1,1,0.2,1,0.766666666666667,1,1,0,1
"12",0.114,0.05,0.15,0.01,0.222,0.125454545454545,0.02,0.17,0,0.319,90,55,129,53.4,146.6,43.4736842105263,30,56,9.2,78.4,5,5,5,3.4,6.6,4.76666666666667,4,6,3,6,0.34,0.15,0.6,0.03,0.68,0.2175,0,0.3125,0,0.709999999999999,0.2,0,0,0,0.8,0.766666666666667,1,1,0,1
"13",0.096,0.05,0.1,0.01,0.212,0.138545454545455,0.035,0.18,0,0.358,96.2,55,129,52.6,146.6,44.5614035087719,33,56,9.2,79,5,5,5,3.4,6.6,4.63333333333333,3,6,2.95,6,0.16,0,0.1,0,0.5,0.245,0.05,0.4,0,0.709999999999999,0.6,0,1,0,1,0.75,0.75,1,0,1
"14",0.086,0.05,0.09,0.01,0.21,0.138571428571429,0.05,0.1725,0,0.325,96.4,55,129,53.4,146.6,43.140350877193,30,56,13.2,68.4,5,5,5,3.4,6.6,4.71666666666667,3,6,3,6,0.19,0.1,0.15,0.02,0.51,0.218333333333333,0,0.4,0,0.7,0.4,0,1,0,1,0.783333333333333,1,1,0,1
"15",0.086,0.05,0.13,0.01,0.146,0.150714285714286,0.075,0.175,0.0075,0.42,75,55,62,52.6,133.2,45.551724137931,30,59.25,13.4,80.45,5,5,5,3.4,6.6,4.76666666666667,4,6,3,6,0.21,0,0.25,0,0.61,0.198333333333333,0,0.3,0,0.605,0.6,0,1,0,1,0.733333333333333,0,1,0,1
"16",0.114,0.05,0.15,0.01,0.222,0.11280701754386,0.03,0.15,0,0.296,90.4,55,129,55,146.6,45.7758620689655,32.25,59.25,16.55,80,5,5,5,3.4,6.6,4.53333333333333,3,5.25,2.95,6,0.33,0.1,0.6,0.02,0.68,0.2125,0.05,0.3,0,0.7,0.4,0,1,0,1,0.766666666666667,1,1,0,1
"17",0.086,0.05,0.13,0.01,0.146,0.111272727272727,0.025,0.155,0,0.303,75,55,62,52.6,133.2,45.4736842105263,32,57,12.4,80,5,5,5,3.4,6.6,4.66666666666667,3.75,6,2.95,6,0.21,0,0.25,0,0.61,0.23,0.0375,0.4,0,0.709999999999999,0.6,0,1,0,1,0.716666666666667,0,1,0,1
"18",0.114,0.05,0.13,0.05,0.218,0.127142857142857,0.0375,0.1725,0,0.325,70.2,53,62,52.2,115.6,44.2241379310345,30,56,9.4,78.3,4.6,5,5,3.4,5,4.71666666666667,4,6,3,6,0.31,0.1,0.6,0.02,0.68,0.205833333333333,0,0.3625,0,0.7,0.6,0,1,0,1,0.733333333333333,0,1,0,1
"19",0.094,0.05,0.13,0.01,0.218,0.143214285714286,0.05,0.17,0,0.42,90,55,129,53.4,146.6,47.7068965517241,35.25,60.75,15.95,80.45,5,5,5,3.4,6.6,4.73333333333333,3.75,6,2.95,6,0.31,0.1,0.6,0.02,0.68,0.223333333333333,0.0375,0.3,0,0.709999999999999,0.4,0,1,0,1,0.683333333333333,0,1,0,1
