"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.057,0,0.095,0,0.1565,0.0332419825072886,0,0.03,0,0.18,104.1,64.75,151,50.1,151,90.8539944903581,54,151,26,151,3.83333333333333,3,5.5,1.5,6,4.17125382262997,2,6,1,7,0.105,0,0.1875,0,0.365,0.138060273972603,0,0.2,0,0.6,1,1,1,1,1,0.457971014492754,0,1,0,1
"2",0.063,0.005,0.11,0,0.1265,0.0345513196480938,0,0.03,0,0.18,92.1,64.75,116.5,48.9,151,89.9390581717451,54,148,26,151,4.75,3,6,2.35,6,4.10769230769231,2,6,1,7,0.225,0.025,0.45,0,0.5,0.137391780821918,0,0.2,0,0.6,1,1,1,1,1,0.478134110787172,0,1,0,1
"3",0.048,0,0.0875,0,0.1815,0.0364244186046512,0,0.03,0,0.1885,122.6,89.5,151,65.1,151,87.2527472527473,53.75,126,26,151,5.4,6,6,2.8,6.8,4.14540059347181,2,6,1,7,0.16,0,0.375,0,0.555,0.156169863013699,0,0.25,0,0.6,0.833333333333333,1,1,0.25,1,0.475644699140401,0,1,0,1
"4",0.05,0,0.095,0,0.132,0.0332307692307692,0,0.03,0,0.18,107.5,64.75,151,50.55,151,89.0387811634349,53,142,24,151,4.6,3,6,3,6,4.22289156626506,2,6,1,7,0.14,0,0.2,0,0.4325,0.139205479452055,0,0.2,0,0.6,1,1,1,1,1,0.48546511627907,0,1,0,1
"5",0.062,0,0.1025,0,0.2085,0.0309387755102041,0,0.03,0,0.15,114.8,81.5,151,63.15,151,90.5706371191136,56,151,26,151,4,3,6,1.4,6,4.21341463414634,2,6,1,7,0.125,0,0.1125,0,0.555,0.139747945205479,0,0.2,0,0.6,0.833333333333333,1,1,0.25,1,0.476878612716763,0,1,0,1
"6",0.059,0.005,0.11,0,0.1265,0.0355743440233236,0,0.03,0,0.18,93.7,70.25,116.5,48.9,151,90.2747252747253,53.75,146.5,26.3,151,4.125,2.75,6,1.35,6,4.05810397553517,2,6,1,7,0.205,0,0.45,0,0.5,0.144953424657534,0,0.2,0,0.6,1,1,1,1,1,0.465317919075145,0,1,0,1
"7",0.056,0,0.1025,0,0.1455,0.0316289855072464,0,0.03,0,0.158,104,64.75,151,53.85,151,90.3314917127072,54,147.5,26.1,151,4.5,3.5,5.75,2.25,6,4.1178247734139,2,6,1,7,0.12,0,0.1875,0,0.4325,0.153035616438356,0,0.25,0,0.640000000000001,1,1,1,1,1,0.479651162790698,0,1,0,1
"8",0.063,0,0.11,0,0.1455,0.0360882352941177,0,0.04,0,0.1705,112.1,85.25,151,63.7,151,86.4917127071823,52.25,129.5,26,151,4.83333333333333,3.5,6,3,6,4.2189349112426,2,6,1,7,0.2,0,0.3375,0,0.5,0.151254794520548,0,0.25,0,0.6,0.857142857142857,1,1,0.3,1,0.474431818181818,0,1,0,1
"9",0.067,0,0.1075,0,0.161,0.0317705882352941,0,0.03,0,0.15,88.3,60.25,134.75,45.6,151,88.9173553719008,53.5,138,26,151,4.28571428571429,3,5.5,3,6,4.17014925373134,2,6,1,7,0.15,0,0.2,0,0.4325,0.139857534246575,0,0.2,0,0.6,1,1,1,1,1,0.472622478386167,0,1,0,1
"10",0.042,0,0.075,0,0.11,0.0326666666666667,0,0.03,0,0.1795,105.8,74,151,65.35,151,89.9090909090909,51,149,26,151,4,3,5.75,1.5,6,4.15105740181269,2,6,1,7,0.105,0,0.1875,0,0.365,0.136443835616438,0,0.2,0,0.6,0.875,1,1,0.35,1,0.466666666666667,0,1,0,1
"11",0.064,0,0.13,0,0.161,0.0357705882352941,0,0.04,0,0.1805,96.6,60.25,151,23.3,151,87.4598337950139,52,130,26,151,3.66666666666667,3,4.75,1.5,5.75,4.23867069486405,2,6,1,7,0.12,0,0.1875,0,0.4325,0.148630136986301,0,0.25,0,0.6,1,1,1,1,1,0.469565217391304,0,1,0,1
"12",0.104,0.03,0.1325,0.009,0.258,0.0345294117647059,0,0.03,0,0.1705,84.2,64.75,86,53.4,138.85,89.4986149584488,54,140,25,151,4.44444444444444,3,6,1.4,6,4.2065868263473,2,6,1,7,0.265,0,0.5,0,0.665,0.146257534246575,0,0.2,0,0.6,0.888888888888889,1,1,0.4,1,0.46064139941691,0,1,0,1
"13",0.1,0.035,0.11,0,0.2445,0.0336521739130435,0,0.03,0,0.168,93.5,73,114.5,53.25,151,88.4520547945205,52,151,24,151,4.5,3,6,1.7,6,4.21341463414634,2,6,1,7,0.265,0,0.5,0,0.665,0.142860273972603,0,0.2,0,0.6,0.875,1,1,0.35,1,0.485380116959064,0,1,0,1
"14",0.12,0.0875,0.1475,0,0.258,0.0320234604105572,0,0.03,0,0.16,94.8,69.25,114.5,60.45,151,92.328729281768,56,151,26.1,151,5.25,4.75,6,3.35,6,4.18237082066869,2,6,1,7,0.33,0.0375,0.5,0,0.665,0.129446575342466,0,0.2,0,0.6,0.9,1,1,0.45,1,0.463768115942029,0,1,0,1
"15",0.096,0.03,0.11,0,0.2445,0.0339768115942029,0,0.03,0,0.18,96.5,73,116.5,65.35,151,90.0138504155125,53,146,26,151,4.875,4.5,6,1.7,6,4.12238805970149,2,6,1,7,0.245,0,0.45,0,0.665,0.14892602739726,0,0.25,0,0.6,0.875,1,1,0.35,1,0.473837209302326,0,1,0,1
"16",0.072,0.01,0.11,0,0.1455,0.0316578171091445,0,0.03,0,0.15,103.9,75.25,144.25,62.35,151,88.3185595567867,52,132,25,151,5.28571428571429,5,6,3.6,6,4.28700906344411,2.5,6,1,7,0.205,0,0.3375,0,0.5,0.1392,0,0.2,0,0.6,1,1,1,1,1,0.46685878962536,0,1,0,1
"17",0.095,0.005,0.1325,0,0.258,0.0318529411764706,0,0.03,0,0.161,98.8,69.25,144.25,50.1,151,89.3829201101928,53,139.5,26,151,4.14285714285714,3,6,1.6,6,4.19335347432024,2,6,1,7,0.215,0,0.425,0,0.665,0.127260273972603,0,0.2,0,0.540000000000001,0.857142857142857,1,1,0.3,1,0.449275362318841,0,1,0,1
"18",0.037,0,0.07,0,0.1265,0.0313588235294118,0,0.03,0,0.1505,127.6,101.5,151,75.1,151,90.6253443526171,52.5,151,26,151,5,3,6,3,6.8,4.18042813455657,2,6,1,7,0.115,0,0.1875,0,0.41,0.145178082191781,0,0.25,0,0.6,1,1,1,1,1,0.455072463768116,0,1,0,1
"19",0.05,0,0.1025,0,0.1565,0.032491124260355,0,0.03,0,0.1615,110,71.75,151,31.4,151,90.1357340720222,54,146,26,151,4,3,6,1.4,6,4.17987804878049,2,6,1,7,0.115,0,0.1125,0,0.5,0.128652054794521,0,0.2,0,0.6,0.857142857142857,1,1,0.3,1,0.47536231884058,0,1,0,1
"20",0.065,0,0.1025,0,0.231,0.0324553314121037,0,0.03,0,0.167,115.8,81.5,151,71.05,151,90.2857142857143,53.75,148.75,28.15,151,4.4,3,6,1.4,6,4.13719512195122,2,6,1,7,0.175,0,0.2625,0,0.665,0.148241095890411,0,0.25,0,0.6,0.833333333333333,1,1,0.25,1,0.469740634005764,0,1,0,1
"21",0.071,0.005,0.11,0,0.1815,0.0326235294117647,0,0.03,0,0.1705,103.7,81.25,138.25,69.25,151,90.8591160220994,56,151,28,151,4.28571428571429,3,6,1.6,6,4.25531914893617,3,6,1,7,0.175,0,0.275,0,0.555,0.142350684931507,0,0.2,0,0.65,0.875,1,1,0.35,1,0.443804034582133,0,1,0,1
"22",0.078,0,0.1325,0,0.1565,0.0332153392330383,0,0.03,0,0.18,107.7,86,144.25,54.5,151,91.1689750692521,53,151,25,151,5.28571428571429,5,6,3.3,6,4.16969696969697,2,6,1,7,0.24,0,0.5,0,0.5,0.142213698630137,0,0.2,0,0.6,1,1,1,1,1,0.456395348837209,0,1,0,1
"23",0.061,0,0.11,0,0.1565,0.0317653958944282,0,0.03,0,0.18,107.7,71.75,151,54.5,151,90.7465564738292,53,147,26,151,4.66666666666667,3.25,6,3,6,4.15197568389058,2,6,1,7,0.175,0,0.4125,0,0.5,0.140964383561644,0,0.2,0,0.6,1,1,1,1,1,0.469565217391304,0,1,0,1
"24",0.056,0,0.11,0,0.132,0.0347537091988131,0,0.03,0,0.172,100.6,71.75,151,31.85,151,87.5386740331492,52,139.5,26,151,4.5,3.5,6,1.5,6,4.19578313253012,2,6,1,7,0.18,0,0.3375,0,0.5,0.142334246575342,0,0.2,0,0.6,0.875,1,1,0.35,1,0.456647398843931,0,1,0,1
"25",0.07,0,0.11,0,0.195,0.0349026548672566,0,0.04,0,0.171,112.3,88,151,56.55,151,88.4847645429363,52,138,26,151,4.83333333333333,3.75,6,2.25,6,4.26426426426426,2,6,1,7,0.205,0,0.45,0,0.555,0.146049315068493,0,0.21,0,0.6,0.857142857142857,1,1,0.3,1,0.456647398843931,0,1,0,1
"26",0.078,0.015,0.11,0,0.1565,0.0361235294117647,0,0.04,0,0.18,103.4,71.75,144.25,61.8,151,89.0609418282549,54,140,26,151,5.28571428571429,5,6,3.3,6,4.25225225225225,2,6,1,7,0.215,0,0.45,0,0.5,0.143841095890411,0,0.25,0,0.6,1,1,1,1,1,0.446376811594203,0,1,0,1
"27",0.089,0,0.14,0,0.258,0.0307728613569322,0,0.04,0,0.15,102.9,64.75,151,53.4,151,89.3379501385042,52,142,26,151,4.83333333333333,4.25,6,2.5,6,4.26443768996961,2,6,1,7,0.195,0,0.3375,0,0.665,0.138361643835616,0,0.2,0,0.6,0.857142857142857,1,1,0.3,1,0.451149425287356,0,1,0,1
"28",0.057,0,0.1075,0,0.161,0.0332153392330383,0,0.03,0,0.17,98.8,60.25,151,45.6,151,89.409972299169,52,150,24,151,4,3,4.75,3,5.75,4.09756097560976,2,6,1,7,0.135,0,0.2,0,0.4325,0.141528767123288,0,0.21,0,0.6,1,1,1,1,1,0.472622478386167,0,1,0,1
"29",0.071,0,0.1325,0,0.161,0.0298604651162791,0,0.03,0,0.166999999999999,106.6,64.75,151,60.45,151,89.853591160221,53.25,150.25,25.05,151,5,4.25,6,3.25,6,4.14848484848485,2,6,1,7,0.17,0,0.3125,0,0.5,0.145364383561644,0,0.2,0,0.6,0.875,1,1,0.35,1,0.452173913043478,0,1,0,1
