"","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"1",0.209,0.11,0.2775,0.058,0.4075,0.253162878787879,0.06,0.34,0,0.8265,40.5,32,49,24.35,54,34.3295668549906,26,43,14,55.5,5.1,5,6,3.45,6,4.7752808988764,4,6,3,6,0.305,0.125,0.475,0.0725,0.61,0.268202247191011,0.1,0.4,0,0.717499999999998,0.9,1,1,0.45,1,0.717267552182163,0,1,0,1
"2",0.266,0.0925,0.2775,0.018,0.797499999999999,0.253307984790875,0.07,0.34,0,0.8275,43.1,35,50,26.9,57.3,33.7221172022684,24,42,12,54,5.2,5,6,3.45,6,4.77110694183865,4,6,3,6,0.415,0.1875,0.575,0.1,0.81,0.26814606741573,0.1,0.4,0,0.7,0.8,1,1,0,1,0.703984819734345,0,1,0,1
"3",0.251,0.085,0.2525,0.0315,0.819999999999999,0.248992395437262,0.06,0.34,0,0.805,47.5,43,53.75,35.8,57.3,33.9034090909091,24,42,12.35,56,4.9,4.25,5.75,3.45,6,4.76360225140713,4,6,3,6,0.44,0.2,0.65,0.045,0.955,0.269194756554307,0.1,0.4,0,0.7,0.7,0.25,1,0,1,0.744318181818182,0,1,0,1
"4",0.219,0.1225,0.3075,0.0715,0.4185,0.24787072243346,0.06,0.34,0,0.8075,44.9,40,52.25,27.8,55.1,33.8939393939394,24,43,12,55.65,4.6,3.25,5.75,3,6,4.75797373358349,4,6,3,6,0.265,0.2,0.375,0.0225,0.455,0.269513108614232,0.1,0.4,0,0.7,0.7,0.25,1,0,1,0.725378787878788,0,1,0,1
"5",0.333,0.1375,0.2775,0.045,0.963999999999999,0.235170454545455,0.05,0.32,0,0.803,47.4,38,57.75,34,61.65,33.5595463137996,25,42,14,54.6,5.2,5,6,4,6,4.70168855534709,4,6,3,6,0.5,0.125,0.7,0.1,0.955,0.262584269662921,0.1,0.4,0,0.7,0.8,1,1,0,1,0.737642585551331,0,1,0,1
"6",0.236,0.1125,0.355,0.0235,0.441,0.247660377358491,0.06,0.32,0,0.84,43.6,38,53,27.8,54,33.7401129943503,24.5,42,12,56,5,4.25,6,3.45,6,4.75984990619137,4,6,3,6,0.385,0.2,0.5,0.0725,0.865,0.264082397003745,0.1,0.4,0,0.7,0.9,1,1,0.45,1,0.72865275142315,0,1,0,1
"7",0.226,0.0875,0.31,0.027,0.556,0.240871212121212,0.06,0.33,0,0.77,44.6,39.25,53.75,22.85,57.65,33.877358490566,24,42,13.45,56,5,4.25,6,3,6,4.74296435272045,4,6,3,6,0.325,0.1625,0.475,0.045,0.61,0.261647940074906,0.1,0.4,0,0.7,0.9,1,1,0.45,1,0.71780303030303,0,1,0,1
"8",0.217,0.105,0.31,0.036,0.396,0.240076045627376,0.06,0.32,0,0.785,48.4,39.25,54,35.8,59.85,33.9526515151515,25,42,14,54,5.3,5,6,4,6,4.78424015009381,4,6,3,6,0.42,0.225,0.575,0.1,0.865,0.269232209737828,0.1,0.4,0,0.7,0.9,1,1,0.45,1,0.734848484848485,0,1,0,1
"9",0.263,0.0875,0.265,0.018,0.842499999999999,0.247561436672968,0.05,0.33,0,0.856,45.2,38,53,27.8,61.65,33.4905660377358,24,42,12,54,5.2,5,6,3.45,6,4.70168855534709,4,6,3,6,0.32,0.125,0.4,0.1,0.72,0.262677902621723,0.1,0.4,0,0.7,0.8,1,1,0,1,0.738140417457306,0,1,0,1
"10",0.234,0.0725,0.3275,0.018,0.556,0.248918406072106,0.055,0.335,0,0.83,42.3,38,50,21.05,57.65,33.8960302457467,25,43,13,54.6,5.3,5,6,3.9,6,4.72045028142589,4,6,3,6,0.355,0.2,0.5,0.1225,0.655,0.265112359550562,0.1,0.4,0,0.7,0.9,1,1,0.45,1,0.721590909090909,0,1,0,1
